# satellite: 43152 ASNARO-2 / JPN
# catalogue: 1 NORAD
# track: 27753680
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 228
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 03:29:20.795000 5.674 4.85431 Clear 0 592.556 104.547 1
2024-01-31 03:29:20.895000 5.567 4.74694 Clear 0 592.321 104.557 1
2024-01-31 03:29:20.995000 5.561 4.74015 Clear 0 592.088 104.566 1
2024-01-31 03:29:21.095000 5.322 4.50026 Clear 0 591.855 104.575 1
2024-01-31 03:29:21.195000 5.07 4.24832 Clear 0 591.623 104.585 1
2024-01-31 03:29:21.295000 5.062 4.23941 Clear 0 591.391 104.594 1
2024-01-31 03:29:21.395000 5.025 4.20214 Clear 0 591.161 104.603 1
2024-01-31 03:29:21.495000 4.958 4.1344 Clear 0 590.932 104.613 1
2024-01-31 03:29:21.595000 4.618 3.79314 Clear 0 590.703 104.622 1
2024-01-31 03:29:21.695000 4.519 3.69376 Clear 0 590.475 104.631 1
2024-01-31 03:29:21.795000 4.508 3.6824 Clear 0 590.248 104.641 1
2024-01-31 03:29:21.895000 4.652 3.82517 Clear 0 590.022 104.65 1
2024-01-31 03:29:21.995000 4.66 3.83258 Clear 0 589.796 104.659 1
2024-01-31 03:29:22.095000 4.731 3.90263 Clear 0 589.572 104.668 1
2024-01-31 03:29:22.195000 4.884 4.05577 Clear 0 589.348 104.677 1
2024-01-31 03:29:22.295000 5.0 4.17063 Clear 0 589.125 104.687 1
2024-01-31 03:29:22.395000 5.281 4.45095 Clear 0 588.903 104.696 1
2024-01-31 03:29:22.495000 5.324 4.49403 Clear 0 588.682 104.705 1
2024-01-31 03:29:22.595000 5.288 4.4569 Clear 0 588.462 104.714 1
2024-01-31 03:29:22.695000 5.246 4.41504 Clear 0 588.243 104.723 1
2024-01-31 03:29:22.795000 5.286 4.45383 Clear 0 588.024 104.732 1
2024-01-31 03:29:22.895000 5.32 4.48758 Clear 0 587.806 104.742 1
2024-01-31 03:29:22.995000 5.326 4.49263 Clear 0 587.589 104.751 1
2024-01-31 03:29:23.095000 5.289 4.45538 Clear 0 587.373 104.76 1
2024-01-31 03:29:23.195000 5.386 4.55208 Clear 0 587.158 104.769 1
2024-01-31 03:29:23.295000 5.202 4.36729 Clear 0 586.944 104.778 1
2024-01-31 03:29:23.395000 5.175 4.34014 Clear 0 586.73 104.787 1
2024-01-31 03:29:23.495000 5.077 4.24103 Clear 0 586.517 104.796 1
2024-01-31 03:29:23.595000 5.039 4.20295 Clear 0 586.306 104.805 1
2024-01-31 03:29:23.695000 4.968 4.13101 Clear 0 586.095 104.814 1
2024-01-31 03:29:23.795000 5.02 4.18157 Clear 0 585.885 104.823 1
2024-01-31 03:29:23.895000 5.21 4.37178 Clear 0 585.675 104.832 1
2024-01-31 03:29:23.995000 5.171 4.3318 Clear 0 585.467 104.841 1
2024-01-31 03:29:24.095000 5.213 4.37366 Clear 0 585.259 104.85 1
2024-01-31 03:29:24.195000 5.175 4.33525 Clear 0 585.053 104.859 1
2024-01-31 03:29:24.295000 5.253 4.41324 Clear 0 584.847 104.868 1
2024-01-31 03:29:24.395000 5.207 4.36588 Clear 0 584.642 104.877 1
2024-01-31 03:29:24.495000 5.147 4.30593 Clear 0 584.438 104.886 1
2024-01-31 03:29:24.595000 5.104 4.26229 Clear 0 584.235 104.895 1
2024-01-31 03:29:24.695000 5.046 4.2037 Clear 0 584.032 104.903 1
2024-01-31 03:29:24.795000 5.195 4.35239 Clear 0 583.831 104.912 1
2024-01-31 03:29:24.895000 5.283 4.43952 Clear 0 583.63 104.921 1
2024-01-31 03:29:24.995000 5.275 4.43131 Clear 0 583.431 104.93 1
2024-01-31 03:29:25.095000 5.271 4.42569 Clear 0 583.232 104.939 1
2024-01-31 03:29:25.195000 5.313 4.4679 Clear 0 583.034 104.948 1
2024-01-31 03:29:25.295000 5.314 4.46798 Clear 0 582.836 104.956 1
2024-01-31 03:29:25.395000 5.312 4.46605 Clear 0 582.64 104.965 1
2024-01-31 03:29:25.495000 5.342 4.49527 Clear 0 582.445 104.974 1
2024-01-31 03:29:25.595000 5.242 4.39504 Clear 0 582.25 104.983 1
2024-01-31 03:29:25.695000 5.214 4.36569 Clear 0 582.057 104.991 1
2024-01-31 03:29:25.795000 5.27 4.42191 Clear 0 581.864 105.0 1
2024-01-31 03:29:25.895000 5.248 4.39894 Clear 0 581.672 105.009 1
2024-01-31 03:29:25.995000 5.233 4.3836 Clear 0 581.481 105.017 1
2024-01-31 03:29:26.095000 5.118 4.26782 Clear 0 581.291 105.026 1
2024-01-31 03:29:26.195000 4.916 4.06567 Clear 0 581.101 105.035 1
2024-01-31 03:29:26.295000 4.884 4.03263 Clear 0 580.913 105.043 1
2024-01-31 03:29:26.395000 4.966 4.1147 Clear 0 580.725 105.052 1
2024-01-31 03:29:26.495000 4.994 4.14199 Clear 0 580.539 105.061 1
2024-01-31 03:29:26.595000 4.91 4.05751 Clear 0 580.353 105.069 1
2024-01-31 03:29:26.695000 4.795 3.94197 Clear 0 580.168 105.078 1
