# satellite: 57869 STARLINK-30441 / US
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 996
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2024-01-01 15:01:37.499000 7.885 6.9393 Clear 0 693.674 81.189 3 27408650
2024-01-01 15:01:37.599000 7.812 6.86468 Clear 0 693.661 81.129 3 27408650
2024-01-01 15:01:37.699000 7.83 6.88205 Clear 0 693.648 81.07 3 27408650
2024-01-01 15:01:37.799000 7.803 6.8538 Clear 0 693.636 81.011 3 27408650
2024-01-01 15:01:37.899000 7.938 6.9878 Clear 0 693.625 80.951 3 27408650
2024-01-01 15:01:37.999000 7.912 6.96092 Clear 0 693.615 80.892 3 27408650
2024-01-01 15:01:38.099000 7.939 6.9873 Clear 0 693.605 80.833 3 27408650
2024-01-01 15:01:38.199000 7.801 6.84813 Clear 0 693.596 80.773 3 27408650
2024-01-01 15:01:38.299000 7.841 6.88666 Clear 0 693.588 80.714 3 27408650
2024-01-01 15:01:38.399000 7.574 6.61914 Clear 0 693.58 80.655 3 27408650
2024-01-01 15:01:38.499000 7.761 6.80485 Clear 0 693.574 80.595 3 27408650
2024-01-01 15:01:38.599000 7.991 7.03365 Clear 0 693.567 80.536 3 27408650
2024-01-01 15:01:38.699000 7.969 7.01093 Clear 0 693.562 80.477 3 27408650
2024-01-01 15:01:38.799000 8.084 7.12528 Clear 0 693.557 80.417 3 27408650
2024-01-01 15:01:38.899000 7.837 6.87723 Clear 0 693.553 80.358 3 27408650
2024-01-01 15:01:38.999000 7.459 6.49809 Clear 0 693.549 80.299 3 27408650
2024-01-01 15:01:39.099000 7.789 6.82702 Clear 0 693.547 80.239 3 27408650
2024-01-01 15:01:39.199000 7.852 6.88914 Clear 0 693.545 80.18 3 27408650
2024-01-01 15:01:39.299000 7.925 6.9608 Clear 0 693.543 80.121 3 27408650
2024-01-01 15:01:39.399000 7.662 6.69662 Clear 0 693.543 80.061 3 27408650
2024-01-01 15:01:39.499000 7.702 6.73572 Clear 0 693.543 80.002 3 27408650
2024-01-01 15:01:39.599000 7.867 6.90004 Clear 0 693.543 79.943 3 27408650
2024-01-01 15:01:39.699000 7.748 6.78036 Clear 0 693.545 79.883 3 27408650
2024-01-01 15:01:39.799000 7.805 6.83602 Clear 0 693.547 79.824 3 27408650
2024-01-01 15:01:39.899000 7.978 7.00802 Clear 0 693.55 79.765 3 27408650
2024-01-01 15:01:39.999000 7.717 6.74607 Clear 0 693.553 79.705 3 27408650
2024-01-01 15:01:40.099000 7.774 6.80266 Clear 0 693.557 79.646 3 27408650
2024-01-01 15:01:40.199000 7.999 7.02696 Clear 0 693.562 79.587 3 27408650
2024-01-01 15:01:40.299000 7.669 6.69596 Clear 0 693.568 79.527 3 27408650
2024-01-01 15:01:40.399000 7.987 7.01295 Clear 0 693.574 79.468 3 27408650
2024-01-01 15:01:40.499000 7.908 6.93305 Clear 0 693.581 79.409 3 27408650
2024-01-01 15:01:40.599000 7.827 6.85075 Clear 0 693.589 79.349 3 27408650
2024-01-01 15:01:40.699000 7.869 6.89163 Clear 0 693.597 79.29 3 27408650
2024-01-01 15:01:40.799000 7.733 6.75501 Clear 0 693.606 79.231 3 27408650
2024-01-01 15:01:40.899000 7.895 6.91624 Clear 0 693.616 79.172 3 27408650
2024-01-01 15:01:40.999000 7.816 6.8357 Clear 0 693.626 79.112 3 27408650
2024-01-01 15:01:41.099000 7.741 6.75962 Clear 0 693.637 79.053 3 27408650
2024-01-01 15:01:41.199000 7.974 6.99325 Clear 0 693.649 78.994 3 27408650
2024-01-01 15:01:41.299000 8.088 7.10552 Clear 0 693.662 78.934 3 27408650
2024-01-01 15:01:41.399000 7.753 6.77019 Clear 0 693.675 78.875 3 27408650
2024-01-01 15:01:41.499000 7.851 6.86711 Clear 0 693.689 78.816 3 27408650
2024-01-01 15:01:41.599000 7.754 6.76868 Clear 0 693.703 78.757 3 27408650
2024-01-01 15:01:41.699000 7.543 6.55685 Clear 0 693.719 78.697 3 27408650
2024-01-01 15:01:41.799000 7.789 6.80183 Clear 0 693.735 78.638 3 27408650
2024-01-01 15:01:41.899000 8.0 7.01156 Clear 0 693.751 78.579 3 27408650
2024-01-01 15:01:41.999000 7.81 6.82192 Clear 0 693.769 78.519 3 27408650
2024-01-01 15:01:42.099000 7.76 6.7706 Clear 0 693.787 78.46 3 27408650
2024-01-01 15:01:42.199000 7.712 6.72237 Clear 0 693.805 78.401 3 27408650
2024-01-01 15:01:42.299000 7.68 6.68908 Clear 0 693.825 78.342 3 27408650
2024-01-01 15:01:42.399000 7.857 6.86523 Clear 0 693.845 78.282 3 27408650
2024-01-01 15:01:42.499000 7.912 6.91879 Clear 0 693.866 78.223 3 27408650
2024-01-01 15:01:42.599000 7.792 6.79746 Clear 0 693.887 78.164 3 27408650
2024-01-01 15:01:42.699000 7.77 6.77608 Clear 0 693.909 78.105 3 27408650
2024-01-01 15:01:42.799000 7.835 6.8399 Clear 0 693.932 78.045 3 27408650
2024-01-01 15:01:42.899000 7.866 6.87 Clear 0 693.956 77.986 3 27408650
2024-01-01 15:01:42.999000 7.94 6.94297 Clear 0 693.98 77.927 3 27408650
2024-01-01 15:01:43.099000 7.837 6.83936 Clear 0 694.005 77.868 3 27408650
2024-01-01 15:01:43.199000 7.902 6.90278 Clear 0 694.031 77.808 3 27408650
2024-01-01 15:01:43.299000 7.741 6.74182 Clear 0 694.057 77.749 3 27408650
2024-01-01 15:01:43.399000 7.669 6.66888 Clear 0 694.084 77.69 3 27408650
2024-01-01 15:01:43.499000 7.745 6.7435 Clear 0 694.112 77.631 3 27408650
2024-01-01 15:01:43.599000 7.667 6.66447 Clear 0 694.14 77.572 3 27408650
2024-01-01 15:01:43.699000 7.829 6.82628 Clear 0 694.169 77.512 3 27408650
2024-01-01 15:01:43.799000 7.628 6.62453 Clear 0 694.199 77.453 3 27408650
2024-01-01 15:01:43.899000 7.874 6.86977 Clear 0 694.23 77.394 3 27408650
2024-01-01 15:01:43.999000 7.591 6.58601 Clear 0 694.261 77.335 3 27408650
2024-01-01 15:01:44.099000 7.616 6.60967 Clear 0 694.293 77.276 3 27408650
2024-01-01 15:01:44.199000 7.687 6.67982 Clear 0 694.325 77.217 3 27408650
2024-01-01 15:01:44.299000 7.872 6.86512 Clear 0 694.359 77.157 3 27408650
2024-01-01 15:01:44.399000 7.909 6.90106 Clear 0 694.392 77.098 3 27408650
2024-01-01 15:01:44.499000 7.667 6.65833 Clear 0 694.427 77.039 3 27408650
2024-01-01 15:01:44.599000 7.692 6.6815 Clear 0 694.462 76.98 3 27408650
2024-01-01 15:01:44.699000 7.696 6.68467 Clear 0 694.498 76.921 3 27408650
2024-01-01 15:01:44.799000 7.889 6.87802 Clear 0 694.535 76.862 3 27408650
2024-01-01 15:01:44.899000 7.768 6.75571 Clear 0 694.572 76.803 3 27408650
2024-01-01 15:01:44.999000 7.823 6.80988 Clear 0 694.611 76.744 3 27408650
