# satellite: 43152 ASNARO-2 / JPN
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 5362
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2018-01-27 03:37:31.098000 4.489 3.06316 Clear 0 628.113 61.896 1 12948832
2018-01-27 03:37:31.198000 4.467 3.03898 Clear 0 627.745 61.879 1 12948832
2018-01-27 03:37:31.298000 4.466 3.0373 Clear 0 627.377 61.862 1 12948832
2018-01-27 03:37:31.399000 4.454 3.02247 Clear 0 627.006 61.845 1 12948832
2018-01-27 03:37:31.499000 4.45 3.01843 Clear 0 626.64 61.828 1 12948832
2018-01-27 03:37:31.598000 4.439 3.00477 Clear 0 626.278 61.811 1 12948832
2018-01-27 03:37:31.698000 4.467 3.03168 Clear 0 625.913 61.794 1 12948832
2018-01-27 03:37:31.798000 4.452 3.01449 Clear 0 625.548 61.777 1 12948832
2018-01-27 03:37:31.898000 4.477 3.03863 Clear 0 625.185 61.761 1 12948832
2018-01-27 03:37:31.998000 4.512 3.07343 Clear 0 624.822 61.744 1 12948832
2018-01-27 03:37:32.098000 4.416 2.97528 Clear 0 624.459 61.727 1 12948832
2018-01-27 03:37:32.198000 4.464 3.02152 Clear 0 624.097 61.71 1 12948832
2018-01-27 03:37:32.298000 4.457 3.01246 Clear 0 623.736 61.693 1 12948832
2018-01-27 03:37:32.398000 4.439 2.99385 Clear 0 623.376 61.677 1 12948832
2018-01-27 03:37:32.498000 4.41 2.96277 Clear 0 623.016 61.66 1 12948832
2018-01-27 03:37:32.598000 4.436 2.98844 Clear 0 622.657 61.643 1 12948832
2018-01-27 03:37:32.698000 4.443 2.99309 Clear 0 622.298 61.626 1 12948832
2018-01-27 03:37:32.798000 4.459 3.00783 Clear 0 621.941 61.61 1 12948832
2018-01-27 03:37:32.998000 4.484 3.02975 Clear 0 621.227 61.576 1 12948832
2018-01-27 03:37:33.098000 4.414 2.95895 Clear 0 620.871 61.56 1 12948832
2018-01-27 03:37:33.198000 4.428 2.9711 Clear 0 620.516 61.543 1 12948832
2018-01-27 03:37:33.298000 4.444 2.98551 Clear 0 620.162 61.526 1 12948832
2018-01-27 03:37:33.398000 4.379 2.91918 Clear 0 619.808 61.51 1 12948832
2018-01-27 03:37:33.498000 4.401 2.93951 Clear 0 619.455 61.493 1 12948832
2018-01-27 03:37:33.598000 4.43 2.96757 Clear 0 619.103 61.477 1 12948832
2018-01-27 03:37:33.698000 4.397 2.93323 Clear 0 618.751 61.46 1 12948832
2018-01-27 03:37:33.798000 4.437 2.97173 Clear 0 618.4 61.443 1 12948832
2018-01-27 03:37:33.898000 4.347 2.88002 Clear 0 618.05 61.427 1 12948832
2018-01-27 03:37:33.998000 4.38 2.91232 Clear 0 617.701 61.41 1 12948832
2018-01-27 03:37:34.098000 4.396 2.92576 Clear 0 617.352 61.394 1 12948832
2018-01-27 03:37:34.198000 4.418 2.94646 Clear 0 617.003 61.377 1 12948832
2018-01-27 03:37:34.298000 4.404 2.93239 Clear 0 616.656 61.361 1 12948832
2018-01-27 03:37:34.398000 4.403 2.92852 Clear 0 616.309 61.344 1 12948832
2018-01-27 03:37:34.498000 4.431 2.95562 Clear 0 615.963 61.328 1 12948832
2018-01-27 03:37:34.598000 4.424 2.94719 Clear 0 615.618 61.311 1 12948832
2018-01-27 03:37:34.698000 4.408 2.92985 Clear 0 615.273 61.295 1 12948832
2018-01-27 03:37:34.798000 4.419 2.93955 Clear 0 614.929 61.279 1 12948832
2018-01-27 03:37:34.898000 4.431 2.94984 Clear 0 614.585 61.262 1 12948832
2018-01-27 03:37:34.998000 4.385 2.90302 Clear 0 614.243 61.246 1 12948832
2018-01-27 03:37:35.098000 4.406 2.92211 Clear 0 613.901 61.229 1 12948832
2018-01-27 03:37:35.198000 4.437 2.95174 Clear 0 613.56 61.213 1 12948832
2018-01-27 03:37:35.298000 4.395 2.90863 Clear 0 613.219 61.197 1 12948832
2018-01-27 03:37:35.398000 4.385 2.89716 Clear 0 612.879 61.18 1 12948832
2018-01-27 03:37:35.498000 4.384 2.89464 Clear 0 612.54 61.164 1 12948832
2018-01-27 03:37:35.598000 4.373 2.88304 Clear 0 612.202 61.148 1 12948832
2018-01-27 03:37:35.698000 4.43 2.93746 Clear 0 611.864 61.132 1 12948832
2018-01-27 03:37:35.798000 4.377 2.88365 Clear 0 611.527 61.115 1 12948832
2018-01-27 03:37:35.898000 4.383 2.88795 Clear 0 611.191 61.099 1 12948832
2018-01-27 03:37:35.998000 4.416 2.92035 Clear 0 610.855 61.083 1 12948832
2018-01-27 03:37:36.098000 4.415 2.91805 Clear 0 610.52 61.067 1 12948832
2018-01-27 03:37:36.198000 4.38 2.88064 Clear 0 610.186 61.051 1 12948832
2018-01-27 03:37:36.298000 4.349 2.84939 Clear 0 609.853 61.035 1 12948832
2018-01-27 03:37:36.398000 4.364 2.86299 Clear 0 609.52 61.018 1 12948832
2018-01-27 03:37:36.498000 4.342 2.83924 Clear 0 609.188 61.002 1 12948832
2018-01-27 03:37:36.598000 4.339 2.83529 Clear 0 608.857 60.986 1 12948832
2018-01-27 03:37:36.698000 4.36 2.85439 Clear 0 608.526 60.97 1 12948832
2018-01-27 03:37:36.798000 4.356 2.84922 Clear 0 608.196 60.954 1 12948832
2018-01-27 03:37:36.898000 4.392 2.88441 Clear 0 607.867 60.938 1 12948832
2018-01-27 03:37:36.998000 4.368 2.85767 Clear 0 607.539 60.922 1 12948832
2018-01-27 03:37:37.098000 4.358 2.84655 Clear 0 607.211 60.906 1 12948832
2018-01-27 03:37:37.198000 4.331 2.81904 Clear 0 606.884 60.89 1 12948832
2018-01-27 03:37:37.298000 4.363 2.84864 Clear 0 606.558 60.874 1 12948832
2018-01-27 03:37:37.398000 4.376 2.86064 Clear 0 606.233 60.858 1 12948832
2018-01-27 03:37:37.498000 4.354 2.83841 Clear 0 605.908 60.842 1 12948832
2018-01-27 03:37:37.598000 4.392 2.87422 Clear 0 605.584 60.826 1 12948832
2018-01-27 03:37:37.698000 4.345 2.82622 Clear 0 605.261 60.811 1 12948832
2018-01-27 03:37:37.798000 4.366 2.8458 Clear 0 604.938 60.795 1 12948832
