# satellite: 46360 STARLINK-1713 / US
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 5188
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2020-11-24 03:24:08.994000 6.759 5.47979 Clear 0 503.082 100.134 1 18715187
2020-11-24 03:24:09.094000 6.78 5.50322 Clear 0 503.212 100.214 1 18715187
2020-11-24 03:24:09.194000 6.749 5.47445 Clear 0 503.344 100.294 1 18715187
2020-11-24 03:24:09.294000 6.711 5.43935 Clear 0 503.476 100.375 1 18715187
2020-11-24 03:24:09.394000 6.657 5.38658 Clear 0 503.609 100.455 1 18715187
2020-11-24 03:24:09.494000 6.613 5.34559 Clear 0 503.743 100.535 1 18715187
2020-11-24 03:24:09.694000 6.611 5.34894 Clear 0 504.015 100.695 1 18715187
2020-11-24 03:24:09.794000 6.579 5.31935 Clear 0 504.152 100.775 1 18715187
2020-11-24 03:24:09.894000 6.649 5.39231 Clear 0 504.29 100.855 1 18715187
2020-11-24 03:24:10.094000 6.729 5.47578 Clear 0 504.569 101.014 1 18715187
2020-11-24 03:24:10.294000 6.712 5.46354 Clear 0 504.853 101.174 1 18715187
2020-11-24 03:24:10.394000 6.804 5.5587 Clear 0 504.996 101.254 1 18715187
2020-11-24 03:24:10.494000 6.831 5.58753 Clear 0 505.14 101.333 1 18715187
2020-11-24 03:24:10.694000 6.873 5.63496 Clear 0 505.431 101.492 1 18715187
2020-11-24 03:24:10.794000 6.85 5.61507 Clear 0 505.577 101.572 1 18715187
2020-11-24 03:24:10.894000 6.948 5.71483 Clear 0 505.725 101.652 1 18715187
2020-11-24 03:24:11.094000 6.98 5.75165 Clear 0 506.024 101.81 1 18715187
2020-11-24 03:24:11.394000 6.96 5.7404 Clear 0 506.479 102.048 1 18715187
2020-11-24 03:24:11.494000 7.001 5.7828 Clear 0 506.633 102.127 1 18715187
2020-11-24 03:24:11.594000 7.023 5.80771 Clear 0 506.788 102.207 1 18715187
2020-11-24 03:24:11.894000 7.092 5.8842 Clear 0 507.257 102.444 1 18715187
2020-11-24 03:24:12.294000 7.007 5.80868 Clear 0 507.897 102.759 1 18715187
2020-11-24 03:24:12.394000 7.0 5.80455 Clear 0 508.06 102.838 1 18715187
2020-11-24 03:24:12.494000 7.036 5.84377 Clear 0 508.223 102.917 1 18715187
2020-11-24 03:24:12.594000 7.111 5.92081 Clear 0 508.387 102.996 1 18715187
2020-11-24 03:24:12.694000 7.093 5.90555 Clear 0 508.552 103.074 1 18715187
2020-11-24 03:24:12.894000 7.091 5.9094 Clear 0 508.886 103.231 1 18715187
2020-11-24 03:24:12.994000 7.105 5.92464 Clear 0 509.054 103.31 1 18715187
2020-11-24 03:24:13.294000 7.13 5.95746 Clear 0 509.564 103.545 1 18715187
2020-11-24 03:24:13.594000 7.093 5.92899 Clear 0 510.082 103.78 1 18715187
2020-11-24 03:24:13.794000 7.139 5.98001 Clear 0 510.432 103.936 1 18715187
2020-11-24 03:24:14.094000 7.1 5.94853 Clear 0 510.965 104.17 1 18715187
2020-11-24 03:24:14.194000 6.991 5.84248 Clear 0 511.144 104.248 1 18715187
2020-11-24 03:24:14.294000 7.019 5.87397 Clear 0 511.325 104.325 1 18715187
2020-11-24 03:24:14.394000 6.955 5.81244 Clear 0 511.506 104.403 1 18715187
2020-11-24 03:24:14.494000 6.938 5.79827 Clear 0 511.688 104.481 1 18715187
2020-11-24 03:24:14.594000 6.941 5.80432 Clear 0 511.871 104.559 1 18715187
2020-11-24 03:24:14.694000 7.032 5.89664 Clear 0 512.055 104.636 1 18715187
2020-11-24 03:24:14.794000 7.006 5.87371 Clear 0 512.24 104.714 1 18715187
2020-11-24 03:24:14.994000 7.013 5.88613 Clear 0 512.613 104.869 1 18715187
2020-11-24 03:24:15.094000 6.975 5.85053 Clear 0 512.801 104.946 1 18715187
2020-11-24 03:24:15.194000 7.087 5.96547 Clear 0 512.99 105.023 1 18715187
2020-11-24 03:24:15.294000 7.025 5.90736 Clear 0 513.18 105.101 1 18715187
2020-11-24 03:24:15.594000 7.167 6.0573 Clear 0 513.754 105.332 1 18715187
2020-11-24 03:24:15.994000 7.153 6.05357 Clear 0 514.533 105.64 1 18715187
2020-11-24 03:24:16.194000 7.111 6.01723 Clear 0 514.928 105.793 1 18715187
2020-11-24 03:24:16.394000 7.129 6.04087 Clear 0 515.327 105.947 1 18715187
2020-11-24 03:24:16.594000 7.134 6.05129 Clear 0 515.729 106.1 1 18715187
2020-11-24 03:24:16.994000 7.066 5.99384 Clear 0 516.545 106.405 1 18715187
2020-11-24 03:24:18.694000 7.113 6.08979 Clear 0 520.174 107.693 4 18715187
2020-11-24 03:24:18.794000 7.16 6.14001 Clear 0 520.395 107.768 4 18715187
2020-11-24 03:24:18.894000 7.104 6.08598 Clear 0 520.617 107.843 4 18715187
2020-11-24 03:24:18.994000 7.063 6.04827 Clear 0 520.841 107.919 4 18715187
2020-11-24 03:24:19.094000 7.271 6.25943 Clear 0 521.065 107.994 4 18715187
2020-11-24 03:24:19.194000 7.087 6.07825 Clear 0 521.29 108.068 4 18715187
2020-11-24 03:24:19.294000 7.179 6.17293 Clear 0 521.516 108.143 4 18715187
2020-11-24 03:24:19.394000 7.176 6.17344 Clear 0 521.743 108.218 4 18715187
