# satellite: 10664 KYOKKO 1 (EXOS A) / JPN
# catalogue: 1 NORAD
# track: 27751449
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 210
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 02:08:52.897000 7.43 9.96972 Clear 0 3961.072 58.965 6
2024-01-31 02:08:52.997000 7.302 9.84149 Clear 0 3961.073 58.97 6
2024-01-31 02:08:53.097000 7.384 9.92425 Clear 0 3961.074 58.975 6
2024-01-31 02:08:53.197000 7.11 9.65019 Clear 0 3961.075 58.98 6
2024-01-31 02:08:53.397000 6.992 9.53163 Clear 0 3961.077 58.99 6
2024-01-31 02:08:53.497000 7.615 10.1562 Clear 0 3961.078 58.995 6
2024-01-31 02:08:53.597000 7.216 9.75666 Clear 0 3961.079 59.0 6
2024-01-31 02:08:53.697000 6.822 9.36259 Clear 0 3961.08 59.005 6
2024-01-31 02:08:53.797000 7.025 9.56641 Clear 0 3961.082 59.01 6
2024-01-31 02:08:53.897000 7.152 9.69278 Clear 0 3961.083 59.015 6
2024-01-31 02:08:53.997000 7.217 9.75798 Clear 0 3961.084 59.02 6
2024-01-31 02:08:54.097000 7.133 9.67432 Clear 0 3961.086 59.025 6
2024-01-31 02:08:54.197000 6.736 9.27659 Clear 0 3961.087 59.03 6
2024-01-31 02:08:54.297000 6.862 9.4031 Clear 0 3961.089 59.035 6
2024-01-31 02:08:54.397000 7.126 9.66675 Clear 0 3961.09 59.04 6
2024-01-31 02:08:54.497000 7.0 9.5409 Clear 0 3961.092 59.045 6
2024-01-31 02:08:54.597000 6.975 9.51633 Clear 0 3961.093 59.05 6
2024-01-31 02:08:54.697000 6.803 9.34384 Clear 0 3961.095 59.055 6
2024-01-31 02:08:54.797000 6.828 9.36845 Clear 0 3961.096 59.06 6
2024-01-31 02:08:54.897000 6.577 9.11773 Clear 0 3961.098 59.065 6
2024-01-31 02:08:54.997000 6.472 9.01252 Clear 0 3961.1 59.07 6
2024-01-31 02:08:55.097000 6.514 9.05449 Clear 0 3961.101 59.075 6
2024-01-31 02:08:55.197000 6.657 9.19819 Clear 0 3961.103 59.08 6
2024-01-31 02:08:55.297000 6.504 9.04555 Clear 0 3961.105 59.085 6
2024-01-31 02:08:55.397000 6.404 8.94556 Clear 0 3961.107 59.091 6
2024-01-31 02:08:55.497000 6.305 8.84657 Clear 0 3961.109 59.096 6
2024-01-31 02:08:55.597000 6.067 8.60898 Clear 0 3961.111 59.101 6
2024-01-31 02:08:55.697000 6.289 8.83129 Clear 0 3961.112 59.106 6
2024-01-31 02:08:55.797000 6.118 8.66008 Clear 0 3961.114 59.111 6
2024-01-31 02:08:55.897000 5.845 8.38695 Clear 0 3961.116 59.116 6
2024-01-31 02:08:55.997000 5.646 8.18769 Clear 0 3961.119 59.121 6
2024-01-31 02:08:56.097000 5.528 8.06976 Clear 0 3961.121 59.126 6
2024-01-31 02:08:56.197000 5.473 8.01462 Clear 0 3961.123 59.131 6
2024-01-31 02:08:56.297000 5.406 7.94809 Clear 0 3961.125 59.136 6
2024-01-31 02:08:56.397000 5.297 7.83847 Clear 0 3961.127 59.141 6
2024-01-31 02:08:56.497000 5.469 8.01091 Clear 0 3961.129 59.146 6
2024-01-31 02:08:56.597000 5.361 7.90295 Clear 0 3961.132 59.151 6
2024-01-31 02:08:56.697000 5.2 7.74178 Clear 0 3961.134 59.156 6
2024-01-31 02:08:56.797000 5.21 7.75193 Clear 0 3961.136 59.161 6
2024-01-31 02:08:56.897000 5.097 7.63849 Clear 0 3961.139 59.166 6
2024-01-31 02:08:56.997000 4.821 7.36257 Clear 0 3961.141 59.171 6
2024-01-31 02:08:57.097000 4.899 7.44244 Clear 0 3961.143 59.176 6
2024-01-31 02:08:57.197000 4.77 7.31329 Clear 0 3961.146 59.181 6
2024-01-31 02:08:57.297000 4.621 7.16397 Clear 0 3961.149 59.186 6
2024-01-31 02:08:57.397000 4.486 7.02854 Clear 0 3961.151 59.191 6
2024-01-31 02:08:57.497000 4.571 7.11372 Clear 0 3961.154 59.197 6
2024-01-31 02:08:57.597000 4.513 7.05624 Clear 0 3961.156 59.202 6
2024-01-31 02:08:57.697000 4.444 6.98736 Clear 0 3961.159 59.207 6
2024-01-31 02:08:57.797000 4.288 6.83139 Clear 0 3961.162 59.212 6
2024-01-31 02:08:57.897000 4.084 6.62706 Clear 0 3961.164 59.217 6
2024-01-31 02:08:57.997000 4.113 6.65592 Clear 0 3961.167 59.222 6
2024-01-31 02:08:58.097000 3.879 6.4216 Clear 0 3961.17 59.227 6
2024-01-31 02:08:58.197000 3.984 6.52675 Clear 0 3961.173 59.232 6
2024-01-31 02:08:58.297000 3.859 6.40217 Clear 0 3961.176 59.237 6
2024-01-31 02:08:58.397000 3.581 6.12392 Clear 0 3961.179 59.242 6
2024-01-31 02:08:58.497000 3.284 5.82726 Clear 0 3961.182 59.247 6
2024-01-31 02:08:58.597000 3.08 5.62337 Clear 0 3961.185 59.252 6
2024-01-31 02:08:58.697000 2.923 5.46631 Clear 0 3961.188 59.257 6
2024-01-31 02:08:58.797000 2.82 5.36277 Clear 0 3961.191 59.262 6
2024-01-31 02:08:58.897000 2.988 5.53149 Clear 0 3961.194 59.267 6
2024-01-31 02:08:58.997000 3.154 5.6984 Clear 0 3961.197 59.272 6
2024-01-31 02:08:59.097000 3.703 6.24646 Clear 0 3961.2 59.277 6
2024-01-31 02:08:59.197000 4.084 6.62765 Clear 0 3961.203 59.282 6
2024-01-31 02:08:59.297000 4.269 6.81284 Clear 0 3961.207 59.288 6
2024-01-31 02:08:59.397000 4.399 6.94293 Clear 0 3961.21 59.293 6
2024-01-31 02:08:59.497000 4.551 7.09448 Clear 0 3961.213 59.298 6
2024-01-31 02:08:59.597000 4.773 7.31677 Clear 0 3961.217 59.303 6
2024-01-31 02:08:59.697000 4.954 7.49762 Clear 0 3961.22 59.308 6
2024-01-31 02:08:59.797000 5.029 7.57306 Clear 0 3961.223 59.313 6
2024-01-31 02:08:59.897000 5.241 7.78508 Clear 0 3961.227 59.318 6
2024-01-31 02:08:59.997000 5.427 7.9705 Clear 0 3961.23 59.323 6
2024-01-31 02:09:00.097000 5.404 7.94784 Clear 0 3961.234 59.328 6
2024-01-31 02:09:00.197000 5.519 8.0631 Clear 0 3961.238 59.333 6
2024-01-31 02:09:00.297000 5.806 8.35025 Clear 0 3961.241 59.338 6
2024-01-31 02:09:00.397000 5.75 8.294 Clear 0 3961.245 59.343 6
2024-01-31 02:09:00.497000 5.975 8.51937 Clear 0 3961.248 59.348 6
2024-01-31 02:09:00.597000 5.949 8.49271 Clear 0 3961.252 59.353 6
2024-01-31 02:09:00.697000 6.117 8.66152 Clear 0 3961.256 59.358 6
2024-01-31 02:09:00.797000 5.956 8.50056 Clear 0 3961.26 59.363 6
2024-01-31 02:09:00.897000 6.132 8.67701 Clear 0 3961.264 59.368 6
2024-01-31 02:09:00.997000 6.146 8.69124 Clear 0 3961.267 59.374 6
2024-01-31 02:09:01.097000 6.193 8.73766 Clear 0 3961.271 59.379 6
2024-01-31 02:09:01.197000 6.217 8.76164 Clear 0 3961.275 59.384 6
2024-01-31 02:09:01.297000 6.23 8.7749 Clear 0 3961.279 59.389 6
2024-01-31 02:09:01.397000 6.315 8.86034 Clear 0 3961.283 59.394 6
2024-01-31 02:09:01.497000 6.575 9.11992 Clear 0 3961.287 59.399 6
2024-01-31 02:09:01.597000 6.591 9.13617 Clear 0 3961.291 59.404 6
2024-01-31 02:09:01.697000 6.507 9.05173 Clear 0 3961.296 59.409 6
2024-01-31 02:09:01.797000 6.341 8.88604 Clear 0 3961.3 59.414 6
2024-01-31 02:09:01.897000 6.668 9.21326 Clear 0 3961.304 59.419 6
2024-01-31 02:09:01.997000 6.615 9.15949 Clear 0 3961.308 59.424 6
2024-01-31 02:09:02.097000 6.811 9.35562 Clear 0 3961.312 59.429 6
2024-01-31 02:09:02.197000 6.742 9.2868 Clear 0 3961.317 59.434 6
2024-01-31 02:09:02.297000 6.644 9.18877 Clear 0 3961.321 59.439 6
2024-01-31 02:09:02.397000 6.551 9.09743 Clear 0 3961.325 59.444 6
2024-01-31 02:09:02.497000 6.769 9.31539 Clear 0 3961.33 59.45 6
2024-01-31 02:09:02.597000 7.085 9.63096 Clear 0 3961.334 59.455 6
2024-01-31 02:09:02.697000 6.821 9.36661 Clear 0 3961.339 59.46 6
2024-01-31 02:09:02.797000 6.806 9.35198 Clear 0 3961.343 59.465 6
2024-01-31 02:09:02.897000 6.655 9.20134 Clear 0 3961.348 59.47 6
2024-01-31 02:09:02.997000 6.659 9.20451 Clear 0 3961.352 59.475 6
2024-01-31 02:09:03.097000 6.804 9.35017 Clear 0 3961.357 59.48 6
2024-01-31 02:09:03.197000 6.59 9.13617 Clear 0 3961.362 59.485 6
2024-01-31 02:09:03.297000 6.808 9.3538 Clear 0 3961.366 59.49 6
2024-01-31 02:09:03.397000 6.703 9.249 Clear 0 3961.371 59.495 6
2024-01-31 02:09:03.597000 7.039 9.58499 Clear 0 3961.381 59.505 6
2024-01-31 02:09:03.697000 7.177 9.72276 Clear 0 3961.386 59.51 6
2024-01-31 02:09:03.797000 6.826 9.37214 Clear 0 3961.39 59.515 6
2024-01-31 02:09:03.897000 6.711 9.25728 Clear 0 3961.395 59.521 6
2024-01-31 02:09:03.997000 6.63 9.17635 Clear 0 3961.4 59.526 6
2024-01-31 02:09:04.097000 6.789 9.33487 Clear 0 3961.405 59.531 6
2024-01-31 02:09:04.197000 6.897 9.44382 Clear 0 3961.41 59.536 6
2024-01-31 02:09:04.297000 6.908 9.45474 Clear 0 3961.415 59.541 6
2024-01-31 02:09:04.397000 6.825 9.37214 Clear 0 3961.421 59.546 6
2024-01-31 02:09:04.497000 7.227 9.77376 Clear 0 3961.426 59.551 6
2024-01-31 02:09:04.697000 6.584 9.13051 Clear 0 3961.436 59.561 6
2024-01-31 02:09:04.797000 7.3 9.84722 Clear 0 3961.441 59.566 6
2024-01-31 02:09:04.897000 7.087 9.63354 Clear 0 3961.447 59.571 6
2024-01-31 02:09:05.097000 7.334 9.88085 Clear 0 3961.457 59.581 6
2024-01-31 02:09:05.197000 6.897 9.4441 Clear 0 3961.463 59.586 6
