# satellite: 20344 USA 40 R/B / US
# catalogue: 1 NORAD
# track: 27751405
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 654
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 02:03:03.795000 4.895 9.20964 Clear 0 8003.182 78.106 9
2024-01-31 02:03:03.895000 4.662 8.97687 Clear 0 8003.155 78.108 9
2024-01-31 02:03:03.995000 4.88 9.19523 Clear 0 8003.127 78.109 9
2024-01-31 02:03:04.095000 4.688 9.00307 Clear 0 8003.1 78.111 9
2024-01-31 02:03:04.695000 5.22 9.53582 Clear 0 8002.936 78.122 9
2024-01-31 02:03:04.795000 4.844 9.16038 Clear 0 8002.908 78.124 9
2024-01-31 02:03:04.995000 4.635 8.9513 Clear 0 8002.854 78.128 9
2024-01-31 02:03:05.095000 5.128 9.44392 Clear 0 8002.826 78.129 9
2024-01-31 02:03:05.195000 5.215 9.53067 Clear 0 8002.799 78.131 9
2024-01-31 02:03:05.495000 4.954 9.27008 Clear 0 8002.717 78.137 9
2024-01-31 02:03:05.795000 5.012 9.32811 Clear 0 8002.635 78.142 9
2024-01-31 02:03:05.995000 5.039 9.35484 Clear 0 8002.58 78.146 9
2024-01-31 02:03:06.295000 5.016 9.33238 Clear 0 8002.498 78.151 9
2024-01-31 02:03:06.495000 4.795 9.11116 Clear 0 8002.444 78.155 9
2024-01-31 02:03:06.795000 4.792 9.10768 Clear 0 8002.362 78.16 9
2024-01-31 02:03:07.295000 5.018 9.33409 Clear 0 8002.225 78.169 9
2024-01-31 02:03:07.395000 5.097 9.4131 Clear 0 8002.198 78.171 9
2024-01-31 02:03:07.495000 5.089 9.40485 Clear 0 8002.171 78.173 9
2024-01-31 02:03:07.795000 5.298 9.61382 Clear 0 8002.089 78.178 9
2024-01-31 02:03:07.895000 5.054 9.36978 Clear 0 8002.062 78.18 9
2024-01-31 02:03:08.095000 4.826 9.14229 Clear 0 8002.007 78.184 9
2024-01-31 02:03:08.195000 4.975 9.29045 Clear 0 8001.98 78.186 9
2024-01-31 02:03:08.295000 4.972 9.28799 Clear 0 8001.952 78.188 9
2024-01-31 02:03:08.395000 4.815 9.13087 Clear 0 8001.925 78.189 9
2024-01-31 02:03:08.495000 5.035 9.35048 Clear 0 8001.898 78.191 9
2024-01-31 02:03:08.595000 4.764 9.08023 Clear 0 8001.871 78.193 9
2024-01-31 02:03:08.795000 5.234 9.55035 Clear 0 8001.816 78.197 9
2024-01-31 02:03:08.995000 5.309 9.62496 Clear 0 8001.761 78.2 9
2024-01-31 02:03:09.195000 5.095 9.41218 Clear 0 8001.707 78.204 9
2024-01-31 02:03:09.295000 5.444 9.7607 Clear 0 8001.68 78.206 9
2024-01-31 02:03:09.495000 5.132 9.44867 Clear 0 8001.625 78.209 9
2024-01-31 02:03:09.595000 5.235 9.55244 Clear 0 8001.598 78.211 9
2024-01-31 02:03:09.695000 5.156 9.47273 Clear 0 8001.571 78.213 9
2024-01-31 02:03:09.895000 4.574 8.89101 Clear 0 8001.516 78.217 9
2024-01-31 02:03:10.195000 5.071 9.38762 Clear 0 8001.434 78.222 9
2024-01-31 02:03:10.395000 5.214 9.53067 Clear 0 8001.38 78.226 9
2024-01-31 02:03:10.695000 5.109 9.42607 Clear 0 8001.298 78.231 9
2024-01-31 02:03:10.795000 5.114 9.43074 Clear 0 8001.271 78.233 9
2024-01-31 02:03:11.295000 4.672 8.98927 Clear 0 8001.135 78.242 9
2024-01-31 02:03:11.395000 4.738 9.05544 Clear 0 8001.107 78.244 9
2024-01-31 02:03:11.495000 5.216 9.53273 Clear 0 8001.08 78.246 9
2024-01-31 02:03:11.595000 5.105 9.42242 Clear 0 8001.053 78.248 9
2024-01-31 02:03:11.695000 4.869 9.1863 Clear 0 8001.026 78.249 9
2024-01-31 02:03:11.895000 4.736 9.05287 Clear 0 8000.971 78.253 9
2024-01-31 02:03:11.995000 5.332 9.64879 Clear 0 8000.944 78.255 9
2024-01-31 02:03:12.195000 5.01 9.32733 Clear 0 8000.89 78.259 9
2024-01-31 02:03:12.595000 4.994 9.31129 Clear 0 8000.781 78.266 9
2024-01-31 02:03:12.695000 5.088 9.40492 Clear 0 8000.753 78.268 9
2024-01-31 02:03:13.295000 5.223 9.54002 Clear 0 8000.59 78.279 9
2024-01-31 02:03:13.395000 4.983 9.30044 Clear 0 8000.563 78.28 9
2024-01-31 02:03:13.495000 5.105 9.4215 Clear 0 8000.536 78.282 9
2024-01-31 02:03:13.595000 5.088 9.40492 Clear 0 8000.509 78.284 9
2024-01-31 02:03:13.895000 5.049 9.3672 Clear 0 8000.427 78.29 9
2024-01-31 02:03:14.595000 5.185 9.50339 Clear 0 8000.237 78.302 9
2024-01-31 02:03:15.395000 4.927 9.24541 Clear 0 8000.019 78.317 9
2024-01-31 02:03:15.495000 4.948 9.26613 Clear 0 7999.992 78.319 9
