# satellite: 20849 CZ-4 DEB / PRC
# catalogue: 1 NORAD
# track: 27753264
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 837
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 02:40:05.696000 8.607 8.17704 Clear 0 886.033 80.272 1
2024-01-31 02:40:05.996000 8.511 8.07896 Clear 0 885.349 80.243 1
2024-01-31 02:40:06.096000 8.551 8.11843 Clear 0 885.123 80.233 1
2024-01-31 02:40:06.196000 8.567 8.13356 Clear 0 884.896 80.224 1
2024-01-31 02:40:06.396000 8.62 8.18484 Clear 0 884.445 80.204 1
2024-01-31 02:40:06.496000 8.411 7.97575 Clear 0 884.221 80.194 1
2024-01-31 02:40:06.896000 8.569 8.13108 Clear 0 883.327 80.155 1
2024-01-31 02:40:07.096000 8.502 8.06165 Clear 0 882.883 80.136 1
2024-01-31 02:40:07.196000 8.465 8.02472 Clear 0 882.662 80.126 1
2024-01-31 02:40:07.296000 8.351 7.90948 Clear 0 882.441 80.116 1
2024-01-31 02:40:07.396000 8.432 7.98956 Clear 0 882.221 80.106 1
2024-01-31 02:40:07.496000 8.432 7.98956 Clear 0 882.001 80.096 1
2024-01-31 02:40:07.596000 8.524 8.08103 Clear 0 881.782 80.087 1
2024-01-31 02:40:07.696000 8.442 7.99776 Clear 0 881.563 80.077 1
2024-01-31 02:40:07.796000 8.367 7.92247 Clear 0 881.345 80.067 1
2024-01-31 02:40:07.896000 8.493 8.04805 Clear 0 881.128 80.057 1
2024-01-31 02:40:07.996000 8.551 8.1049 Clear 0 880.911 80.048 1
2024-01-31 02:40:08.096000 8.421 7.9743 Clear 0 880.694 80.038 1
2024-01-31 02:40:08.196000 8.587 8.13993 Clear 0 880.478 80.028 1
2024-01-31 02:40:08.296000 8.4 7.95175 Clear 0 880.263 80.018 1
2024-01-31 02:40:08.396000 8.511 8.06192 Clear 0 880.048 80.009 1
2024-01-31 02:40:08.496000 8.371 7.92171 Clear 0 879.833 79.999 1
2024-01-31 02:40:08.596000 8.459 8.00889 Clear 0 879.619 79.989 1
2024-01-31 02:40:08.796000 8.549 8.09827 Clear 0 879.193 79.97 1
2024-01-31 02:40:08.896000 8.598 8.14619 Clear 0 878.98 79.96 1
2024-01-31 02:40:08.996000 8.44 7.98725 Clear 0 878.768 79.95 1
2024-01-31 02:40:09.096000 8.432 7.97914 Clear 0 878.557 79.941 1
2024-01-31 02:40:09.196000 8.455 8.0009 Clear 0 878.346 79.931 1
2024-01-31 02:40:09.296000 8.204 7.74899 Clear 0 878.136 79.921 1
2024-01-31 02:40:09.396000 8.323 7.86814 Clear 0 877.926 79.912 1
2024-01-31 02:40:09.496000 8.458 8.002 Clear 0 877.717 79.902 1
2024-01-31 02:40:09.596000 8.432 7.97484 Clear 0 877.508 79.892 1
2024-01-31 02:40:09.696000 8.148 7.69068 Clear 0 877.3 79.882 1
2024-01-31 02:40:09.796000 8.188 7.72956 Clear 0 877.092 79.873 1
2024-01-31 02:40:09.896000 8.322 7.86281 Clear 0 876.885 79.863 1
2024-01-31 02:40:09.996000 8.369 7.90977 Clear 0 876.678 79.853 1
2024-01-31 02:40:10.096000 8.272 7.812 Clear 0 876.472 79.844 1
2024-01-31 02:40:10.196000 8.193 7.73149 Clear 0 876.266 79.834 1
2024-01-31 02:40:10.296000 8.329 7.86814 Clear 0 876.061 79.824 1
2024-01-31 02:40:10.396000 8.272 7.81016 Clear 0 875.857 79.815 1
2024-01-31 02:40:10.496000 8.309 7.84624 Clear 0 875.652 79.805 1
2024-01-31 02:40:10.596000 8.257 7.79437 Clear 0 875.449 79.795 1
2024-01-31 02:40:10.696000 8.318 7.85413 Clear 0 875.246 79.786 1
2024-01-31 02:40:10.796000 8.253 7.7878 Clear 0 875.043 79.776 1
2024-01-31 02:40:10.896000 8.308 7.84267 Clear 0 874.841 79.766 1
2024-01-31 02:40:10.996000 8.259 7.79323 Clear 0 874.64 79.757 1
2024-01-31 02:40:11.096000 8.186 7.71913 Clear 0 874.439 79.747 1
2024-01-31 02:40:11.196000 8.361 7.89422 Clear 0 874.239 79.737 1
2024-01-31 02:40:11.296000 8.328 7.85991 Clear 0 874.039 79.728 1
2024-01-31 02:40:11.396000 8.357 7.88777 Clear 0 873.84 79.718 1
2024-01-31 02:40:11.496000 8.321 7.85149 Clear 0 873.641 79.708 1
2024-01-31 02:40:11.596000 8.144 7.67347 Clear 0 873.442 79.699 1
2024-01-31 02:40:11.696000 8.271 7.80006 Clear 0 873.245 79.689 1
2024-01-31 02:40:11.796000 8.267 7.7955 Clear 0 873.048 79.679 1
2024-01-31 02:40:11.896000 8.136 7.66356 Clear 0 872.851 79.67 1
2024-01-31 02:40:11.996000 8.208 7.73643 Clear 0 872.655 79.66 1
2024-01-31 02:40:12.096000 8.262 7.78916 Clear 0 872.459 79.651 1
2024-01-31 02:40:12.196000 8.099 7.62519 Clear 0 872.264 79.641 1
2024-01-31 02:40:12.296000 8.318 7.84362 Clear 0 872.069 79.631 1
2024-01-31 02:40:12.396000 8.271 7.79619 Clear 0 871.875 79.622 1
2024-01-31 02:40:12.496000 8.421 7.94494 Clear 0 871.682 79.612 1
2024-01-31 02:40:12.596000 8.314 7.8377 Clear 0 871.489 79.602 1
2024-01-31 02:40:12.696000 8.297 7.81965 Clear 0 871.296 79.593 1
2024-01-31 02:40:12.796000 8.486 8.00806 Clear 0 871.105 79.583 1
2024-01-31 02:40:12.896000 8.372 7.89397 Clear 0 870.913 79.574 1
2024-01-31 02:40:13.096000 8.221 7.74183 Clear 0 870.532 79.554 1
2024-01-31 02:40:13.196000 8.408 7.92786 Clear 0 870.342 79.545 1
2024-01-31 02:40:13.296000 8.106 7.62499 Clear 0 870.153 79.535 1
2024-01-31 02:40:13.396000 8.266 7.78532 Clear 0 869.964 79.526 1
2024-01-31 02:40:13.496000 8.215 7.73299 Clear 0 869.776 79.516 1
2024-01-31 02:40:13.596000 8.542 8.05873 Clear 0 869.589 79.507 1
2024-01-31 02:40:13.696000 8.233 7.7503 Clear 0 869.401 79.497 1
2024-01-31 02:40:13.796000 8.216 7.73235 Clear 0 869.215 79.487 1
2024-01-31 02:40:13.896000 8.241 7.75664 Clear 0 869.029 79.478 1
2024-01-31 02:40:13.996000 8.214 7.72935 Clear 0 868.843 79.468 1
2024-01-31 02:40:14.096000 8.206 7.71955 Clear 0 868.658 79.459 1
2024-01-31 02:40:14.196000 8.049 7.56268 Clear 0 868.474 79.449 1
2024-01-31 02:40:14.296000 8.117 7.62947 Clear 0 868.29 79.44 1
2024-01-31 02:40:14.396000 8.222 7.73449 Clear 0 868.107 79.43 1
2024-01-31 02:40:14.496000 8.221 7.73342 Clear 0 867.924 79.421 1
2024-01-31 02:40:14.596000 8.212 7.72337 Clear 0 867.742 79.411 1
2024-01-31 02:40:14.696000 8.068 7.57858 Clear 0 867.56 79.402 1
