# satellite: 21878 OSCAR 30 DEB / US
# catalogue: 1 NORAD
# track: 21315360
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 235
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-09-12 00:44:15.900000 8.301 8.8949 Clear 0 1454.784 76.819 4
2022-09-12 00:44:16 8.465 9.05753 Clear 0 1454.437 76.826 4
2022-09-12 00:44:16.100000 7.698 8.29138 Clear 0 1454.091 76.833 4
2022-09-12 00:44:16.200000 8.208 8.79955 Clear 0 1453.744 76.839 4
2022-09-12 00:44:16.300000 8.312 8.90423 Clear 0 1453.398 76.846 4
2022-09-12 00:44:16.500000 8.42 9.01109 Clear 0 1452.706 76.86 4
2022-09-12 00:44:16.600000 8.433 9.02356 Clear 0 1452.361 76.866 4
2022-09-12 00:44:16.700000 8.511 9.10081 Clear 0 1452.016 76.873 4
2022-09-12 00:44:16.800000 8.207 8.79729 Clear 0 1451.671 76.88 4
2022-09-12 00:44:16.900000 8.412 9.0008 Clear 0 1451.326 76.886 4
2022-09-12 00:44:17.200000 8.273 8.86078 Clear 0 1450.293 76.907 4
2022-09-12 00:44:17.300000 7.908 8.49589 Clear 0 1449.949 76.913 4
2022-09-12 00:44:17.400000 8.279 8.86619 Clear 0 1449.605 76.92 4
2022-09-12 00:44:17.500000 7.753 8.33966 Clear 0 1449.262 76.927 4
2022-09-12 00:44:17.600000 7.492 8.07862 Clear 0 1448.919 76.934 4
2022-09-12 00:44:17.700000 7.611 8.19691 Clear 0 1448.576 76.941 4
2022-09-12 00:44:17.800000 7.559 8.14512 Clear 0 1448.233 76.947 4
2022-09-12 00:44:17.900000 7.7 8.28501 Clear 0 1447.89 76.954 4
2022-09-12 00:44:18 7.638 8.22293 Clear 0 1447.548 76.961 4
2022-09-12 00:44:18.100000 7.144 7.72841 Clear 0 1447.206 76.968 4
2022-09-12 00:44:18.200000 7.148 7.7318 Clear 0 1446.864 76.975 4
2022-09-12 00:44:18.300000 7.245 7.82913 Clear 0 1446.522 76.981 4
2022-09-12 00:44:18.400000 7.567 8.14947 Clear 0 1446.181 76.988 4
2022-09-12 00:44:18.500000 7.697 8.28008 Clear 0 1445.839 76.995 4
2022-09-12 00:44:18.600000 7.464 8.04585 Clear 0 1445.498 77.002 4
2022-09-12 00:44:18.700000 7.475 8.05666 Clear 0 1445.158 77.009 4
2022-09-12 00:44:18.800000 7.385 7.96668 Clear 0 1444.817 77.016 4
2022-09-12 00:44:18.900000 7.589 8.17023 Clear 0 1444.477 77.023 4
2022-09-12 00:44:19 7.463 8.04358 Clear 0 1444.137 77.029 4
2022-09-12 00:44:19.100000 7.046 7.62639 Clear 0 1443.797 77.036 4
2022-09-12 00:44:19.200000 7.06 7.64014 Clear 0 1443.457 77.043 4
2022-09-12 00:44:19.300000 6.949 7.52874 Clear 0 1443.118 77.05 4
2022-09-12 00:44:19.400000 6.604 7.18296 Clear 0 1442.778 77.057 4
2022-09-12 00:44:19.500000 6.396 6.9751 Clear 0 1442.439 77.064 4
2022-09-12 00:44:19.600000 6.368 6.94643 Clear 0 1442.101 77.071 4
2022-09-12 00:44:19.700000 6.053 6.63124 Clear 0 1441.762 77.078 4
2022-09-12 00:44:19.800000 6.052 6.62947 Clear 0 1441.424 77.085 4
2022-09-12 00:44:19.900000 5.78 6.35719 Clear 0 1441.086 77.092 4
2022-09-12 00:44:20 5.488 6.06467 Clear 0 1440.748 77.098 4
2022-09-12 00:44:20.100000 5.354 5.92963 Clear 0 1440.41 77.105 4
2022-09-12 00:44:20.200000 5.487 6.06262 Clear 0 1440.073 77.112 4
2022-09-12 00:44:20.300000 4.977 5.55235 Clear 0 1439.736 77.119 4
2022-09-12 00:44:20.400000 4.76 5.33494 Clear 0 1439.399 77.126 4
2022-09-12 00:44:20.500000 4.8 5.37501 Clear 0 1439.062 77.133 4
2022-09-12 00:44:20.600000 4.99 5.5636 Clear 0 1438.725 77.14 4
2022-09-12 00:44:20.700000 4.884 5.45766 Clear 0 1438.389 77.147 4
2022-09-12 00:44:20.800000 4.78 5.35333 Clear 0 1438.053 77.154 4
2022-09-12 00:44:20.900000 4.751 5.32381 Clear 0 1437.717 77.161 4
2022-09-12 00:44:21 4.813 5.38557 Clear 0 1437.382 77.168 4
2022-09-12 00:44:21.100000 4.96 5.53237 Clear 0 1437.046 77.175 4
2022-09-12 00:44:21.200000 4.727 5.29891 Clear 0 1436.711 77.182 4
