# satellite: 2940 THOR BURNER 2 R/B / US
# catalogue: 1 NORAD
# track: 27753635
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 589
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 03:25:49.496000 5.752 7.28243 Clear 0 1252.18 128.027 9
2024-01-31 03:25:49.596000 5.888 7.41661 Clear 0 1251.857 128.015 9
2024-01-31 03:25:49.696000 5.959 7.48654 Clear 0 1251.533 128.003 9
2024-01-31 03:25:49.796000 5.915 7.44193 Clear 0 1251.211 127.991 9
2024-01-31 03:25:49.896000 5.894 7.41985 Clear 0 1250.888 127.978 9
2024-01-31 03:25:49.996000 5.832 7.35702 Clear 0 1250.566 127.966 9
2024-01-31 03:25:50.096000 5.769 7.2925 Clear 0 1250.244 127.954 9
2024-01-31 03:25:50.196000 5.722 7.24534 Clear 0 1249.922 127.941 9
2024-01-31 03:25:50.296000 5.779 7.30107 Clear 0 1249.601 127.929 9
2024-01-31 03:25:50.396000 5.85 7.37091 Clear 0 1249.28 127.916 9
2024-01-31 03:25:50.496000 5.883 7.40257 Clear 0 1248.96 127.904 9
2024-01-31 03:25:50.596000 5.827 7.34607 Clear 0 1248.639 127.892 9
2024-01-31 03:25:50.696000 5.824 7.34152 Clear 0 1248.319 127.879 9
2024-01-31 03:25:50.796000 5.901 7.41808 Clear 0 1248.0 127.867 9
2024-01-31 03:25:50.896000 5.842 7.35786 Clear 0 1247.68 127.854 9
2024-01-31 03:25:50.996000 5.925 7.43982 Clear 0 1247.361 127.842 9
2024-01-31 03:25:51.096000 5.667 7.18054 Clear 0 1247.042 127.829 9
2024-01-31 03:25:51.196000 6.017 7.53028 Clear 0 1246.724 127.817 9
2024-01-31 03:25:51.296000 5.933 7.44495 Clear 0 1246.406 127.804 9
2024-01-31 03:25:51.396000 5.855 7.36542 Clear 0 1246.088 127.792 9
2024-01-31 03:25:51.496000 5.808 7.31667 Clear 0 1245.771 127.779 9
2024-01-31 03:25:51.596000 5.818 7.32611 Clear 0 1245.454 127.767 9
2024-01-31 03:25:51.696000 5.77 7.27711 Clear 0 1245.137 127.754 9
2024-01-31 03:25:51.796000 5.839 7.34538 Clear 0 1244.82 127.741 9
2024-01-31 03:25:51.896000 5.81 7.31519 Clear 0 1244.504 127.729 9
2024-01-31 03:25:51.996000 5.869 7.37331 Clear 0 1244.188 127.716 9
2024-01-31 03:25:52.096000 5.844 7.34662 Clear 0 1243.873 127.704 9
2024-01-31 03:25:52.196000 6.059 7.56096 Clear 0 1243.557 127.691 9
2024-01-31 03:25:52.296000 5.929 7.42994 Clear 0 1243.242 127.678 9
2024-01-31 03:25:52.396000 5.903 7.40286 Clear 0 1242.928 127.666 9
2024-01-31 03:25:52.496000 6.129 7.62789 Clear 0 1242.614 127.653 9
2024-01-31 03:25:52.596000 5.929 7.42711 Clear 0 1242.3 127.64 9
2024-01-31 03:25:52.696000 5.86 7.35732 Clear 0 1241.986 127.627 9
2024-01-31 03:25:52.796000 5.883 7.37849 Clear 0 1241.673 127.615 9
2024-01-31 03:25:52.896000 5.889 7.38378 Clear 0 1241.36 127.602 9
2024-01-31 03:25:52.996000 5.876 7.36983 Clear 0 1241.047 127.589 9
2024-01-31 03:25:53.096000 5.873 7.36616 Clear 0 1240.735 127.576 9
2024-01-31 03:25:53.196000 5.908 7.40023 Clear 0 1240.422 127.563 9
2024-01-31 03:25:53.296000 6.066 7.55651 Clear 0 1240.111 127.551 9
2024-01-31 03:25:53.396000 5.831 7.3209 Clear 0 1239.799 127.538 9
2024-01-31 03:25:53.496000 6.086 7.57462 Clear 0 1239.488 127.525 9
2024-01-31 03:25:53.596000 5.819 7.30707 Clear 0 1239.178 127.512 9
2024-01-31 03:25:53.696000 6.067 7.55349 Clear 0 1238.867 127.499 9
2024-01-31 03:25:53.796000 6.113 7.59897 Clear 0 1238.557 127.486 9
2024-01-31 03:25:53.896000 5.966 7.44961 Clear 0 1238.247 127.473 9
2024-01-31 03:25:53.996000 6.208 7.69132 Clear 0 1237.938 127.46 9
2024-01-31 03:25:54.096000 5.977 7.45863 Clear 0 1237.629 127.447 9
2024-01-31 03:25:54.196000 6.036 7.5171 Clear 0 1237.32 127.435 9
2024-01-31 03:25:54.296000 5.951 7.43135 Clear 0 1237.011 127.422 9
2024-01-31 03:25:54.396000 6.134 7.6125 Clear 0 1236.703 127.409 9
2024-01-31 03:25:54.496000 6.048 7.5262 Clear 0 1236.395 127.396 9
2024-01-31 03:25:54.596000 6.045 7.52229 Clear 0 1236.088 127.382 9
2024-01-31 03:25:54.696000 6.055 7.53046 Clear 0 1235.781 127.369 9
2024-01-31 03:25:54.796000 5.932 7.4065 Clear 0 1235.474 127.356 9
2024-01-31 03:25:54.896000 6.186 7.66021 Clear 0 1235.167 127.343 9
2024-01-31 03:25:54.996000 5.973 7.44627 Clear 0 1234.861 127.33 9
2024-01-31 03:25:55.096000 6.022 7.49371 Clear 0 1234.555 127.317 9
2024-01-31 03:25:55.196000 6.025 7.49577 Clear 0 1234.25 127.304 9
2024-01-31 03:25:55.296000 6.047 7.51645 Clear 0 1233.944 127.291 9
2024-01-31 03:25:55.396000 6.29 7.75937 Clear 0 1233.639 127.278 9
2024-01-31 03:25:55.496000 6.091 7.55852 Clear 0 1233.335 127.265 9
2024-01-31 03:25:55.596000 6.005 7.47159 Clear 0 1233.031 127.251 9
2024-01-31 03:25:55.696000 6.01 7.47595 Clear 0 1232.727 127.238 9
2024-01-31 03:25:55.796000 6.011 7.47642 Clear 0 1232.423 127.225 9
2024-01-31 03:25:55.896000 5.968 7.43165 Clear 0 1232.12 127.212 9
2024-01-31 03:25:55.996000 6.23 7.69341 Clear 0 1231.817 127.198 9
2024-01-31 03:25:56.096000 6.183 7.64516 Clear 0 1231.514 127.185 9
2024-01-31 03:25:56.196000 5.974 7.43495 Clear 0 1231.212 127.172 9
2024-01-31 03:25:56.296000 6.329 7.78892 Clear 0 1230.91 127.159 9
2024-01-31 03:25:56.396000 6.202 7.65947 Clear 0 1230.608 127.145 9
2024-01-31 03:25:56.496000 6.256 7.7134 Clear 0 1230.307 127.132 9
2024-01-31 03:25:56.596000 6.07 7.52604 Clear 0 1230.006 127.119 9
