# satellite: 39634 SENTINEL 1A / ESA
# catalogue: 1 NORAD
# track: 27753586
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1037
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 03:24:18.695000 6.269 6.4876 Clear 0 882.05 111.246 1
2024-01-31 03:24:18.795000 6.504 6.72192 Clear 0 881.831 111.254 1
2024-01-31 03:24:18.895000 6.461 6.67867 Clear 0 881.612 111.261 1
2024-01-31 03:24:18.995000 6.448 6.66622 Clear 0 881.394 111.269 1
2024-01-31 03:24:19.095000 6.42 6.637 Clear 0 881.176 111.277 1
2024-01-31 03:24:19.195000 6.353 6.56965 Clear 0 880.959 111.284 1
2024-01-31 03:24:19.295000 6.258 6.47521 Clear 0 880.742 111.292 1
2024-01-31 03:24:19.395000 6.292 6.50823 Clear 0 880.526 111.3 1
2024-01-31 03:24:19.495000 6.185 6.40099 Clear 0 880.31 111.307 1
2024-01-31 03:24:19.695000 6.179 6.39358 Clear 0 879.88 111.322 1
2024-01-31 03:24:19.795000 6.243 6.45791 Clear 0 879.666 111.33 1
2024-01-31 03:24:19.895000 6.145 6.35971 Clear 0 879.452 111.338 1
2024-01-31 03:24:19.995000 6.128 6.34181 Clear 0 879.239 111.345 1
2024-01-31 03:24:20.095000 6.162 6.3762 Clear 0 879.027 111.353 1
2024-01-31 03:24:20.195000 6.177 6.3905 Clear 0 878.815 111.36 1
2024-01-31 03:24:20.295000 6.155 6.36902 Clear 0 878.604 111.368 1
2024-01-31 03:24:20.395000 6.174 6.38712 Clear 0 878.393 111.376 1
2024-01-31 03:24:20.495000 6.176 6.38891 Clear 0 878.182 111.383 1
2024-01-31 03:24:20.595000 6.239 6.4518 Clear 0 877.972 111.391 1
2024-01-31 03:24:20.695000 6.134 6.34561 Clear 0 877.763 111.398 1
2024-01-31 03:24:20.795000 6.267 6.47861 Clear 0 877.554 111.406 1
2024-01-31 03:24:20.895000 6.246 6.45798 Clear 0 877.346 111.413 1
2024-01-31 03:24:20.995000 6.225 6.4364 Clear 0 877.138 111.421 1
2024-01-31 03:24:21.095000 6.16 6.37059 Clear 0 876.931 111.428 1
2024-01-31 03:24:21.195000 6.112 6.32343 Clear 0 876.725 111.436 1
2024-01-31 03:24:21.295000 6.072 6.28158 Clear 0 876.519 111.443 1
2024-01-31 03:24:21.395000 5.963 6.17254 Clear 0 876.313 111.451 1
2024-01-31 03:24:21.495000 5.847 6.05677 Clear 0 876.108 111.458 1
2024-01-31 03:24:21.595000 5.79 6.00018 Clear 0 875.904 111.466 1
2024-01-31 03:24:21.695000 5.663 5.87184 Clear 0 875.7 111.473 1
2024-01-31 03:24:21.795000 5.634 5.84247 Clear 0 875.496 111.481 1
2024-01-31 03:24:21.895000 5.515 5.7236 Clear 0 875.294 111.488 1
2024-01-31 03:24:21.995000 5.328 5.53559 Clear 0 875.091 111.495 1
2024-01-31 03:24:22.095000 5.333 5.54126 Clear 0 874.889 111.503 1
2024-01-31 03:24:22.195000 5.207 5.41461 Clear 0 874.688 111.51 1
2024-01-31 03:24:22.295000 5.209 5.4156 Clear 0 874.488 111.518 1
2024-01-31 03:24:22.395000 5.146 5.35258 Clear 0 874.287 111.525 1
2024-01-31 03:24:22.495000 5.15 5.35673 Clear 0 874.088 111.532 1
2024-01-31 03:24:22.595000 5.177 5.38379 Clear 0 873.889 111.54 1
2024-01-31 03:24:22.695000 5.142 5.34816 Clear 0 873.69 111.547 1
2024-01-31 03:24:22.795000 5.206 5.41201 Clear 0 873.492 111.554 1
2024-01-31 03:24:22.895000 5.279 5.48484 Clear 0 873.295 111.562 1
2024-01-31 03:24:22.995000 5.338 5.54264 Clear 0 873.098 111.569 1
2024-01-31 03:24:23.095000 5.455 5.66014 Clear 0 872.902 111.576 1
2024-01-31 03:24:23.195000 5.621 5.82587 Clear 0 872.706 111.584 1
2024-01-31 03:24:23.295000 5.547 5.7522 Clear 0 872.511 111.591 1
2024-01-31 03:24:23.395000 5.69 5.89386 Clear 0 872.316 111.598 1
2024-01-31 03:24:23.495000 5.665 5.86907 Clear 0 872.122 111.605 1
2024-01-31 03:24:23.595000 5.695 5.89914 Clear 0 871.928 111.613 1
2024-01-31 03:24:23.695000 5.74 5.94317 Clear 0 871.735 111.62 1
2024-01-31 03:24:23.795000 5.787 5.99017 Clear 0 871.543 111.627 1
2024-01-31 03:24:23.895000 5.813 6.01566 Clear 0 871.351 111.634 1
2024-01-31 03:24:23.995000 5.597 5.79988 Clear 0 871.159 111.642 1
2024-01-31 03:24:24.095000 5.732 5.93405 Clear 0 870.969 111.649 1
2024-01-31 03:24:24.195000 5.664 5.86559 Clear 0 870.778 111.656 1
2024-01-31 03:24:24.295000 5.586 5.78788 Clear 0 870.588 111.663 1
2024-01-31 03:24:24.395000 5.632 5.83416 Clear 0 870.399 111.67 1
2024-01-31 03:24:24.495000 5.579 5.77993 Clear 0 870.211 111.678 1
2024-01-31 03:24:24.595000 5.66 5.86118 Clear 0 870.022 111.685 1
2024-01-31 03:24:24.695000 5.752 5.95293 Clear 0 869.835 111.692 1
2024-01-31 03:24:24.795000 5.722 5.92151 Clear 0 869.648 111.699 1
2024-01-31 03:24:24.895000 5.834 6.03427 Clear 0 869.461 111.706 1
2024-01-31 03:24:24.995000 5.873 6.07284 Clear 0 869.276 111.713 1
2024-01-31 03:24:25.095000 5.905 6.10508 Clear 0 869.09 111.721 1
2024-01-31 03:24:25.195000 5.987 6.18582 Clear 0 868.905 111.728 1
2024-01-31 03:24:25.295000 6.047 6.24581 Clear 0 868.721 111.735 1
2024-01-31 03:24:25.395000 6.116 6.3145 Clear 0 868.537 111.742 1
2024-01-31 03:24:25.495000 6.187 6.38591 Clear 0 868.354 111.749 1
2024-01-31 03:24:25.595000 6.386 6.58378 Clear 0 868.172 111.756 1
2024-01-31 03:24:25.695000 6.299 6.49744 Clear 0 867.99 111.763 1
2024-01-31 03:24:25.795000 6.247 6.44491 Clear 0 867.808 111.77 1
2024-01-31 03:24:25.895000 6.426 6.62358 Clear 0 867.627 111.777 1
2024-01-31 03:24:25.995000 6.326 6.52325 Clear 0 867.447 111.784 1
2024-01-31 03:24:26.095000 6.328 6.52455 Clear 0 867.267 111.791 1
2024-01-31 03:24:26.195000 6.362 6.55853 Clear 0 867.088 111.798 1
2024-01-31 03:24:26.295000 6.408 6.60463 Clear 0 866.909 111.805 1
2024-01-31 03:24:26.395000 6.436 6.63155 Clear 0 866.731 111.812 1
2024-01-31 03:24:26.495000 6.404 6.60012 Clear 0 866.553 111.819 1
2024-01-31 03:24:26.595000 6.525 6.72114 Clear 0 866.376 111.826 1
2024-01-31 03:24:26.695000 6.387 6.58325 Clear 0 866.2 111.833 1
2024-01-31 03:24:26.795000 6.409 6.60346 Clear 0 866.024 111.84 1
2024-01-31 03:24:26.895000 6.452 6.647 Clear 0 865.849 111.847 1
2024-01-31 03:24:26.995000 6.531 6.72575 Clear 0 865.674 111.854 1
2024-01-31 03:24:27.095000 6.336 6.53138 Clear 0 865.5 111.861 1
2024-01-31 03:24:27.195000 6.479 6.67342 Clear 0 865.326 111.867 1
2024-01-31 03:24:27.295000 6.469 6.66252 Clear 0 865.153 111.874 1
2024-01-31 03:24:27.395000 6.291 6.48501 Clear 0 864.98 111.881 1
2024-01-31 03:24:27.495000 6.441 6.63459 Clear 0 864.808 111.888 1
2024-01-31 03:24:27.595000 6.354 6.54694 Clear 0 864.637 111.895 1
2024-01-31 03:24:27.695000 6.364 6.55652 Clear 0 864.466 111.902 1
2024-01-31 03:24:27.795000 6.321 6.5141 Clear 0 864.296 111.909 1
2024-01-31 03:24:27.895000 6.293 6.4862 Clear 0 864.126 111.915 1
2024-01-31 03:24:27.995000 6.252 6.44383 Clear 0 863.957 111.922 1
2024-01-31 03:24:28.095000 6.395 6.58738 Clear 0 863.788 111.929 1
2024-01-31 03:24:28.195000 6.29 6.48229 Clear 0 863.62 111.936 1
2024-01-31 03:24:28.295000 6.273 6.46474 Clear 0 863.453 111.943 1
2024-01-31 03:24:28.395000 6.283 6.47522 Clear 0 863.286 111.949 1
2024-01-31 03:24:28.495000 6.295 6.48641 Clear 0 863.119 111.956 1
2024-01-31 03:24:28.595000 6.368 6.5588 Clear 0 862.953 111.963 1
2024-01-31 03:24:28.695000 6.459 6.64967 Clear 0 862.788 111.969 1
2024-01-31 03:24:28.795000 6.383 6.57376 Clear 0 862.623 111.976 1
2024-01-31 03:24:28.895000 6.484 6.67374 Clear 0 862.459 111.983 1
2024-01-31 03:24:28.995000 6.41 6.60014 Clear 0 862.296 111.99 1
2024-01-31 03:24:29.095000 6.493 6.68266 Clear 0 862.133 111.996 1
2024-01-31 03:24:29.195000 6.468 6.65832 Clear 0 861.97 112.003 1
2024-01-31 03:24:29.295000 6.553 6.74336 Clear 0 861.809 112.01 1
2024-01-31 03:24:29.395000 6.438 6.62677 Clear 0 861.647 112.016 1
2024-01-31 03:24:29.495000 6.497 6.68643 Clear 0 861.487 112.023 1
2024-01-31 03:24:29.595000 6.502 6.69081 Clear 0 861.326 112.029 1
2024-01-31 03:24:29.695000 6.523 6.71177 Clear 0 861.167 112.036 1
2024-01-31 03:24:29.795000 6.421 6.60894 Clear 0 861.008 112.043 1
2024-01-31 03:24:29.895000 6.606 6.79346 Clear 0 860.849 112.049 1
2024-01-31 03:24:29.995000 6.647 6.83476 Clear 0 860.691 112.056 1
2024-01-31 03:24:30.095000 6.514 6.70192 Clear 0 860.534 112.062 1
2024-01-31 03:24:30.195000 6.302 6.48984 Clear 0 860.377 112.069 1
2024-01-31 03:24:30.295000 6.53 6.71651 Clear 0 860.221 112.075 1
2024-01-31 03:24:30.395000 6.55 6.73656 Clear 0 860.066 112.082 1
2024-01-31 03:24:30.495000 6.4 6.58664 Clear 0 859.911 112.088 1
2024-01-31 03:24:30.595000 6.324 6.51079 Clear 0 859.756 112.095 1
2024-01-31 03:24:30.695000 6.36 6.54683 Clear 0 859.602 112.101 1
2024-01-31 03:24:30.795000 6.538 6.72431 Clear 0 859.449 112.108 1
2024-01-31 03:24:30.895000 6.387 6.57339 Clear 0 859.296 112.114 1
2024-01-31 03:24:30.995000 6.462 6.64821 Clear 0 859.144 112.121 1
2024-01-31 03:24:31.095000 6.545 6.73103 Clear 0 858.992 112.127 1
2024-01-31 03:24:31.195000 6.461 6.64675 Clear 0 858.841 112.134 1
2024-01-31 03:24:31.295000 6.45 6.63499 Clear 0 858.691 112.14 1
2024-01-31 03:24:31.395000 6.432 6.61656 Clear 0 858.541 112.147 1
2024-01-31 03:24:31.495000 6.401 6.5858 Clear 0 858.392 112.153 1
2024-01-31 03:24:31.595000 6.559 6.74406 Clear 0 858.243 112.159 1
2024-01-31 03:24:31.695000 6.505 6.69031 Clear 0 858.095 112.166 1
2024-01-31 03:24:31.795000 6.314 6.49765 Clear 0 857.947 112.172 1
2024-01-31 03:24:31.895000 6.359 6.54293 Clear 0 857.8 112.178 1
2024-01-31 03:24:31.995000 6.39 6.57422 Clear 0 857.654 112.185 1
2024-01-31 03:24:32.095000 6.44 6.62431 Clear 0 857.508 112.191 1
2024-01-31 03:24:32.195000 6.389 6.57339 Clear 0 857.363 112.197 1
2024-01-31 03:24:32.295000 6.5 6.68333 Clear 0 857.218 112.204 1
2024-01-31 03:24:32.395000 6.3 6.4825 Clear 0 857.074 112.21 1
2024-01-31 03:24:32.495000 6.421 6.60395 Clear 0 856.93 112.216 1
2024-01-31 03:24:32.595000 6.539 6.72214 Clear 0 856.787 112.222 1
2024-01-31 03:24:32.695000 6.362 6.54499 Clear 0 856.645 112.229 1
2024-01-31 03:24:32.795000 6.346 6.52765 Clear 0 856.503 112.235 1
2024-01-31 03:24:32.895000 6.628 6.81009 Clear 0 856.362 112.241 1
2024-01-31 03:24:32.995000 6.514 6.69623 Clear 0 856.221 112.247 1
2024-01-31 03:24:33.095000 6.553 6.73533 Clear 0 856.081 112.254 1
2024-01-31 03:24:33.295000 6.602 6.78432 Clear 0 855.802 112.266 1
2024-01-31 03:24:33.395000 6.573 6.75377 Clear 0 855.664 112.272 1
2024-01-31 03:24:33.495000 6.577 6.75753 Clear 0 855.526 112.278 1
2024-01-31 03:24:33.595000 6.685 6.86622 Clear 0 855.389 112.284 1
2024-01-31 03:24:33.695000 6.493 6.67365 Clear 0 855.252 112.29 1
2024-01-31 03:24:33.795000 6.5 6.68082 Clear 0 855.116 112.297 1
2024-01-31 03:24:33.895000 6.887 7.06787 Clear 0 854.981 112.303 1
2024-01-31 03:24:33.995000 6.69 6.8697 Clear 0 854.846 112.309 1
2024-01-31 03:24:34.095000 6.474 6.6544 Clear 0 854.712 112.315 1
2024-01-31 03:24:34.195000 6.557 6.73682 Clear 0 854.578 112.321 1
2024-01-31 03:24:34.295000 6.521 6.70132 Clear 0 854.445 112.327 1
2024-01-31 03:24:34.395000 6.529 6.70859 Clear 0 854.312 112.333 1
2024-01-31 03:24:34.495000 6.49 6.66926 Clear 0 854.18 112.339 1
2024-01-31 03:24:34.595000 6.545 6.72379 Clear 0 854.049 112.345 1
2024-01-31 03:24:34.695000 6.612 6.79059 Clear 0 853.918 112.351 1
2024-01-31 03:24:34.795000 6.587 6.76563 Clear 0 853.788 112.357 1
2024-01-31 03:24:34.895000 6.652 6.83062 Clear 0 853.658 112.363 1
2024-01-31 03:24:34.995000 6.404 6.58259 Clear 0 853.529 112.369 1
2024-01-31 03:24:35.095000 6.347 6.52634 Clear 0 853.401 112.375 1
2024-01-31 03:24:35.195000 6.408 6.58633 Clear 0 853.273 112.381 1
2024-01-31 03:24:35.295000 6.491 6.66918 Clear 0 853.145 112.387 1
2024-01-31 03:24:35.395000 6.486 6.66382 Clear 0 853.019 112.392 1
2024-01-31 03:24:35.495000 6.382 6.55992 Clear 0 852.892 112.398 1
2024-01-31 03:24:35.595000 6.347 6.52468 Clear 0 852.767 112.404 1
2024-01-31 03:24:35.695000 6.528 6.70551 Clear 0 852.642 112.41 1
2024-01-31 03:24:35.795000 6.429 6.60644 Clear 0 852.518 112.416 1
2024-01-31 03:24:35.895000 6.457 6.63443 Clear 0 852.394 112.422 1
2024-01-31 03:24:42.296000 6.619 6.78926 Clear 0 845.698 112.766 8
2024-01-31 03:24:42.396000 6.564 6.73408 Clear 0 845.613 112.77 8
2024-01-31 03:24:42.496000 6.809 6.97907 Clear 0 845.528 112.775 8
2024-01-31 03:24:42.596000 6.598 6.76805 Clear 0 845.444 112.78 8
2024-01-31 03:24:42.696000 6.773 6.94271 Clear 0 845.361 112.785 8
2024-01-31 03:24:42.796000 6.588 6.75764 Clear 0 845.278 112.79 8
2024-01-31 03:24:42.896000 6.697 6.86577 Clear 0 845.196 112.795 8
2024-01-31 03:24:42.996000 6.71 6.87917 Clear 0 845.114 112.799 8
2024-01-31 03:24:43.096000 6.476 6.645 Clear 0 845.033 112.804 8
2024-01-31 03:24:43.196000 6.581 6.75023 Clear 0 844.953 112.809 8
2024-01-31 03:24:43.296000 6.547 6.71604 Clear 0 844.873 112.814 8
2024-01-31 03:24:43.396000 6.488 6.65666 Clear 0 844.794 112.819 8
