# satellite: 55837 CZ-4C DEB / PRC
# catalogue: 1 NORAD
# track: 27753402
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 596
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 03:17:46.196000 5.879 6.98236 Clear 0 1186.231 119.302 4
2024-01-31 03:17:46.296000 5.906 7.00934 Clear 0 1186.097 119.307 4
2024-01-31 03:17:46.396000 5.812 6.9152 Clear 0 1185.964 119.313 4
2024-01-31 03:17:46.496000 5.756 6.85901 Clear 0 1185.831 119.318 4
2024-01-31 03:17:46.596000 5.823 6.92591 Clear 0 1185.698 119.323 4
2024-01-31 03:17:46.696000 5.81 6.91318 Clear 0 1185.566 119.329 4
2024-01-31 03:17:46.796000 5.794 6.89723 Clear 0 1185.434 119.334 4
2024-01-31 03:17:46.896000 5.685 6.78791 Clear 0 1185.303 119.34 4
2024-01-31 03:17:46.996000 5.677 6.77951 Clear 0 1185.172 119.345 4
2024-01-31 03:17:47.096000 5.762 6.865 Clear 0 1185.041 119.35 4
2024-01-31 03:17:47.196000 5.892 6.99479 Clear 0 1184.911 119.356 4
2024-01-31 03:17:47.296000 5.737 6.83896 Clear 0 1184.781 119.361 4
2024-01-31 03:17:47.396000 5.987 7.08854 Clear 0 1184.652 119.366 4
2024-01-31 03:17:47.496000 5.769 6.87061 Clear 0 1184.522 119.372 4
2024-01-31 03:17:47.596000 5.823 6.92473 Clear 0 1184.394 119.377 4
2024-01-31 03:17:47.696000 5.782 6.8841 Clear 0 1184.265 119.382 4
2024-01-31 03:17:47.796000 5.829 6.93098 Clear 0 1184.138 119.388 4
2024-01-31 03:17:47.896000 5.715 6.81741 Clear 0 1184.01 119.393 4
2024-01-31 03:17:47.996000 5.946 7.04792 Clear 0 1183.883 119.398 4
2024-01-31 03:17:48.096000 5.701 6.80271 Clear 0 1183.756 119.403 4
2024-01-31 03:17:48.196000 5.606 6.70798 Clear 0 1183.63 119.409 4
2024-01-31 03:17:48.296000 5.693 6.79457 Clear 0 1183.504 119.414 4
2024-01-31 03:17:48.396000 5.671 6.77247 Clear 0 1183.379 119.419 4
2024-01-31 03:17:48.496000 5.671 6.77304 Clear 0 1183.254 119.424 4
2024-01-31 03:17:48.596000 5.707 6.80936 Clear 0 1183.129 119.43 4
2024-01-31 03:17:48.696000 5.719 6.82112 Clear 0 1183.005 119.435 4
2024-01-31 03:17:48.796000 5.661 6.76335 Clear 0 1182.881 119.44 4
2024-01-31 03:17:48.896000 5.747 6.84934 Clear 0 1182.757 119.445 4
2024-01-31 03:17:48.996000 5.805 6.90597 Clear 0 1182.634 119.45 4
2024-01-31 03:17:49.096000 5.844 6.94514 Clear 0 1182.511 119.456 4
2024-01-31 03:17:49.196000 5.733 6.83361 Clear 0 1182.389 119.461 4
2024-01-31 03:17:49.296000 5.824 6.92451 Clear 0 1182.267 119.466 4
2024-01-31 03:17:49.396000 5.775 6.87595 Clear 0 1182.146 119.471 4
2024-01-31 03:17:49.496000 5.797 6.89796 Clear 0 1182.024 119.476 4
2024-01-31 03:17:49.596000 5.525 6.62599 Clear 0 1181.904 119.481 4
2024-01-31 03:17:49.696000 5.819 6.92022 Clear 0 1181.783 119.486 4
2024-01-31 03:17:49.796000 5.593 6.69406 Clear 0 1181.664 119.492 4
2024-01-31 03:17:49.896000 5.718 6.81858 Clear 0 1181.544 119.497 4
2024-01-31 03:17:49.996000 5.696 6.79715 Clear 0 1181.425 119.502 4
2024-01-31 03:17:50.096000 5.624 6.72484 Clear 0 1181.306 119.507 4
2024-01-31 03:17:50.196000 5.639 6.73988 Clear 0 1181.188 119.512 4
2024-01-31 03:17:50.296000 5.659 6.75984 Clear 0 1181.07 119.517 4
2024-01-31 03:17:50.396000 5.918 7.01892 Clear 0 1180.952 119.522 4
2024-01-31 03:17:50.496000 5.744 6.84484 Clear 0 1180.835 119.527 4
2024-01-31 03:17:50.596000 5.581 6.6823 Clear 0 1180.719 119.532 4
2024-01-31 03:17:50.696000 5.644 6.74488 Clear 0 1180.602 119.537 4
2024-01-31 03:17:50.796000 5.665 6.76477 Clear 0 1180.486 119.542 4
2024-01-31 03:17:50.896000 5.662 6.76244 Clear 0 1180.371 119.547 4
2024-01-31 03:17:50.996000 5.625 6.72535 Clear 0 1180.256 119.552 4
2024-01-31 03:17:51.096000 5.714 6.81439 Clear 0 1180.141 119.557 4
2024-01-31 03:17:51.196000 5.714 6.81371 Clear 0 1180.027 119.562 4
2024-01-31 03:17:51.296000 5.676 6.77597 Clear 0 1179.913 119.567 4
2024-01-31 03:17:51.396000 5.657 6.75736 Clear 0 1179.799 119.572 4
2024-01-31 03:17:51.496000 5.832 6.93244 Clear 0 1179.686 119.577 4
2024-01-31 03:17:51.596000 5.601 6.70054 Clear 0 1179.573 119.582 4
2024-01-31 03:17:51.696000 5.656 6.7557 Clear 0 1179.461 119.587 4
2024-01-31 03:17:51.796000 5.567 6.66708 Clear 0 1179.349 119.592 4
2024-01-31 03:17:51.896000 5.626 6.72579 Clear 0 1179.238 119.597 4
2024-01-31 03:17:51.996000 5.775 6.8751 Clear 0 1179.127 119.602 4
2024-01-31 03:17:52.096000 5.57 6.66946 Clear 0 1179.016 119.607 4
2024-01-31 03:17:52.196000 5.78 6.87994 Clear 0 1178.906 119.612 4
2024-01-31 03:17:52.296000 5.647 6.74716 Clear 0 1178.796 119.617 4
2024-01-31 03:17:52.396000 5.683 6.78342 Clear 0 1178.686 119.621 4
2024-01-31 03:17:52.496000 5.665 6.76449 Clear 0 1178.577 119.626 4
2024-01-31 03:17:52.596000 5.627 6.72651 Clear 0 1178.468 119.631 4
2024-01-31 03:17:52.696000 5.68 6.77964 Clear 0 1178.36 119.636 4
2024-01-31 03:17:52.796000 5.728 6.82799 Clear 0 1178.252 119.641 4
2024-01-31 03:17:52.896000 5.544 6.64414 Clear 0 1178.145 119.646 4
2024-01-31 03:17:52.996000 5.515 6.61469 Clear 0 1178.038 119.65 4
2024-01-31 03:17:53.096000 5.533 6.63182 Clear 0 1177.931 119.655 4
2024-01-31 03:17:53.196000 5.727 6.82583 Clear 0 1177.825 119.66 4
2024-01-31 03:17:53.296000 5.512 6.61057 Clear 0 1177.719 119.665 4
2024-01-31 03:17:53.396000 5.56 6.65887 Clear 0 1177.614 119.67 4
2024-01-31 03:17:53.496000 5.491 6.58965 Clear 0 1177.508 119.674 4
