# satellite: 58650 SHIYAN 24C 01 / PRC
# catalogue: 1 NORAD
# track: 27753552
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 571
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-01-31 03:21:32.996000 8.573 8.03394 Clear 0 663.309 105.974 1
2024-01-31 03:21:33.096000 8.362 7.82193 Clear 0 663.053 105.982 1
2024-01-31 03:21:33.196000 8.769 8.22747 Clear 0 662.798 105.991 1
2024-01-31 03:21:33.296000 8.431 7.88972 Clear 0 662.544 105.999 1
2024-01-31 03:21:33.396000 8.349 7.80646 Clear 0 662.291 106.007 1
2024-01-31 03:21:33.496000 8.615 8.07161 Clear 0 662.038 106.016 1
2024-01-31 03:21:33.596000 8.443 7.89947 Clear 0 661.786 106.024 1
2024-01-31 03:21:33.696000 8.361 7.81667 Clear 0 661.534 106.033 1
2024-01-31 03:21:33.796000 8.517 7.97327 Clear 0 661.284 106.041 1
2024-01-31 03:21:33.896000 8.279 7.73354 Clear 0 661.034 106.05 1
2024-01-31 03:21:33.996000 8.26 7.71425 Clear 0 660.784 106.058 1
2024-01-31 03:21:34.096000 8.42 7.87376 Clear 0 660.536 106.066 1
2024-01-31 03:21:34.196000 8.277 7.72956 Clear 0 660.288 106.075 1
2024-01-31 03:21:34.296000 8.05 7.50331 Clear 0 660.041 106.083 1
2024-01-31 03:21:34.396000 8.536 7.98826 Clear 0 659.795 106.091 1
2024-01-31 03:21:34.496000 8.54 7.9905 Clear 0 659.549 106.1 1
2024-01-31 03:21:34.596000 8.305 7.75565 Clear 0 659.304 106.108 1
2024-01-31 03:21:34.696000 8.593 8.04331 Clear 0 659.06 106.116 1
2024-01-31 03:21:34.796000 8.228 7.67794 Clear 0 658.817 106.125 1
2024-01-31 03:21:34.896000 8.498 7.94685 Clear 0 658.574 106.133 1
2024-01-31 03:21:34.996000 8.379 7.82674 Clear 0 658.332 106.141 1
2024-01-31 03:21:35.096000 8.238 7.68638 Clear 0 658.091 106.15 1
2024-01-31 03:21:35.196000 8.549 7.99612 Clear 0 657.85 106.158 1
2024-01-31 03:21:35.296000 8.592 8.0392 Clear 0 657.611 106.166 1
2024-01-31 03:21:35.396000 8.18 7.62606 Clear 0 657.372 106.174 1
2024-01-31 03:21:35.496000 8.251 7.69702 Clear 0 657.133 106.183 1
2024-01-31 03:21:35.596000 8.282 7.72692 Clear 0 656.896 106.191 1
2024-01-31 03:21:35.696000 8.168 7.61154 Clear 0 656.659 106.199 1
2024-01-31 03:21:35.796000 8.167 7.61134 Clear 0 656.423 106.207 1
2024-01-31 03:21:35.896000 8.214 7.65735 Clear 0 656.188 106.216 1
2024-01-31 03:21:35.996000 8.314 7.75655 Clear 0 655.953 106.224 1
2024-01-31 03:21:36.096000 8.082 7.52407 Clear 0 655.719 106.232 1
