# satellite: 47535 CZ-4C DEB / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 34634
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-02-25 01:35:03.194000 6.901 7.75513 Clear 0 1337.318 100.595 1 18944944
2021-02-25 01:35:03.294000 6.756 7.61067 Clear 0 1337.427 100.609 1 18944944
2021-02-25 01:35:03.394000 6.592 7.44701 Clear 0 1337.535 100.623 1 18944944
2021-02-25 01:35:03.494000 6.636 7.49212 Clear 0 1337.644 100.636 1 18944944
2021-02-25 01:35:03.594000 6.875 7.73048 Clear 0 1337.753 100.65 1 18944944
2021-02-25 01:35:03.694000 6.662 7.51916 Clear 0 1337.862 100.664 1 18944944
2021-02-25 01:35:03.794000 6.83 7.68743 Clear 0 1337.972 100.678 1 18944944
2021-02-25 01:35:03.894000 6.835 7.69281 Clear 0 1338.082 100.692 1 18944944
2021-02-25 01:35:03.994000 6.737 7.59532 Clear 0 1338.192 100.705 1 18944944
2021-02-25 01:35:04.094000 6.865 7.72415 Clear 0 1338.303 100.719 1 18944944
2021-02-25 01:35:04.194000 6.798 7.65735 Clear 0 1338.414 100.733 1 18944944
2021-02-25 01:35:04.294000 6.698 7.55765 Clear 0 1338.525 100.747 1 18944944
2021-02-25 01:35:04.394000 6.664 7.52418 Clear 0 1338.636 100.76 1 18944944
2021-02-25 01:35:04.494000 6.742 7.60252 Clear 0 1338.748 100.774 1 18944944
2021-02-25 01:35:04.594000 6.71 7.57138 Clear 0 1338.86 100.788 1 18944944
2021-02-25 01:35:04.694000 6.611 7.47273 Clear 0 1338.973 100.802 1 18944944
2021-02-25 01:35:04.794000 6.624 7.48562 Clear 0 1339.085 100.815 1 18944944
2021-02-25 01:35:04.894000 6.616 7.47936 Clear 0 1339.198 100.829 1 18944944
2021-02-25 01:35:04.994000 6.679 7.54196 Clear 0 1339.312 100.843 1 18944944
2021-02-25 01:35:05.094000 6.692 7.55549 Clear 0 1339.425 100.857 1 18944944
2021-02-25 01:35:05.194000 6.626 7.48968 Clear 0 1339.539 100.87 1 18944944
2021-02-25 01:35:05.294000 6.691 7.55592 Clear 0 1339.654 100.884 1 18944944
2021-02-25 01:35:05.394000 6.643 7.50834 Clear 0 1339.768 100.898 1 18944944
2021-02-25 01:35:05.494000 6.698 7.56395 Clear 0 1339.883 100.912 1 18944944
2021-02-25 01:35:05.594000 6.706 7.57226 Clear 0 1339.998 100.925 1 18944944
2021-02-25 01:35:05.694000 6.743 7.61044 Clear 0 1340.113 100.939 1 18944944
2021-02-25 01:35:05.794000 6.64 7.50669 Clear 0 1340.229 100.953 1 18944944
2021-02-25 01:35:05.894000 6.644 7.51145 Clear 0 1340.345 100.966 1 18944944
