# satellite: 2422 THOR BURNER 2 R/B / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 37317
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-08-14 18:05:21.488000 6.891 6.29794 Clear 0 962.496 52.865 4 1429752
2014-08-14 18:05:21.588000 7.118 6.52392 Clear 0 962.343 52.83 4 1429752
2014-08-14 18:05:21.688000 6.878 6.28253 Clear 0 962.191 52.795 4 1429752
2014-08-14 18:05:21.788000 7.001 6.40589 Clear 0 962.04 52.76 4 1429752
2014-08-14 18:05:21.888000 6.911 6.31533 Clear 0 961.889 52.725 4 1429752
2014-08-14 18:05:21.988000 7.035 6.43809 Clear 0 961.738 52.69 4 1429752
2014-08-14 18:05:22.088000 6.864 6.2669 Clear 0 961.588 52.655 4 1429752
2014-08-14 18:05:22.188000 6.98 6.38208 Clear 0 961.439 52.619 4 1429752
2014-08-14 18:05:22.288000 7.01 6.41144 Clear 0 961.29 52.584 4 1429752
2014-08-14 18:05:22.388000 6.972 6.37321 Clear 0 961.141 52.549 4 1429752
2014-08-14 18:05:22.488000 7.041 6.44095 Clear 0 960.993 52.514 4 1429752
2014-08-14 18:05:22.588000 7.021 6.4198 Clear 0 960.846 52.479 4 1429752
2014-08-14 18:05:22.688000 6.982 6.38054 Clear 0 960.698 52.444 4 1429752
2014-08-14 18:05:22.788000 6.988 6.38642 Clear 0 960.552 52.409 4 1429752
2014-08-14 18:05:22.888000 6.993 6.38967 Clear 0 960.406 52.374 4 1429752
2014-08-14 18:05:23.088000 7.06 6.45587 Clear 0 960.115 52.304 4 1429752
2014-08-14 18:05:23.188000 6.908 6.30332 Clear 0 959.971 52.269 4 1429752
2014-08-14 18:05:23.288000 6.924 6.3185 Clear 0 959.827 52.234 4 1429752
2014-08-14 18:05:23.388000 6.934 6.32793 Clear 0 959.683 52.199 4 1429752
2014-08-14 18:05:23.488000 6.975 6.36874 Clear 0 959.54 52.164 4 1429752
2014-08-14 18:05:23.588000 6.98 6.37338 Clear 0 959.398 52.129 4 1429752
2014-08-14 18:05:23.688000 6.971 6.3631 Clear 0 959.256 52.094 4 1429752
2014-08-14 18:05:23.788000 6.958 6.35031 Clear 0 959.114 52.059 4 1429752
2014-08-14 18:05:23.888000 6.926 6.31678 Clear 0 958.973 52.024 4 1429752
2014-08-14 18:05:23.988000 7.102 6.49169 Clear 0 958.833 51.989 4 1429752
2014-08-14 18:05:24.088000 7.064 6.45426 Clear 0 958.693 51.954 4 1429752
2014-08-14 18:05:24.188000 6.968 6.35676 Clear 0 958.553 51.919 4 1429752
2014-08-14 18:05:24.288000 6.973 6.36053 Clear 0 958.414 51.883 4 1429752
2014-08-14 18:05:24.388000 6.979 6.3674 Clear 0 958.276 51.848 4 1429752
