# satellite: 37390 PSLV R/B / IND
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 38223
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-20 19:14:30.857000 5.237 5.08033 Clear 0 1079.266 69.567 8 513434
2014-06-20 19:14:30.957000 5.206 5.04845 Clear 0 1079.031 69.6 8 513434
2014-06-20 19:14:31.057000 5.211 5.05387 Clear 0 1078.796 69.633 8 513434
2014-06-20 19:14:31.157000 5.233 5.07642 Clear 0 1078.562 69.666 8 513434
2014-06-20 19:14:31.257000 5.26 5.10313 Clear 0 1078.328 69.699 8 513434
2014-06-20 19:14:31.357000 5.303 5.14591 Clear 0 1078.094 69.732 8 513434
2014-06-20 19:14:31.457000 5.225 5.06751 Clear 0 1077.861 69.764 8 513434
2014-06-20 19:14:31.557000 5.136 4.97897 Clear 0 1077.628 69.797 8 513434
2014-06-20 19:14:31.657000 5.137 4.97965 Clear 0 1077.395 69.83 8 513434
2014-06-20 19:14:31.757000 5.265 5.10783 Clear 0 1077.163 69.863 8 513434
2014-06-20 19:14:31.857000 5.081 4.92365 Clear 0 1076.932 69.896 8 513434
2014-06-20 19:14:31.957000 5.13 4.97279 Clear 0 1076.701 69.929 8 513434
2014-06-20 19:14:32.057000 5.235 5.07817 Clear 0 1076.47 69.962 8 513434
2014-06-20 19:14:32.157000 5.213 5.05624 Clear 0 1076.239 69.995 8 513434
2014-06-20 19:14:32.257000 5.17 5.01309 Clear 0 1076.009 70.028 8 513434
2014-06-20 19:14:32.357000 5.146 4.98944 Clear 0 1075.78 70.061 8 513434
2014-06-20 19:14:32.457000 5.131 4.97393 Clear 0 1075.551 70.094 8 513434
2014-06-20 19:14:32.557000 5.144 4.98691 Clear 0 1075.322 70.127 8 513434
2014-06-20 19:14:32.657000 5.241 5.08361 Clear 0 1075.094 70.16 8 513434
2014-06-20 19:14:32.757000 5.249 5.09185 Clear 0 1074.866 70.193 8 513434
2014-06-20 19:14:32.857000 5.229 5.07109 Clear 0 1074.638 70.226 8 513434
2014-06-20 19:14:32.957000 5.085 4.92698 Clear 0 1074.411 70.259 8 513434
2014-06-20 19:14:33.057000 5.135 4.97729 Clear 0 1074.184 70.293 8 513434
2014-06-20 19:14:33.157000 5.177 5.01927 Clear 0 1073.958 70.326 8 513434
2014-06-20 19:14:33.257000 5.174 5.01636 Clear 0 1073.732 70.359 8 513434
2014-06-20 19:14:33.357000 5.205 5.04708 Clear 0 1073.507 70.392 8 513434
2014-06-20 19:14:33.457000 5.215 5.05679 Clear 0 1073.282 70.425 8 513434
2014-06-20 19:14:33.557000 5.137 4.97888 Clear 0 1073.057 70.458 8 513434
2014-06-20 19:14:33.657000 5.17 5.01227 Clear 0 1072.833 70.492 8 513434
2014-06-20 19:14:33.757000 5.09 4.93185 Clear 0 1072.609 70.525 8 513434
2014-06-20 19:14:33.857000 5.156 4.99837 Clear 0 1072.386 70.558 8 513434
2014-06-20 19:14:33.957000 5.079 4.92054 Clear 0 1072.163 70.591 8 513434
2014-06-20 19:14:34.057000 5.128 4.97003 Clear 0 1071.941 70.625 8 513434
2014-06-20 19:14:34.157000 5.14 4.98189 Clear 0 1071.718 70.658 8 513434
2014-06-20 19:14:34.257000 5.129 4.97075 Clear 0 1071.497 70.691 8 513434
2014-06-20 19:14:34.357000 5.184 5.02615 Clear 0 1071.276 70.725 8 513434
2014-06-20 19:14:34.457000 5.194 5.03598 Clear 0 1071.055 70.758 8 513434
2014-06-20 19:14:34.557000 5.154 4.99576 Clear 0 1070.834 70.791 8 513434
2014-06-20 19:14:34.657000 5.105 4.9466 Clear 0 1070.614 70.825 8 513434
2014-06-20 19:14:34.757000 5.067 4.90935 Clear 0 1070.395 70.858 8 513434
2014-06-20 19:14:34.857000 5.25 5.09234 Clear 0 1070.175 70.892 8 513434
2014-06-20 19:14:34.957000 5.221 5.06263 Clear 0 1069.957 70.925 8 513434
2014-06-20 19:14:35.057000 5.072 4.91389 Clear 0 1069.738 70.959 8 513434
2014-06-20 19:14:35.157000 5.144 4.98593 Clear 0 1069.52 70.992 8 513434
2014-06-20 19:14:35.257000 5.279 5.12133 Clear 0 1069.303 71.026 8 513434
2014-06-20 19:14:35.357000 5.075 4.91729 Clear 0 1069.086 71.059 8 513434
2014-06-20 19:14:35.457000 5.194 5.03624 Clear 0 1068.869 71.093 8 513434
2014-06-20 19:14:35.557000 5.167 5.00852 Clear 0 1068.653 71.126 8 513434
2014-06-20 19:14:35.657000 5.271 5.11288 Clear 0 1068.437 71.16 8 513434
2014-06-20 19:14:35.757000 5.177 5.01871 Clear 0 1068.222 71.193 8 513434
2014-06-20 19:14:35.857000 5.145 4.9875 Clear 0 1068.007 71.227 8 513434
2014-06-20 19:14:35.957000 5.176 5.01904 Clear 0 1067.792 71.26 8 513434
2014-06-20 19:14:36.057000 5.182 5.02495 Clear 0 1067.578 71.294 8 513434
2014-06-20 19:14:36.157000 5.086 4.92935 Clear 0 1067.364 71.328 8 513434
2014-06-20 19:14:36.257000 5.152 4.99529 Clear 0 1067.151 71.361 8 513434
2014-06-20 19:14:36.357000 5.129 4.97165 Clear 0 1066.938 71.395 8 513434
2014-06-20 19:14:36.457000 5.13 4.97306 Clear 0 1066.726 71.429 8 513434
2014-06-20 19:14:36.557000 5.193 5.03618 Clear 0 1066.514 71.462 8 513434
2014-06-20 19:14:36.657000 5.064 4.90728 Clear 0 1066.302 71.496 8 513434
2014-06-20 19:14:36.757000 5.232 5.07544 Clear 0 1066.091 71.53 8 513434
2014-06-20 19:14:36.857000 5.099 4.94171 Clear 0 1065.88 71.563 8 513434
2014-06-20 19:14:36.957000 5.25 5.09283 Clear 0 1065.67 71.597 8 513434
2014-06-20 19:14:37.057000 5.262 5.10502 Clear 0 1065.46 71.631 8 513434
2014-06-20 19:14:37.157000 5.196 5.03893 Clear 0 1065.25 71.665 8 513434
2014-06-20 19:14:37.257000 5.142 4.98522 Clear 0 1065.041 71.699 8 513434
2014-06-20 19:14:37.357000 5.182 5.02498 Clear 0 1064.832 71.732 8 513434
2014-06-20 19:14:37.457000 5.099 4.94145 Clear 0 1064.624 71.766 8 513434
2014-06-20 19:14:37.557000 5.19 5.0327 Clear 0 1064.416 71.8 8 513434
2014-06-20 19:14:37.657000 5.208 5.05098 Clear 0 1064.209 71.834 8 513434
2014-06-20 19:14:37.757000 5.201 5.04389 Clear 0 1064.002 71.868 8 513434
2014-06-20 19:14:37.857000 5.069 4.91149 Clear 0 1063.796 71.902 8 513434
2014-06-20 19:14:37.957000 5.102 4.94506 Clear 0 1063.59 71.936 8 513434
2014-06-20 19:14:38.057000 5.087 4.93043 Clear 0 1063.384 71.97 8 513434
2014-06-20 19:14:38.157000 5.049 4.89157 Clear 0 1063.179 72.004 8 513434
2014-06-20 19:14:38.257000 5.044 4.88739 Clear 0 1062.974 72.037 8 513434
