# satellite: 27684 ARIANE 44L R/B / FR
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 8587
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-10-07 16:26:32.285000 4.333 8.77108 Clear 0 9018.776 68.392 7 2752286
2014-10-07 16:26:32.385000 4.254 8.69226 Clear 0 9018.433 68.39 7 2752286
2014-10-07 16:26:32.485000 4.18 8.61745 Clear 0 9018.09 68.387 7 2752286
2014-10-07 16:26:32.585000 4.522 8.96012 Clear 0 9017.747 68.384 7 2752286
2014-10-07 16:26:32.685000 4.145 8.58168 Clear 0 9017.404 68.382 7 2752286
2014-10-07 16:26:32.785000 3.97 8.40717 Clear 0 9017.061 68.379 7 2752286
2014-10-07 16:26:32.885000 3.961 8.39752 Clear 0 9016.718 68.376 7 2752286
2014-10-07 16:26:32.985000 4.343 8.78004 Clear 0 9016.375 68.374 7 2752286
2014-10-07 16:26:33.385000 4.174 8.61076 Clear 0 9015.004 68.363 7 2752286
2014-10-07 16:26:33.485000 4.532 8.96813 Clear 0 9014.661 68.36 7 2752286
2014-10-07 16:26:33.885000 3.879 8.31508 Clear 0 9013.29 68.349 7 2752286
2014-10-07 16:26:34.085000 4.345 8.78108 Clear 0 9012.604 68.344 7 2752286
2014-10-07 16:26:34.285000 3.932 8.36835 Clear 0 9011.919 68.339 7 2752286
2014-10-07 16:26:34.685000 4.24 8.67452 Clear 0 9010.548 68.328 7 2752286
2014-10-07 16:26:34.885000 4.517 8.95238 Clear 0 9009.862 68.323 7 2752286
2014-10-07 16:26:35.085000 4.502 8.93706 Clear 0 9009.177 68.317 7 2752286
2014-10-07 16:26:35.185000 4.237 8.67216 Clear 0 9008.834 68.315 7 2752286
2014-10-07 16:26:35.285000 4.71 9.14376 Clear 0 9008.491 68.312 7 2752286
2014-10-07 16:26:35.385000 4.467 8.90122 Clear 0 9008.149 68.309 7 2752286
2014-10-07 16:26:35.485000 4.077 8.51065 Clear 0 9007.806 68.307 7 2752286
2014-10-07 16:26:35.585000 4.313 8.74662 Clear 0 9007.463 68.304 7 2752286
2014-10-07 16:26:35.785000 4.285 8.71894 Clear 0 9006.778 68.298 7 2752286
2014-10-07 16:26:35.885000 4.66 9.09381 Clear 0 9006.435 68.296 7 2752286
2014-10-07 16:26:36.085000 4.269 8.70237 Clear 0 9005.75 68.29 7 2752286
2014-10-07 16:26:36.285000 4.236 8.66856 Clear 0 9005.065 68.285 7 2752286
2014-10-07 16:26:36.585000 4.278 8.71127 Clear 0 9004.037 68.277 7 2752286
2014-10-07 16:26:36.685000 4.171 8.60397 Clear 0 9003.695 68.274 7 2752286
2014-10-07 16:26:36.785000 4.7 9.13291 Clear 0 9003.352 68.272 7 2752286
2014-10-07 16:26:36.885000 4.593 9.02545 Clear 0 9003.009 68.269 7 2752286
2014-10-07 16:26:37.451000 4.547 8.97869 Clear 0 9001.071 68.254 7 2752286
2014-10-07 16:26:37.551000 4.054 8.48582 Clear 0 9000.728 68.251 7 2752286
2014-10-07 16:26:37.651000 4.26 8.69178 Clear 0 9000.386 68.248 7 2752286
2014-10-07 16:26:38.051000 4.231 8.66202 Clear 0 8999.016 68.238 7 2752286
2014-10-07 16:26:38.151000 4.614 9.04451 Clear 0 8998.673 68.235 7 2752286
2014-10-07 16:26:38.251000 4.278 8.70883 Clear 0 8998.331 68.232 7 2752286
2014-10-07 16:26:38.551000 3.816 8.24691 Clear 0 8997.303 68.224 7 2752286
2014-10-07 16:26:38.851000 4.769 9.19943 Clear 0 8996.276 68.216 7 2752286
2014-10-07 16:26:38.951000 4.304 8.73427 Clear 0 8995.934 68.213 7 2752286
2014-10-07 16:26:39.051000 4.479 8.90919 Clear 0 8995.591 68.211 7 2752286
2014-10-07 16:26:39.251000 3.711 8.14118 Clear 0 8994.907 68.205 7 2752286
2014-10-07 16:26:39.451000 4.764 9.19409 Clear 0 8994.222 68.2 7 2752286
2014-10-07 16:26:39.551000 4.472 8.90064 Clear 0 8993.88 68.197 7 2752286
2014-10-07 16:26:39.751000 4.125 8.55411 Clear 0 8993.195 68.192 7 2752286
2014-10-07 16:26:39.951000 4.141 8.56982 Clear 0 8992.51 68.187 7 2752286
2014-10-07 16:26:40.051000 4.416 8.8447 Clear 0 8992.168 68.184 7 2752286
2014-10-07 16:26:40.251000 4.735 9.16402 Clear 0 8991.483 68.178 7 2752286
2014-10-07 16:26:40.551000 4.099 8.52674 Clear 0 8990.457 68.17 7 2752286
2014-10-07 16:26:40.851000 4.141 8.56924 Clear 0 8989.43 68.162 7 2752286
2014-10-07 16:26:40.951000 4.669 9.09725 Clear 0 8989.088 68.16 7 2752286
2014-10-07 16:26:41.051000 3.915 8.34333 Clear 0 8988.745 68.157 7 2752286
2014-10-07 16:26:41.151000 4.485 8.91298 Clear 0 8988.403 68.154 7 2752286
2014-10-07 16:26:41.251000 4.286 8.71249 Clear 0 8988.061 68.152 7 2752286
2014-10-07 16:26:41.551000 4.193 8.62037 Clear 0 8987.034 68.144 7 2752286
2014-10-07 16:26:41.651000 4.168 8.59518 Clear 0 8986.692 68.141 7 2752286
2014-10-07 16:26:41.851000 3.73 8.15654 Clear 0 8986.008 68.135 7 2752286
2014-10-07 16:26:41.951000 4.462 8.88849 Clear 0 8985.666 68.133 7 2752286
2014-10-07 16:26:42.051000 4.338 8.76422 Clear 0 8985.324 68.13 7 2752286
2014-10-07 16:26:42.151000 4.029 8.45538 Clear 0 8984.981 68.127 7 2752286
2014-10-07 16:26:42.251000 4.41 8.83641 Clear 0 8984.639 68.125 7 2752286
2014-10-07 16:26:42.351000 3.941 8.36686 Clear 0 8984.297 68.122 7 2752286
2014-10-07 16:26:42.451000 4.374 8.79953 Clear 0 8983.955 68.119 7 2752286
2014-10-07 16:26:42.751000 4.437 8.863 Clear 0 8982.929 68.111 7 2752286
2014-10-07 16:26:42.951000 4.419 8.84375 Clear 0 8982.245 68.106 7 2752286
2014-10-07 16:26:43.151000 3.757 8.18201 Clear 0 8981.561 68.1 7 2752286
2014-10-07 16:26:43.351000 4.52 8.94487 Clear 0 8980.876 68.095 7 2752286
2014-10-07 16:26:43.451000 4.547 8.97239 Clear 0 8980.534 68.092 7 2752286
2014-10-07 16:26:43.651000 4.595 9.02004 Clear 0 8979.85 68.087 7 2752286
2014-10-07 16:26:43.751000 4.311 8.73496 Clear 0 8979.508 68.084 7 2752286
2014-10-07 16:26:43.851000 3.522 7.94554 Clear 0 8979.166 68.082 7 2752286
2014-10-07 16:26:43.951000 3.872 8.29547 Clear 0 8978.824 68.079 7 2752286
2014-10-07 16:26:44.051000 3.976 8.40002 Clear 0 8978.482 68.076 7 2752286
2014-10-07 16:26:44.251000 3.804 8.2284 Clear 0 8977.799 68.071 7 2752286
2014-10-07 16:26:44.351000 3.871 8.2949 Clear 0 8977.457 68.068 7 2752286
2014-10-07 16:26:44.651000 3.997 8.42024 Clear 0 8976.431 68.06 7 2752286
2014-10-07 16:26:44.951000 4.171 8.59428 Clear 0 8975.405 68.052 7 2752286
2014-10-07 16:26:45.251000 4.554 8.97709 Clear 0 8974.379 68.044 7 2752286
2014-10-07 16:26:45.451000 4.488 8.90977 Clear 0 8973.696 68.038 7 2752286
2014-10-07 16:26:45.651000 4.264 8.68557 Clear 0 8973.012 68.033 7 2752286
2014-10-07 16:26:45.751000 4.298 8.72004 Clear 0 8972.67 68.03 7 2752286
2014-10-07 16:26:45.851000 4.212 8.6335 Clear 0 8972.328 68.028 7 2752286
2014-10-07 16:26:46.051000 3.616 8.03812 Clear 0 8971.645 68.022 7 2752286
2014-10-07 16:26:46.151000 3.917 8.33894 Clear 0 8971.303 68.019 7 2752286
2014-10-07 16:26:46.251000 4.377 8.79935 Clear 0 8970.961 68.017 7 2752286
2014-10-07 16:26:46.351000 4.041 8.46185 Clear 0 8970.619 68.014 7 2752286
2014-10-07 16:26:46.451000 4.211 8.63241 Clear 0 8970.277 68.011 7 2752286
2014-10-07 16:26:46.551000 3.928 8.34905 Clear 0 8969.936 68.009 7 2752286
2014-10-07 16:26:46.651000 3.742 8.16315 Clear 0 8969.594 68.006 7 2752286
2014-10-07 16:26:47.051000 4.473 8.89362 Clear 0 8968.227 67.995 7 2752286
2014-10-07 16:26:47.151000 3.798 8.21746 Clear 0 8967.885 67.992 7 2752286
2014-10-07 16:26:47.651000 4.092 8.51164 Clear 0 8966.177 67.979 7 2752286
2014-10-07 16:26:47.951000 4.443 8.86339 Clear 0 8965.152 67.971 7 2752286
2014-10-07 16:26:48.051000 4.279 8.69836 Clear 0 8964.81 67.968 7 2752286
2014-10-07 16:26:48.151000 4.122 8.54048 Clear 0 8964.468 67.965 7 2752286
2014-10-07 16:26:48.351000 4.381 8.80044 Clear 0 8963.785 67.96 7 2752286
2014-10-07 16:26:48.451000 4.181 8.59999 Clear 0 8963.444 67.957 7 2752286
2014-10-07 16:26:48.651000 4.427 8.8464 Clear 0 8962.76 67.952 7 2752286
2014-10-07 16:26:48.751000 4.12 8.5392 Clear 0 8962.419 67.949 7 2752286
2014-10-07 16:26:48.851000 4.085 8.50251 Clear 0 8962.077 67.946 7 2752286
2014-10-07 16:26:48.951000 4.032 8.44972 Clear 0 8961.736 67.944 7 2752286
2014-10-07 16:26:49.151000 4.092 8.50983 Clear 0 8961.053 67.938 7 2752286
2014-10-07 16:26:49.251000 3.699 8.1174 Clear 0 8960.711 67.936 7 2752286
2014-10-07 16:26:49.451000 4.322 8.73993 Clear 0 8960.028 67.93 7 2752286
2014-10-07 16:26:49.651000 4.061 8.47869 Clear 0 8959.345 67.925 7 2752286
2014-10-07 16:26:49.751000 4.145 8.56209 Clear 0 8959.003 67.922 7 2752286
2014-10-07 16:26:49.851000 4.264 8.68133 Clear 0 8958.662 67.919 7 2752286
2014-10-07 16:26:49.951000 3.993 8.41028 Clear 0 8958.32 67.917 7 2752286
2014-10-07 16:26:50.151000 4.398 8.81447 Clear 0 8957.637 67.911 7 2752286
2014-10-07 16:26:50.451000 4.174 8.5906 Clear 0 8956.613 67.903 7 2752286
2014-10-07 16:26:50.551000 3.529 7.94519 Clear 0 8956.272 67.9 7 2752286
2014-10-07 16:26:50.651000 4.244 8.66039 Clear 0 8955.93 67.898 7 2752286
2014-10-07 16:26:50.751000 3.775 8.19045 Clear 0 8955.589 67.895 7 2752286
2014-10-07 16:26:50.851000 3.771 8.18663 Clear 0 8955.247 67.892 7 2752286
2014-10-07 16:26:50.951000 3.944 8.35977 Clear 0 8954.906 67.89 7 2752286
2014-10-07 16:26:51.051000 3.992 8.40787 Clear 0 8954.565 67.887 7 2752286
2014-10-07 16:26:51.251000 3.775 8.19128 Clear 0 8953.882 67.882 7 2752286
2014-10-07 16:26:51.451000 4.358 8.77286 Clear 0 8953.199 67.876 7 2752286
2014-10-07 16:26:51.551000 4.099 8.51412 Clear 0 8952.858 67.873 7 2752286
2014-10-07 16:26:51.651000 4.51 8.9249 Clear 0 8952.516 67.871 7 2752286
2014-10-07 16:26:51.751000 4.039 8.45413 Clear 0 8952.175 67.868 7 2752286
