# satellite: 1739 SCOUT X-4 R/B / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 30090
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-20 21:15:59.938000 7.636 7.01581 Clear 0 824.359 78.128 6 519168
2014-06-20 21:16:00.038000 7.614 6.99453 Clear 0 824.632 78.17 6 519168
2014-06-20 21:16:00.138000 7.413 6.79626 Clear 0 824.906 78.212 6 519168
2014-06-20 21:16:00.238000 7.458 6.84226 Clear 0 825.18 78.253 6 519168
2014-06-20 21:16:00.338000 7.642 7.0269 Clear 0 825.454 78.295 6 519168
2014-06-20 21:16:00.438000 7.55 6.93701 Clear 0 825.729 78.337 6 519168
2014-06-20 21:16:00.538000 7.466 6.85407 Clear 0 826.004 78.378 6 519168
2014-06-20 21:16:00.638000 7.613 7.00294 Clear 0 826.28 78.42 6 519168
2014-06-20 21:16:00.738000 7.689 7.07954 Clear 0 826.556 78.462 6 519168
2014-06-20 21:16:00.838000 7.432 6.8237 Clear 0 826.833 78.503 6 519168
2014-06-20 21:16:00.938000 7.352 6.74611 Clear 0 827.11 78.545 6 519168
2014-06-20 21:16:01.038000 7.509 6.90373 Clear 0 827.388 78.586 6 519168
2014-06-20 21:16:01.138000 7.148 6.54435 Clear 0 827.666 78.628 6 519168
2014-06-20 21:16:01.238000 7.355 6.75264 Clear 0 827.945 78.669 6 519168
2014-06-20 21:16:01.338000 7.177 6.57618 Clear 0 828.224 78.711 6 519168
2014-06-20 21:16:01.438000 7.307 6.70813 Clear 0 828.503 78.752 6 519168
2014-06-20 21:16:01.538000 7.025 6.42683 Clear 0 828.784 78.794 6 519168
2014-06-20 21:16:01.638000 7.181 6.58436 Clear 0 829.064 78.835 6 519168
2014-06-20 21:16:01.738000 7.517 6.92244 Clear 0 829.345 78.876 6 519168
2014-06-20 21:16:01.838000 7.488 6.89388 Clear 0 829.627 78.918 6 519168
2014-06-20 21:16:01.938000 7.313 6.72021 Clear 0 829.909 78.959 6 519168
2014-06-20 21:16:02.038000 7.195 6.60423 Clear 0 830.191 79.0 6 519168
2014-06-20 21:16:02.138000 7.353 6.76339 Clear 0 830.474 79.041 6 519168
2014-06-20 21:16:02.238000 7.441 6.85269 Clear 0 830.758 79.083 6 519168
2014-06-20 21:16:02.338000 7.519 6.93147 Clear 0 831.042 79.124 6 519168
2014-06-20 21:16:02.438000 7.295 6.7093 Clear 0 831.326 79.165 6 519168
2014-06-20 21:16:02.538000 7.136 6.55227 Clear 0 831.611 79.206 6 519168
2014-06-20 21:16:02.638000 7.006 6.42291 Clear 0 831.896 79.247 6 519168
2014-06-20 21:16:02.738000 7.094 6.51311 Clear 0 832.182 79.288 6 519168
2014-06-20 21:16:02.838000 7.539 6.95921 Clear 0 832.468 79.33 6 519168
2014-06-20 21:16:02.938000 7.259 6.68026 Clear 0 832.755 79.371 6 519168
2014-06-20 21:16:03.038000 7.262 6.68466 Clear 0 833.042 79.412 6 519168
2014-06-20 21:16:03.138000 7.249 6.67295 Clear 0 833.33 79.453 6 519168
2014-06-20 21:16:03.238000 7.442 6.86796 Clear 0 833.618 79.494 6 519168
2014-06-20 21:16:03.338000 7.506 6.93342 Clear 0 833.906 79.535 6 519168
2014-06-20 21:16:03.438000 7.299 6.72647 Clear 0 834.195 79.575 6 519168
2014-06-20 21:16:03.538000 7.34 6.76945 Clear 0 834.485 79.616 6 519168
2014-06-20 21:16:03.638000 7.414 6.845 Clear 0 834.775 79.657 6 519168
2014-06-20 21:16:03.738000 7.362 6.79519 Clear 0 835.065 79.698 6 519168
2014-06-20 21:16:03.838000 7.543 6.97696 Clear 0 835.356 79.739 6 519168
2014-06-20 21:16:03.938000 7.098 6.53287 Clear 0 835.648 79.78 6 519168
2014-06-20 21:16:04.038000 7.413 6.84946 Clear 0 835.94 79.82 6 519168
2014-06-20 21:16:04.138000 7.407 6.84481 Clear 0 836.232 79.861 6 519168
2014-06-20 21:16:04.238000 7.241 6.68092 Clear 0 836.525 79.902 6 519168
2014-06-20 21:16:04.338000 7.4 6.84061 Clear 0 836.818 79.943 6 519168
2014-06-20 21:16:04.438000 7.309 6.75122 Clear 0 837.112 79.983 6 519168
2014-06-20 21:16:04.538000 6.975 6.41944 Clear 0 837.406 80.024 6 519168
2014-06-20 21:16:04.638000 7.09 6.53529 Clear 0 837.701 80.065 6 519168
2014-06-20 21:16:04.738000 7.27 6.71667 Clear 0 837.996 80.105 6 519168
2014-06-20 21:16:04.838000 7.529 6.97675 Clear 0 838.291 80.146 6 519168
2014-06-20 21:16:04.938000 7.292 6.74079 Clear 0 838.587 80.186 6 519168
2014-06-20 21:16:05.038000 7.33 6.78112 Clear 0 838.884 80.227 6 519168
2014-06-20 21:16:05.138000 7.294 6.74636 Clear 0 839.181 80.267 6 519168
2014-06-20 21:16:05.238000 7.326 6.78007 Clear 0 839.478 80.308 6 519168
2014-06-20 21:16:05.338000 7.244 6.6989 Clear 0 839.776 80.348 6 519168
2014-06-20 21:16:05.438000 7.402 6.85943 Clear 0 840.074 80.388 6 519168
2014-06-20 21:16:05.538000 7.5 6.95814 Clear 0 840.373 80.429 6 519168
2014-06-20 21:16:05.638000 7.306 6.76472 Clear 0 840.672 80.469 6 519168
2014-06-20 21:16:05.738000 7.292 6.7527 Clear 0 840.972 80.51 6 519168
2014-06-20 21:16:05.838000 7.319 6.78056 Clear 0 841.272 80.55 6 519168
2014-06-20 21:16:05.938000 7.284 6.7484 Clear 0 841.573 80.59 6 519168
2014-06-20 21:16:06.038000 7.383 6.84751 Clear 0 841.874 80.63 6 519168
2014-06-20 21:16:06.138000 7.139 6.60463 Clear 0 842.175 80.671 6 519168
2014-06-20 21:16:06.238000 7.393 6.86108 Clear 0 842.477 80.711 6 519168
2014-06-20 21:16:06.338000 7.235 6.7039 Clear 0 842.78 80.751 6 519168
2014-06-20 21:16:06.438000 7.012 6.48322 Clear 0 843.083 80.791 6 519168
2014-06-20 21:16:06.538000 7.275 6.74715 Clear 0 843.386 80.831 6 519168
2014-06-20 21:16:06.638000 7.266 6.73955 Clear 0 843.69 80.871 6 519168
2014-06-20 21:16:06.738000 7.412 6.88721 Clear 0 843.994 80.911 6 519168
2014-06-20 21:16:06.838000 7.616 7.09183 Clear 0 844.299 80.951 6 519168
2014-06-20 21:16:06.938000 7.25 6.72808 Clear 0 844.604 80.991 6 519168
2014-06-20 21:16:07.038000 7.088 6.56676 Clear 0 844.909 81.031 6 519168
2014-06-20 21:16:07.138000 7.257 6.73771 Clear 0 845.215 81.071 6 519168
2014-06-20 21:16:07.238000 7.464 6.94615 Clear 0 845.522 81.111 6 519168
2014-06-20 21:16:07.338000 6.966 6.44978 Clear 0 845.829 81.151 6 519168
2014-06-20 21:16:07.438000 6.977 6.46197 Clear 0 846.136 81.191 6 519168
2014-06-20 21:16:07.538000 7.161 6.64824 Clear 0 846.444 81.231 6 519168
2014-06-20 21:16:07.638000 7.18 6.66768 Clear 0 846.752 81.271 6 519168
2014-06-20 21:16:07.738000 7.167 6.65639 Clear 0 847.061 81.31 6 519168
2014-06-20 21:16:07.838000 7.577 7.0679 Clear 0 847.37 81.35 6 519168
