# satellite: 22176 DELTA 2 R/B(1) / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 39427
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-12-03 15:27:01.500000 4.397 7.65191 Clear 0 4056.934 100.203 7 4886822
2014-12-03 15:27:01.800000 4.438 7.69298 Clear 0 4056.62 100.18 7 4886822
2014-12-03 15:27:01.900000 4.2 7.45397 Clear 0 4056.516 100.172 7 4886822
2014-12-03 15:27:02.100000 4.357 7.61072 Clear 0 4056.307 100.157 7 4886822
2014-12-03 15:27:02.200000 4.423 7.67727 Clear 0 4056.203 100.149 7 4886822
2014-12-03 15:27:02.300000 4.397 7.65032 Clear 0 4056.099 100.141 7 4886822
2014-12-03 15:27:02.400000 4.368 7.62111 Clear 0 4055.994 100.133 7 4886822
2014-12-03 15:27:02.500000 4.415 7.66841 Clear 0 4055.89 100.126 7 4886822
2014-12-03 15:27:02.600000 4.418 7.67101 Clear 0 4055.786 100.118 7 4886822
2014-12-03 15:27:02.700000 4.053 7.3047 Clear 0 4055.682 100.11 7 4886822
2014-12-03 15:27:02.800000 4.317 7.56858 Clear 0 4055.578 100.102 7 4886822
2014-12-03 15:27:02.900000 4.185 7.437 Clear 0 4055.474 100.095 7 4886822
2014-12-03 15:27:03 4.295 7.54657 Clear 0 4055.37 100.087 7 4886822
2014-12-03 15:27:03.100000 4.415 7.66679 Clear 0 4055.266 100.079 7 4886822
2014-12-03 15:27:03.200000 4.343 7.59433 Clear 0 4055.162 100.071 7 4886822
2014-12-03 15:27:03.300000 4.139 7.39029 Clear 0 4055.059 100.064 7 4886822
2014-12-03 15:27:03.400000 4.23 7.48129 Clear 0 4054.955 100.056 7 4886822
2014-12-03 15:27:03.500000 4.192 7.44288 Clear 0 4054.851 100.048 7 4886822
2014-12-03 15:27:03.600000 4.411 7.66116 Clear 0 4054.748 100.04 7 4886822
2014-12-03 15:27:03.700000 4.65 7.89959 Clear 0 4054.644 100.033 7 4886822
2014-12-03 15:27:03.800000 4.504 7.75429 Clear 0 4054.54 100.025 7 4886822
2014-12-03 15:27:03.900000 4.199 7.44911 Clear 0 4054.437 100.017 7 4886822
2014-12-03 15:27:04 4.038 7.28657 Clear 0 4054.333 100.009 7 4886822
2014-12-03 15:27:04.100000 4.019 7.26751 Clear 0 4054.23 100.002 7 4886822
2014-12-03 15:27:04.200000 4.231 7.48032 Clear 0 4054.127 99.994 7 4886822
2014-12-03 15:27:04.300000 4.285 7.53377 Clear 0 4054.023 99.986 7 4886822
2014-12-03 15:27:04.400000 4.23 7.47858 Clear 0 4053.92 99.978 7 4886822
2014-12-03 15:27:04.500000 4.361 7.60892 Clear 0 4053.817 99.971 7 4886822
2014-12-03 15:27:04.600000 4.585 7.83269 Clear 0 4053.713 99.963 7 4886822
2014-12-03 15:27:04.700000 4.185 7.43329 Clear 0 4053.61 99.955 7 4886822
2014-12-03 15:27:04.800000 4.309 7.55661 Clear 0 4053.507 99.947 7 4886822
2014-12-03 15:27:04.900000 4.656 7.90246 Clear 0 4053.404 99.939 7 4886822
2014-12-03 15:27:05 4.346 7.5925 Clear 0 4053.301 99.932 7 4886822
