# satellite: 32792 RUBIN 8/PSLV / GER
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 25496
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2015-01-16 03:19:22.264000 5.25 4.91004 Clear 0 844.629 91.263 9 5500991
2015-01-16 03:19:22.364000 5.043 4.70192 Clear 0 844.179 91.266 9 5500991
2015-01-16 03:19:22.464000 5.096 4.75378 Clear 0 843.729 91.269 9 5500991
2015-01-16 03:19:22.564000 5.08 4.7365 Clear 0 843.279 91.272 9 5500991
2015-01-16 03:19:22.664000 4.908 4.56345 Clear 0 842.83 91.275 9 5500991
2015-01-16 03:19:22.764000 5.162 4.8166 Clear 0 842.381 91.278 9 5500991
2015-01-16 03:19:22.864000 4.977 4.63031 Clear 0 841.932 91.28 9 5500991
2015-01-16 03:19:22.964000 5.033 4.68464 Clear 0 841.484 91.283 9 5500991
2015-01-16 03:19:23.064000 4.918 4.56872 Clear 0 841.036 91.286 9 5500991
2015-01-16 03:19:23.164000 4.999 4.64912 Clear 0 840.589 91.289 9 5500991
2015-01-16 03:19:23.264000 4.945 4.594 Clear 0 840.142 91.292 9 5500991
2015-01-16 03:19:23.364000 4.906 4.55393 Clear 0 839.695 91.295 9 5500991
2015-01-16 03:19:23.464000 4.888 4.5349 Clear 0 839.249 91.298 9 5500991
2015-01-16 03:19:23.564000 4.909 4.55464 Clear 0 838.803 91.3 9 5500991
2015-01-16 03:19:23.664000 5.008 4.65322 Clear 0 838.358 91.303 9 5500991
2015-01-16 03:19:23.764000 4.962 4.60632 Clear 0 837.913 91.306 9 5500991
2015-01-16 03:19:23.864000 4.828 4.47112 Clear 0 837.468 91.309 9 5500991
2015-01-16 03:19:23.964000 4.916 4.55661 Clear 0 837.024 91.312 9 5500991
2015-01-16 03:19:24.064000 4.962 4.60225 Clear 0 836.58 91.315 9 5500991
2015-01-16 03:19:24.164000 4.898 4.53739 Clear 0 836.137 91.318 9 5500991
2015-01-16 03:19:24.264000 4.927 4.56449 Clear 0 835.694 91.321 9 5500991
2015-01-16 03:19:24.364000 4.824 4.46142 Clear 0 835.251 91.324 9 5500991
2015-01-16 03:19:24.464000 4.979 4.61534 Clear 0 834.809 91.326 9 5500991
