# satellite: 39254 EPSILON DEB (CLPS R/B) / JPN
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 3053
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2017-08-15 18:00:55.511000 5.715 7.14355 Clear 0 2193.143 72.949 7 12539615
2017-08-15 18:00:55.611000 5.367 6.79458 Clear 0 2192.989 72.931 7 12539615
2017-08-15 18:00:55.711000 5.679 7.10672 Clear 0 2192.835 72.913 7 12539615
2017-08-15 18:00:55.811000 5.631 7.05921 Clear 0 2192.681 72.896 7 12539615
2017-08-15 18:00:55.911000 5.526 6.95326 Clear 0 2192.528 72.878 7 12539615
2017-08-15 18:00:56.011000 5.215 6.64195 Clear 0 2192.375 72.86 7 12539615
2017-08-15 18:00:56.111000 5.351 6.77727 Clear 0 2192.221 72.843 7 12539615
2017-08-15 18:00:56.211000 5.023 6.44928 Clear 0 2192.068 72.825 7 12539615
2017-08-15 18:00:56.311000 5.521 6.94713 Clear 0 2191.916 72.808 7 12539615
2017-08-15 18:00:56.411000 5.196 6.62065 Clear 0 2191.763 72.79 7 12539615
2017-08-15 18:00:56.511000 5.228 6.65267 Clear 0 2191.61 72.772 7 12539615
2017-08-15 18:00:56.611000 5.065 6.48915 Clear 0 2191.458 72.755 7 12539615
2017-08-15 18:00:56.711000 5.402 6.82558 Clear 0 2191.306 72.737 7 12539615
2017-08-15 18:00:56.811000 5.507 6.93088 Clear 0 2191.154 72.719 7 12539615
2017-08-15 18:00:56.911000 5.252 6.67462 Clear 0 2191.002 72.702 7 12539615
2017-08-15 18:00:57.011000 5.367 6.79012 Clear 0 2190.85 72.684 7 12539615
2017-08-15 18:00:57.111000 5.605 7.0266 Clear 0 2190.699 72.666 7 12539615
2017-08-15 18:00:57.211000 5.538 6.96029 Clear 0 2190.548 72.649 7 12539615
2017-08-15 18:00:57.311000 5.361 6.78287 Clear 0 2190.396 72.631 7 12539615
2017-08-15 18:00:57.511000 5.63 7.05097 Clear 0 2190.095 72.596 7 12539615
2017-08-15 18:00:57.611000 5.934 7.35426 Clear 0 2189.944 72.578 7 12539615
2017-08-15 18:00:57.711000 5.28 6.70002 Clear 0 2189.793 72.56 7 12539615
2017-08-15 18:00:57.811000 5.46 6.88013 Clear 0 2189.643 72.543 7 12539615
2017-08-15 18:00:57.911000 5.309 6.72794 Clear 0 2189.493 72.525 7 12539615
2017-08-15 18:00:58.011000 5.298 6.71732 Clear 0 2189.343 72.507 7 12539615
