# satellite: 52085 CZ-4C R/B / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 13888
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2022-03-21 02:17:01.897000 3.519 3.5509 Clear 0 1083.665 81.766 3 20177138
2022-03-21 02:17:01.997000 3.621 3.65345 Clear 0 1083.882 81.797 3 20177138
2022-03-21 02:17:02.097000 3.686 3.71997 Clear 0 1084.1 81.829 3 20177138
2022-03-21 02:17:02.197000 3.81 3.84469 Clear 0 1084.318 81.86 3 20177138
2022-03-21 02:17:02.297000 3.826 3.86219 Clear 0 1084.536 81.892 3 20177138
2022-03-21 02:17:02.397000 3.855 3.89056 Clear 0 1084.755 81.924 3 20177138
2022-03-21 02:17:02.497000 3.911 3.94749 Clear 0 1084.974 81.955 3 20177138
2022-03-21 02:17:02.597000 3.897 3.9348 Clear 0 1085.193 81.987 3 20177138
2022-03-21 02:17:02.697000 3.899 3.93826 Clear 0 1085.413 82.018 3 20177138
2022-03-21 02:17:02.797000 3.915 3.9554 Clear 0 1085.633 82.05 3 20177138
2022-03-21 02:17:02.897000 3.93 3.97095 Clear 0 1085.854 82.081 3 20177138
2022-03-21 02:17:02.997000 3.9 3.94185 Clear 0 1086.075 82.112 3 20177138
2022-03-21 02:17:03.097000 3.969 4.01157 Clear 0 1086.296 82.144 3 20177138
2022-03-21 02:17:03.197000 3.987 4.03091 Clear 0 1086.517 82.175 3 20177138
2022-03-21 02:17:03.297000 3.948 3.99309 Clear 0 1086.739 82.207 3 20177138
2022-03-21 02:17:03.397000 3.974 4.01967 Clear 0 1086.962 82.238 3 20177138
2022-03-21 02:17:03.497000 3.946 3.99271 Clear 0 1087.184 82.27 3 20177138
2022-03-21 02:17:03.597000 3.993 4.04142 Clear 0 1087.407 82.301 3 20177138
2022-03-21 02:17:03.697000 3.996 4.04456 Clear 0 1087.631 82.332 3 20177138
2022-03-21 02:17:03.797000 3.991 4.04114 Clear 0 1087.855 82.364 3 20177138
2022-03-21 02:17:03.897000 3.995 4.04619 Clear 0 1088.079 82.395 3 20177138
2022-03-21 02:17:03.997000 3.934 3.98556 Clear 0 1088.303 82.426 3 20177138
2022-03-21 02:17:04.097000 4.055 4.10814 Clear 0 1088.528 82.458 3 20177138
2022-03-21 02:17:04.197000 3.962 4.01595 Clear 0 1088.754 82.489 3 20177138
2022-03-21 02:17:04.297000 3.995 4.05036 Clear 0 1088.979 82.52 3 20177138
2022-03-21 02:17:04.397000 4.002 4.05827 Clear 0 1089.205 82.552 3 20177138
2022-03-21 02:17:04.497000 3.982 4.03852 Clear 0 1089.431 82.583 3 20177138
2022-03-21 02:17:04.597000 3.936 3.99369 Clear 0 1089.658 82.614 3 20177138
2022-03-21 02:17:04.697000 3.944 4.00274 Clear 0 1089.885 82.646 3 20177138
2022-03-21 02:17:04.797000 4.026 4.08577 Clear 0 1090.113 82.677 3 20177138
2022-03-21 02:17:04.897000 4.044 4.10488 Clear 0 1090.34 82.708 3 20177138
2022-03-21 02:17:04.997000 4.017 4.07876 Clear 0 1090.569 82.739 3 20177138
2022-03-21 02:17:05.097000 4.004 4.06697 Clear 0 1090.797 82.77 3 20177138
2022-03-21 02:17:05.197000 4.055 4.11853 Clear 0 1091.026 82.802 3 20177138
2022-03-21 02:17:05.297000 4.081 4.14601 Clear 0 1091.255 82.833 3 20177138
2022-03-21 02:17:05.397000 4.021 4.0865 Clear 0 1091.485 82.864 3 20177138
2022-03-21 02:17:05.497000 4.089 4.15571 Clear 0 1091.715 82.895 3 20177138
2022-03-21 02:17:05.597000 3.989 4.05595 Clear 0 1091.945 82.926 3 20177138
2022-03-21 02:17:05.697000 4.074 4.14216 Clear 0 1092.176 82.957 3 20177138
2022-03-21 02:17:05.797000 4.067 4.13638 Clear 0 1092.407 82.989 3 20177138
2022-03-21 02:17:05.897000 4.045 4.1145 Clear 0 1092.638 83.02 3 20177138
2022-03-21 02:17:05.997000 4.037 4.10811 Clear 0 1092.87 83.051 3 20177138
2022-03-21 02:17:06.097000 4.124 4.19597 Clear 0 1093.102 83.082 3 20177138
2022-03-21 02:17:06.197000 4.092 4.16521 Clear 0 1093.334 83.113 3 20177138
2022-03-21 02:17:06.297000 4.102 4.1755 Clear 0 1093.567 83.144 3 20177138
2022-03-21 02:17:06.397000 4.091 4.16626 Clear 0 1093.8 83.175 3 20177138
2022-03-21 02:17:06.497000 4.119 4.19463 Clear 0 1094.034 83.206 3 20177138
2022-03-21 02:17:06.597000 4.137 4.21379 Clear 0 1094.268 83.237 3 20177138
2022-03-21 02:17:06.697000 4.156 4.23355 Clear 0 1094.502 83.268 3 20177138
2022-03-21 02:17:06.797000 4.188 4.2665 Clear 0 1094.737 83.299 3 20177138
2022-03-21 02:17:06.897000 4.148 4.22748 Clear 0 1094.972 83.33 3 20177138
2022-03-21 02:17:06.997000 4.133 4.21439 Clear 0 1095.207 83.361 3 20177138
2022-03-21 02:17:07.097000 4.198 4.27947 Clear 0 1095.443 83.392 3 20177138
2022-03-21 02:17:07.197000 4.082 4.16493 Clear 0 1095.679 83.423 3 20177138
2022-03-21 02:17:07.297000 4.186 4.26988 Clear 0 1095.915 83.454 3 20177138
2022-03-21 02:17:07.397000 4.19 4.27492 Clear 0 1096.152 83.485 3 20177138
2022-03-21 02:17:07.497000 4.181 4.26674 Clear 0 1096.389 83.516 3 20177138
2022-03-21 02:17:07.597000 4.287 4.37428 Clear 0 1096.627 83.547 3 20177138
2022-03-21 02:17:07.697000 4.225 4.31312 Clear 0 1096.864 83.578 3 20177138
2022-03-21 02:17:07.797000 4.196 4.2851 Clear 0 1097.102 83.609 3 20177138
2022-03-21 02:17:07.897000 4.287 4.37729 Clear 0 1097.341 83.639 3 20177138
2022-03-21 02:17:07.997000 4.282 4.37246 Clear 0 1097.58 83.67 3 20177138
2022-03-21 02:17:08.097000 4.294 4.38638 Clear 0 1097.819 83.701 3 20177138
2022-03-21 02:17:08.197000 4.251 4.34381 Clear 0 1098.059 83.732 3 20177138
2022-03-21 02:17:08.297000 4.273 4.36664 Clear 0 1098.299 83.763 3 20177138
2022-03-21 02:17:08.397000 4.264 4.35931 Clear 0 1098.539 83.794 3 20177138
2022-03-21 02:17:08.497000 4.334 4.43038 Clear 0 1098.78 83.824 3 20177138
2022-03-21 02:17:08.597000 4.28 4.37684 Clear 0 1099.021 83.855 3 20177138
2022-03-21 02:17:08.697000 4.332 4.43038 Clear 0 1099.262 83.886 3 20177138
2022-03-21 02:17:08.797000 4.396 4.49529 Clear 0 1099.504 83.917 3 20177138
2022-03-21 02:17:08.897000 4.245 4.34522 Clear 0 1099.746 83.947 3 20177138
2022-03-21 02:17:08.997000 4.4 4.50083 Clear 0 1099.988 83.978 3 20177138
2022-03-21 02:17:09.097000 4.392 4.49363 Clear 0 1100.231 84.009 3 20177138
2022-03-21 02:17:09.197000 4.384 4.4868 Clear 0 1100.474 84.04 3 20177138
2022-03-21 02:17:09.297000 4.345 4.44887 Clear 0 1100.717 84.07 3 20177138
2022-03-21 02:17:09.397000 4.397 4.50186 Clear 0 1100.961 84.101 3 20177138
2022-03-21 02:17:09.497000 4.362 4.46823 Clear 0 1101.205 84.132 3 20177138
2022-03-21 02:17:09.597000 4.399 4.5057 Clear 0 1101.45 84.162 3 20177138
2022-03-21 02:17:09.697000 4.416 4.52443 Clear 0 1101.695 84.193 3 20177138
2022-03-21 02:17:09.797000 4.424 4.53315 Clear 0 1101.94 84.224 3 20177138
2022-03-21 02:17:09.897000 4.461 4.57122 Clear 0 1102.186 84.254 3 20177138
2022-03-21 02:17:09.997000 4.413 4.52364 Clear 0 1102.431 84.285 3 20177138
2022-03-21 02:17:10.097000 4.476 4.58775 Clear 0 1102.678 84.315 3 20177138
2022-03-21 02:17:10.197000 4.444 4.5572 Clear 0 1102.924 84.346 3 20177138
2022-03-21 02:17:10.297000 4.469 4.58316 Clear 0 1103.171 84.376 3 20177138
2022-03-21 02:17:10.397000 4.403 4.51769 Clear 0 1103.419 84.407 3 20177138
2022-03-21 02:17:10.497000 4.478 4.59372 Clear 0 1103.666 84.438 3 20177138
2022-03-21 02:17:10.597000 4.51 4.62697 Clear 0 1103.914 84.468 3 20177138
2022-03-21 02:17:10.697000 4.487 4.6053 Clear 0 1104.163 84.499 3 20177138
2022-03-21 02:17:10.797000 4.43 4.54887 Clear 0 1104.411 84.529 3 20177138
2022-03-21 02:17:10.897000 4.502 4.62184 Clear 0 1104.66 84.56 3 20177138
2022-03-21 02:17:10.997000 4.487 4.60832 Clear 0 1104.91 84.59 3 20177138
2022-03-21 02:17:11.097000 4.517 4.63904 Clear 0 1105.16 84.621 3 20177138
2022-03-21 02:17:11.197000 4.476 4.59911 Clear 0 1105.41 84.651 3 20177138
2022-03-21 02:17:11.297000 4.493 4.61736 Clear 0 1105.66 84.681 3 20177138
2022-03-21 02:17:11.397000 4.445 4.56983 Clear 0 1105.911 84.712 3 20177138
