# satellite: 117 SOLRAD 3/INJUN 1 / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 23832
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-08 23:59:19.407000 7.183 7.20861 Clear 0 1143.465 73.746 9 42764
2014-06-08 23:59:19.507000 7.536 7.5615 Clear 0 1143.408 73.782 9 42764
2014-06-08 23:59:19.707000 7.553 7.58036 Clear 0 1143.294 73.853 9 42764
2014-06-08 23:59:19.807000 6.981 7.00794 Clear 0 1143.237 73.888 9 42764
2014-06-08 23:59:19.870000 7.252 7.27995 Clear 0 1143.202 73.911 4 42764
2014-06-08 23:59:19.970000 7.816 7.84371 Clear 0 1143.146 73.946 4 42764
2014-06-08 23:59:20.070000 7.391 7.41865 Clear 0 1143.091 73.982 4 42764
2014-06-08 23:59:20.207000 7.466 7.49463 Clear 0 1143.015 74.031 9 42764
2014-06-08 23:59:20.270000 7.313 7.34201 Clear 0 1142.981 74.053 4 42764
2014-06-08 23:59:20.307000 7.264 7.29305 Clear 0 1142.961 74.066 9 42764
2014-06-08 23:59:20.370000 7.56 7.58965 Clear 0 1142.927 74.089 4 42764
2014-06-08 23:59:20.407000 7.334 7.36427 Clear 0 1142.907 74.102 9 42764
2014-06-08 23:59:20.470000 6.877 6.90734 Clear 0 1142.873 74.124 4 42764
2014-06-08 23:59:20.549000 7.1 7.12988 Clear 0 1142.831 74.152 3 42764
2014-06-08 23:59:20.570000 7.266 7.29588 Clear 0 1142.819 74.16 4 42764
2014-06-08 23:59:20.607000 6.555 6.58602 Clear 0 1142.8 74.173 9 42764
2014-06-08 23:59:20.649000 6.799 6.82971 Clear 0 1142.777 74.188 3 42764
2014-06-08 23:59:20.670000 6.777 6.8084 Clear 0 1142.766 74.195 4 42764
2014-06-08 23:59:20.707000 6.895 6.92591 Clear 0 1142.747 74.208 9 42764
2014-06-08 23:59:20.749000 6.684 6.71464 Clear 0 1142.725 74.223 3 42764
2014-06-08 23:59:20.770000 6.833 6.86443 Clear 0 1142.714 74.231 4 42764
2014-06-08 23:59:20.807000 6.433 6.46363 Clear 0 1142.694 74.244 9 42764
2014-06-08 23:59:20.849000 6.831 6.86319 Clear 0 1142.672 74.259 3 42764
2014-06-08 23:59:20.870000 6.613 6.64544 Clear 0 1142.661 74.266 4 42764
2014-06-08 23:59:20.907000 6.089 6.12119 Clear 0 1142.642 74.28 9 42764
2014-06-08 23:59:20.949000 6.623 6.65483 Clear 0 1142.62 74.295 3 42764
2014-06-08 23:59:20.970000 6.455 6.48678 Clear 0 1142.609 74.302 4 42764
2014-06-08 23:59:21.007000 6.013 6.0447 Clear 0 1142.59 74.315 9 42764
2014-06-08 23:59:21.049000 6.533 6.56504 Clear 0 1142.569 74.33 3 42764
2014-06-08 23:59:21.070000 6.303 6.33485 Clear 0 1142.558 74.338 4 42764
2014-06-08 23:59:21.107000 5.986 6.01857 Clear 0 1142.539 74.351 9 42764
2014-06-08 23:59:21.149000 6.301 6.33439 Clear 0 1142.517 74.366 3 42764
