# satellite: 55909 CAPELLA-10 (WHITNEY) / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 4397
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2023-04-18 01:00:25.998000 5.455 4.15889 Clear 0 738.434 36.562 6 23843921
2023-04-18 01:00:26.098000 5.442 4.14491 Clear 0 738.161 36.589 6 23843921
2023-04-18 01:00:26.198000 5.371 4.07438 Clear 0 737.888 36.616 6 23843921
2023-04-18 01:00:26.298000 5.454 4.15613 Clear 0 737.615 36.644 6 23843921
2023-04-18 01:00:26.398000 5.369 4.06996 Clear 0 737.344 36.672 6 23843921
2023-04-18 01:00:26.498000 5.31 4.01051 Clear 0 737.073 36.699 6 23843921
2023-04-18 01:00:26.598000 5.384 4.08358 Clear 0 736.802 36.727 6 23843921
2023-04-18 01:00:26.698000 5.289 3.9886 Clear 0 736.532 36.755 6 23843921
2023-04-18 01:00:26.798000 5.281 3.97985 Clear 0 736.262 36.783 6 23843921
2023-04-18 01:00:26.898000 5.369 4.06682 Clear 0 735.993 36.81 6 23843921
2023-04-18 01:00:26.998000 5.255 3.95296 Clear 0 735.725 36.838 6 23843921
2023-04-18 01:00:27.098000 5.212 3.90908 Clear 0 735.457 36.866 6 23843921
2023-04-18 01:00:27.198000 5.308 4.00516 Clear 0 735.19 36.894 6 23843921
2023-04-18 01:00:27.298000 5.267 3.96302 Clear 0 734.923 36.923 6 23843921
2023-04-18 01:00:27.398000 5.326 4.0206 Clear 0 734.657 36.951 6 23843921
2023-04-18 01:00:27.498000 5.254 3.94907 Clear 0 734.391 36.979 6 23843921
2023-04-18 01:00:27.598000 5.258 3.95157 Clear 0 734.126 37.007 6 23843921
2023-04-18 01:00:27.698000 5.296 3.99023 Clear 0 733.861 37.036 6 23843921
2023-04-18 01:00:27.798000 5.28 3.97256 Clear 0 733.597 37.064 6 23843921
2023-04-18 01:00:27.898000 5.228 3.91956 Clear 0 733.334 37.093 6 23843921
2023-04-18 01:00:27.998000 5.225 3.91716 Clear 0 733.071 37.121 6 23843921
2023-04-18 01:00:28.098000 5.228 3.91923 Clear 0 732.809 37.15 6 23843921
2023-04-18 01:00:28.198000 5.303 3.99396 Clear 0 732.547 37.179 6 23843921
2023-04-18 01:00:28.298000 5.199 3.88924 Clear 0 732.286 37.208 6 23843921
2023-04-18 01:00:28.398000 5.23 3.91899 Clear 0 732.025 37.236 6 23843921
2023-04-18 01:00:28.498000 5.232 3.92093 Clear 0 731.765 37.265 6 23843921
2023-04-18 01:00:28.598000 5.232 3.92007 Clear 0 731.505 37.294 6 23843921
2023-04-18 01:00:28.698000 5.183 3.87138 Clear 0 731.246 37.323 6 23843921
2023-04-18 01:00:28.798000 5.244 3.93106 Clear 0 730.988 37.352 6 23843921
2023-04-18 01:00:28.898000 5.211 3.8967 Clear 0 730.73 37.381 6 23843921
2023-04-18 01:00:28.998000 5.154 3.83971 Clear 0 730.473 37.411 6 23843921
2023-04-18 01:00:29.098000 5.148 3.83313 Clear 0 730.216 37.44 6 23843921
2023-04-18 01:00:29.198000 5.024 3.70851 Clear 0 729.96 37.469 6 23843921
2023-04-18 01:00:29.298000 4.917 3.60137 Clear 0 729.704 37.499 6 23843921
2023-04-18 01:00:29.398000 4.917 3.60099 Clear 0 729.449 37.528 6 23843921
2023-04-18 01:00:29.498000 4.963 3.64553 Clear 0 729.194 37.558 6 23843921
2023-04-18 01:00:29.598000 4.992 3.67368 Clear 0 728.94 37.587 6 23843921
