# satellite: 18361 OSCAR 27 / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 54312
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-30 23:01:19.762000 8.484 8.99113 Clear 1 1770.932 13.904 8 593613
2014-06-30 23:01:19.962000 8.518 9.02426 Clear 1 1770.032 13.941 8 593613
2014-06-30 23:01:20.062000 8.475 8.98112 Clear 1 1769.581 13.959 8 593613
2014-06-30 23:01:20.162000 8.564 9.06895 Clear 1 1769.132 13.978 8 593613
2014-06-30 23:01:20.262000 8.423 8.92666 Clear 1 1768.682 13.996 8 593613
2014-06-30 23:01:20.362000 8.135 8.63909 Clear 1 1768.232 14.015 8 593613
2014-06-30 23:01:20.462000 8.753 9.25592 Clear 1 1767.782 14.033 8 593613
2014-06-30 23:01:20.562000 7.858 8.36071 Clear 1 1767.333 14.051 8 593613
2014-06-30 23:01:20.662000 8.387 8.88924 Clear 1 1766.884 14.07 8 593613
2014-06-30 23:01:20.762000 8.495 8.99728 Clear 1 1766.435 14.088 8 593613
2014-06-30 23:01:20.862000 8.593 9.0935 Clear 1 1765.986 14.107 8 593613
2014-06-30 23:01:20.962000 7.918 8.41858 Clear 1 1765.537 14.125 8 593613
2014-06-30 23:01:21.062000 8.107 8.60663 Clear 1 1765.088 14.144 8 593613
2014-06-30 23:01:21.162000 8.307 8.80691 Clear 1 1764.639 14.162 8 593613
2014-06-30 23:01:21.262000 7.957 8.45592 Clear 1 1764.191 14.181 8 593613
2014-06-30 23:01:21.362000 8.073 8.57232 Clear 1 1763.743 14.199 8 593613
2014-06-30 23:01:21.462000 7.735 8.2332 Clear 1 1763.294 14.218 8 593613
2014-06-30 23:01:21.562000 8.212 8.71033 Clear 1 1762.846 14.237 8 593613
2014-06-30 23:01:21.662000 8.012 8.50854 Clear 1 1762.399 14.255 8 593613
2014-06-30 23:01:21.762000 7.898 8.39506 Clear 1 1761.951 14.274 8 593613
2014-06-30 23:01:21.862000 8.159 8.65454 Clear 1 1761.503 14.292 8 593613
2014-06-30 23:01:21.962000 7.885 8.38058 Clear 1 1761.056 14.311 8 593613
2014-06-30 23:01:22.062000 8.228 8.72284 Clear 1 1760.608 14.329 8 593613
2014-06-30 23:01:22.162000 7.813 8.3075 Clear 1 1760.161 14.348 8 593613
2014-06-30 23:01:22.262000 7.992 8.48602 Clear 1 1759.714 14.367 8 593613
2014-06-30 23:01:22.362000 7.793 8.28692 Clear 1 1759.267 14.385 8 593613
2014-06-30 23:01:22.462000 7.928 8.42059 Clear 1 1758.821 14.404 8 593613
2014-06-30 23:01:22.562000 7.791 8.28363 Clear 1 1758.374 14.423 8 593613
2014-06-30 23:01:22.662000 8.108 8.60016 Clear 1 1757.928 14.441 8 593613
2014-06-30 23:01:22.762000 7.937 8.4291 Clear 1 1757.481 14.46 8 593613
2014-06-30 23:01:22.862000 7.977 8.46816 Clear 1 1757.035 14.478 8 593613
2014-06-30 23:01:22.962000 7.591 8.08211 Clear 1 1756.589 14.497 8 593613
2014-06-30 23:01:23.062000 7.778 8.26784 Clear 1 1756.143 14.516 8 593613
2014-06-30 23:01:23.162000 7.722 8.21174 Clear 1 1755.697 14.535 8 593613
2014-06-30 23:01:23.262000 7.905 8.39352 Clear 1 1755.252 14.553 8 593613
2014-06-30 23:01:23.362000 7.93 8.4193 Clear 1 1754.806 14.572 8 593613
2014-06-30 23:01:23.462000 7.572 8.05978 Clear 1 1754.361 14.591 8 593613
2014-06-30 23:01:23.562000 7.974 8.46217 Clear 1 1753.916 14.609 8 593613
2014-06-30 23:01:23.662000 7.863 8.34964 Clear 1 1753.471 14.628 8 593613
2014-06-30 23:01:23.762000 7.996 8.48312 Clear 1 1753.026 14.647 8 593613
2014-06-30 23:01:23.862000 7.886 8.37218 Clear 1 1752.581 14.666 8 593613
2014-06-30 23:01:23.962000 7.714 8.19966 Clear 1 1752.136 14.684 8 593613
2014-06-30 23:01:24.062000 7.913 8.39801 Clear 1 1751.692 14.703 8 593613
2014-06-30 23:01:24.162000 7.985 8.46981 Clear 1 1751.248 14.722 8 593613
2014-06-30 23:01:24.262000 7.979 8.46321 Clear 1 1750.803 14.741 8 593613
2014-06-30 23:01:24.354000 7.866 8.35 Clear 1 1750.395 14.758 5 593613
2014-06-30 23:01:24.362000 7.637 8.12096 Clear 1 1750.359 14.759 8 593613
