# satellite: 26998 TIMED / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 23941
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-30 00:20:53.439000 4.719 3.46267 Clear 0 726.854 46.896 9 592166
2014-06-30 00:20:53.539000 4.761 3.50451 Clear 0 726.476 46.94 9 592166
2014-06-30 00:20:53.639000 4.777 3.52043 Clear 0 726.099 46.984 9 592166
2014-06-30 00:20:53.739000 4.768 3.51 Clear 0 725.722 47.028 9 592166
2014-06-30 00:20:53.839000 4.717 3.45825 Clear 0 725.345 47.072 9 592166
2014-06-30 00:20:53.939000 4.759 3.50023 Clear 0 724.969 47.116 9 592166
2014-06-30 00:20:54.039000 4.774 3.51376 Clear 0 724.594 47.161 9 592166
2014-06-30 00:20:54.139000 4.73 3.46847 Clear 0 724.219 47.205 9 592166
2014-06-30 00:20:54.239000 4.724 3.46199 Clear 0 723.845 47.249 9 592166
2014-06-30 00:20:54.339000 4.815 3.55336 Clear 0 723.471 47.294 9 592166
2014-06-30 00:20:54.439000 4.719 3.45618 Clear 0 723.098 47.338 9 592166
2014-06-30 00:20:54.539000 4.776 3.51192 Clear 0 722.725 47.383 9 592166
2014-06-30 00:20:54.639000 4.719 3.45374 Clear 0 722.352 47.427 9 592166
2014-06-30 00:20:54.739000 4.787 3.52146 Clear 0 721.981 47.472 9 592166
2014-06-30 00:20:54.839000 4.702 3.43592 Clear 0 721.609 47.517 9 592166
2014-06-30 00:20:54.939000 4.743 3.47559 Clear 0 721.238 47.561 9 592166
2014-06-30 00:20:55.039000 4.773 3.50449 Clear 0 720.868 47.606 9 592166
2014-06-30 00:20:55.139000 4.76 3.49219 Clear 0 720.498 47.651 9 592166
2014-06-30 00:20:55.239000 4.782 3.51281 Clear 0 720.129 47.696 9 592166
2014-06-30 00:20:55.339000 4.755 3.48477 Clear 0 719.76 47.741 9 592166
2014-06-30 00:20:55.439000 4.747 3.47572 Clear 0 719.392 47.786 9 592166
2014-06-30 00:20:55.539000 4.752 3.48058 Clear 0 719.024 47.831 9 592166
2014-06-30 00:20:55.639000 4.758 3.486 Clear 0 718.657 47.876 9 592166
2014-06-30 00:20:55.739000 4.789 3.51607 Clear 0 718.29 47.921 9 592166
2014-06-30 00:20:55.839000 4.782 3.50828 Clear 0 717.924 47.966 9 592166
2014-06-30 00:20:55.939000 4.806 3.53186 Clear 0 717.558 48.011 9 592166
2014-06-30 00:20:56.039000 4.768 3.49317 Clear 0 717.193 48.057 9 592166
2014-06-30 00:20:56.139000 4.745 3.46944 Clear 0 716.828 48.102 9 592166
2014-06-30 00:20:56.239000 4.799 3.52264 Clear 0 716.464 48.147 9 592166
2014-06-30 00:20:56.339000 4.759 3.48165 Clear 0 716.1 48.193 9 592166
2014-06-30 00:20:56.439000 4.805 3.52739 Clear 0 715.737 48.238 9 592166
2014-06-30 00:20:56.539000 4.774 3.49516 Clear 0 715.374 48.284 9 592166
2014-06-30 00:20:56.639000 4.805 3.52631 Clear 0 715.012 48.33 9 592166
2014-06-30 00:20:56.739000 4.761 3.48112 Clear 0 714.65 48.375 9 592166
2014-06-30 00:20:56.839000 4.798 3.51675 Clear 0 714.289 48.421 9 592166
2014-06-30 00:20:56.939000 4.778 3.49725 Clear 0 713.929 48.467 9 592166
2014-06-30 00:20:57.039000 4.79 3.50789 Clear 0 713.569 48.513 9 592166
2014-06-30 00:20:57.139000 4.776 3.49333 Clear 0 713.209 48.559 9 592166
2014-06-30 00:20:57.239000 4.793 3.50881 Clear 0 712.85 48.605 9 592166
2014-06-30 00:20:57.339000 4.786 3.50218 Clear 0 712.492 48.651 9 592166
2014-06-30 00:20:57.439000 4.767 3.48183 Clear 0 712.134 48.697 9 592166
2014-06-30 00:20:57.539000 4.805 3.51941 Clear 0 711.776 48.743 9 592166
2014-06-30 00:20:57.639000 4.779 3.49265 Clear 0 711.419 48.789 9 592166
2014-06-30 00:20:57.739000 4.789 3.50208 Clear 0 711.063 48.835 9 592166
2014-06-30 00:20:57.839000 4.789 3.50094 Clear 0 710.707 48.881 9 592166
2014-06-30 00:20:57.939000 4.801 3.51279 Clear 0 710.352 48.928 9 592166
2014-06-30 00:20:58.039000 4.816 3.52727 Clear 0 709.997 48.974 9 592166
2014-06-30 00:20:58.139000 4.783 3.49272 Clear 0 709.643 49.02 9 592166
2014-06-30 00:20:58.239000 4.792 3.5015 Clear 0 709.289 49.067 9 592166
2014-06-30 00:20:58.339000 4.775 3.48366 Clear 0 708.936 49.113 9 592166
2014-06-30 00:20:58.439000 4.738 3.4456 Clear 0 708.583 49.16 9 592166
2014-06-30 00:20:58.539000 4.773 3.48108 Clear 0 708.231 49.207 9 592166
2014-06-30 00:20:58.639000 4.776 3.48283 Clear 0 707.879 49.253 9 592166
2014-06-30 00:20:58.739000 4.787 3.49269 Clear 0 707.528 49.3 9 592166
2014-06-30 00:20:58.839000 4.789 3.49513 Clear 0 707.177 49.347 9 592166
2014-06-30 00:20:58.939000 4.707 3.41162 Clear 0 706.827 49.394 9 592166
2014-06-30 00:20:59.039000 4.762 3.46569 Clear 0 706.478 49.441 9 592166
2014-06-30 00:20:59.139000 4.754 3.45839 Clear 0 706.129 49.487 9 592166
2014-06-30 00:20:59.239000 4.777 3.48036 Clear 0 705.781 49.534 9 592166
2014-06-30 00:20:59.339000 4.743 3.44465 Clear 0 705.433 49.582 9 592166
2014-06-30 00:20:59.439000 4.749 3.45119 Clear 0 705.085 49.629 9 592166
2014-06-30 00:20:59.539000 4.738 3.43845 Clear 0 704.739 49.676 9 592166
2014-06-30 00:20:59.639000 4.752 3.45173 Clear 0 704.392 49.723 9 592166
2014-06-30 00:20:59.739000 4.732 3.43203 Clear 0 704.047 49.77 9 592166
2014-06-30 00:20:59.839000 4.762 3.46128 Clear 0 703.702 49.818 9 592166
2014-06-30 00:20:59.939000 4.741 3.43864 Clear 0 703.357 49.865 9 592166
2014-06-30 00:21:00.039000 4.754 3.45214 Clear 0 703.013 49.912 9 592166
2014-06-30 00:21:00.139000 4.757 3.45379 Clear 0 702.669 49.96 9 592166
2014-06-30 00:21:00.239000 4.729 3.42535 Clear 0 702.326 50.007 9 592166
2014-06-30 00:21:00.339000 4.708 3.40385 Clear 0 701.984 50.055 9 592166
2014-06-30 00:21:00.439000 4.722 3.41714 Clear 0 701.642 50.103 9 592166
2014-06-30 00:21:00.539000 4.737 3.43074 Clear 0 701.301 50.15 9 592166
