# satellite: 25940 CBERS 1 / CHBZ
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 46768
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-07-24 23:44:15.804000 6.1 5.34403 Clear 0 795.795 74.095 1 940037
2014-07-24 23:44:15.904000 6.116 5.3586 Clear 0 795.817 74.046 1 940037
2014-07-24 23:44:16.004000 6.105 5.34702 Clear 0 795.84 73.998 1 940037
2014-07-24 23:44:16.104000 6.095 5.33694 Clear 0 795.863 73.949 1 940037
2014-07-24 23:44:16.204000 6.041 5.28147 Clear 0 795.887 73.9 1 940037
2014-07-24 23:44:16.304000 6.074 5.31433 Clear 0 795.912 73.851 1 940037
2014-07-24 23:44:16.404000 5.998 5.23755 Clear 0 795.937 73.803 1 940037
2014-07-24 23:44:16.504000 5.91 5.14855 Clear 0 795.963 73.754 1 940037
2014-07-24 23:44:16.604000 5.934 5.17317 Clear 0 795.989 73.705 1 940037
2014-07-24 23:44:16.704000 5.975 5.21293 Clear 0 796.017 73.656 1 940037
2014-07-24 23:44:16.804000 6.085 5.32157 Clear 0 796.045 73.608 1 940037
2014-07-24 23:44:16.904000 6.072 5.30864 Clear 0 796.073 73.559 1 940037
2014-07-24 23:44:17.004000 6.047 5.28323 Clear 0 796.102 73.51 1 940037
2014-07-24 23:44:17.104000 5.952 5.18805 Clear 0 796.132 73.462 1 940037
2014-07-24 23:44:17.204000 5.989 5.22382 Clear 0 796.162 73.413 1 940037
2014-07-24 23:44:17.304000 5.871 5.10483 Clear 0 796.193 73.364 1 940037
2014-07-24 23:44:17.404000 5.82 5.05393 Clear 0 796.225 73.316 1 940037
2014-07-24 23:44:17.504000 5.87 5.10252 Clear 0 796.257 73.267 1 940037
2014-07-24 23:44:17.604000 5.85 5.08329 Clear 0 796.29 73.218 1 940037
2014-07-24 23:44:17.704000 5.851 5.08249 Clear 0 796.324 73.17 1 940037
2014-07-24 23:44:17.804000 5.797 5.02822 Clear 0 796.358 73.121 1 940037
2014-07-24 23:44:17.904000 5.811 5.0421 Clear 0 796.393 73.073 1 940037
2014-07-24 23:44:18.004000 5.732 4.9615 Clear 0 796.428 73.024 1 940037
2014-07-24 23:44:18.104000 5.878 5.10795 Clear 0 796.464 72.975 1 940037
2014-07-24 23:44:18.204000 5.884 5.11298 Clear 0 796.501 72.927 1 940037
2014-07-24 23:44:18.304000 5.929 5.15743 Clear 0 796.538 72.878 1 940037
2014-07-24 23:44:18.404000 5.903 5.13045 Clear 0 796.576 72.83 1 940037
2014-07-24 23:44:18.504000 5.937 5.16421 Clear 0 796.615 72.781 1 940037
2014-07-24 23:44:18.604000 5.947 5.17436 Clear 0 796.654 72.732 1 940037
