# satellite: 716 TIROS 8 / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 29251
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-07-23 18:43:52.399000 8.142 8.41086 Clear 0 934.36 108.469 3 877382
2014-07-23 18:43:52.499000 8.246 8.51347 Clear 0 934.014 108.476 3 877382
2014-07-23 18:43:52.599000 8.187 8.45538 Clear 0 933.668 108.483 3 877382
2014-07-23 18:43:52.799000 8.292 8.55745 Clear 0 932.977 108.497 3 877382
2014-07-23 18:43:53.399000 8.554 8.81646 Clear 0 930.915 108.54 3 877382
2014-07-23 18:43:53.411000 8.688 8.95063 Clear 0 930.874 108.54 2 877382
2014-07-23 18:43:53.499000 8.637 8.8988 Clear 0 930.572 108.547 3 877382
2014-07-23 18:43:53.699000 7.963 8.22407 Clear 0 929.889 108.561 3 877382
2014-07-23 18:43:53.899000 8.833 9.09246 Clear 0 929.207 108.575 3 877382
2014-07-23 18:43:54.011000 9.061 9.31977 Clear 0 928.825 108.583 2 877382
2014-07-23 18:43:54.111000 8.678 8.93593 Clear 0 928.485 108.59 2 877382
2014-07-23 18:43:54.211000 8.688 8.94623 Clear 0 928.146 108.597 2 877382
2014-07-23 18:43:54.299000 8.393 8.65043 Clear 0 927.847 108.603 3 877382
2014-07-23 18:43:54.311000 8.607 8.8636 Clear 0 927.806 108.604 2 877382
2014-07-23 18:43:54.411000 8.37 8.62546 Clear 0 927.467 108.611 2 877382
2014-07-23 18:43:54.499000 8.172 8.42788 Clear 0 927.17 108.617 3 877382
2014-07-23 18:43:54.699000 7.912 8.16715 Clear 0 926.494 108.631 3 877382
2014-07-23 18:43:54.711000 8.509 8.76399 Clear 0 926.453 108.632 2 877382
2014-07-23 18:43:54.799000 8.179 8.43342 Clear 0 926.156 108.638 3 877382
2014-07-23 18:43:55.011000 8.658 8.91134 Clear 0 925.442 108.653 2 877382
2014-07-23 18:43:55.099000 7.924 8.17633 Clear 0 925.147 108.659 3 877382
2014-07-23 18:43:55.111000 8.391 8.6425 Clear 0 925.106 108.66 2 877382
2014-07-23 18:43:55.199000 7.995 8.24668 Clear 0 924.811 108.666 3 877382
2014-07-23 18:43:55.211000 8.427 8.67864 Clear 0 924.771 108.667 2 877382
2014-07-23 18:43:55.299000 7.823 8.07398 Clear 0 924.475 108.673 3 877382
2014-07-23 18:43:55.399000 8.366 8.61556 Clear 0 924.14 108.681 3 877382
2014-07-23 18:43:55.499000 8.533 8.78338 Clear 0 923.806 108.688 3 877382
2014-07-23 18:43:55.599000 8.185 8.43366 Clear 0 923.472 108.695 3 877382
2014-07-23 18:43:55.611000 8.447 8.69559 Clear 0 923.432 108.695 2 877382
2014-07-23 18:43:55.699000 7.899 8.14748 Clear 0 923.138 108.702 3 877382
2014-07-23 18:43:55.711000 7.955 8.2038 Clear 0 923.098 108.702 2 877382
2014-07-23 18:43:55.799000 8.339 8.58701 Clear 0 922.804 108.709 3 877382
2014-07-23 18:43:55.811000 8.411 8.65872 Clear 0 922.764 108.709 2 877382
2014-07-23 18:43:55.911000 8.719 8.96574 Clear 0 922.431 108.716 2 877382
2014-07-23 18:43:55.999000 7.743 7.98996 Clear 0 922.139 108.723 3 877382
2014-07-23 18:43:56.011000 8.415 8.66243 Clear 0 922.099 108.723 2 877382
2014-07-23 18:43:56.099000 7.977 8.22279 Clear 0 921.806 108.73 3 877382
2014-07-23 18:43:56.111000 8.144 8.38994 Clear 0 921.767 108.73 2 877382
2014-07-23 18:43:56.199000 8.505 8.75133 Clear 0 921.475 108.737 3 877382
2014-07-23 18:43:56.211000 7.837 8.08322 Clear 0 921.435 108.738 2 877382
2014-07-23 18:43:56.299000 7.814 8.05885 Clear 0 921.143 108.744 3 877382
2014-07-23 18:43:56.311000 8.391 8.63628 Clear 0 921.103 108.745 2 877382
2014-07-23 18:43:56.399000 8.391 8.6349 Clear 0 920.812 108.751 3 877382
2014-07-23 18:43:56.411000 8.058 8.30204 Clear 0 920.772 108.752 2 877382
2014-07-23 18:43:56.499000 8.163 8.40732 Clear 0 920.481 108.758 3 877382
2014-07-23 18:43:56.511000 8.317 8.56114 Clear 0 920.442 108.759 2 877382
2014-07-23 18:43:56.599000 7.98 8.22338 Clear 0 920.151 108.765 3 877382
2014-07-23 18:43:56.611000 8.447 8.69002 Clear 0 920.112 108.766 2 877382
2014-07-23 18:43:56.699000 7.623 7.86566 Clear 0 919.821 108.772 3 877382
2014-07-23 18:43:56.711000 8.569 8.81243 Clear 0 919.782 108.773 2 877382
2014-07-23 18:43:56.811000 8.401 8.6434 Clear 0 919.452 108.78 2 877382
2014-07-23 18:43:56.899000 8.011 8.25335 Clear 0 919.163 108.786 3 877382
2014-07-23 18:43:56.911000 7.827 8.06801 Clear 0 919.123 108.787 2 877382
2014-07-23 18:43:56.999000 8.019 8.25955 Clear 0 918.834 108.793 3 877382
2014-07-23 18:43:57.099000 7.895 8.13476 Clear 0 918.506 108.8 3 877382
2014-07-23 18:43:57.199000 8.386 8.62643 Clear 0 918.178 108.807 3 877382
2014-07-23 18:43:57.299000 8.622 8.86045 Clear 0 917.851 108.814 3 877382
2014-07-23 18:43:57.311000 8.369 8.60765 Clear 0 917.811 108.815 2 877382
2014-07-23 18:43:57.399000 8.168 8.40697 Clear 0 917.524 108.821 3 877382
2014-07-23 18:43:57.411000 7.836 8.07366 Clear 0 917.484 108.822 2 877382
2014-07-23 18:43:57.499000 7.909 8.14657 Clear 0 917.197 108.828 3 877382
2014-07-23 18:43:57.511000 8.559 8.79672 Clear 0 917.158 108.829 2 877382
2014-07-23 18:43:57.599000 8.145 8.38221 Clear 0 916.871 108.835 3 877382
2014-07-23 18:43:57.611000 8.44 8.67645 Clear 0 916.832 108.835 2 877382
2014-07-23 18:43:57.699000 7.928 8.16455 Clear 0 916.545 108.842 3 877382
2014-07-23 18:43:57.711000 7.986 8.22281 Clear 0 916.506 108.842 2 877382
2014-07-23 18:43:57.799000 7.694 7.92989 Clear 0 916.22 108.849 3 877382
2014-07-23 18:43:57.811000 7.901 8.13682 Clear 0 916.18 108.849 2 877382
2014-07-23 18:43:57.911000 8.516 8.7521 Clear 0 915.856 108.856 2 877382
2014-07-23 18:43:57.999000 8.099 8.33374 Clear 0 915.57 108.863 3 877382
2014-07-23 18:43:58.099000 8.991 9.22541 Clear 0 915.246 108.87 3 877382
2014-07-23 18:43:58.111000 8.141 8.37512 Clear 0 915.207 108.87 2 877382
2014-07-23 18:43:58.211000 8.334 8.56807 Clear 0 914.883 108.877 2 877382
2014-07-23 18:43:58.311000 8.553 8.78609 Clear 0 914.56 108.884 2 877382
2014-07-23 18:43:58.399000 7.876 8.10924 Clear 0 914.275 108.89 3 877382
2014-07-23 18:43:58.411000 8.329 8.56171 Clear 0 914.237 108.891 2 877382
2014-07-23 18:43:58.499000 8.265 8.49729 Clear 0 913.953 108.897 3 877382
2014-07-23 18:43:58.511000 8.316 8.54756 Clear 0 913.914 108.898 2 877382
2014-07-23 18:43:58.599000 8.331 8.56318 Clear 0 913.631 108.904 3 877382
2014-07-23 18:43:58.711000 8.253 8.48351 Clear 0 913.27 108.912 2 877382
2014-07-23 18:43:58.799000 7.98 8.20998 Clear 0 912.988 108.918 3 877382
2014-07-23 18:43:58.811000 8.373 8.60339 Clear 0 912.949 108.919 2 877382
2014-07-23 18:43:58.899000 8.339 8.56868 Clear 0 912.667 108.925 3 877382
2014-07-23 18:43:58.911000 7.915 8.14533 Clear 0 912.628 108.926 2 877382
2014-07-23 18:43:58.999000 7.8 8.02907 Clear 0 912.346 108.932 3 877382
2014-07-23 18:43:59.011000 8.015 8.24384 Clear 0 912.308 108.933 2 877382
2014-07-23 18:43:59.099000 8.202 8.43137 Clear 0 912.026 108.939 3 877382
2014-07-23 18:43:59.111000 7.677 7.90644 Clear 0 911.988 108.94 2 877382
2014-07-23 18:43:59.199000 7.828 8.05634 Clear 0 911.706 108.946 3 877382
2014-07-23 18:43:59.211000 7.986 8.21377 Clear 0 911.668 108.947 2 877382
2014-07-23 18:43:59.299000 8.127 8.35399 Clear 0 911.387 108.953 3 877382
2014-07-23 18:43:59.311000 8.296 8.52251 Clear 0 911.349 108.954 2 877382
2014-07-23 18:43:59.399000 7.948 8.17511 Clear 0 911.068 108.96 3 877382
2014-07-23 18:43:59.411000 7.945 8.17215 Clear 0 911.03 108.961 2 877382
2014-07-23 18:43:59.499000 8.503 8.72858 Clear 0 910.749 108.967 3 877382
2014-07-23 18:43:59.599000 7.986 8.21163 Clear 0 910.431 108.974 3 877382
