# satellite: 4259 OPS 7613 (P/L 3) / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 29152
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-08 23:31:51.540000 8.644 8.88273 Clear 0 1004.743 100.824 3 40190
2014-06-08 23:31:51.640000 9.146 9.38356 Clear 0 1004.66 100.807 3 40190
2014-06-08 23:31:51.740000 7.913 8.15105 Clear 0 1004.577 100.789 3 40190
2014-06-08 23:31:51.840000 8.845 9.08208 Clear 0 1004.494 100.771 3 40190
2014-06-08 23:31:51.940000 8.389 8.62471 Clear 0 1004.412 100.753 3 40190
2014-06-08 23:31:51.969000 8.566 8.80148 Clear 0 1004.389 100.748 4 40190
2014-06-08 23:31:52.040000 9.047 9.28302 Clear 0 1004.331 100.736 3 40190
2014-06-08 23:31:52.069000 9.02 9.25578 Clear 0 1004.307 100.73 4 40190
2014-06-08 23:31:52.140000 8.922 9.15657 Clear 0 1004.25 100.718 3 40190
2014-06-08 23:31:52.169000 9.065 9.30033 Clear 0 1004.226 100.713 4 40190
2014-06-08 23:31:52.240000 8.519 8.75345 Clear 0 1004.169 100.7 3 40190
2014-06-08 23:31:52.269000 8.056 8.28988 Clear 0 1004.146 100.695 4 40190
2014-06-08 23:31:52.369000 8.349 8.58316 Clear 0 1004.066 100.677 4 40190
2014-06-08 23:31:52.469000 8.599 8.83208 Clear 0 1003.986 100.659 4 40190
2014-06-08 23:31:52.569000 7.922 8.15531 Clear 0 1003.907 100.641 4 40190
2014-06-08 23:31:52.640000 9.237 9.46938 Clear 0 1003.851 100.629 3 40190
2014-06-08 23:31:52.669000 8.369 8.60092 Clear 0 1003.828 100.624 4 40190
2014-06-08 23:31:52.769000 9.24 9.47206 Clear 0 1003.75 100.606 4 40190
2014-06-08 23:31:52.940000 8.592 8.82253 Clear 0 1003.617 100.575 3 40190
2014-06-08 23:31:52.969000 9.086 9.31644 Clear 0 1003.594 100.57 4 40190
2014-06-08 23:31:53.140000 8.537 8.76635 Clear 0 1003.463 100.54 3 40190
2014-06-08 23:31:53.240000 8.025 8.25436 Clear 0 1003.387 100.522 3 40190
2014-06-08 23:31:53.269000 9.158 9.3872 Clear 0 1003.365 100.517 4 40190
2014-06-08 23:31:53.369000 8.756 8.98418 Clear 0 1003.289 100.499 4 40190
2014-06-08 23:31:53.469000 8.84 9.06794 Clear 0 1003.214 100.481 4 40190
2014-06-08 23:31:53.540000 9.34 9.56707 Clear 0 1003.161 100.468 3 40190
2014-06-08 23:31:53.669000 8.876 9.10214 Clear 0 1003.065 100.445 4 40190
2014-06-08 23:31:53.940000 8.15 8.3751 Clear 0 1002.866 100.397 3 40190
2014-06-08 23:31:54.369000 9.199 9.42053 Clear 0 1002.558 100.32 4 40190
2014-06-08 23:31:54.669000 8.086 8.30671 Clear 0 1002.347 100.266 4 40190
2014-06-08 23:31:54.769000 8.839 9.05852 Clear 0 1002.278 100.248 4 40190
2014-06-08 23:31:54.815000 9.459 9.67925 Clear 0 1002.246 100.24 3 40190
2014-06-08 23:31:54.869000 8.598 8.81784 Clear 0 1002.209 100.231 4 40190
2014-06-08 23:31:54.915000 7.951 8.17004 Clear 0 1002.177 100.222 3 40190
2014-06-08 23:31:54.969000 8.631 8.85014 Clear 0 1002.14 100.213 4 40190
2014-06-08 23:31:55.169000 8.038 8.25549 Clear 0 1002.005 100.177 4 40190
2014-06-08 23:31:55.215000 8.919 9.13668 Clear 0 1001.974 100.168 3 40190
2014-06-08 23:31:55.315000 8.857 9.07414 Clear 0 1001.907 100.151 3 40190
2014-06-08 23:31:55.369000 7.933 8.15043 Clear 0 1001.871 100.141 4 40190
2014-06-08 23:31:55.415000 8.927 9.14417 Clear 0 1001.841 100.133 3 40190
2014-06-08 23:31:55.469000 8.366 8.58166 Clear 0 1001.805 100.123 4 40190
2014-06-08 23:31:55.569000 8.473 8.68929 Clear 0 1001.739 100.105 4 40190
2014-06-08 23:31:55.669000 7.733 7.94832 Clear 0 1001.674 100.087 4 40190
2014-06-08 23:31:55.715000 8.394 8.60879 Clear 0 1001.644 100.079 3 40190
2014-06-08 23:31:55.769000 7.94 8.1552 Clear 0 1001.609 100.069 4 40190
2014-06-08 23:31:55.815000 7.832 8.04617 Clear 0 1001.579 100.061 3 40190
2014-06-08 23:31:55.869000 8.868 9.08153 Clear 0 1001.545 100.051 4 40190
2014-06-08 23:31:55.969000 7.704 7.91783 Clear 0 1001.481 100.033 4 40190
2014-06-08 23:31:56.015000 8.928 9.14076 Clear 0 1001.451 100.025 3 40190
2014-06-08 23:31:56.215000 8.233 8.44454 Clear 0 1001.325 99.989 3 40190
2014-06-08 23:31:56.269000 8.71 8.92232 Clear 0 1001.291 99.979 4 40190
2014-06-08 23:31:56.315000 8.395 8.60654 Clear 0 1001.263 99.971 3 40190
2014-06-08 23:31:56.369000 8.211 8.42232 Clear 0 1001.229 99.961 4 40190
2014-06-08 23:31:56.469000 9.538 9.74872 Clear 0 1001.168 99.943 4 40190
2014-06-08 23:31:56.615000 9.288 9.4984 Clear 0 1001.078 99.917 3 40190
2014-06-08 23:31:56.669000 8.085 8.29533 Clear 0 1001.045 99.907 4 40190
2014-06-08 23:31:56.715000 8.559 8.76904 Clear 0 1001.018 99.899 3 40190
2014-06-08 23:31:56.769000 8.315 8.52436 Clear 0 1000.985 99.889 4 40190
2014-06-08 23:31:56.869000 8.326 8.53508 Clear 0 1000.925 99.871 4 40190
2014-06-08 23:31:56.915000 8.399 8.60766 Clear 0 1000.898 99.863 3 40190
2014-06-08 23:31:56.969000 8.207 8.4152 Clear 0 1000.866 99.853 4 40190
2014-06-08 23:31:57.015000 7.679 7.88668 Clear 0 1000.839 99.845 3 40190
2014-06-08 23:31:57.169000 8.96 9.167 Clear 0 1000.748 99.817 4 40190
2014-06-08 23:31:57.215000 7.857 8.06416 Clear 0 1000.721 99.809 3 40190
2014-06-08 23:31:57.315000 9.137 9.34292 Clear 0 1000.664 99.791 3 40190
2014-06-08 23:31:57.369000 8.498 8.70391 Clear 0 1000.632 99.781 4 40190
2014-06-08 23:31:57.469000 7.614 7.81962 Clear 0 1000.575 99.763 4 40190
2014-06-08 23:31:57.515000 8.395 8.59982 Clear 0 1000.549 99.754 3 40190
2014-06-08 23:31:57.569000 7.73 7.93519 Clear 0 1000.519 99.745 4 40190
2014-06-08 23:31:57.615000 8.854 9.05909 Clear 0 1000.493 99.736 3 40190
2014-06-08 23:31:57.669000 8.177 8.38153 Clear 0 1000.462 99.727 4 40190
2014-06-08 23:31:57.715000 7.836 8.04008 Clear 0 1000.436 99.718 3 40190
2014-06-08 23:31:57.769000 8.288 8.49216 Clear 0 1000.406 99.709 4 40190
2014-06-08 23:31:57.869000 8.088 8.29109 Clear 0 1000.351 99.691 4 40190
2014-06-08 23:31:57.969000 8.293 8.49565 Clear 0 1000.296 99.672 4 40190
2014-06-08 23:31:58.015000 8.712 8.91496 Clear 0 1000.271 99.664 3 40190
2014-06-08 23:31:58.069000 8.548 8.75027 Clear 0 1000.242 99.654 4 40190
2014-06-08 23:31:58.115000 8.146 8.34748 Clear 0 1000.217 99.646 3 40190
2014-06-08 23:31:58.169000 8.019 8.22125 Clear 0 1000.188 99.636 4 40190
2014-06-08 23:31:58.269000 7.529 7.73011 Clear 0 1000.134 99.618 4 40190
2014-06-08 23:31:58.369000 7.825 8.02565 Clear 0 1000.081 99.6 4 40190
2014-06-08 23:31:58.469000 8.505 8.70487 Clear 0 1000.028 99.582 4 40190
2014-06-08 23:31:58.515000 8.026 8.22638 Clear 0 1000.004 99.574 3 40190
2014-06-08 23:31:58.569000 7.94 8.13962 Clear 0 999.976 99.564 4 40190
2014-06-08 23:31:58.615000 9.011 9.21127 Clear 0 999.952 99.556 3 40190
2014-06-08 23:31:58.669000 7.614 7.81312 Clear 0 999.924 99.546 4 40190
2014-06-08 23:31:58.715000 8.928 9.1269 Clear 0 999.9 99.537 3 40190
2014-06-08 23:31:58.769000 7.876 8.07529 Clear 0 999.873 99.528 4 40190
2014-06-08 23:31:58.815000 8.721 8.91973 Clear 0 999.849 99.519 3 40190
