# satellite: 29108 CALIPSO / FR
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 46093
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-06 23:39:32.944000 5.711 4.71653 Clear 0 841.461 39.339 1 31535
2014-06-06 23:39:33.044000 5.718 4.7239 Clear 0 841.826 39.296 1 31535
2014-06-06 23:39:33.244000 5.777 4.78543 Clear 0 842.557 39.212 1 31535
2014-06-06 23:39:33.344000 5.714 4.72175 Clear 0 842.923 39.17 1 31535
2014-06-06 23:39:33.444000 5.742 4.75072 Clear 0 843.289 39.128 1 31535
2014-06-06 23:39:33.544000 5.742 4.75217 Clear 0 843.656 39.086 1 31535
2014-06-06 23:39:33.644000 5.761 4.77069 Clear 0 844.024 39.044 1 31535
2014-06-06 23:39:33.744000 5.735 4.74602 Clear 0 844.392 39.002 1 31535
2014-06-06 23:39:33.844000 5.759 4.7706 Clear 0 844.76 38.96 1 31535
2014-06-06 23:39:33.944000 5.688 4.70002 Clear 0 845.129 38.918 1 31535
2014-06-06 23:39:34.044000 5.71 4.72323 Clear 0 845.498 38.877 1 31535
2014-06-06 23:39:34.144000 5.696 4.71037 Clear 0 845.868 38.835 1 31535
2014-06-06 23:39:34.244000 5.681 4.69507 Clear 0 846.238 38.793 1 31535
2014-06-06 23:39:34.344000 5.621 4.63634 Clear 0 846.609 38.751 1 31535
2014-06-06 23:39:34.444000 5.638 4.65398 Clear 0 846.98 38.71 1 31535
2014-06-06 23:39:34.544000 5.673 4.6885 Clear 0 847.351 38.668 1 31535
2014-06-06 23:39:34.644000 5.708 4.7251 Clear 0 847.723 38.627 1 31535
2014-06-06 23:39:34.744000 5.689 4.70736 Clear 0 848.096 38.585 1 31535
2014-06-06 23:39:34.844000 5.659 4.67651 Clear 0 848.468 38.544 1 31535
2014-06-06 23:39:34.944000 5.599 4.61836 Clear 0 848.842 38.502 1 31535
2014-06-06 23:39:35.044000 5.648 4.66786 Clear 0 849.216 38.461 1 31535
2014-06-06 23:39:35.144000 5.607 4.6266 Clear 0 849.59 38.419 1 31535
2014-06-06 23:39:35.244000 5.59 4.61048 Clear 0 849.964 38.378 1 31535
2014-06-06 23:39:35.344000 5.64 4.66229 Clear 0 850.339 38.337 1 31535
2014-06-06 23:39:35.444000 5.625 4.64806 Clear 0 850.715 38.296 1 31535
2014-06-06 23:39:35.544000 5.585 4.60814 Clear 0 851.091 38.254 1 31535
2014-06-06 23:39:35.644000 5.648 4.6718 Clear 0 851.467 38.213 1 31535
2014-06-06 23:39:35.744000 5.611 4.63605 Clear 0 851.844 38.172 1 31535
2014-06-06 23:39:35.844000 5.662 4.687 Clear 0 852.222 38.131 1 31535
2014-06-06 23:39:35.944000 5.643 4.66854 Clear 0 852.599 38.09 1 31535
2014-06-06 23:39:36.044000 5.616 4.6427 Clear 0 852.978 38.049 1 31535
2014-06-06 23:39:36.144000 5.573 4.5996 Clear 0 853.356 38.008 1 31535
2014-06-06 23:39:36.244000 5.628 4.65586 Clear 0 853.735 37.967 1 31535
2014-06-06 23:39:36.344000 5.678 4.70692 Clear 0 854.115 37.926 1 31535
2014-06-06 23:39:36.444000 5.686 4.7145 Clear 0 854.495 37.885 1 31535
2014-06-06 23:39:36.544000 5.698 4.72781 Clear 0 854.875 37.845 1 31535
2014-06-06 23:39:36.644000 5.678 4.70845 Clear 0 855.256 37.804 1 31535
2014-06-06 23:39:36.744000 5.661 4.69311 Clear 0 855.637 37.763 1 31535
2014-06-06 23:39:36.844000 5.619 4.65065 Clear 0 856.019 37.722 1 31535
2014-06-06 23:39:36.944000 5.537 4.57004 Clear 0 856.401 37.682 1 31535
2014-06-06 23:39:37.044000 5.69 4.72407 Clear 0 856.784 37.641 1 31535
2014-06-06 23:39:37.144000 5.699 4.73341 Clear 0 857.167 37.601 1 31535
2014-06-06 23:39:37.244000 5.671 4.70568 Clear 0 857.55 37.56 1 31535
2014-06-06 23:39:37.344000 5.665 4.70115 Clear 0 857.934 37.52 1 31535
2014-06-06 23:39:37.444000 5.628 4.66478 Clear 0 858.318 37.479 1 31535
2014-06-06 23:39:37.544000 5.722 4.75864 Clear 0 858.703 37.439 1 31535
2014-06-06 23:39:37.644000 5.608 4.64546 Clear 0 859.088 37.398 1 31535
2014-06-06 23:39:37.744000 5.662 4.7013 Clear 0 859.474 37.358 1 31535
2014-06-06 23:39:37.844000 5.585 4.62406 Clear 0 859.86 37.318 1 31535
2014-06-06 23:39:37.944000 5.609 4.64888 Clear 0 860.246 37.278 1 31535
2014-06-06 23:39:38.044000 5.626 4.66727 Clear 0 860.633 37.237 1 31535
2014-06-06 23:39:38.144000 5.604 4.64576 Clear 0 861.02 37.197 1 31535
2014-06-06 23:39:38.244000 5.579 4.62114 Clear 0 861.408 37.157 1 31535
2014-06-06 23:39:38.344000 5.595 4.63827 Clear 0 861.796 37.117 1 31535
2014-06-06 23:39:38.444000 5.604 4.64763 Clear 0 862.185 37.077 1 31535
2014-06-06 23:39:38.544000 5.601 4.64449 Clear 0 862.574 37.037 1 31535
2014-06-06 23:39:38.644000 5.662 4.70695 Clear 0 862.963 36.997 1 31535
2014-06-06 23:39:38.744000 5.625 4.67093 Clear 0 863.353 36.957 1 31535
2014-06-06 23:39:38.844000 5.628 4.67504 Clear 0 863.744 36.917 1 31535
2014-06-06 23:39:38.944000 5.65 4.69669 Clear 0 864.134 36.877 1 31535
2014-06-06 23:39:39.044000 5.59 4.63829 Clear 0 864.525 36.837 1 31535
2014-06-06 23:39:39.144000 5.61 4.65845 Clear 0 864.917 36.798 1 31535
2014-06-06 23:39:39.244000 5.618 4.66821 Clear 0 865.309 36.758 1 31535
2014-06-06 23:39:39.344000 5.591 4.64046 Clear 0 865.701 36.718 1 31535
2014-06-06 23:39:39.444000 5.671 4.72197 Clear 0 866.094 36.679 1 31535
2014-06-06 23:39:39.544000 5.624 4.67628 Clear 0 866.487 36.639 1 31535
2014-06-06 23:39:39.644000 5.677 4.72915 Clear 0 866.881 36.599 1 31535
2014-06-06 23:39:39.744000 5.674 4.72726 Clear 0 867.275 36.56 1 31535
2014-06-06 23:39:39.844000 5.726 4.78042 Clear 0 867.67 36.52 1 31535
2014-06-06 23:39:39.944000 5.633 4.68813 Clear 0 868.065 36.481 1 31535
2014-06-06 23:39:40.044000 5.612 4.66653 Clear 0 868.46 36.441 1 31535
2014-06-06 23:39:40.144000 5.631 4.6874 Clear 0 868.856 36.402 1 31535
2014-06-06 23:39:40.244000 5.65 4.7072 Clear 0 869.252 36.363 1 31535
2014-06-06 23:39:40.344000 5.561 4.61908 Clear 0 869.648 36.323 1 31535
2014-06-06 23:39:40.444000 5.621 4.6788 Clear 0 870.045 36.284 1 31535
