# satellite: 20788 FENGYUN 1B / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 47719
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-10-09 16:18:05.644000 4.834 4.16113 Clear 0 933.122 51.473 4 2844746
2014-10-09 16:18:05.744000 4.848 4.17398 Clear 0 933.008 51.491 4 2844746
2014-10-09 16:18:05.844000 4.799 4.12496 Clear 0 932.894 51.509 4 2844746
2014-10-09 16:18:05.944000 4.821 4.14646 Clear 0 932.781 51.528 4 2844746
2014-10-09 16:18:06.044000 4.794 4.12029 Clear 0 932.669 51.546 4 2844746
2014-10-09 16:18:06.144000 4.784 4.10999 Clear 0 932.557 51.564 4 2844746
2014-10-09 16:18:06.244000 4.788 4.11406 Clear 0 932.445 51.583 4 2844746
2014-10-09 16:18:06.344000 4.787 4.1128 Clear 0 932.334 51.601 4 2844746
2014-10-09 16:18:06.444000 4.663 3.98917 Clear 0 932.224 51.619 4 2844746
2014-10-09 16:18:06.544000 4.646 3.97156 Clear 0 932.114 51.638 4 2844746
2014-10-09 16:18:06.644000 4.657 3.98251 Clear 0 932.005 51.656 4 2844746
2014-10-09 16:18:06.744000 4.642 3.96783 Clear 0 931.896 51.675 4 2844746
2014-10-09 16:18:06.844000 4.657 3.98162 Clear 0 931.787 51.693 4 2844746
2014-10-09 16:18:06.944000 4.688 4.01251 Clear 0 931.68 51.712 4 2844746
2014-10-09 16:18:07.044000 4.693 4.01791 Clear 0 931.572 51.73 4 2844746
2014-10-09 16:18:07.144000 4.696 4.02084 Clear 0 931.466 51.749 4 2844746
2014-10-09 16:18:07.244000 4.724 4.04849 Clear 0 931.359 51.768 4 2844746
2014-10-09 16:18:07.344000 4.681 4.00631 Clear 0 931.254 51.786 4 2844746
2014-10-09 16:18:07.444000 4.676 4.0006 Clear 0 931.148 51.805 4 2844746
2014-10-09 16:18:07.544000 4.657 3.98233 Clear 0 931.044 51.824 4 2844746
2014-10-09 16:18:07.644000 4.667 3.99185 Clear 0 930.94 51.842 4 2844746
2014-10-09 16:18:07.744000 4.663 3.9875 Clear 0 930.836 51.861 4 2844746
2014-10-09 16:18:07.844000 4.631 3.9558 Clear 0 930.733 51.88 4 2844746
2014-10-09 16:18:07.944000 4.613 3.93818 Clear 0 930.63 51.899 4 2844746
2014-10-09 16:18:08.044000 4.63 3.95504 Clear 0 930.528 51.918 4 2844746
2014-10-09 16:18:08.144000 4.616 3.94061 Clear 0 930.427 51.936 4 2844746
2014-10-09 16:18:08.244000 4.632 3.95643 Clear 0 930.326 51.955 4 2844746
2014-10-09 16:18:08.344000 4.61 3.9335 Clear 0 930.225 51.974 4 2844746
2014-10-09 16:18:08.444000 4.603 3.92717 Clear 0 930.125 51.993 4 2844746
2014-10-09 16:18:08.544000 4.552 3.87567 Clear 0 930.026 52.012 4 2844746
2014-10-09 16:18:08.644000 4.573 3.89684 Clear 0 929.927 52.031 4 2844746
2014-10-09 16:18:08.744000 4.552 3.87584 Clear 0 929.828 52.05 4 2844746
2014-10-09 16:18:08.844000 4.546 3.87036 Clear 0 929.73 52.069 4 2844746
2014-10-09 16:18:08.944000 4.55 3.87375 Clear 0 929.633 52.088 4 2844746
2014-10-09 16:18:09.044000 4.566 3.88956 Clear 0 929.536 52.107 4 2844746
2014-10-09 16:18:09.144000 4.542 3.86562 Clear 0 929.44 52.126 4 2844746
2014-10-09 16:18:09.244000 4.51 3.83422 Clear 0 929.344 52.146 4 2844746
2014-10-09 16:18:09.344000 4.469 3.79265 Clear 0 929.249 52.165 4 2844746
2014-10-09 16:18:09.444000 4.433 3.75703 Clear 0 929.154 52.184 4 2844746
2014-10-09 16:18:09.544000 4.459 3.78245 Clear 0 929.06 52.203 4 2844746
2014-10-09 16:18:09.644000 4.427 3.75129 Clear 0 928.966 52.222 4 2844746
2014-10-09 16:18:09.744000 4.434 3.75837 Clear 0 928.873 52.242 4 2844746
2014-10-09 16:18:09.844000 4.412 3.73571 Clear 0 928.78 52.261 4 2844746
2014-10-09 16:18:09.944000 4.387 3.71099 Clear 0 928.688 52.28 4 2844746
2014-10-09 16:18:10.044000 4.387 3.71076 Clear 0 928.597 52.3 4 2844746
2014-10-09 16:18:10.144000 4.368 3.69174 Clear 0 928.506 52.319 4 2844746
2014-10-09 16:18:10.244000 4.395 3.71885 Clear 0 928.415 52.338 4 2844746
2014-10-09 16:18:10.344000 4.386 3.71033 Clear 0 928.325 52.358 4 2844746
2014-10-09 16:18:10.444000 4.365 3.68779 Clear 0 928.236 52.377 4 2844746
2014-10-09 16:18:10.544000 4.366 3.68887 Clear 0 928.147 52.397 4 2844746
2014-10-09 16:18:10.644000 4.397 3.71967 Clear 0 928.058 52.416 4 2844746
2014-10-09 16:18:10.744000 4.41 3.73332 Clear 0 927.97 52.436 4 2844746
