# satellite: 1613 OV1-2 / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 53057
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-07-16 18:57:19.176000 7.739 9.76998 Clear 0 3573.634 13.63 9 737744
2014-07-16 18:57:19.276000 7.4 9.43108 Clear 0 3573.483 13.622 9 737744
2014-07-16 18:57:19.376000 7.348 9.37897 Clear 0 3573.333 13.613 9 737744
2014-07-16 18:57:19.476000 7.143 9.17416 Clear 0 3573.182 13.605 9 737744
2014-07-16 18:57:19.576000 7.666 9.69741 Clear 0 3573.032 13.596 9 737744
2014-07-16 18:57:19.676000 7.568 9.59806 Clear 0 3572.882 13.588 9 737744
2014-07-16 18:57:19.776000 7.696 9.72639 Clear 0 3572.732 13.579 9 737744
2014-07-16 18:57:19.876000 7.187 9.21651 Clear 0 3572.582 13.571 9 737744
2014-07-16 18:57:19.976000 7.854 9.88352 Clear 0 3572.432 13.562 9 737744
2014-07-16 18:57:20.076000 7.654 9.68345 Clear 0 3572.282 13.554 9 737744
2014-07-16 18:57:20.176000 7.534 9.56439 Clear 0 3572.132 13.545 9 737744
2014-07-16 18:57:20.276000 6.905 8.93463 Clear 0 3571.982 13.537 9 737744
2014-07-16 18:57:20.376000 7.523 9.55294 Clear 0 3571.833 13.528 9 737744
2014-07-16 18:57:20.476000 7.256 9.28595 Clear 0 3571.683 13.52 9 737744
2014-07-16 18:57:20.576000 7.787 9.81595 Clear 0 3571.534 13.511 9 737744
2014-07-16 18:57:20.676000 7.881 9.90973 Clear 0 3571.384 13.503 9 737744
2014-07-16 18:57:20.776000 7.631 9.65958 Clear 0 3571.235 13.494 9 737744
2014-07-16 18:57:21.176000 7.146 9.17481 Clear 0 3570.639 13.461 9 737744
2014-07-16 18:57:21.276000 7.342 9.37046 Clear 0 3570.49 13.452 9 737744
2014-07-16 18:57:21.376000 7.763 9.79187 Clear 0 3570.341 13.444 9 737744
2014-07-16 18:57:21.476000 7.884 9.91163 Clear 0 3570.192 13.435 9 737744
2014-07-16 18:57:21.576000 7.585 9.61336 Clear 0 3570.044 13.427 9 737744
2014-07-16 18:57:21.676000 6.973 9.00069 Clear 0 3569.895 13.418 9 737744
2014-07-16 18:57:21.876000 7.49 9.51842 Clear 0 3569.598 13.401 9 737744
2014-07-16 18:57:21.976000 7.63 9.65758 Clear 0 3569.45 13.393 9 737744
2014-07-16 18:57:22.076000 6.675 8.70264 Clear 0 3569.302 13.384 9 737744
2014-07-16 18:57:22.276000 7.453 9.4811 Clear 0 3569.005 13.367 9 737744
2014-07-16 18:57:22.376000 7.316 9.34343 Clear 0 3568.857 13.359 9 737744
2014-07-16 18:57:22.676000 7.404 9.43067 Clear 0 3568.414 13.334 9 737744
2014-07-16 18:57:22.776000 7.804 9.83055 Clear 0 3568.266 13.325 9 737744
2014-07-16 18:57:22.876000 7.515 9.54161 Clear 0 3568.119 13.317 9 737744
2014-07-16 18:57:22.976000 7.166 9.193 Clear 0 3567.971 13.308 9 737744
2014-07-16 18:57:23.076000 7.132 9.1585 Clear 0 3567.824 13.3 9 737744
