# satellite: 27942 UK-DMC / UK
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 19015
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-11-13 15:54:36.840000 10.817 9.55947 Clear 1 738.245 42.374 5 4351148
2014-11-13 15:54:36.940000 8.842 7.58468 Clear 1 738.14 42.385 5 4351148
2014-11-13 15:54:37.040000 9.172 7.91476 Clear 1 738.036 42.397 5 4351148
2014-11-13 15:54:37.140000 9.049 7.79069 Clear 1 737.933 42.409 5 4351148
2014-11-13 15:54:37.240000 8.849 7.59072 Clear 1 737.831 42.421 5 4351148
2014-11-13 15:54:37.340000 9.07 7.81206 Clear 1 737.729 42.433 5 4351148
2014-11-13 15:54:37.440000 9.15 7.89218 Clear 1 737.628 42.446 5 4351148
2014-11-13 15:54:37.540000 8.699 7.43964 Clear 1 737.528 42.458 5 4351148
2014-11-13 15:54:37.640000 9.051 7.79234 Clear 1 737.428 42.47 5 4351148
2014-11-13 15:54:37.740000 8.877 7.61822 Clear 1 737.329 42.482 5 4351148
2014-11-13 15:54:37.840000 8.856 7.59715 Clear 1 737.231 42.495 5 4351148
2014-11-13 15:54:37.940000 8.847 7.58778 Clear 1 737.133 42.507 5 4351148
2014-11-13 15:54:38.040000 8.854 7.59419 Clear 1 737.036 42.52 5 4351148
2014-11-13 15:54:38.140000 8.68 7.41984 Clear 1 736.94 42.532 5 4351148
2014-11-13 15:54:38.240000 8.72 7.45956 Clear 1 736.844 42.545 5 4351148
2014-11-13 15:54:38.340000 9.047 7.78657 Clear 1 736.749 42.558 5 4351148
2014-11-13 15:54:38.440000 8.92 7.66 Clear 1 736.655 42.57 5 4351148
2014-11-13 15:54:38.540000 8.775 7.51483 Clear 1 736.562 42.583 5 4351148
2014-11-13 15:54:38.640000 8.745 7.48386 Clear 1 736.469 42.596 5 4351148
2014-11-13 15:54:38.740000 8.63 7.36916 Clear 1 736.377 42.609 5 4351148
2014-11-13 15:54:38.840000 8.625 7.36422 Clear 1 736.285 42.622 5 4351148
2014-11-13 15:54:38.940000 8.727 7.46617 Clear 1 736.195 42.635 5 4351148
2014-11-13 15:54:39.040000 8.809 7.54822 Clear 1 736.105 42.648 5 4351148
2014-11-13 15:54:39.140000 8.749 7.48796 Clear 1 736.015 42.661 5 4351148
2014-11-13 15:54:39.240000 8.639 7.3771 Clear 1 735.927 42.675 5 4351148
2014-11-13 15:54:39.340000 8.639 7.37683 Clear 1 735.839 42.688 5 4351148
2014-11-13 15:54:39.440000 8.66 7.39774 Clear 1 735.751 42.701 5 4351148
2014-11-13 15:54:39.540000 8.623 7.36054 Clear 1 735.665 42.715 5 4351148
2014-11-13 15:54:39.640000 8.639 7.37669 Clear 1 735.579 42.728 5 4351148
2014-11-13 15:54:39.740000 8.676 7.4139 Clear 1 735.494 42.742 5 4351148
2014-11-13 15:54:39.840000 8.679 7.41577 Clear 1 735.409 42.756 5 4351148
2014-11-13 15:54:39.940000 8.627 7.36372 Clear 1 735.325 42.769 5 4351148
2014-11-13 15:54:40.040000 8.603 7.33996 Clear 1 735.242 42.783 5 4351148
2014-11-13 15:54:40.140000 8.61 7.34688 Clear 1 735.16 42.797 5 4351148
2014-11-13 15:54:40.240000 8.544 7.28127 Clear 1 735.078 42.811 5 4351148
2014-11-13 15:54:40.340000 8.517 7.25421 Clear 1 734.997 42.825 5 4351148
2014-11-13 15:54:40.440000 8.722 7.45847 Clear 1 734.917 42.839 5 4351148
2014-11-13 15:54:40.540000 8.471 7.20676 Clear 1 734.837 42.853 5 4351148
2014-11-13 15:54:40.640000 8.459 7.19532 Clear 1 734.758 42.867 5 4351148
2014-11-13 15:54:40.740000 8.588 7.32376 Clear 1 734.68 42.881 5 4351148
2014-11-13 15:54:40.840000 8.606 7.34188 Clear 1 734.602 42.895 5 4351148
2014-11-13 15:54:40.940000 8.497 7.23288 Clear 1 734.526 42.91 5 4351148
2014-11-13 15:54:41.040000 8.518 7.2538 Clear 1 734.449 42.924 5 4351148
2014-11-13 15:54:41.140000 8.586 7.3224 Clear 1 734.374 42.938 5 4351148
2014-11-13 15:54:41.240000 8.537 7.27269 Clear 1 734.299 42.953 5 4351148
