# satellite: 2176 OPS 0082 (TRANSIT 13) / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 16632
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-07-29 00:35:18.475000 9.157 9.23438 Clear 0 960.903 97.901 5 1106142
2014-07-29 00:35:18.575000 8.941 9.01912 Clear 0 961.081 97.927 5 1106142
2014-07-29 00:35:18.675000 9.237 9.31528 Clear 0 961.259 97.954 5 1106142
2014-07-29 00:35:18.775000 10.036 10.1151 Clear 0 961.438 97.98 5 1106142
2014-07-29 00:35:18.875000 9.4 9.48044 Clear 0 961.617 98.006 5 1106142
2014-07-29 00:35:19.075000 10.151 10.2328 Clear 0 961.977 98.058 5 1106142
2014-07-29 00:35:19.175000 9.091 9.17407 Clear 0 962.158 98.084 5 1106142
2014-07-29 00:35:19.275000 9.268 9.35232 Clear 0 962.339 98.11 5 1106142
2014-07-29 00:35:19.375000 9.403 9.48812 Clear 0 962.521 98.136 5 1106142
2014-07-29 00:35:19.575000 9.308 9.39447 Clear 0 962.885 98.188 5 1106142
2014-07-29 00:35:19.675000 8.526 8.61362 Clear 0 963.068 98.214 5 1106142
2014-07-29 00:35:19.975000 8.548 8.63933 Clear 0 963.62 98.292 5 1106142
2014-07-29 00:35:20.075000 8.654 8.74584 Clear 0 963.805 98.318 5 1106142
2014-07-29 00:35:20.275000 9.068 9.16235 Clear 0 964.176 98.37 5 1106142
2014-07-29 00:35:20.475000 9.057 9.15337 Clear 0 964.548 98.422 5 1106142
2014-07-29 00:35:20.575000 9.761 9.85804 Clear 0 964.736 98.448 5 1106142
2014-07-29 00:35:20.775000 8.754 8.85272 Clear 0 965.111 98.499 5 1106142
2014-07-29 00:35:20.875000 9.22 9.31959 Clear 0 965.3 98.525 5 1106142
2014-07-29 00:35:21.075000 9.024 9.12623 Clear 0 965.678 98.577 5 1106142
2014-07-29 00:35:21.275000 10.105 10.209 Clear 0 966.059 98.629 5 1106142
2014-07-29 00:35:21.475000 9.031 9.13671 Clear 0 966.441 98.68 5 1106142
2014-07-29 00:35:21.575000 7.876 7.98319 Clear 0 966.632 98.706 5 1106142
2014-07-29 00:35:21.675000 8.38 8.48831 Clear 0 966.825 98.732 5 1106142
2014-07-29 00:35:21.775000 9.331 9.44001 Clear 0 967.017 98.758 5 1106142
2014-07-29 00:35:21.875000 8.206 8.31564 Clear 0 967.21 98.783 5 1106142
2014-07-29 00:35:21.975000 8.314 8.42461 Clear 0 967.404 98.809 5 1106142
2014-07-29 00:35:22.075000 8.244 8.35545 Clear 0 967.598 98.835 5 1106142
2014-07-29 00:35:22.175000 7.948 8.06096 Clear 0 967.793 98.861 5 1106142
2014-07-29 00:35:22.275000 9.577 9.69105 Clear 0 967.988 98.886 5 1106142
2014-07-29 00:35:22.375000 8.287 8.40234 Clear 0 968.183 98.912 5 1106142
2014-07-29 00:35:22.475000 8.293 8.40938 Clear 0 968.379 98.938 5 1106142
2014-07-29 00:35:22.575000 7.795 7.9124 Clear 0 968.575 98.963 5 1106142
2014-07-29 00:35:22.675000 7.883 8.00073 Clear 0 968.772 98.989 5 1106142
2014-07-29 00:35:22.775000 7.857 7.97545 Clear 0 968.969 99.015 5 1106142
2014-07-29 00:35:22.875000 7.584 7.70386 Clear 0 969.167 99.04 5 1106142
2014-07-29 00:35:22.975000 7.806 7.92692 Clear 0 969.365 99.066 5 1106142
2014-07-29 00:35:23.075000 7.778 7.90001 Clear 0 969.564 99.091 5 1106142
2014-07-29 00:35:23.175000 7.65 7.77311 Clear 0 969.763 99.117 5 1106142
2014-07-29 00:35:23.275000 7.875 7.99853 Clear 0 969.963 99.143 5 1106142
2014-07-29 00:35:23.375000 7.557 7.68233 Clear 0 970.163 99.168 5 1106142
2014-07-29 00:35:23.475000 7.516 7.64147 Clear 0 970.363 99.194 5 1106142
2014-07-29 00:35:23.575000 7.498 7.62531 Clear 0 970.564 99.219 5 1106142
2014-07-29 00:35:23.675000 7.314 7.44164 Clear 0 970.765 99.245 5 1106142
2014-07-29 00:35:23.775000 7.107 7.23605 Clear 0 970.967 99.27 5 1106142
2014-07-29 00:35:23.875000 7.029 7.15922 Clear 0 971.169 99.296 5 1106142
2014-07-29 00:35:23.975000 6.627 6.75757 Clear 0 971.372 99.321 5 1106142
2014-07-29 00:35:24.075000 6.373 6.50458 Clear 0 971.575 99.347 5 1106142
2014-07-29 00:35:24.175000 6.124 6.25704 Clear 0 971.779 99.372 5 1106142
2014-07-29 00:35:24.275000 6.125 6.25891 Clear 0 971.983 99.398 5 1106142
2014-07-29 00:35:24.375000 5.933 6.06816 Clear 0 972.188 99.423 5 1106142
2014-07-29 00:35:24.475000 5.89 6.0262 Clear 0 972.393 99.449 5 1106142
2014-07-29 00:35:24.575000 5.83 5.96818 Clear 0 972.598 99.474 5 1106142
2014-07-29 00:35:24.675000 5.779 5.91793 Clear 0 972.804 99.499 5 1106142
2014-07-29 00:35:24.775000 5.827 5.96687 Clear 0 973.01 99.525 5 1106142
2014-07-29 00:35:24.875000 5.909 6.0503 Clear 0 973.217 99.55 5 1106142
2014-07-29 00:35:24.975000 6.108 6.24964 Clear 0 973.424 99.576 5 1106142
2014-07-29 00:35:25.075000 6.149 6.29175 Clear 0 973.632 99.601 5 1106142
2014-07-29 00:35:25.175000 6.432 6.57576 Clear 0 973.84 99.626 5 1106142
2014-07-29 00:35:25.275000 6.501 6.64602 Clear 0 974.049 99.652 5 1106142
2014-07-29 00:35:25.375000 6.777 6.92248 Clear 0 974.258 99.677 5 1106142
2014-07-29 00:35:25.475000 6.884 7.03055 Clear 0 974.467 99.702 5 1106142
2014-07-29 00:35:25.575000 6.946 7.09427 Clear 0 974.677 99.728 5 1106142
2014-07-29 00:35:25.675000 7.252 7.40076 Clear 0 974.888 99.753 5 1106142
2014-07-29 00:35:25.775000 7.308 7.4576 Clear 0 975.099 99.778 5 1106142
2014-07-29 00:35:25.875000 7.33 7.48137 Clear 0 975.31 99.803 5 1106142
2014-07-29 00:35:25.975000 7.337 7.48929 Clear 0 975.522 99.829 5 1106142
2014-07-29 00:35:26.075000 7.598 7.75139 Clear 0 975.734 99.854 5 1106142
2014-07-29 00:35:26.175000 7.521 7.67476 Clear 0 975.946 99.879 5 1106142
2014-07-29 00:35:26.275000 7.519 7.67425 Clear 0 976.159 99.904 5 1106142
2014-07-29 00:35:26.375000 7.936 8.09159 Clear 0 976.373 99.929 5 1106142
2014-07-29 00:35:26.475000 7.945 8.10173 Clear 0 976.587 99.955 5 1106142
2014-07-29 00:35:26.575000 8.001 8.15869 Clear 0 976.801 99.98 5 1106142
2014-07-29 00:35:26.675000 7.901 8.05997 Clear 0 977.016 100.005 5 1106142
2014-07-29 00:35:26.775000 7.883 8.04323 Clear 0 977.232 100.03 5 1106142
2014-07-29 00:35:26.875000 8.045 8.20641 Clear 0 977.447 100.055 5 1106142
2014-07-29 00:35:26.975000 8.411 8.57328 Clear 0 977.664 100.08 5 1106142
2014-07-29 00:35:27.075000 8.02 8.18296 Clear 0 977.88 100.105 5 1106142
2014-07-29 00:35:27.175000 8.221 8.38614 Clear 0 978.097 100.131 5 1106142
2014-07-29 00:35:27.275000 9.328 9.49432 Clear 0 978.315 100.156 5 1106142
2014-07-29 00:35:27.375000 8.215 8.38171 Clear 0 978.533 100.181 5 1106142
2014-07-29 00:35:27.575000 9.694 9.86296 Clear 0 978.97 100.231 5 1106142
2014-07-29 00:35:27.675000 8.595 8.76457 Clear 0 979.19 100.256 5 1106142
2014-07-29 00:35:27.775000 8.842 9.01266 Clear 0 979.409 100.281 5 1106142
2014-07-29 00:35:27.875000 8.434 8.60617 Clear 0 979.63 100.306 5 1106142
2014-07-29 00:35:27.975000 8.446 8.61909 Clear 0 979.85 100.331 5 1106142
2014-07-29 00:35:28.075000 8.835 9.00863 Clear 0 980.071 100.356 5 1106142
2014-07-29 00:35:28.175000 8.739 8.9135 Clear 0 980.293 100.381 5 1106142
2014-07-29 00:35:28.275000 8.021 8.19654 Clear 0 980.515 100.406 5 1106142
2014-07-29 00:35:28.375000 8.613 8.78951 Clear 0 980.737 100.431 5 1106142
2014-07-29 00:35:28.575000 8.789 8.96821 Clear 0 981.183 100.48 5 1106142
2014-07-29 00:35:28.675000 9.351 9.5314 Clear 0 981.407 100.505 5 1106142
2014-07-29 00:35:28.775000 9.05 9.23113 Clear 0 981.631 100.53 5 1106142
2014-07-29 00:35:28.875000 8.506 8.68812 Clear 0 981.856 100.555 5 1106142
2014-07-29 00:35:29.075000 8.829 9.0142 Clear 0 982.306 100.605 5 1106142
2014-07-29 00:35:29.375000 8.797 8.98514 Clear 0 982.985 100.679 5 1106142
2014-07-29 00:35:29.475000 8.961 9.15036 Clear 0 983.213 100.704 5 1106142
2014-07-29 00:35:29.575000 9.182 9.37204 Clear 0 983.44 100.729 5 1106142
2014-07-29 00:35:29.775000 9.489 9.68091 Clear 0 983.897 100.778 5 1106142
2014-07-29 00:35:29.875000 9.832 10.0247 Clear 0 984.126 100.803 5 1106142
2014-07-29 00:35:29.975000 8.712 8.90563 Clear 0 984.356 100.828 5 1106142
2014-07-29 00:35:30.475000 9.642 9.84181 Clear 0 985.509 100.951 5 1106142
2014-07-29 00:35:30.575000 9.701 9.90175 Clear 0 985.741 100.976 5 1106142
2014-07-29 00:35:30.775000 9.109 9.31226 Clear 0 986.207 101.025 5 1106142
2014-07-29 00:35:30.875000 9.153 9.35692 Clear 0 986.44 101.05 5 1106142
2014-07-29 00:35:31.175000 9.837 10.0443 Clear 0 987.143 101.123 5 1106142
2014-07-29 00:35:31.575000 8.681 8.89332 Clear 0 988.085 101.221 5 1106142
2014-07-29 00:35:31.775000 8.357 8.57097 Clear 0 988.559 101.27 5 1106142
2014-07-29 00:35:32.575000 10.058 10.2796 Clear 0 990.473 101.466 5 1106142
2014-07-29 00:35:32.775000 9.052 9.27668 Clear 0 990.955 101.514 5 1106142
2014-07-29 00:35:33.075000 10.008 10.2363 Clear 0 991.682 101.587 5 1106142
2014-07-29 00:35:33.575000 8.952 9.18537 Clear 0 992.903 101.708 5 1106142
2014-07-29 00:35:33.675000 9.192 9.4257 Clear 0 993.148 101.733 5 1106142
2014-07-29 00:35:33.975000 8.858 9.09592 Clear 0 993.887 101.805 5 1106142
2014-07-29 00:35:34.675000 8.928 9.17395 Clear 0 995.625 101.974 5 1106142
2014-07-31 00:32:15.874000 5.619 5.72258 Clear 0 977.273 97.486 6 1123479
2014-07-31 00:32:15.974000 5.563 5.6675 Clear 0 977.535 97.512 6 1123479
2014-07-31 00:32:16.074000 5.651 5.7572 Clear 0 977.797 97.538 6 1123479
2014-07-31 00:32:16.174000 5.608 5.71636 Clear 0 978.06 97.564 6 1123479
2014-07-31 00:32:16.274000 5.586 5.69541 Clear 0 978.323 97.589 6 1123479
2014-07-31 00:32:16.374000 5.565 5.67517 Clear 0 978.587 97.615 6 1123479
2014-07-31 00:32:16.474000 5.51 5.6206 Clear 0 978.851 97.641 6 1123479
2014-07-31 00:32:16.574000 5.6 5.71217 Clear 0 979.116 97.667 6 1123479
2014-07-31 00:32:16.674000 5.557 5.66973 Clear 0 979.381 97.693 6 1123479
2014-07-31 00:32:16.774000 5.574 5.68869 Clear 0 979.646 97.718 6 1123479
2014-07-31 00:32:16.874000 5.607 5.72323 Clear 0 979.912 97.744 6 1123479
2014-07-31 00:32:16.974000 5.562 5.67897 Clear 0 980.178 97.77 6 1123479
2014-07-31 00:32:17.074000 5.511 5.6289 Clear 0 980.445 97.795 6 1123479
2014-07-31 00:32:17.174000 5.592 5.71092 Clear 0 980.712 97.821 6 1123479
2014-07-31 00:32:17.274000 5.585 5.70455 Clear 0 980.979 97.847 6 1123479
2014-07-31 00:32:17.374000 5.535 5.6558 Clear 0 981.247 97.872 6 1123479
2014-07-31 00:32:17.474000 5.54 5.66279 Clear 0 981.515 97.898 6 1123479
2014-07-31 00:32:17.574000 5.6 5.7236 Clear 0 981.784 97.924 6 1123479
2014-07-31 00:32:17.674000 5.632 5.75653 Clear 0 982.053 97.949 6 1123479
2014-07-31 00:32:17.774000 5.62 5.7458 Clear 0 982.323 97.975 6 1123479
2014-07-31 00:32:17.874000 5.581 5.70832 Clear 0 982.593 98.001 6 1123479
2014-07-31 00:32:17.974000 5.612 5.73992 Clear 0 982.863 98.026 6 1123479
2014-07-31 00:32:18.074000 5.631 5.76032 Clear 0 983.134 98.052 6 1123479
2014-07-31 00:32:18.174000 5.615 5.74569 Clear 0 983.405 98.077 6 1123479
2014-07-31 00:32:18.274000 5.673 5.80531 Clear 0 983.677 98.103 6 1123479
2014-07-31 00:32:18.374000 5.663 5.79571 Clear 0 983.949 98.128 6 1123479
2014-07-31 00:32:18.474000 5.682 5.81552 Clear 0 984.222 98.154 6 1123479
2014-07-31 00:32:18.574000 5.646 5.78066 Clear 0 984.494 98.179 6 1123479
2014-07-31 00:32:18.674000 5.617 5.7533 Clear 0 984.768 98.205 6 1123479
2014-07-31 00:32:18.774000 5.697 5.83461 Clear 0 985.042 98.23 6 1123479
2014-07-31 00:32:18.874000 5.702 5.8406 Clear 0 985.316 98.256 6 1123479
2014-07-31 00:32:18.974000 5.742 5.88231 Clear 0 985.59 98.281 6 1123479
2014-07-31 00:32:19.074000 5.8 5.94087 Clear 0 985.865 98.306 6 1123479
2014-07-31 00:32:19.174000 5.775 5.91696 Clear 0 986.141 98.332 6 1123479
2014-07-31 00:32:19.274000 5.765 5.90776 Clear 0 986.416 98.357 6 1123479
2014-07-31 00:32:19.374000 5.798 5.94336 Clear 0 986.693 98.382 6 1123479
2014-07-31 00:32:19.474000 5.74 5.88596 Clear 0 986.969 98.408 6 1123479
2014-07-31 00:32:19.574000 5.748 5.89515 Clear 0 987.246 98.433 6 1123479
2014-07-31 00:32:19.674000 5.811 5.9585 Clear 0 987.524 98.458 6 1123479
2014-07-31 00:32:19.774000 5.817 5.96564 Clear 0 987.801 98.484 6 1123479
2014-07-31 00:32:19.874000 5.82 5.96961 Clear 0 988.08 98.509 6 1123479
2014-07-31 00:32:19.974000 5.875 6.02738 Clear 0 988.358 98.534 6 1123479
2014-07-31 00:32:20.074000 5.876 6.02863 Clear 0 988.637 98.559 6 1123479
2014-07-31 00:32:20.174000 5.857 6.01136 Clear 0 988.917 98.585 6 1123479
2014-07-31 00:32:20.274000 5.912 6.0671 Clear 0 989.197 98.61 6 1123479
2014-07-31 00:32:20.374000 5.92 6.0758 Clear 0 989.477 98.635 6 1123479
2014-07-31 00:32:20.474000 5.952 6.10868 Clear 0 989.758 98.66 6 1123479
2014-07-31 00:32:20.574000 5.976 6.13475 Clear 0 990.039 98.685 6 1123479
2014-07-31 00:32:20.674000 5.927 6.08694 Clear 0 990.32 98.711 6 1123479
2014-07-31 00:32:20.774000 5.956 6.11733 Clear 0 990.602 98.736 6 1123479
2014-07-31 00:32:20.874000 6.023 6.18517 Clear 0 990.885 98.761 6 1123479
2014-07-31 00:32:20.974000 5.938 6.10097 Clear 0 991.168 98.786 6 1123479
2014-07-31 00:32:21.074000 5.983 6.14669 Clear 0 991.451 98.811 6 1123479
2014-07-31 00:32:21.174000 5.994 6.15954 Clear 0 991.734 98.836 6 1123479
2014-07-31 00:32:21.274000 6.084 6.25067 Clear 0 992.018 98.861 6 1123479
2014-07-31 00:32:21.374000 6.001 6.16938 Clear 0 992.303 98.886 6 1123479
2014-07-31 00:32:21.474000 6.091 6.25954 Clear 0 992.587 98.911 6 1123479
2014-07-31 00:32:21.574000 6.017 6.18657 Clear 0 992.872 98.936 6 1123479
2014-07-31 00:32:21.674000 6.168 6.33979 Clear 0 993.158 98.961 6 1123479
2014-07-31 00:32:21.774000 6.057 6.22977 Clear 0 993.444 98.986 6 1123479
2014-07-31 00:32:21.874000 6.128 6.30198 Clear 0 993.73 99.011 6 1123479
2014-07-31 00:32:21.974000 6.103 6.27751 Clear 0 994.017 99.036 6 1123479
2014-07-31 00:32:22.074000 6.032 6.20754 Clear 0 994.304 99.061 6 1123479
