# satellite: 40016 SAUDISAT 4 / SAUD
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 12150
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-07-07 20:32:59.064000 10.197 9.86331 Clear 0 768.911 101.196 4 618029
2014-07-07 20:32:59.164000 8.393 8.05748 Clear 0 768.678 101.152 4 618029
2014-07-07 20:32:59.264000 7.831 7.49418 Clear 0 768.447 101.107 4 618029
2014-07-07 20:32:59.364000 8.904 8.5645 Clear 0 768.216 101.063 4 618029
2014-07-07 20:32:59.464000 7.887 7.54702 Clear 0 767.986 101.019 4 618029
2014-07-07 20:32:59.564000 8.386 8.04359 Clear 0 767.756 100.974 4 618029
2014-07-07 20:32:59.664000 7.452 7.10769 Clear 0 767.527 100.929 4 618029
2014-07-07 20:32:59.764000 7.465 7.11945 Clear 0 767.298 100.885 4 618029
2014-07-07 20:32:59.864000 7.779 7.4315 Clear 0 767.07 100.84 4 618029
2014-07-07 20:32:59.964000 8.014 7.66528 Clear 0 766.843 100.796 4 618029
2014-07-07 20:33:00.064000 8.225 7.87541 Clear 0 766.617 100.751 4 618029
2014-07-07 20:33:00.164000 7.755 7.40306 Clear 0 766.391 100.706 4 618029
2014-07-07 20:33:00.264000 7.799 7.44541 Clear 0 766.165 100.662 4 618029
2014-07-07 20:33:00.364000 7.965 7.60981 Clear 0 765.941 100.617 4 618029
2014-07-07 20:33:00.464000 8.021 7.66399 Clear 0 765.717 100.572 4 618029
2014-07-07 20:33:00.564000 7.642 7.28287 Clear 0 765.493 100.527 4 618029
2014-07-07 20:33:00.664000 9.407 9.04685 Clear 0 765.271 100.482 4 618029
2014-07-07 20:33:00.764000 8.118 7.75549 Clear 0 765.049 100.438 4 618029
2014-07-07 20:33:00.864000 8.249 7.88446 Clear 0 764.827 100.393 4 618029
2014-07-07 20:33:00.964000 9.059 8.69364 Clear 0 764.606 100.348 4 618029
2014-07-07 20:33:01.064000 8.009 7.64191 Clear 0 764.386 100.303 4 618029
