# satellite: 31490 YAOGAN 2 / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 19794
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-14 21:01:55.313000 6.976 5.97377 Clear 0 696.944 76.964 7 429882
2014-06-14 21:01:55.413000 6.926 5.92467 Clear 0 696.991 77.023 7 429882
2014-06-14 21:01:55.513000 6.854 5.85394 Clear 0 697.04 77.082 7 429882
2014-06-14 21:01:55.613000 6.931 5.93218 Clear 0 697.089 77.14 7 429882
2014-06-14 21:01:55.713000 6.919 5.92115 Clear 0 697.139 77.199 7 429882
2014-06-14 21:01:55.813000 6.911 5.91398 Clear 0 697.19 77.258 7 429882
2014-06-14 21:01:55.913000 6.842 5.84634 Clear 0 697.241 77.317 7 429882
2014-06-14 21:01:56.013000 6.833 5.83792 Clear 0 697.294 77.376 7 429882
2014-06-14 21:01:56.113000 6.917 5.92285 Clear 0 697.347 77.435 7 429882
2014-06-14 21:01:56.213000 6.899 5.90558 Clear 0 697.401 77.494 7 429882
2014-06-14 21:01:56.313000 6.903 5.91072 Clear 0 697.455 77.552 7 429882
2014-06-14 21:01:56.413000 6.871 5.87959 Clear 0 697.51 77.611 7 429882
2014-06-14 21:01:56.513000 6.878 5.88764 Clear 0 697.566 77.67 7 429882
2014-06-14 21:01:56.613000 6.838 5.84854 Clear 0 697.623 77.729 7 429882
2014-06-14 21:01:56.713000 6.824 5.83649 Clear 0 697.681 77.788 7 429882
2014-06-14 21:01:56.813000 6.86 5.87372 Clear 0 697.739 77.846 7 429882
2014-06-14 21:01:56.913000 6.781 5.79603 Clear 0 697.798 77.905 7 429882
2014-06-14 21:01:57.013000 6.876 5.89164 Clear 0 697.858 77.964 7 429882
2014-06-14 21:01:57.113000 6.858 5.87475 Clear 0 697.918 78.023 7 429882
2014-06-14 21:01:57.213000 6.858 5.87604 Clear 0 697.98 78.081 7 429882
2014-06-14 21:01:57.313000 6.898 5.91687 Clear 0 698.042 78.14 7 429882
2014-06-14 21:01:57.413000 6.931 5.95085 Clear 0 698.104 78.199 7 429882
2014-06-14 21:01:57.513000 6.983 6.00427 Clear 0 698.168 78.258 7 429882
2014-06-14 21:01:57.613000 6.972 5.99347 Clear 0 698.232 78.316 7 429882
2014-06-14 21:01:57.713000 6.922 5.94493 Clear 0 698.297 78.375 7 429882
2014-06-14 21:01:57.813000 6.939 5.96363 Clear 0 698.363 78.434 7 429882
2014-06-14 21:01:57.913000 6.901 5.92723 Clear 0 698.43 78.493 7 429882
2014-06-14 21:01:58.013000 6.898 5.92456 Clear 0 698.497 78.551 7 429882
2014-06-14 21:01:58.113000 6.906 5.93382 Clear 0 698.565 78.61 7 429882
2014-06-14 21:01:58.213000 6.818 5.84677 Clear 0 698.634 78.669 7 429882
2014-06-14 21:01:58.313000 6.981 6.01136 Clear 0 698.703 78.727 7 429882
2014-06-14 21:01:58.413000 6.874 5.90447 Clear 0 698.774 78.786 7 429882
2014-06-14 21:01:58.513000 6.984 6.01618 Clear 0 698.845 78.845 7 429882
2014-06-14 21:01:58.613000 6.883 5.91742 Clear 0 698.916 78.903 7 429882
2014-06-14 21:01:58.713000 6.881 5.91594 Clear 0 698.989 78.962 7 429882
2014-06-14 21:01:58.813000 6.918 5.95427 Clear 0 699.062 79.021 7 429882
