# satellite: 2980 OPS 1264 (DMSP 4A F4) / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 16880
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-04 20:22:03.117000 7.962 8.12201 Clear 0 858.102 111.281 3 452
2014-06-04 20:22:03.217000 8.727 8.88508 Clear 0 857.695 111.246 3 452
2014-06-04 20:22:03.317000 8.735 8.89084 Clear 0 857.288 111.212 3 452
2014-06-04 20:22:03.417000 8.77 8.9236 Clear 0 856.881 111.177 3 452
2014-06-04 20:22:03.517000 8.045 8.19704 Clear 0 856.475 111.143 3 452
2014-06-04 20:22:03.617000 8.094 8.24387 Clear 0 856.069 111.108 3 452
2014-06-04 20:22:03.717000 8.527 8.67484 Clear 0 855.664 111.073 3 452
2014-06-04 20:22:03.817000 8.586 8.73199 Clear 0 855.259 111.038 3 452
2014-06-04 20:22:03.917000 8.71 8.85346 Clear 0 854.854 111.004 3 452
2014-06-04 20:22:04.017000 8.178 8.31968 Clear 0 854.45 110.969 3 452
2014-06-04 20:22:04.117000 8.501 8.64115 Clear 0 854.047 110.934 3 452
2014-06-04 20:22:04.317000 8.269 8.40464 Clear 0 853.241 110.864 3 452
2014-06-04 20:22:04.417000 8.249 8.38315 Clear 0 852.838 110.829 3 452
2014-06-04 20:22:04.517000 8.166 8.29811 Clear 0 852.437 110.794 3 452
2014-06-04 20:22:04.617000 9.007 9.13706 Clear 0 852.035 110.759 3 452
2014-06-04 20:22:04.817000 8.451 8.57645 Clear 0 851.234 110.689 3 452
2014-06-04 20:22:04.917000 8.652 8.77587 Clear 0 850.833 110.654 3 452
2014-06-04 20:22:05.017000 8.247 8.36897 Clear 0 850.434 110.619 3 452
2014-06-04 20:22:05.117000 8.419 8.53915 Clear 0 850.034 110.584 3 452
2014-06-04 20:22:05.217000 8.489 8.60689 Clear 0 849.636 110.549 3 452
2014-06-04 20:22:05.317000 8.354 8.46993 Clear 0 849.237 110.514 3 452
2014-06-04 20:22:05.417000 8.642 8.75572 Clear 0 848.839 110.478 3 452
2014-06-04 20:22:05.517000 8.68 8.79235 Clear 0 848.442 110.443 3 452
2014-06-04 20:22:05.717000 8.958 9.06606 Clear 0 847.648 110.372 3 452
2014-06-04 20:22:05.917000 8.547 8.6508 Clear 0 846.856 110.301 3 452
2014-06-04 20:22:06.317000 9.029 9.12483 Clear 0 845.278 110.159 3 452
2014-06-04 20:22:06.517000 8.427 8.51909 Clear 0 844.492 110.088 3 452
2014-06-04 20:22:06.918000 8.18 8.26412 Clear 0 842.92 109.945 3 452
2014-06-04 20:22:07.218000 8.428 8.50662 Clear 0 841.749 109.837 3 452
2014-06-04 20:22:07.318000 8.342 8.41864 Clear 0 841.36 109.801 3 452
2014-06-04 20:22:07.418000 8.548 8.62302 Clear 0 840.971 109.765 3 452
2014-06-04 20:22:07.518000 8.109 8.1822 Clear 0 840.583 109.729 3 452
2014-06-04 20:22:07.618000 8.321 8.39231 Clear 0 840.195 109.693 3 452
2014-06-04 20:22:07.718000 7.997 8.06585 Clear 0 839.807 109.657 3 452
2014-06-04 20:22:07.818000 7.713 7.78011 Clear 0 839.42 109.621 3 452
2014-06-04 20:22:07.918000 7.836 7.90057 Clear 0 839.033 109.585 3 452
2014-06-04 20:22:08.018000 7.961 8.02442 Clear 0 838.647 109.549 3 452
2014-06-04 20:22:08.118000 7.938 7.99877 Clear 0 838.261 109.513 3 452
2014-06-04 20:22:08.218000 8.205 8.26387 Clear 0 837.876 109.476 3 452
2014-06-04 20:22:08.318000 7.754 7.81134 Clear 0 837.491 109.44 3 452
2014-06-04 20:22:08.418000 7.762 7.81735 Clear 0 837.107 109.404 3 452
2014-06-04 20:22:08.518000 7.821 7.8738 Clear 0 836.723 109.367 3 452
2014-06-04 20:22:08.618000 7.981 8.03155 Clear 0 836.34 109.331 3 452
2014-06-04 20:22:08.718000 8.547 8.5956 Clear 0 835.957 109.295 3 452
2014-06-04 20:22:08.818000 8.001 8.04833 Clear 0 835.574 109.258 3 452
2014-06-04 20:22:08.918000 7.951 7.99639 Clear 0 835.192 109.222 3 452
2014-06-04 20:22:09.018000 8.068 8.11096 Clear 0 834.811 109.185 3 452
2014-06-04 20:22:09.118000 8.036 8.07714 Clear 0 834.43 109.149 3 452
2014-06-04 20:22:09.218000 8.493 8.53182 Clear 0 834.049 109.112 3 452
2014-06-04 20:22:09.318000 8.427 8.46386 Clear 0 833.669 109.075 3 452
2014-06-04 20:22:09.418000 8.033 8.06757 Clear 0 833.289 109.039 3 452
2014-06-04 20:22:09.518000 8.409 8.44194 Clear 0 832.91 109.002 3 452
2014-06-04 20:22:09.618000 8.189 8.21948 Clear 0 832.531 108.965 3 452
2014-06-04 20:22:09.718000 7.914 7.9427 Clear 0 832.153 108.929 3 452
2014-06-04 20:22:09.818000 7.792 7.81941 Clear 0 831.775 108.892 3 452
2014-06-04 20:22:09.918000 8.002 8.02666 Clear 0 831.398 108.855 3 452
2014-06-04 20:22:10.018000 7.922 7.94478 Clear 0 831.021 108.818 3 452
2014-06-04 20:22:10.118000 7.978 7.99974 Clear 0 830.645 108.781 3 452
2014-06-04 20:22:10.218000 7.792 7.81242 Clear 0 830.269 108.744 3 452
2014-06-04 20:22:10.318000 7.828 7.84568 Clear 0 829.893 108.707 3 452
2014-06-04 20:22:10.418000 7.749 7.76522 Clear 0 829.518 108.67 3 452
