# satellite: 28809 OICETS / JPN
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 13126
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2015-09-17 16:55:03.601000 6.773 5.27016 Clear 0 661.735 41.166 9 8772547
2015-09-17 16:55:03.701000 6.805 5.30061 Clear 0 661.427 41.19 9 8772547
2015-09-17 16:55:03.801000 6.831 5.32576 Clear 0 661.119 41.215 9 8772547
2015-09-17 16:55:03.901000 6.801 5.2947 Clear 0 660.811 41.24 9 8772547
2015-09-17 16:55:04.001000 6.8 5.29256 Clear 0 660.505 41.265 9 8772547
2015-09-17 16:55:04.101000 6.814 5.3061 Clear 0 660.199 41.289 9 8772547
2015-09-17 16:55:04.201000 6.777 5.26919 Clear 0 659.893 41.314 9 8772547
2015-09-17 16:55:04.301000 6.824 5.31508 Clear 0 659.589 41.34 9 8772547
2015-09-17 16:55:04.401000 6.816 5.30637 Clear 0 659.285 41.365 9 8772547
2015-09-17 16:55:04.501000 6.853 5.34213 Clear 0 658.981 41.39 9 8772547
2015-09-17 16:55:04.601000 6.865 5.3531 Clear 0 658.679 41.415 9 8772547
2015-09-17 16:55:04.701000 6.837 5.32533 Clear 0 658.377 41.441 9 8772547
2015-09-17 16:55:04.801000 6.843 5.32999 Clear 0 658.076 41.466 9 8772547
2015-09-17 16:55:04.901000 6.86 5.3459 Clear 0 657.775 41.492 9 8772547
2015-09-17 16:55:05.001000 6.813 5.29781 Clear 0 657.475 41.517 9 8772547
2015-09-17 16:55:05.101000 6.738 5.22186 Clear 0 657.176 41.543 9 8772547
2015-09-17 16:55:05.201000 6.729 5.21247 Clear 0 656.878 41.569 9 8772547
2015-09-17 16:55:05.301000 6.782 5.26473 Clear 0 656.58 41.595 9 8772547
2015-09-17 16:55:05.401000 6.796 5.27822 Clear 0 656.283 41.621 9 8772547
2015-09-17 16:55:05.501000 6.779 5.26013 Clear 0 655.987 41.647 9 8772547
2015-09-17 16:55:05.601000 6.803 5.28307 Clear 0 655.691 41.673 9 8772547
2015-09-17 16:55:05.701000 6.836 5.31629 Clear 0 655.396 41.699 9 8772547
2015-09-17 16:55:05.801000 6.841 5.32014 Clear 0 655.102 41.725 9 8772547
2015-09-17 16:55:05.901000 6.84 5.31816 Clear 0 654.808 41.752 9 8772547
2015-09-17 16:55:06.001000 6.845 5.32195 Clear 0 654.515 41.778 9 8772547
2015-09-17 16:55:06.101000 6.868 5.34441 Clear 0 654.223 41.805 9 8772547
2015-09-17 16:55:06.201000 6.88 5.35637 Clear 0 653.931 41.832 9 8772547
2015-09-17 16:55:06.301000 6.86 5.33538 Clear 0 653.64 41.858 9 8772547
2015-09-17 16:55:06.401000 6.875 5.34942 Clear 0 653.35 41.885 9 8772547
2015-09-17 16:55:06.501000 6.894 5.36648 Clear 0 653.061 41.912 9 8772547
2015-09-17 16:55:06.601000 6.885 5.3582 Clear 0 652.772 41.939 9 8772547
2015-09-17 16:55:06.701000 6.863 5.33503 Clear 0 652.484 41.966 9 8772547
2015-09-17 16:55:06.801000 6.89 5.36137 Clear 0 652.197 41.993 9 8772547
2015-09-17 16:55:06.901000 6.899 5.36907 Clear 0 651.91 42.02 9 8772547
2015-09-17 16:55:07.001000 6.905 5.37502 Clear 0 651.624 42.048 9 8772547
2015-09-17 16:55:07.101000 6.909 5.37833 Clear 0 651.339 42.075 9 8772547
2015-09-17 16:55:07.201000 6.895 5.36288 Clear 0 651.055 42.102 9 8772547
2015-09-17 16:55:07.301000 6.917 5.38355 Clear 0 650.771 42.13 9 8772547
2015-09-17 16:55:07.401000 6.904 5.37118 Clear 0 650.488 42.158 9 8772547
2015-09-17 16:55:07.501000 6.926 5.39184 Clear 0 650.205 42.185 9 8772547
2015-09-17 16:55:07.601000 6.904 5.36899 Clear 0 649.924 42.213 9 8772547
2015-09-17 16:55:07.701000 6.902 5.36612 Clear 0 649.643 42.241 9 8772547
2015-09-17 16:55:07.801000 6.936 5.39958 Clear 0 649.363 42.269 9 8772547
2015-09-17 16:55:07.901000 6.937 5.39961 Clear 0 649.083 42.297 9 8772547
2015-09-17 16:55:08.001000 6.938 5.3997 Clear 0 648.804 42.325 9 8772547
2015-09-17 16:55:08.101000 6.9 5.36077 Clear 0 648.526 42.353 9 8772547
2015-09-17 16:55:08.201000 6.943 5.40361 Clear 0 648.249 42.381 9 8772547
2015-09-17 16:55:08.301000 6.956 5.41632 Clear 0 647.972 42.41 9 8772547
2015-09-17 16:55:08.401000 6.922 5.38073 Clear 0 647.696 42.438 9 8772547
2015-09-17 16:55:08.501000 6.976 5.43473 Clear 0 647.421 42.467 9 8772547
2015-09-17 16:55:08.601000 7.0 5.45759 Clear 0 647.146 42.495 9 8772547
2015-09-17 16:55:08.701000 6.952 5.40925 Clear 0 646.873 42.524 9 8772547
2015-09-17 16:55:08.801000 6.956 5.41181 Clear 0 646.6 42.553 9 8772547
2015-09-17 16:55:08.901000 6.963 5.41909 Clear 0 646.327 42.582 9 8772547
2015-09-17 16:55:09.001000 6.958 5.41247 Clear 0 646.056 42.611 9 8772547
2015-09-17 16:55:09.101000 6.93 5.38389 Clear 0 645.785 42.64 9 8772547
2015-09-17 16:55:09.201000 6.963 5.41664 Clear 0 645.515 42.669 9 8772547
2015-09-17 16:55:09.301000 6.963 5.41604 Clear 0 645.245 42.698 9 8772547
2015-09-17 16:55:09.401000 6.938 5.38988 Clear 0 644.976 42.727 9 8772547
2015-09-17 16:55:09.501000 6.953 5.40521 Clear 0 644.708 42.756 9 8772547
2015-09-17 16:55:09.601000 6.943 5.39356 Clear 0 644.441 42.786 9 8772547
2015-09-17 16:55:09.701000 6.957 5.407 Clear 0 644.175 42.815 9 8772547
2015-09-17 16:55:09.801000 6.936 5.38615 Clear 0 643.909 42.845 9 8772547
2015-09-17 16:55:09.901000 6.971 5.42005 Clear 0 643.644 42.875 9 8772547
2015-09-17 16:55:10.001000 6.953 5.40126 Clear 0 643.38 42.904 9 8772547
2015-09-17 16:55:10.101000 6.937 5.38529 Clear 0 643.116 42.934 9 8772547
2015-09-17 16:55:10.201000 6.981 5.42797 Clear 0 642.853 42.964 9 8772547
2015-09-17 16:55:10.301000 6.976 5.42146 Clear 0 642.591 42.994 9 8772547
2015-09-17 16:55:10.401000 6.962 5.40839 Clear 0 642.33 43.024 9 8772547
2015-09-17 16:55:10.501000 7.015 5.45946 Clear 0 642.069 43.054 9 8772547
2015-09-17 16:55:10.601000 6.962 5.40623 Clear 0 641.809 43.085 9 8772547
2015-09-17 16:55:10.701000 6.947 5.3913 Clear 0 641.55 43.115 9 8772547
2015-09-17 16:55:10.801000 6.999 5.44228 Clear 0 641.291 43.145 9 8772547
2015-09-17 16:55:10.901000 7.013 5.45502 Clear 0 641.034 43.176 9 8772547
2015-09-17 16:55:11.001000 6.972 5.41376 Clear 0 640.777 43.206 9 8772547
2015-09-17 16:55:11.101000 6.933 5.37358 Clear 0 640.521 43.237 9 8772547
2015-09-17 16:55:11.201000 6.964 5.40433 Clear 0 640.265 43.268 9 8772547
2015-09-17 16:55:11.301000 6.965 5.40531 Clear 0 640.01 43.298 9 8772547
2015-09-17 16:55:11.401000 6.958 5.39712 Clear 0 639.757 43.329 9 8772547
2015-09-17 16:55:11.501000 6.945 5.38439 Clear 0 639.503 43.36 9 8772547
2015-09-17 16:55:11.601000 6.946 5.3841 Clear 0 639.251 43.391 9 8772547
2015-09-17 16:55:11.801000 6.919 5.35619 Clear 0 638.748 43.454 9 8772547
2015-09-17 16:55:11.901000 6.959 5.39506 Clear 0 638.498 43.485 9 8772547
2015-09-17 16:55:12.001000 6.937 5.37168 Clear 0 638.248 43.516 9 8772547
2015-09-17 16:55:12.101000 6.945 5.38035 Clear 0 638.0 43.548 9 8772547
2015-09-17 16:55:12.201000 6.916 5.35005 Clear 0 637.752 43.579 9 8772547
2015-09-17 16:55:12.401000 6.963 5.39625 Clear 0 637.258 43.643 9 8772547
2015-09-17 16:55:12.501000 6.928 5.35993 Clear 0 637.012 43.675 9 8772547
2015-09-17 16:55:12.601000 6.92 5.35188 Clear 0 636.767 43.706 9 8772547
2015-09-17 16:55:12.701000 6.944 5.37532 Clear 0 636.523 43.738 9 8772547
2015-09-17 16:55:12.801000 6.893 5.32416 Clear 0 636.28 43.77 9 8772547
2015-09-17 16:55:12.901000 6.919 5.3485 Clear 0 636.037 43.802 9 8772547
2015-09-17 16:55:13.001000 6.87 5.29867 Clear 0 635.795 43.835 9 8772547
2015-09-17 16:55:13.101000 6.89 5.31864 Clear 0 635.554 43.867 9 8772547
2015-09-17 16:55:13.198000 6.69 5.11827 Clear 0 635.321 43.898 4 8772547
2015-09-17 16:55:13.201000 6.901 5.329 Clear 0 635.314 43.899 9 8772547
2015-09-17 16:55:13.298000 6.699 5.1266 Clear 0 635.081 43.931 4 8772547
2015-09-17 16:55:13.301000 6.897 5.32506 Clear 0 635.074 43.932 9 8772547
2015-09-17 16:55:13.398000 6.707 5.13395 Clear 0 634.842 43.963 4 8772547
2015-09-17 16:55:13.498000 6.717 5.1435 Clear 0 634.604 43.996 4 8772547
2015-09-17 16:55:13.501000 6.882 5.30872 Clear 0 634.597 43.997 9 8772547
2015-09-17 16:55:13.598000 6.674 5.10038 Clear 0 634.367 44.028 4 8772547
2015-09-17 16:55:13.601000 6.855 5.28071 Clear 0 634.36 44.029 9 8772547
2015-09-17 16:55:13.698000 6.698 5.12397 Clear 0 634.13 44.061 4 8772547
2015-09-17 16:55:13.701000 6.873 5.29894 Clear 0 634.123 44.062 9 8772547
2015-09-17 16:55:13.798000 6.676 5.10057 Clear 0 633.894 44.094 4 8772547
2015-09-17 16:55:13.801000 6.862 5.28673 Clear 0 633.887 44.095 9 8772547
2015-09-17 16:55:13.898000 6.709 5.13248 Clear 0 633.659 44.127 4 8772547
2015-09-17 16:55:13.901000 6.828 5.25161 Clear 0 633.652 44.128 9 8772547
2015-09-17 16:55:13.998000 6.714 5.13788 Clear 0 633.425 44.16 4 8772547
2015-09-17 16:55:14.001000 6.85 5.27431 Clear 0 633.418 44.161 9 8772547
2015-09-17 16:55:14.098000 6.703 5.12619 Clear 0 633.191 44.193 4 8772547
2015-09-17 16:55:14.101000 6.884 5.30653 Clear 0 633.184 44.194 9 8772547
2015-09-17 16:55:14.198000 6.673 5.09641 Clear 0 632.959 44.226 4 8772547
2015-09-17 16:55:14.201000 6.841 5.26361 Clear 0 632.952 44.227 9 8772547
2015-09-17 16:55:14.298000 6.643 5.06448 Clear 0 632.727 44.259 4 8772547
2015-09-17 16:55:14.301000 6.825 5.24695 Clear 0 632.72 44.26 9 8772547
2015-09-17 16:55:14.398000 6.652 5.07378 Clear 0 632.496 44.293 4 8772547
2015-09-17 16:55:14.401000 6.827 5.2491 Clear 0 632.489 44.294 9 8772547
2015-09-17 16:55:14.498000 6.653 5.07422 Clear 0 632.265 44.326 4 8772547
2015-09-17 16:55:14.501000 6.837 5.25765 Clear 0 632.258 44.327 9 8772547
2015-09-17 16:55:14.598000 6.65 5.07075 Clear 0 632.035 44.36 4 8772547
2015-09-17 16:55:14.601000 6.808 5.22864 Clear 0 632.029 44.361 9 8772547
2015-09-17 16:55:14.698000 6.671 5.09119 Clear 0 631.807 44.393 4 8772547
2015-09-17 16:55:14.701000 6.807 5.22707 Clear 0 631.8 44.394 9 8772547
2015-09-17 16:55:14.798000 6.636 5.05577 Clear 0 631.578 44.427 4 8772547
2015-09-17 16:55:14.801000 6.772 5.19168 Clear 0 631.572 44.428 9 8772547
2015-09-17 16:55:14.898000 6.682 5.10055 Clear 0 631.351 44.46 4 8772547
2015-09-17 16:55:14.901000 6.846 5.26466 Clear 0 631.344 44.461 9 8772547
2015-09-17 16:55:14.998000 6.656 5.07513 Clear 0 631.124 44.494 4 8772547
2015-09-17 16:55:15.001000 6.77 5.18912 Clear 0 631.118 44.495 9 8772547
2015-09-17 16:55:15.098000 6.655 5.07273 Clear 0 630.899 44.528 4 8772547
2015-09-17 16:55:15.101000 6.794 5.21195 Clear 0 630.892 44.529 9 8772547
2015-09-17 16:55:15.198000 6.696 5.11415 Clear 0 630.674 44.562 4 8772547
2015-09-17 16:55:15.201000 6.783 5.20062 Clear 0 630.667 44.563 9 8772547
2015-09-17 16:55:15.298000 6.665 5.08209 Clear 0 630.449 44.596 4 8772547
2015-09-17 16:55:15.301000 6.762 5.17914 Clear 0 630.443 44.597 9 8772547
2015-09-17 16:55:15.398000 6.659 5.07586 Clear 0 630.226 44.63 4 8772547
2015-09-17 16:55:15.401000 6.766 5.1827 Clear 0 630.219 44.631 9 8772547
2015-09-17 16:55:15.498000 6.661 5.07662 Clear 0 630.003 44.664 4 8772547
2015-09-17 16:55:15.501000 6.748 5.16411 Clear 0 629.997 44.665 9 8772547
2015-09-17 16:55:15.598000 6.682 5.0977 Clear 0 629.781 44.699 4 8772547
2015-09-17 16:55:15.601000 6.732 5.1482 Clear 0 629.775 44.7 9 8772547
2015-09-17 16:55:15.698000 6.677 5.09171 Clear 0 629.56 44.733 4 8772547
2015-09-17 16:55:15.701000 6.753 5.16768 Clear 0 629.554 44.734 9 8772547
2015-09-17 16:55:15.798000 6.666 5.08112 Clear 0 629.34 44.767 4 8772547
2015-09-17 16:55:15.801000 6.717 5.13209 Clear 0 629.333 44.768 9 8772547
2015-09-17 16:55:15.898000 6.7 5.11433 Clear 0 629.12 44.802 4 8772547
2015-09-17 16:55:15.901000 6.767 5.18061 Clear 0 629.114 44.803 9 8772547
2015-09-17 16:55:15.998000 6.649 5.06271 Clear 0 628.902 44.836 4 8772547
2015-09-17 16:55:16.001000 6.722 5.13598 Clear 0 628.895 44.837 9 8772547
2015-09-17 16:55:16.098000 6.671 5.08387 Clear 0 628.684 44.871 4 8772547
2015-09-17 16:55:16.101000 6.733 5.14563 Clear 0 628.677 44.872 9 8772547
2015-09-17 16:55:16.198000 6.62 5.03322 Clear 0 628.467 44.906 4 8772547
2015-09-17 16:55:16.201000 6.708 5.1213 Clear 0 628.46 44.907 9 8772547
2015-09-17 16:55:16.298000 6.665 5.07665 Clear 0 628.25 44.941 4 8772547
2015-09-17 16:55:16.301000 6.739 5.15048 Clear 0 628.244 44.942 9 8772547
2015-09-17 16:55:16.398000 6.674 5.08608 Clear 0 628.035 44.976 4 8772547
2015-09-17 16:55:16.401000 6.741 5.1529 Clear 0 628.028 44.977 9 8772547
2015-09-17 16:55:16.498000 6.692 5.10308 Clear 0 627.82 45.011 4 8772547
2015-09-17 16:55:16.501000 6.738 5.14908 Clear 0 627.813 45.012 9 8772547
2015-09-17 16:55:16.598000 6.65 5.06045 Clear 0 627.606 45.046 4 8772547
2015-09-17 16:55:16.601000 6.661 5.07191 Clear 0 627.599 45.047 9 8772547
2015-09-17 16:55:16.698000 6.71 5.12022 Clear 0 627.392 45.081 4 8772547
2015-09-17 16:55:16.701000 6.719 5.12878 Clear 0 627.386 45.082 9 8772547
2015-09-17 16:55:16.798000 6.676 5.08582 Clear 0 627.18 45.116 4 8772547
2015-09-17 16:55:16.801000 6.743 5.15317 Clear 0 627.174 45.117 9 8772547
