# satellite: 43915 YUNHAI 2 6 / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 55593
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2019-01-29 02:38:50.589000 6.154 6.13807 Clear 0 1352.806 30.563 6 14229022
2019-01-29 02:38:50.689000 6.043 6.02741 Clear 0 1352.504 30.587 6 14229022
2019-01-29 02:38:50.789000 6.179 6.1633 Clear 0 1352.201 30.61 6 14229022
2019-01-29 02:38:50.889000 6.126 6.10923 Clear 0 1351.899 30.633 6 14229022
2019-01-29 02:38:50.989000 6.214 6.19737 Clear 0 1351.597 30.656 6 14229022
2019-01-29 02:38:51.089000 6.157 6.13961 Clear 0 1351.295 30.679 6 14229022
2019-01-29 02:38:51.189000 6.157 6.13911 Clear 0 1350.994 30.703 6 14229022
2019-01-29 02:38:51.289000 6.198 6.18004 Clear 0 1350.692 30.726 6 14229022
2019-01-29 02:38:51.389000 6.169 6.14975 Clear 0 1350.391 30.749 6 14229022
2019-01-29 02:38:51.489000 6.164 6.14482 Clear 0 1350.091 30.772 6 14229022
2019-01-29 02:38:51.589000 6.179 6.16013 Clear 0 1349.79 30.796 6 14229022
2019-01-29 02:38:51.689000 6.136 6.11596 Clear 0 1349.49 30.819 6 14229022
2019-01-29 02:38:51.789000 6.178 6.15837 Clear 0 1349.19 30.842 6 14229022
2019-01-29 02:38:51.889000 6.205 6.18466 Clear 0 1348.89 30.866 6 14229022
2019-01-29 02:38:51.989000 6.149 6.12783 Clear 0 1348.59 30.889 6 14229022
2019-01-29 02:38:52.089000 6.124 6.10334 Clear 0 1348.291 30.912 6 14229022
2019-01-29 02:38:52.189000 6.112 6.09079 Clear 0 1347.992 30.936 6 14229022
2019-01-29 02:38:52.289000 6.185 6.16317 Clear 0 1347.693 30.959 6 14229022
2019-01-29 02:38:52.389000 6.148 6.12546 Clear 0 1347.394 30.983 6 14229022
2019-01-29 02:38:52.489000 6.208 6.18446 Clear 0 1347.096 31.006 6 14229022
2019-01-29 02:38:52.589000 6.128 6.10513 Clear 0 1346.798 31.029 6 14229022
2019-01-29 02:38:52.689000 6.131 6.10752 Clear 0 1346.5 31.053 6 14229022
2019-01-29 02:38:52.789000 6.136 6.11221 Clear 0 1346.202 31.076 6 14229022
2019-01-29 02:38:52.889000 6.162 6.13793 Clear 0 1345.905 31.1 6 14229022
2019-01-29 02:38:52.989000 6.16 6.13612 Clear 0 1345.608 31.123 6 14229022
2019-01-29 02:38:53.089000 6.206 6.1809 Clear 0 1345.311 31.147 6 14229022
2019-01-29 02:38:53.189000 6.188 6.16331 Clear 0 1345.014 31.17 6 14229022
2019-01-29 02:38:53.289000 6.165 6.14005 Clear 0 1344.718 31.194 6 14229022
2019-01-29 02:38:53.389000 6.122 6.0959 Clear 0 1344.421 31.217 6 14229022
2019-01-29 02:38:53.489000 6.26 6.23414 Clear 0 1344.125 31.241 6 14229022
2019-01-29 02:38:53.589000 6.151 6.12511 Clear 0 1343.83 31.265 6 14229022
2019-01-29 02:38:53.689000 6.187 6.15973 Clear 0 1343.534 31.288 6 14229022
2019-01-29 02:38:53.789000 6.223 6.19567 Clear 0 1343.239 31.312 6 14229022
2019-01-29 02:38:53.889000 6.268 6.24058 Clear 0 1342.944 31.335 6 14229022
2019-01-29 02:38:53.989000 6.161 6.13268 Clear 0 1342.649 31.359 6 14229022
2019-01-29 02:38:54.089000 6.134 6.10642 Clear 0 1342.355 31.383 6 14229022
2019-01-29 02:38:54.189000 6.145 6.11578 Clear 0 1342.06 31.406 6 14229022
2019-01-29 02:38:54.289000 6.215 6.1862 Clear 0 1341.766 31.43 6 14229022
2019-01-29 02:38:54.389000 6.264 6.23511 Clear 0 1341.473 31.454 6 14229022
2019-01-29 02:38:54.489000 6.209 6.1785 Clear 0 1341.179 31.477 6 14229022
2019-01-29 02:38:54.589000 6.266 6.23634 Clear 0 1340.886 31.501 6 14229022
2019-01-29 02:38:54.689000 6.145 6.11492 Clear 0 1340.593 31.525 6 14229022
2019-01-29 02:38:54.789000 6.164 6.13294 Clear 0 1340.3 31.548 6 14229022
