# satellite: 44316 OBJECT G / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 31689
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2019-06-19 00:24:30.986000 6.983 5.77658 Clear 0 643.971 74.791 3 15992576
2019-06-19 00:24:31.086000 7.008 5.80228 Clear 0 643.695 74.831 3 15992576
2019-06-19 00:24:31.186000 6.973 5.76575 Clear 0 643.42 74.871 3 15992576
2019-06-19 00:24:31.286000 6.95 5.74322 Clear 0 643.146 74.912 3 15992576
2019-06-19 00:24:31.386000 7.061 5.85423 Clear 0 642.872 74.952 3 15992576
2019-06-19 00:24:31.486000 6.984 5.77638 Clear 0 642.599 74.993 3 15992576
2019-06-19 00:24:31.586000 6.916 5.70792 Clear 0 642.326 75.033 3 15992576
2019-06-19 00:24:31.686000 6.887 5.67887 Clear 0 642.054 75.073 3 15992576
2019-06-19 00:24:31.786000 6.892 5.68344 Clear 0 641.783 75.114 3 15992576
2019-06-19 00:24:31.886000 6.984 5.77467 Clear 0 641.512 75.155 3 15992576
2019-06-19 00:24:31.986000 6.94 5.7312 Clear 0 641.242 75.195 3 15992576
2019-06-19 00:24:32.086000 6.973 5.76324 Clear 0 640.973 75.236 3 15992576
2019-06-19 00:24:32.186000 6.905 5.69494 Clear 0 640.704 75.277 3 15992576
2019-06-19 00:24:32.286000 6.991 5.78107 Clear 0 640.436 75.317 3 15992576
2019-06-19 00:24:32.386000 6.87 5.65912 Clear 0 640.168 75.358 3 15992576
2019-06-19 00:24:32.486000 6.868 5.65689 Clear 0 639.901 75.399 3 15992576
2019-06-19 00:24:32.586000 6.877 5.66578 Clear 0 639.635 75.44 3 15992576
2019-06-19 00:24:32.686000 6.94 5.72747 Clear 0 639.369 75.481 3 15992576
2019-06-19 00:24:32.786000 6.927 5.71461 Clear 0 639.104 75.522 3 15992576
2019-06-19 00:24:32.886000 6.933 5.72083 Clear 0 638.84 75.563 3 15992576
2019-06-19 00:24:32.986000 6.882 5.66987 Clear 0 638.576 75.604 3 15992576
2019-06-19 00:24:33.086000 6.974 5.76111 Clear 0 638.313 75.645 3 15992576
2019-06-19 00:24:33.186000 6.88 5.66651 Clear 0 638.051 75.686 3 15992576
2019-06-19 00:24:33.286000 6.978 5.76511 Clear 0 637.789 75.727 3 15992576
2019-06-19 00:24:33.386000 6.907 5.69283 Clear 0 637.528 75.769 3 15992576
2019-06-19 00:24:33.486000 7.001 5.78681 Clear 0 637.268 75.81 3 15992576
2019-06-19 00:24:33.586000 6.952 5.73825 Clear 0 637.008 75.851 3 15992576
2019-06-19 00:24:33.686000 6.978 5.76406 Clear 0 636.749 75.893 3 15992576
2019-06-19 00:24:33.786000 6.922 5.70738 Clear 0 636.49 75.934 3 15992576
2019-06-19 00:24:33.886000 6.983 5.76807 Clear 0 636.232 75.976 3 15992576
2019-06-19 00:24:33.986000 6.932 5.71657 Clear 0 635.975 76.017 3 15992576
