# satellite: 44312 OBJECT C / PRC
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 7079
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2019-06-24 22:33:24.894000 9.608 8.40796 Clear 0 588.07 87.287 7 15996718
2019-06-24 22:33:24.994000 9.275 8.07447 Clear 0 588.167 87.305 7 15996718
2019-06-24 22:33:25.094000 9.493 8.29433 Clear 0 588.264 87.323 7 15996718
2019-06-24 22:33:25.194000 9.521 8.3228 Clear 0 588.362 87.341 7 15996718
2019-06-24 22:33:25.294000 10.122 8.9238 Clear 0 588.461 87.358 7 15996718
2019-06-24 22:33:25.394000 9.213 8.01577 Clear 0 588.56 87.376 7 15996718
2019-06-24 22:33:25.494000 9.353 8.15676 Clear 0 588.661 87.394 7 15996718
2019-06-24 22:33:25.594000 9.001 7.80447 Clear 0 588.762 87.412 7 15996718
2019-06-24 22:33:25.694000 9.185 7.99035 Clear 0 588.864 87.43 7 15996718
2019-06-24 22:33:25.794000 9.222 8.02843 Clear 0 588.966 87.447 7 15996718
2019-06-24 22:33:25.894000 9.04 7.84578 Clear 0 589.07 87.465 7 15996718
2019-06-24 22:33:25.994000 9.679 8.48564 Clear 0 589.174 87.483 7 15996718
2019-06-24 22:33:26.194000 9.254 8.06315 Clear 0 589.385 87.518 7 15996718
2019-06-24 22:33:26.294000 9.868 8.67717 Clear 0 589.492 87.536 7 15996718
2019-06-24 22:33:26.394000 9.636 8.44566 Clear 0 589.6 87.554 7 15996718
2019-06-24 22:33:26.494000 10.176 8.98705 Clear 0 589.708 87.572 7 15996718
2019-06-24 22:33:26.494000 9.908 8.71892 Clear 0 589.708 87.572 7 15996718
2019-06-24 22:33:26.594000 9.854 8.66447 Clear 0 589.817 87.59 7 15996718
2019-06-24 22:33:26.594000 9.799 8.61035 Clear 0 589.817 87.59 7 15996718
2019-06-24 22:33:26.694000 10.308 9.11958 Clear 0 589.927 87.607 7 15996718
2019-06-24 22:33:26.794000 10.68 9.49308 Clear 0 590.038 87.625 7 15996718
2019-06-24 22:33:26.794000 10.072 8.88543 Clear 0 590.038 87.625 7 15996718
2019-06-24 22:33:26.894000 10.194 9.00807 Clear 0 590.149 87.643 7 15996718
2019-06-24 22:33:26.894000 9.878 8.69178 Clear 0 590.149 87.643 7 15996718
2019-06-24 22:33:26.894000 10.023 8.83719 Clear 0 590.149 87.643 7 15996718
2019-06-24 22:33:26.994000 9.518 8.33163 Clear 0 590.261 87.661 7 15996718
2019-06-24 22:33:27.094000 9.201 8.0156 Clear 0 590.375 87.678 7 15996718
2019-06-24 22:33:27.194000 9.252 8.0683 Clear 0 590.488 87.696 7 15996718
2019-06-24 22:33:27.294000 9.268 8.08543 Clear 0 590.603 87.714 7 15996718
2019-06-24 22:33:27.394000 9.291 8.10825 Clear 0 590.718 87.732 7 15996718
2019-06-24 22:33:27.494000 9.53 8.34836 Clear 0 590.835 87.749 7 15996718
2019-06-24 22:33:27.594000 9.121 7.93961 Clear 0 590.952 87.767 7 15996718
2019-06-24 22:33:27.694000 9.098 7.91839 Clear 0 591.07 87.785 7 15996718
2019-06-24 22:33:27.794000 9.172 7.99162 Clear 0 591.188 87.803 7 15996718
2019-06-24 22:33:27.894000 8.985 7.80612 Clear 0 591.307 87.821 7 15996718
2019-06-24 22:33:27.994000 9.269 8.09086 Clear 0 591.428 87.838 7 15996718
2019-06-24 22:33:28.094000 9.169 7.9915 Clear 0 591.549 87.856 7 15996718
2019-06-24 22:33:28.194000 9.294 8.11648 Clear 0 591.67 87.874 7 15996718
2019-06-24 22:33:28.294000 8.95 7.77439 Clear 0 591.793 87.892 7 15996718
2019-06-24 22:33:28.394000 8.945 7.76976 Clear 0 591.916 87.909 7 15996718
2019-06-24 22:33:28.494000 9.093 7.91845 Clear 0 592.04 87.927 7 15996718
2019-06-24 22:33:28.594000 9.03 7.85662 Clear 0 592.165 87.945 7 15996718
2019-06-24 22:33:28.694000 9.053 7.88042 Clear 0 592.291 87.963 7 15996718
2019-06-24 22:33:28.794000 9.016 7.84394 Clear 0 592.417 87.98 7 15996718
2019-06-24 22:33:28.894000 9.168 7.99724 Clear 0 592.544 87.998 7 15996718
2019-06-24 22:33:28.994000 9.093 7.92316 Clear 0 592.672 88.016 7 15996718
2019-06-24 22:33:29.094000 9.218 8.04797 Clear 0 592.801 88.033 7 15996718
2019-06-24 22:33:29.194000 9.38 8.21077 Clear 0 592.931 88.051 7 15996718
2019-06-24 22:33:29.294000 9.399 8.23104 Clear 0 593.061 88.069 7 15996718
2019-06-24 22:33:29.394000 9.418 8.25085 Clear 0 593.192 88.087 7 15996718
2019-06-24 22:33:29.494000 9.619 8.45316 Clear 0 593.324 88.104 7 15996718
2019-06-24 22:33:29.594000 9.973 8.80823 Clear 0 593.457 88.122 7 15996718
2019-06-24 22:33:29.694000 9.299 8.13392 Clear 0 593.59 88.14 7 15996718
2019-06-24 22:33:29.794000 9.429 8.26469 Clear 0 593.724 88.157 7 15996718
2019-06-24 22:33:29.894000 9.716 8.55261 Clear 0 593.86 88.175 7 15996718
2019-06-24 22:33:29.994000 9.204 8.0417 Clear 0 593.995 88.193 7 15996718
2019-06-24 22:33:30.094000 9.513 8.35206 Clear 0 594.132 88.211 7 15996718
2019-06-24 22:33:30.194000 9.524 8.36253 Clear 0 594.269 88.228 7 15996718
2019-06-24 22:33:30.294000 9.43 8.27011 Clear 0 594.407 88.246 7 15996718
2019-06-24 22:33:30.394000 9.128 7.96878 Clear 0 594.546 88.264 7 15996718
2019-06-24 22:33:30.494000 9.354 8.19635 Clear 0 594.686 88.281 7 15996718
2019-06-24 22:33:30.594000 9.234 8.07664 Clear 0 594.826 88.299 7 15996718
2019-06-24 22:33:30.694000 10.305 9.14898 Clear 0 594.968 88.317 7 15996718
2019-06-24 22:33:30.794000 10.02 8.86414 Clear 0 595.109 88.334 7 15996718
2019-06-24 22:33:30.894000 9.306 8.15121 Clear 0 595.252 88.352 7 15996718
2019-06-24 22:33:30.994000 10.176 9.02148 Clear 0 595.396 88.37 7 15996718
2019-06-24 22:33:31.094000 9.629 8.47566 Clear 0 595.54 88.387 7 15996718
2019-06-24 22:33:31.194000 9.631 8.47881 Clear 0 595.685 88.405 7 15996718
2019-06-24 22:33:31.294000 10.387 9.23599 Clear 0 595.831 88.423 7 15996718
2019-06-24 22:33:31.394000 10.124 8.9736 Clear 0 595.978 88.44 7 15996718
2019-06-24 22:33:31.494000 10.496 9.34605 Clear 0 596.125 88.458 7 15996718
2019-06-24 22:33:31.594000 9.627 8.47832 Clear 0 596.273 88.476 7 15996718
2019-06-24 22:33:31.694000 9.808 8.66044 Clear 0 596.422 88.493 7 15996718
2019-06-24 22:33:31.794000 10.551 9.40354 Clear 0 596.572 88.511 7 15996718
2019-06-24 22:33:31.894000 10.322 9.17603 Clear 0 596.722 88.529 7 15996718
2019-06-24 22:33:31.994000 9.272 8.12711 Clear 0 596.873 88.546 7 15996718
2019-06-24 22:33:32.194000 9.467 8.32395 Clear 0 597.178 88.581 7 15996718
2019-06-24 22:33:32.294000 9.013 7.86984 Clear 0 597.331 88.599 7 15996718
2019-06-24 22:33:32.394000 9.119 7.97721 Clear 0 597.486 88.617 7 15996718
2019-06-24 22:33:32.494000 9.095 7.95397 Clear 0 597.641 88.634 7 15996718
2019-06-24 22:33:32.594000 9.186 8.0456 Clear 0 597.797 88.652 7 15996718
2019-06-24 22:33:32.694000 9.179 8.04012 Clear 0 597.953 88.669 7 15996718
2019-06-24 22:33:32.794000 9.007 7.86895 Clear 0 598.11 88.687 7 15996718
2019-06-24 22:33:32.894000 9.226 8.08867 Clear 0 598.268 88.705 7 15996718
2019-06-24 22:33:32.994000 9.293 8.15703 Clear 0 598.427 88.722 7 15996718
2019-06-24 22:33:33.094000 9.13 7.99476 Clear 0 598.587 88.74 7 15996718
2019-06-24 22:33:33.194000 9.789 8.65422 Clear 0 598.747 88.757 7 15996718
2019-06-24 22:33:33.294000 9.203 8.06882 Clear 0 598.908 88.775 7 15996718
2019-06-24 22:33:33.394000 9.184 8.05101 Clear 0 599.07 88.792 7 15996718
2019-06-24 22:33:33.494000 9.429 8.2967 Clear 0 599.233 88.81 7 15996718
2019-06-24 22:33:33.594000 9.371 8.24019 Clear 0 599.396 88.827 7 15996718
2019-06-24 22:33:33.694000 9.234 8.10432 Clear 0 599.56 88.845 7 15996718
2019-06-24 22:33:33.794000 9.194 8.06476 Clear 0 599.725 88.862 7 15996718
2019-06-24 22:33:33.894000 9.96 8.83213 Clear 0 599.891 88.88 7 15996718
2019-06-24 22:33:33.994000 9.638 8.51082 Clear 0 600.057 88.898 7 15996718
2019-06-24 22:33:34.094000 9.621 8.49466 Clear 0 600.224 88.915 7 15996718
2019-06-24 22:33:34.194000 9.204 8.07923 Clear 0 600.392 88.933 7 15996718
2019-06-24 22:33:34.294000 10.156 9.03208 Clear 0 600.561 88.95 7 15996718
2019-06-24 22:33:34.394000 9.262 8.13858 Clear 0 600.73 88.968 7 15996718
2019-06-24 22:33:34.494000 10.177 9.05505 Clear 0 600.9 88.985 7 15996718
2019-06-24 22:33:34.594000 9.638 8.51545 Clear 0 601.071 89.003 7 15996718
2019-06-24 22:33:34.694000 10.079 8.95779 Clear 0 601.243 89.02 7 15996718
2019-06-24 22:33:34.794000 9.944 8.82365 Clear 0 601.415 89.037 7 15996718
2019-06-24 22:33:34.894000 9.112 7.99308 Clear 0 601.588 89.055 7 15996718
2019-06-24 22:33:34.994000 8.901 7.78326 Clear 0 601.762 89.072 7 15996718
2019-06-24 22:33:35.094000 8.557 7.44024 Clear 0 601.937 89.09 7 15996718
2019-06-24 22:33:35.194000 8.586 7.46952 Clear 0 602.112 89.107 7 15996718
2019-06-24 22:33:35.294000 8.39 7.2746 Clear 0 602.288 89.125 7 15996718
2019-06-24 22:33:35.394000 8.41 7.29582 Clear 0 602.465 89.142 7 15996718
2019-06-24 22:33:35.494000 8.467 7.35432 Clear 0 602.643 89.16 7 15996718
2019-06-24 22:33:35.594000 8.737 7.62525 Clear 0 602.821 89.177 7 15996718
2019-06-24 22:33:35.694000 8.887 7.77586 Clear 0 603.0 89.194 7 15996718
2019-06-24 22:33:35.794000 9.018 7.90836 Clear 0 603.18 89.212 7 15996718
2019-06-24 22:33:35.894000 9.022 7.91268 Clear 0 603.361 89.229 7 15996718
2019-06-24 22:33:35.994000 9.007 7.89865 Clear 0 603.542 89.247 7 15996718
2019-06-24 22:33:36.094000 9.043 7.93635 Clear 0 603.724 89.264 7 15996718
2019-06-24 22:33:36.194000 9.086 7.98043 Clear 0 603.907 89.281 7 15996718
2019-06-24 22:33:36.394000 9.206 8.1015 Clear 0 604.274 89.316 7 15996718
2019-06-24 22:33:36.494000 9.229 8.12594 Clear 0 604.459 89.333 7 15996718
2019-06-24 22:33:36.594000 9.766 8.66418 Clear 0 604.645 89.351 7 15996718
2019-06-24 22:33:36.694000 10.352 9.25099 Clear 0 604.832 89.368 7 15996718
2019-06-24 22:33:36.794000 9.579 8.47939 Clear 0 605.019 89.385 7 15996718
2019-06-24 22:33:36.894000 10.628 9.52866 Clear 0 605.207 89.403 7 15996718
2019-06-24 22:33:36.994000 10.269 9.1713 Clear 0 605.395 89.42 7 15996718
2019-06-24 22:33:37.094000 9.377 8.28009 Clear 0 605.585 89.437 7 15996718
2019-06-24 22:33:37.194000 9.89 8.79379 Clear 0 605.775 89.455 7 15996718
2019-06-24 22:33:37.394000 9.855 8.76109 Clear 0 606.157 89.489 7 15996718
2019-06-24 22:33:37.494000 9.296 8.20251 Clear 0 606.35 89.507 7 15996718
2019-06-24 22:33:37.594000 9.436 8.34348 Clear 0 606.543 89.524 7 15996718
2019-06-24 22:33:37.694000 9.835 8.74355 Clear 0 606.737 89.541 7 15996718
2019-06-24 22:33:37.794000 9.146 8.05549 Clear 0 606.931 89.558 7 15996718
2019-06-24 22:33:37.894000 9.563 8.47348 Clear 0 607.126 89.576 7 15996718
2019-06-24 22:33:37.994000 10.527 9.43871 Clear 0 607.322 89.593 7 15996718
2019-06-24 22:33:38.094000 9.584 8.49693 Clear 0 607.519 89.61 7 15996718
2019-06-24 22:33:38.194000 9.337 8.25137 Clear 0 607.717 89.627 7 15996718
2019-06-24 22:33:38.294000 9.835 8.74974 Clear 0 607.915 89.644 7 15996718
2019-06-24 22:33:38.394000 10.449 9.36478 Clear 0 608.114 89.662 7 15996718
2019-06-24 22:33:38.494000 10.281 9.19782 Clear 0 608.313 89.679 7 15996718
2019-06-24 22:33:38.594000 9.667 8.58512 Clear 0 608.513 89.696 7 15996718
2019-06-24 22:33:38.694000 9.994 8.91268 Clear 0 608.714 89.713 7 15996718
2019-06-24 22:33:38.794000 10.234 9.15376 Clear 0 608.916 89.73 7 15996718
2019-06-24 22:33:38.994000 9.989 8.91095 Clear 0 609.322 89.765 7 15996718
2019-06-24 22:33:39.094000 10.207 9.12989 Clear 0 609.526 89.782 7 15996718
2019-06-24 22:33:39.294000 10.64 9.5664 Clear 0 609.936 89.816 7 15996718
2019-06-24 22:33:39.594000 10.692 9.62087 Clear 0 610.556 89.867 7 15996718
2019-06-24 22:33:39.694000 10.081 9.01137 Clear 0 610.764 89.885 7 15996718
2019-06-24 22:33:39.994000 10.431 9.36439 Clear 0 611.393 89.936 7 15996718
2019-06-24 22:33:40.694000 10.428 9.36936 Clear 0 612.886 90.055 7 15996718
2019-06-26 19:09:48.692000 9.249 7.84693 Clear 0 697.767 39.213 6 15998093
2019-06-26 19:09:48.792000 9.299 7.89704 Clear 0 697.635 39.19 6 15998093
2019-06-26 19:09:48.992000 9.324 7.9211 Clear 0 697.374 39.143 6 15998093
2019-06-26 19:09:49.092000 9.139 7.73516 Clear 0 697.244 39.12 6 15998093
2019-06-26 19:09:49.192000 9.087 7.68194 Clear 0 697.115 39.097 6 15998093
2019-06-26 19:09:49.292000 9.216 7.81085 Clear 0 696.986 39.074 6 15998093
2019-06-26 19:09:49.492000 9.271 7.86517 Clear 0 696.732 39.028 6 15998093
2019-06-26 19:09:49.592000 9.17 7.76343 Clear 0 696.605 39.005 6 15998093
2019-06-26 19:09:49.792000 9.292 7.88346 Clear 0 696.355 38.96 6 15998093
2019-06-26 19:09:49.892000 9.041 7.63256 Clear 0 696.23 38.937 6 15998093
2019-06-26 19:09:49.992000 9.212 7.80282 Clear 0 696.107 38.914 6 15998093
2019-06-26 19:09:50.192000 9.256 7.84565 Clear 0 695.862 38.869 6 15998093
2019-06-26 19:09:50.292000 9.282 7.87137 Clear 0 695.74 38.847 6 15998093
2019-06-26 19:09:50.392000 9.312 7.90054 Clear 0 695.619 38.824 6 15998093
