# satellite: 26620 SAC C / ARGN
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 45440
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-08-01 01:02:36.199000 4.791 4.63468 Clear 0 864.326 97.806 3 1160094
2014-08-01 01:02:36.299000 4.806 4.64875 Clear 0 863.948 97.769 3 1160094
2014-08-01 01:02:36.399000 4.799 4.64025 Clear 0 863.571 97.732 3 1160094
2014-08-01 01:02:36.499000 4.826 4.66466 Clear 0 863.194 97.695 3 1160094
2014-08-01 01:02:36.599000 4.759 4.59568 Clear 0 862.818 97.658 3 1160094
2014-08-01 01:02:36.699000 4.845 4.68081 Clear 0 862.442 97.621 3 1160094
2014-08-01 01:02:36.799000 4.781 4.61448 Clear 0 862.066 97.584 3 1160094
2014-08-01 01:02:36.899000 4.738 4.57024 Clear 0 861.691 97.547 3 1160094
2014-08-01 01:02:36.999000 4.794 4.62374 Clear 0 861.316 97.51 3 1160094
2014-08-01 01:02:37.099000 4.822 4.65104 Clear 0 860.942 97.473 3 1160094
2014-08-01 01:02:37.199000 4.769 4.59631 Clear 0 860.568 97.436 3 1160094
2014-08-01 01:02:37.299000 4.746 4.57084 Clear 0 860.195 97.399 3 1160094
2014-08-01 01:02:37.399000 4.763 4.58637 Clear 0 859.822 97.362 3 1160094
2014-08-01 01:02:37.499000 4.779 4.60057 Clear 0 859.449 97.325 3 1160094
2014-08-01 01:02:37.599000 4.772 4.59167 Clear 0 859.077 97.288 3 1160094
2014-08-01 01:02:37.699000 4.763 4.58126 Clear 0 858.705 97.25 3 1160094
2014-08-01 01:02:37.799000 4.743 4.55994 Clear 0 858.334 97.213 3 1160094
2014-08-01 01:02:37.899000 4.774 4.58845 Clear 0 857.963 97.176 3 1160094
2014-08-01 01:02:37.999000 4.825 4.63794 Clear 0 857.593 97.138 3 1160094
2014-08-01 01:02:38.099000 4.815 4.62624 Clear 0 857.223 97.101 3 1160094
2014-08-01 01:02:38.199000 4.75 4.56029 Clear 0 856.854 97.064 3 1160094
2014-08-01 01:02:38.299000 4.743 4.55109 Clear 0 856.485 97.026 3 1160094
2014-08-01 01:02:38.399000 4.818 4.62402 Clear 0 856.116 96.989 3 1160094
2014-08-01 01:02:38.499000 4.775 4.57927 Clear 0 855.748 96.951 3 1160094
2014-08-01 01:02:38.599000 4.754 4.55724 Clear 0 855.381 96.914 3 1160094
2014-08-01 01:02:38.699000 4.807 4.60779 Clear 0 855.013 96.876 3 1160094
2014-08-01 01:02:38.799000 4.775 4.57401 Clear 0 854.647 96.838 3 1160094
2014-08-01 01:02:38.899000 4.78 4.57736 Clear 0 854.28 96.801 3 1160094
2014-08-01 01:02:38.999000 4.8 4.5958 Clear 0 853.915 96.763 3 1160094
2014-08-01 01:02:39.099000 4.792 4.58595 Clear 0 853.549 96.725 3 1160094
2014-08-01 01:02:39.199000 4.737 4.52905 Clear 0 853.184 96.688 3 1160094
2014-08-01 01:02:39.299000 4.697 4.48666 Clear 0 852.82 96.65 3 1160094
2014-08-01 01:02:39.399000 4.712 4.50056 Clear 0 852.456 96.612 3 1160094
2014-08-01 01:02:39.499000 4.752 4.53867 Clear 0 852.092 96.574 3 1160094
2014-08-01 01:02:39.599000 4.749 4.53396 Clear 0 851.729 96.536 3 1160094
2014-08-01 01:02:39.699000 4.74 4.52415 Clear 0 851.366 96.499 3 1160094
2014-08-01 01:02:39.799000 4.677 4.45857 Clear 0 851.004 96.461 3 1160094
2014-08-01 01:02:39.899000 4.725 4.50465 Clear 0 850.642 96.423 3 1160094
2014-08-01 01:02:39.999000 4.748 4.52592 Clear 0 850.281 96.385 3 1160094
2014-08-01 01:02:40.099000 4.658 4.43478 Clear 0 849.92 96.347 3 1160094
2014-08-01 01:02:40.199000 4.668 4.4427 Clear 0 849.56 96.309 3 1160094
2014-08-01 01:02:40.299000 4.713 4.48595 Clear 0 849.2 96.27 3 1160094
2014-08-01 01:02:40.399000 4.686 4.45658 Clear 0 848.84 96.232 3 1160094
2014-08-01 01:02:40.499000 4.647 4.41712 Clear 0 848.481 96.194 3 1160094
2014-08-01 01:02:40.599000 4.704 4.472 Clear 0 848.123 96.156 3 1160094
2014-08-01 01:02:40.699000 4.647 4.41315 Clear 0 847.765 96.118 3 1160094
