# satellite: 48313 STARLINK-2541 / US
# catalogue: 1 NORAD
# variability: 1 Aperiodic
# variability_period: None
# npoints: 11373
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-07-01 20:21:02.898000 7.945 6.72105 Clear 0 601.775 83.085 7 19337048
2021-07-01 20:21:02.998000 7.907 6.68234 Clear 0 601.469 83.1 7 19337048
2021-07-01 20:21:03.098000 7.967 6.74172 Clear 0 601.164 83.116 7 19337048
2021-07-01 20:21:03.198000 7.944 6.71831 Clear 0 600.859 83.132 7 19337048
2021-07-01 20:21:03.298000 7.925 6.69749 Clear 0 600.556 83.148 7 19337048
2021-07-01 20:21:03.398000 7.805 6.57687 Clear 0 600.253 83.165 7 19337048
2021-07-01 20:21:03.498000 7.866 6.63689 Clear 0 599.95 83.181 7 19337048
2021-07-01 20:21:03.598000 7.876 6.64696 Clear 0 599.648 83.197 7 19337048
2021-07-01 20:21:03.698000 8.022 6.79202 Clear 0 599.347 83.213 7 19337048
2021-07-01 20:21:03.798000 7.992 6.76082 Clear 0 599.047 83.229 7 19337048
2021-07-01 20:21:03.898000 7.885 6.65332 Clear 0 598.747 83.245 7 19337048
2021-07-01 20:21:03.998000 7.876 6.64341 Clear 0 598.448 83.261 7 19337048
2021-07-01 20:21:04.098000 7.795 6.56124 Clear 0 598.149 83.278 7 19337048
2021-07-01 20:21:04.198000 7.742 6.50781 Clear 0 597.852 83.294 7 19337048
2021-07-01 20:21:04.298000 7.873 6.63821 Clear 0 597.555 83.31 7 19337048
2021-07-01 20:21:04.398000 7.87 6.63403 Clear 0 597.258 83.326 7 19337048
2021-07-01 20:21:04.498000 7.782 6.54492 Clear 0 596.962 83.343 7 19337048
2021-07-01 20:21:04.598000 7.867 6.6292 Clear 0 596.667 83.359 7 19337048
2021-07-01 20:21:04.698000 8.078 6.84023 Clear 0 596.373 83.376 7 19337048
2021-07-01 20:21:04.798000 7.848 6.60904 Clear 0 596.079 83.392 7 19337048
2021-07-01 20:21:04.898000 7.864 6.62418 Clear 0 595.786 83.408 7 19337048
2021-07-01 20:21:04.998000 7.927 6.68637 Clear 0 595.494 83.425 7 19337048
2021-07-01 20:21:05.098000 7.803 6.56094 Clear 0 595.203 83.441 7 19337048
2021-07-01 20:21:05.198000 7.915 6.67296 Clear 0 594.912 83.458 7 19337048
2021-07-01 20:21:05.298000 7.815 6.57219 Clear 0 594.621 83.474 7 19337048
2021-07-01 20:21:05.398000 7.849 6.60518 Clear 0 594.332 83.491 7 19337048
2021-07-01 20:21:05.498000 7.854 6.60893 Clear 0 594.043 83.508 7 19337048
2021-07-01 20:21:05.698000 7.854 6.60807 Clear 0 593.468 83.541 7 19337048
2021-07-01 20:21:05.798000 7.763 6.51605 Clear 0 593.181 83.558 7 19337048
2021-07-01 20:21:05.898000 7.84 6.59231 Clear 0 592.895 83.574 7 19337048
2021-07-01 20:21:05.998000 7.776 6.52785 Clear 0 592.609 83.591 7 19337048
2021-07-01 20:21:06.098000 7.812 6.56248 Clear 0 592.325 83.608 7 19337048
2021-07-01 20:21:06.198000 7.763 6.5132 Clear 0 592.041 83.625 7 19337048
2021-07-01 20:21:06.298000 7.832 6.58053 Clear 0 591.758 83.641 7 19337048
2021-07-01 20:21:06.398000 7.948 6.69714 Clear 0 591.475 83.658 7 19337048
2021-07-01 20:21:06.498000 7.896 6.64363 Clear 0 591.193 83.675 7 19337048
2021-07-01 20:21:06.598000 7.907 6.65421 Clear 0 590.912 83.692 7 19337048
2021-07-01 20:21:06.698000 7.732 6.4777 Clear 0 590.632 83.709 7 19337048
2021-07-01 20:21:06.798000 7.851 6.59697 Clear 0 590.352 83.726 7 19337048
2021-07-01 20:21:06.898000 7.89 6.63523 Clear 0 590.073 83.743 7 19337048
2021-07-01 20:21:06.998000 7.86 6.60347 Clear 0 589.794 83.76 7 19337048
2021-07-01 20:21:07.098000 7.819 6.56217 Clear 0 589.517 83.777 7 19337048
2021-07-01 20:21:07.198000 7.892 6.63512 Clear 0 589.24 83.794 7 19337048
