# satellite: 26241 CZ-4 DEB / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 11552
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-10 22:49:19.543000 8.971 8.65067 Clear 0 895.237 85.463 7 423134
2014-06-10 22:49:19.643000 9.718 9.39585 Clear 0 895.06 85.417 7 423134
2014-06-10 22:49:19.743000 8.459 8.13571 Clear 0 894.884 85.371 7 423134
2014-06-10 22:49:19.843000 9.648 9.32389 Clear 0 894.707 85.324 7 423134
2014-06-10 22:49:19.943000 9.099 8.77386 Clear 0 894.532 85.278 7 423134
2014-06-10 22:49:20.143000 9.011 8.68308 Clear 0 894.182 85.186 7 423134
2014-06-10 22:49:20.643000 9.582 9.24754 Clear 0 893.317 84.955 7 423134
2014-06-10 22:49:20.943000 8.554 8.21576 Clear 0 892.805 84.816 7 423134
2014-06-10 22:49:21.043000 8.79 8.45091 Clear 0 892.635 84.77 7 423134
2014-06-10 22:49:21.143000 8.984 8.64417 Clear 0 892.465 84.724 7 423134
2014-06-10 22:49:21.343000 8.925 8.58288 Clear 0 892.128 84.631 7 423134
2014-06-10 22:49:21.443000 8.246 7.90166 Clear 0 891.96 84.585 7 423134
2014-06-10 22:49:21.643000 8.552 8.20599 Clear 0 891.626 84.492 7 423134
2014-06-10 22:49:21.843000 9.512 9.16401 Clear 0 891.294 84.399 7 423134
2014-06-10 22:49:21.943000 9.044 8.69348 Clear 0 891.129 84.353 7 423134
2014-06-10 22:49:22.143000 8.389 8.03742 Clear 0 890.8 84.26 7 423134
2014-06-10 22:49:22.343000 8.846 8.49158 Clear 0 890.473 84.167 7 423134
2014-06-10 22:49:22.443000 9.181 8.82506 Clear 0 890.311 84.12 7 423134
2014-06-10 22:49:22.543000 8.618 8.26109 Clear 0 890.149 84.074 7 423134
2014-06-10 22:49:22.643000 8.714 8.35615 Clear 0 889.987 84.027 7 423134
2014-06-10 22:49:22.743000 8.806 8.44659 Clear 0 889.826 83.981 7 423134
2014-06-10 22:49:22.943000 8.725 8.3625 Clear 0 889.506 83.887 7 423134
2014-06-10 22:49:23.043000 9.096 8.73312 Clear 0 889.346 83.841 7 423134
2014-06-10 22:49:23.143000 8.243 7.87846 Clear 0 889.187 83.794 7 423134
2014-06-10 22:49:23.243000 9.003 8.63784 Clear 0 889.029 83.747 7 423134
2014-06-10 22:49:23.543000 8.772 8.40321 Clear 0 888.557 83.607 7 423134
