# satellite: 55447 APSTAR 6E SPS / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 17913
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2023-02-08 16:07:18.693000 5.533 9.06932 Clear 0 4415.859 104.323 7 23256953
2023-02-08 16:07:18.792000 5.253 8.78893 Clear 0 4415.601 104.316 7 23256953
2023-02-08 16:07:18.892000 5.584 9.11968 Clear 0 4415.34 104.309 7 23256953
2023-02-08 16:07:18.992000 5.336 8.87103 Clear 0 4415.08 104.302 7 23256953
2023-02-08 16:07:19.092000 5.401 8.93609 Clear 0 4414.819 104.296 7 23256953
2023-02-08 16:07:19.292000 5.298 8.83158 Clear 0 4414.298 104.282 7 23256953
2023-02-08 16:07:19.392000 5.476 9.00994 Clear 0 4414.038 104.275 7 23256953
2023-02-08 16:07:19.492000 5.407 8.94133 Clear 0 4413.778 104.268 7 23256953
2023-02-08 16:07:19.592000 5.457 8.99083 Clear 0 4413.517 104.261 7 23256953
2023-02-08 16:07:19.692000 5.262 8.79486 Clear 0 4413.257 104.255 7 23256953
2023-02-08 16:07:19.792000 5.493 9.02613 Clear 0 4412.997 104.248 7 23256953
2023-02-08 16:07:19.892000 5.248 8.78121 Clear 0 4412.737 104.241 7 23256953
2023-02-08 16:07:20.192000 5.406 8.93821 Clear 0 4411.956 104.22 7 23256953
2023-02-08 16:07:20.392000 5.235 8.76625 Clear 0 4411.436 104.207 7 23256953
2023-02-08 16:07:20.492000 5.454 8.98445 Clear 0 4411.176 104.2 7 23256953
2023-02-08 16:07:20.592000 5.508 9.03847 Clear 0 4410.916 104.193 7 23256953
2023-02-08 16:07:20.792000 5.068 8.59793 Clear 0 4410.396 104.179 7 23256953
2023-02-08 16:07:20.892000 5.217 8.7471 Clear 0 4410.137 104.172 7 23256953
2023-02-08 16:07:21.092000 5.279 8.80791 Clear 0 4409.617 104.159 7 23256953
2023-02-08 16:07:21.192000 5.352 8.88056 Clear 0 4409.357 104.152 7 23256953
2023-02-08 16:07:21.292000 5.179 8.70837 Clear 0 4409.098 104.145 7 23256953
2023-02-08 16:07:21.392000 5.716 9.2439 Clear 0 4408.838 104.138 7 23256953
2023-02-08 16:07:21.492000 5.769 9.2971 Clear 0 4408.578 104.131 7 23256953
2023-02-08 16:07:21.592000 5.428 8.95576 Clear 0 4408.319 104.125 7 23256953
2023-02-08 16:07:21.692000 5.589 9.11563 Clear 0 4408.059 104.118 7 23256953
2023-02-08 16:07:21.792000 5.52 9.0471 Clear 0 4407.8 104.111 7 23256953
2023-02-08 16:07:21.892000 5.427 8.95399 Clear 0 4407.54 104.104 7 23256953
2023-02-08 16:07:21.992000 5.78 9.30684 Clear 0 4407.281 104.097 7 23256953
2023-02-08 16:07:22.092000 5.485 9.01113 Clear 0 4407.022 104.09 7 23256953
2023-02-08 16:07:22.192000 5.394 8.92008 Clear 0 4406.762 104.083 7 23256953
2023-02-08 16:07:22.292000 5.023 8.54939 Clear 0 4406.503 104.077 7 23256953
2023-02-08 16:07:22.392000 5.13 8.65543 Clear 0 4406.244 104.07 7 23256953
2023-02-08 16:07:22.492000 5.229 8.75442 Clear 0 4405.984 104.063 7 23256953
2023-02-08 16:07:22.592000 5.58 9.10543 Clear 0 4405.725 104.056 7 23256953
2023-02-08 16:07:22.692000 5.524 9.04806 Clear 0 4405.466 104.049 7 23256953
2023-02-08 16:07:22.792000 5.359 8.88304 Clear 0 4405.207 104.042 7 23256953
2023-02-08 16:07:22.892000 5.246 8.76997 Clear 0 4404.948 104.035 7 23256953
2023-02-08 16:07:22.992000 5.328 8.85204 Clear 0 4404.689 104.029 7 23256953
2023-02-08 16:07:23.092000 5.548 9.07045 Clear 0 4404.43 104.022 7 23256953
2023-02-08 16:07:23.192000 5.219 8.742 Clear 0 4404.171 104.015 7 23256953
2023-02-08 16:07:23.292000 5.688 9.21094 Clear 0 4403.912 104.008 7 23256953
2023-02-08 16:07:23.492000 5.35 8.87233 Clear 0 4403.394 103.994 7 23256953
2023-02-08 16:07:23.592000 5.192 8.71402 Clear 0 4403.135 103.987 7 23256953
2023-02-08 16:07:23.692000 5.409 8.92954 Clear 0 4402.877 103.98 7 23256953
2023-02-08 16:07:23.792000 5.494 9.01486 Clear 0 4402.618 103.974 7 23256953
2023-02-08 16:07:23.892000 5.365 8.88552 Clear 0 4402.359 103.967 7 23256953
2023-02-08 16:07:23.992000 5.395 8.9158 Clear 0 4402.101 103.96 7 23256953
2023-02-08 16:07:24.092000 5.402 8.92179 Clear 0 4401.842 103.953 7 23256953
2023-02-08 16:07:24.192000 5.674 9.19428 Clear 0 4401.583 103.946 7 23256953
2023-02-08 16:07:24.392000 5.669 9.18769 Clear 0 4401.066 103.932 7 23256953
2023-02-08 16:07:24.492000 5.164 8.68261 Clear 0 4400.808 103.926 7 23256953
2023-02-08 16:07:24.592000 5.319 8.83766 Clear 0 4400.549 103.919 7 23256953
2023-02-08 16:07:24.692000 5.747 9.26605 Clear 0 4400.291 103.912 7 23256953
2023-02-08 16:07:24.792000 4.965 8.48328 Clear 0 4400.033 103.905 7 23256953
2023-02-08 16:07:24.892000 5.613 9.13112 Clear 0 4399.774 103.898 7 23256953
2023-02-08 16:07:24.992000 5.491 9.00927 Clear 0 4399.516 103.891 7 23256953
2023-02-08 16:07:25.092000 5.333 8.84963 Clear 0 4399.258 103.884 7 23256953
2023-02-08 16:07:25.192000 5.004 8.52056 Clear 0 4399.0 103.877 7 23256953
2023-02-08 16:07:25.292000 5.384 8.90056 Clear 0 4398.741 103.871 7 23256953
2023-02-08 16:07:25.392000 5.159 8.67643 Clear 0 4398.483 103.864 7 23256953
2023-02-08 16:07:25.492000 5.514 9.02991 Clear 0 4398.225 103.857 7 23256953
2023-02-08 16:07:25.592000 5.728 9.2439 Clear 0 4397.967 103.85 7 23256953
2023-02-08 16:07:25.692000 5.039 8.55488 Clear 0 4397.709 103.843 7 23256953
2023-02-08 16:07:25.792000 5.802 9.31667 Clear 0 4397.451 103.836 7 23256953
2023-02-08 16:07:25.892000 5.945 9.46024 Clear 0 4397.193 103.829 7 23256953
2023-02-08 16:07:25.992000 5.526 9.04134 Clear 0 4396.935 103.822 7 23256953
2023-02-08 16:07:26.092000 5.228 8.742 Clear 0 4396.677 103.816 7 23256953
2023-02-08 16:07:26.192000 5.249 8.76328 Clear 0 4396.42 103.809 7 23256953
2023-02-08 16:07:26.292000 5.533 9.0471 Clear 0 4396.162 103.802 7 23256953
2023-02-08 16:07:26.392000 5.513 9.02707 Clear 0 4395.904 103.795 7 23256953
2023-02-08 16:07:26.492000 5.23 8.74272 Clear 0 4395.646 103.788 7 23256953
2023-02-08 16:07:26.592000 5.573 9.0863 Clear 0 4395.389 103.781 7 23256953
2023-02-08 16:07:26.692000 5.103 8.61589 Clear 0 4395.131 103.774 7 23256953
2023-02-08 16:07:26.792000 5.384 8.89552 Clear 0 4394.873 103.767 7 23256953
2023-02-08 16:07:26.892000 5.237 8.74929 Clear 0 4394.616 103.76 7 23256953
2023-02-08 16:07:27.092000 5.164 8.67643 Clear 0 4394.101 103.747 7 23256953
2023-02-08 16:07:27.192000 5.278 8.78877 Clear 0 4393.843 103.74 7 23256953
2023-02-08 16:07:27.292000 5.372 8.88304 Clear 0 4393.586 103.733 7 23256953
2023-02-08 16:07:27.492000 5.052 8.56163 Clear 0 4393.071 103.719 7 23256953
2023-02-08 16:07:27.592000 5.489 8.99909 Clear 0 4392.814 103.712 7 23256953
2023-02-08 16:07:27.692000 5.713 9.22333 Clear 0 4392.557 103.705 7 23256953
2023-02-08 16:07:27.792000 5.272 8.78046 Clear 0 4392.3 103.698 7 23256953
2023-02-08 16:07:27.892000 5.413 8.92179 Clear 0 4392.042 103.692 7 23256953
2023-02-08 16:07:27.992000 5.604 9.11256 Clear 0 4391.785 103.685 7 23256953
2023-02-08 16:07:28.092000 5.106 8.6146 Clear 0 4391.528 103.678 7 23256953
2023-02-08 16:07:28.192000 5.16 8.66757 Clear 0 4391.271 103.671 7 23256953
2023-02-08 16:07:28.292000 5.245 8.75295 Clear 0 4391.014 103.664 7 23256953
2023-02-08 16:07:28.392000 5.494 9.00186 Clear 0 4390.757 103.657 7 23256953
2023-02-08 16:07:28.492000 5.763 9.26958 Clear 0 4390.5 103.65 7 23256953
2023-02-08 16:07:28.592000 5.185 8.69159 Clear 0 4390.243 103.643 7 23256953
2023-02-08 16:07:28.692000 5.577 9.08431 Clear 0 4389.986 103.636 7 23256953
2023-02-08 16:07:28.792000 5.226 8.73331 Clear 0 4389.729 103.629 7 23256953
2023-02-08 16:07:28.892000 5.435 8.94082 Clear 0 4389.473 103.623 7 23256953
2023-02-08 16:07:28.992000 5.558 9.06359 Clear 0 4389.216 103.616 7 23256953
2023-02-08 16:07:29.092000 5.248 8.75369 Clear 0 4388.959 103.609 7 23256953
2023-02-08 16:07:29.192000 5.59 9.09532 Clear 0 4388.702 103.602 7 23256953
2023-02-08 16:07:29.292000 5.698 9.20314 Clear 0 4388.446 103.595 7 23256953
2023-02-08 16:07:29.392000 5.396 8.90056 Clear 0 4388.189 103.588 7 23256953
2023-02-08 16:07:29.492000 5.234 8.73837 Clear 0 4387.933 103.581 7 23256953
2023-02-08 16:07:29.592000 5.312 8.81559 Clear 0 4387.676 103.574 7 23256953
2023-02-08 16:07:29.692000 5.409 8.91245 Clear 0 4387.42 103.567 7 23256953
2023-02-08 16:07:29.792000 5.282 8.78588 Clear 0 4387.163 103.56 7 23256953
2023-02-08 16:07:29.892000 5.182 8.68479 Clear 0 4386.907 103.554 7 23256953
2023-02-08 16:07:29.992000 5.446 8.9485 Clear 0 4386.65 103.547 7 23256953
2023-02-08 16:07:30.092000 5.358 8.86052 Clear 0 4386.394 103.54 7 23256953
2023-02-08 16:07:30.192000 5.14 8.64184 Clear 0 4386.138 103.533 7 23256953
2023-02-08 16:07:30.292000 5.48 8.98218 Clear 0 4385.882 103.526 7 23256953
2023-02-08 16:07:30.392000 5.27 8.7717 Clear 0 4385.625 103.519 7 23256953
