# satellite: 25359 DELTA 2 R/B(1) / US
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 8665
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2015-08-28 17:43:27.501000 5.876 7.63619 Clear 0 2767.517 58.826 2 8535049
2015-08-28 17:43:27.601000 5.764 7.52351 Clear 0 2767.427 58.812 2 8535049
2015-08-28 17:43:27.701000 6.282 8.04235 Clear 0 2767.337 58.799 2 8535049
2015-08-28 17:43:27.801000 6.138 7.89707 Clear 0 2767.247 58.786 2 8535049
2015-08-28 17:43:27.901000 6.249 8.00832 Clear 0 2767.158 58.772 2 8535049
2015-08-28 17:43:28.101000 6.064 7.82288 Clear 0 2766.979 58.746 2 8535049
2015-08-28 17:43:28.201000 5.894 7.65251 Clear 0 2766.889 58.732 2 8535049
2015-08-28 17:43:28.301000 6.298 8.05547 Clear 0 2766.8 58.719 2 8535049
2015-08-28 17:43:28.401000 6.084 7.84183 Clear 0 2766.711 58.706 2 8535049
2015-08-28 17:43:28.501000 5.771 7.52913 Clear 0 2766.622 58.692 2 8535049
2015-08-28 17:43:28.601000 6.008 7.76561 Clear 0 2766.533 58.679 2 8535049
2015-08-28 17:43:28.801000 6.248 8.00451 Clear 0 2766.356 58.652 2 8535049
2015-08-28 17:43:28.901000 6.002 7.7586 Clear 0 2766.267 58.639 2 8535049
2015-08-28 17:43:29.001000 6.035 7.7917 Clear 0 2766.179 58.625 2 8535049
2015-08-28 17:43:29.101000 6.111 7.86832 Clear 0 2766.091 58.612 2 8535049
2015-08-28 17:43:29.201000 5.889 7.64537 Clear 0 2766.002 58.599 2 8535049
2015-08-28 17:43:29.401000 5.984 7.73968 Clear 0 2765.826 58.572 2 8535049
2015-08-28 17:43:29.501000 5.826 7.58152 Clear 0 2765.738 58.558 2 8535049
2015-08-28 17:43:29.601000 5.608 7.36394 Clear 0 2765.651 58.545 2 8535049
2015-08-28 17:43:29.701000 5.861 7.61582 Clear 0 2765.563 58.532 2 8535049
2015-08-28 17:43:29.801000 5.954 7.70902 Clear 0 2765.475 58.518 2 8535049
2015-08-28 17:43:30.101000 6.074 7.82883 Clear 0 2765.213 58.478 2 8535049
2015-08-28 17:43:30.201000 5.768 7.52164 Clear 0 2765.126 58.465 2 8535049
2015-08-28 17:43:30.301000 6.002 7.75581 Clear 0 2765.039 58.451 2 8535049
2015-08-28 17:43:30.401000 6.031 7.785 Clear 0 2764.952 58.438 2 8535049
2015-08-28 17:43:30.501000 5.907 7.66077 Clear 0 2764.865 58.425 2 8535049
2015-08-28 17:43:30.601000 6.043 7.79651 Clear 0 2764.779 58.411 2 8535049
2015-08-28 17:43:30.701000 6.199 7.95195 Clear 0 2764.692 58.398 2 8535049
2015-08-28 17:43:30.801000 5.915 7.6683 Clear 0 2764.606 58.385 2 8535049
