# satellite: 52789 GeeSAT 5-05 / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 6532
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2022-06-06 23:52:09.111000 6.688 5.52795 Clear 0 631.097 80.693 3 20554770
2022-06-06 23:52:09.211000 6.726 5.56702 Clear 0 631.08 80.751 3 20554770
2022-06-06 23:52:09.311000 6.753 5.5948 Clear 0 631.064 80.808 3 20554770
2022-06-06 23:52:09.411000 6.738 5.58143 Clear 0 631.048 80.866 3 20554770
2022-06-06 23:52:09.511000 6.753 5.59672 Clear 0 631.033 80.924 3 20554770
2022-06-06 23:52:09.611000 6.727 5.57171 Clear 0 631.019 80.982 3 20554770
2022-06-06 23:52:09.711000 6.751 5.59732 Clear 0 631.006 81.039 3 20554770
2022-06-06 23:52:09.811000 6.791 5.63689 Clear 0 630.993 81.097 3 20554770
2022-06-06 23:52:09.911000 6.781 5.62773 Clear 0 630.981 81.155 3 20554770
2022-06-06 23:52:10.011000 6.851 5.69921 Clear 0 630.97 81.213 3 20554770
2022-06-06 23:52:10.111000 6.746 5.5946 Clear 0 630.96 81.27 3 20554770
2022-06-06 23:52:10.211000 6.808 5.65803 Clear 0 630.95 81.328 3 20554770
2022-06-06 23:52:10.311000 6.807 5.65774 Clear 0 630.941 81.386 3 20554770
2022-06-06 23:52:10.411000 6.799 5.65096 Clear 0 630.933 81.444 3 20554770
2022-06-06 23:52:10.511000 6.78 5.63312 Clear 0 630.926 81.502 3 20554770
2022-06-06 23:52:10.611000 6.866 5.71994 Clear 0 630.919 81.559 3 20554770
2022-06-06 23:52:10.711000 6.828 5.68271 Clear 0 630.913 81.617 3 20554770
2022-06-06 23:52:10.811000 6.804 5.65949 Clear 0 630.908 81.675 3 20554770
2022-06-06 23:52:10.911000 6.863 5.72032 Clear 0 630.904 81.733 3 20554770
2022-06-06 23:52:11.011000 6.735 5.59168 Clear 0 630.901 81.791 3 20554770
2022-06-06 23:52:11.111000 6.882 5.73966 Clear 0 630.898 81.849 3 20554770
2022-06-06 23:52:11.211000 6.873 5.73197 Clear 0 630.896 81.906 3 20554770
2022-06-06 23:52:11.311000 6.868 5.72782 Clear 0 630.894 81.964 3 20554770
2022-06-06 23:52:11.411000 6.881 5.74243 Clear 0 630.894 82.022 3 20554770
2022-06-06 23:52:11.511000 6.895 5.75744 Clear 0 630.894 82.08 3 20554770
2022-06-06 23:52:11.611000 6.857 5.72002 Clear 0 630.895 82.138 3 20554770
2022-06-06 23:52:11.711000 6.913 5.77707 Clear 0 630.897 82.196 3 20554770
2022-06-06 23:52:11.811000 6.965 5.83024 Clear 0 630.899 82.253 3 20554770
2022-06-06 23:52:11.911000 6.97 5.83602 Clear 0 630.902 82.311 3 20554770
2022-06-06 23:52:12.011000 6.982 5.84928 Clear 0 630.906 82.369 3 20554770
2022-06-06 23:52:12.111000 6.975 5.8428 Clear 0 630.911 82.427 3 20554770
2022-06-06 23:52:12.211000 6.931 5.80025 Clear 0 630.917 82.485 3 20554770
