# satellite: 52717 DTSW-2 / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 8495
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2022-06-28 22:40:32.996000 7.981 8.19616 Clear 0 1314.613 65.114 4 20629420
2022-06-28 22:40:33.096000 8.587 8.80203 Clear 0 1314.327 65.138 4 20629420
2022-06-28 22:40:33.196000 8.285 8.49957 Clear 0 1314.04 65.162 4 20629420
2022-06-28 22:40:33.296000 8.284 8.49861 Clear 0 1313.754 65.185 4 20629420
2022-06-28 22:40:33.396000 8.11 8.32372 Clear 0 1313.468 65.209 4 20629420
2022-06-28 22:40:33.496000 8.187 8.40082 Clear 0 1313.182 65.233 4 20629420
2022-06-28 22:40:33.595000 8.448 8.66214 Clear 0 1312.9 65.256 4 20629420
2022-06-28 22:40:33.695000 8.082 8.29546 Clear 0 1312.615 65.28 4 20629420
2022-06-28 22:40:33.795000 8.087 8.30066 Clear 0 1312.33 65.304 4 20629420
2022-06-28 22:40:33.895000 8.04 8.25365 Clear 0 1312.046 65.327 4 20629420
2022-06-28 22:40:33.995000 8.278 8.49047 Clear 0 1311.761 65.351 4 20629420
2022-06-28 22:40:34.095000 8.203 8.41585 Clear 0 1311.477 65.375 4 20629420
2022-06-28 22:40:34.195000 8.22 8.4329 Clear 0 1311.194 65.399 4 20629420
2022-06-28 22:40:34.295000 7.958 8.171 Clear 0 1310.911 65.423 4 20629420
2022-06-28 22:40:34.395000 8.319 8.53228 Clear 0 1310.628 65.446 4 20629420
2022-06-28 22:40:34.495000 8.238 8.45022 Clear 0 1310.345 65.47 4 20629420
2022-06-28 22:40:34.595000 8.234 8.44609 Clear 0 1310.062 65.494 4 20629420
2022-06-28 22:40:34.695000 7.938 8.14954 Clear 0 1309.78 65.518 4 20629420
2022-06-28 22:40:34.795000 8.079 8.29069 Clear 0 1309.499 65.542 4 20629420
2022-06-28 22:40:34.895000 8.231 8.44335 Clear 0 1309.217 65.566 4 20629420
2022-06-28 22:40:34.995000 8.351 8.56293 Clear 0 1308.936 65.59 4 20629420
2022-06-28 22:40:35.095000 8.223 8.43426 Clear 0 1308.655 65.614 4 20629420
2022-06-28 22:40:35.195000 8.278 8.48857 Clear 0 1308.374 65.637 4 20629420
2022-06-28 22:40:35.295000 8.11 8.32127 Clear 0 1308.094 65.661 4 20629420
2022-06-28 22:40:35.395000 8.213 8.42389 Clear 0 1307.814 65.685 4 20629420
2022-06-28 22:40:35.495000 8.311 8.52192 Clear 0 1307.534 65.709 4 20629420
2022-06-28 22:40:35.595000 8.05 8.26096 Clear 0 1307.255 65.733 4 20629420
2022-06-28 22:40:35.695000 8.111 8.32086 Clear 0 1306.976 65.757 4 20629420
2022-06-28 22:40:35.795000 7.942 8.15198 Clear 0 1306.697 65.781 4 20629420
2022-06-28 22:40:35.895000 8.085 8.29467 Clear 0 1306.418 65.805 4 20629420
2022-06-28 22:40:35.995000 8.626 8.83623 Clear 0 1306.14 65.829 4 20629420
2022-06-28 22:40:36.095000 8.174 8.38426 Clear 0 1305.862 65.853 4 20629420
2022-06-28 22:40:36.195000 7.933 8.14329 Clear 0 1305.584 65.877 4 20629420
2022-06-28 22:40:36.295000 8.109 8.31842 Clear 0 1305.307 65.901 4 20629420
2022-06-28 22:40:36.395000 8.305 8.51409 Clear 0 1305.03 65.926 4 20629420
2022-06-28 22:40:36.495000 8.128 8.33689 Clear 0 1304.753 65.95 4 20629420
2022-06-28 22:40:36.595000 8.232 8.44107 Clear 0 1304.477 65.974 4 20629420
2022-06-28 22:40:36.695000 8.059 8.26832 Clear 0 1304.2 65.998 4 20629420
2022-06-28 22:40:36.795000 8.068 8.27729 Clear 0 1303.925 66.022 4 20629420
2022-06-28 22:40:36.895000 8.028 8.23578 Clear 0 1303.649 66.046 4 20629420
2022-06-28 22:40:36.995000 8.188 8.396 Clear 0 1303.374 66.07 4 20629420
2022-06-28 22:40:37.095000 7.924 8.13226 Clear 0 1303.099 66.095 4 20629420
2022-06-28 22:40:37.195000 8.188 8.39644 Clear 0 1302.824 66.119 4 20629420
2022-06-28 22:40:37.295000 8.003 8.21117 Clear 0 1302.55 66.143 4 20629420
2022-06-28 22:40:37.395000 8.199 8.40654 Clear 0 1302.276 66.167 4 20629420
2022-06-28 22:40:37.495000 8.055 8.26173 Clear 0 1302.002 66.191 4 20629420
2022-06-28 22:40:37.595000 8.174 8.38124 Clear 0 1301.728 66.216 4 20629420
2022-06-28 22:40:37.695000 8.016 8.22266 Clear 0 1301.455 66.24 4 20629420
2022-06-28 22:40:37.795000 8.313 8.51996 Clear 0 1301.182 66.264 4 20629420
2022-06-28 22:40:37.895000 7.932 8.13914 Clear 0 1300.91 66.288 4 20629420
2022-06-28 22:40:37.995000 8.056 8.26328 Clear 0 1300.637 66.313 4 20629420
2022-06-28 22:40:38.095000 8.36 8.56702 Clear 0 1300.366 66.337 4 20629420
2022-06-28 22:40:38.195000 7.914 8.11999 Clear 0 1300.094 66.361 4 20629420
