# satellite: 53757 CENTISPACE-1 S3 / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 3993
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2022-11-12 01:20:31.794000 8.782 8.71728 Clear 1 884.698 99.612 2 21872762
2022-11-12 01:20:31.894000 8.697 8.63392 Clear 0 885.104 99.643 2 21872762
2022-11-12 01:20:31.994000 8.65 8.58746 Clear 0 885.51 99.675 2 21872762
2022-11-12 01:20:32.094000 8.66 8.6002 Clear 0 885.916 99.706 2 21872762
2022-11-12 01:20:32.194000 8.604 8.54562 Clear 0 886.323 99.737 2 21872762
2022-11-12 01:20:32.294000 8.468 8.41129 Clear 0 886.73 99.768 2 21872762
2022-11-12 01:20:32.394000 8.171 8.11612 Clear 0 887.138 99.799 2 21872762
2022-11-12 01:20:32.494000 8.392 8.33921 Clear 0 887.546 99.83 2 21872762
2022-11-12 01:20:32.594000 8.425 8.37253 Clear 0 887.954 99.861 2 21872762
2022-11-12 01:20:32.694000 8.734 8.68398 Clear 0 888.362 99.892 2 21872762
2022-11-12 01:20:32.794000 8.171 8.12252 Clear 0 888.771 99.923 2 21872762
2022-11-12 01:20:32.894000 8.256 8.21029 Clear 0 889.18 99.954 2 21872762
2022-11-12 01:20:32.994000 8.392 8.34712 Clear 0 889.59 99.985 2 21872762
2022-11-12 01:20:33.094000 8.535 8.49194 Clear 0 889.999 100.015 2 21872762
2022-11-12 01:20:33.194000 8.54 8.49881 Clear 0 890.41 100.046 2 21872762
2022-11-12 01:20:33.294000 8.221 8.18141 Clear 0 890.82 100.077 2 21872762
2022-11-12 01:20:33.394000 8.298 8.26007 Clear 0 891.231 100.108 2 21872762
2022-11-12 01:20:33.494000 8.214 8.17756 Clear 0 891.642 100.139 2 21872762
2022-11-12 01:20:33.594000 8.171 8.13576 Clear 0 892.054 100.169 2 21872762
2022-11-12 01:20:33.694000 8.11 8.07726 Clear 0 892.465 100.2 2 21872762
2022-11-12 01:20:33.794000 8.113 8.08223 Clear 0 892.878 100.231 2 21872762
2022-11-12 01:20:33.894000 8.043 8.014 Clear 0 893.29 100.261 2 21872762
2022-11-12 01:20:33.994000 8.285 8.25731 Clear 0 893.703 100.292 2 21872762
2022-11-12 01:20:34.094000 8.172 8.1463 Clear 0 894.116 100.323 2 21872762
2022-11-12 01:20:34.194000 8.359 8.33446 Clear 0 894.53 100.353 2 21872762
2022-11-12 01:20:34.294000 8.338 8.31501 Clear 0 894.944 100.384 2 21872762
2022-11-12 01:20:34.394000 8.286 8.26457 Clear 0 895.358 100.414 2 21872762
2022-11-12 01:20:34.494000 8.569 8.54995 Clear 0 895.772 100.445 2 21872762
2022-11-12 01:20:34.594000 8.057 8.03852 Clear 0 896.187 100.475 2 21872762
2022-11-12 01:20:34.694000 7.981 7.9647 Clear 0 896.602 100.505 2 21872762
2022-11-12 01:20:34.794000 8.32 8.30596 Clear 0 897.018 100.536 2 21872762
2022-11-12 01:20:34.894000 8.108 8.09611 Clear 0 897.434 100.566 2 21872762
2022-11-12 01:20:34.994000 8.024 8.01262 Clear 0 897.85 100.597 2 21872762
2022-11-12 01:20:35.094000 7.987 7.97769 Clear 0 898.266 100.627 2 21872762
2022-11-12 01:20:35.194000 8.072 8.06535 Clear 0 898.683 100.657 2 21872762
2022-11-12 01:20:35.294000 8.177 8.17085 Clear 0 899.1 100.687 2 21872762
2022-11-12 01:20:35.394000 8.182 8.17788 Clear 0 899.518 100.718 2 21872762
2022-11-12 01:20:35.494000 8.188 8.1856 Clear 0 899.936 100.748 2 21872762
2022-11-12 01:20:35.594000 8.023 8.02174 Clear 0 900.354 100.778 2 21872762
2022-11-12 01:20:35.694000 8.032 8.03262 Clear 0 900.772 100.808 2 21872762
2022-11-12 01:20:35.794000 8.038 8.04078 Clear 0 901.191 100.838 2 21872762
2022-11-12 01:20:35.894000 7.865 7.87043 Clear 0 901.61 100.868 2 21872762
2022-11-12 01:20:35.994000 8.017 8.02285 Clear 0 902.029 100.898 2 21872762
2022-11-12 01:20:36.094000 7.958 7.96602 Clear 0 902.449 100.929 2 21872762
2022-11-12 01:20:36.194000 7.966 7.97582 Clear 0 902.869 100.959 2 21872762
2022-11-12 01:20:36.294000 8.008 8.01897 Clear 0 903.29 100.989 2 21872762
2022-11-12 01:20:36.394000 7.992 8.00494 Clear 0 903.71 101.019 2 21872762
2022-11-12 01:20:36.494000 7.84 7.85509 Clear 0 904.131 101.048 2 21872762
2022-11-12 01:20:36.594000 7.765 7.78102 Clear 0 904.553 101.078 2 21872762
2022-11-12 01:20:36.694000 8.025 8.04276 Clear 0 904.975 101.108 2 21872762
2022-11-12 01:20:36.794000 7.917 7.93689 Clear 0 905.397 101.138 2 21872762
2022-11-12 01:20:36.894000 8.016 8.03768 Clear 0 905.819 101.168 2 21872762
2022-11-12 01:20:36.994000 8.073 8.09582 Clear 0 906.242 101.198 2 21872762
2022-11-12 01:20:37.094000 7.919 7.94358 Clear 0 906.665 101.228 2 21872762
2022-11-12 01:20:37.194000 7.683 7.71023 Clear 0 907.088 101.257 2 21872762
2022-11-12 01:20:37.294000 7.986 8.01345 Clear 0 907.511 101.287 2 21872762
2022-11-12 01:20:37.394000 7.674 7.70379 Clear 0 907.935 101.317 2 21872762
2022-11-12 01:20:37.494000 7.612 7.64357 Clear 0 908.36 101.346 2 21872762
2022-11-12 01:20:37.594000 7.72 7.75271 Clear 0 908.784 101.376 2 21872762
2022-11-12 01:20:37.694000 7.49 7.52509 Clear 0 909.209 101.406 2 21872762
2022-11-12 01:20:37.794000 7.684 7.72069 Clear 0 909.634 101.435 2 21872762
2022-11-12 01:20:37.894000 7.69 7.72935 Clear 0 910.06 101.465 2 21872762
2022-11-12 01:20:37.994000 7.648 7.68796 Clear 0 910.486 101.494 2 21872762
2022-11-12 01:20:38.094000 7.585 7.62705 Clear 0 910.912 101.524 2 21872762
2022-11-12 01:20:38.194000 7.633 7.6772 Clear 0 911.338 101.553 2 21872762
2022-11-12 01:20:38.294000 7.582 7.62666 Clear 0 911.765 101.583 2 21872762
2022-11-12 01:20:38.394000 7.551 7.59792 Clear 0 912.192 101.612 2 21872762
2022-11-12 01:20:38.494000 7.593 7.6422 Clear 0 912.62 101.642 2 21872762
2022-11-12 01:20:38.594000 7.515 7.56462 Clear 0 913.047 101.671 2 21872762
2022-11-12 01:20:38.694000 7.577 7.62878 Clear 0 913.475 101.7 2 21872762
2022-11-12 01:20:38.794000 7.641 7.69513 Clear 0 913.904 101.73 2 21872762
2022-11-12 01:20:38.894000 7.498 7.55375 Clear 0 914.332 101.759 2 21872762
2022-11-12 01:20:38.994000 7.573 7.63014 Clear 0 914.761 101.788 2 21872762
2022-11-12 01:20:39.094000 7.541 7.60017 Clear 0 915.191 101.818 2 21872762
2022-11-12 01:20:39.194000 7.554 7.61534 Clear 0 915.62 101.847 2 21872762
2022-11-12 01:20:39.294000 7.551 7.61248 Clear 0 916.05 101.876 2 21872762
2022-11-12 01:20:39.394000 7.482 7.54638 Clear 0 916.48 101.905 2 21872762
2022-11-12 01:20:39.494000 7.543 7.60925 Clear 0 916.911 101.934 2 21872762
2022-11-12 01:20:39.594000 7.614 7.68084 Clear 0 917.342 101.963 2 21872762
2022-11-12 01:20:39.694000 7.616 7.68449 Clear 0 917.773 101.992 2 21872762
2022-11-12 01:20:39.794000 7.553 7.62396 Clear 0 918.204 102.022 2 21872762
2022-11-12 01:20:39.894000 7.463 7.5355 Clear 0 918.636 102.051 2 21872762
2022-11-12 01:20:39.994000 7.561 7.6346 Clear 0 919.068 102.08 2 21872762
2022-11-12 01:20:40.094000 7.477 7.55303 Clear 0 919.5 102.109 2 21872762
2022-11-12 01:20:40.194000 7.64 7.71838 Clear 0 919.933 102.138 2 21872762
2022-11-12 01:20:40.294000 7.483 7.56189 Clear 0 920.366 102.166 2 21872762
2022-11-12 01:20:40.394000 7.532 7.61343 Clear 0 920.799 102.195 2 21872762
2022-11-12 01:20:40.494000 7.525 7.60773 Clear 0 921.233 102.224 2 21872762
2022-11-12 01:20:40.594000 7.541 7.62473 Clear 0 921.667 102.253 2 21872762
2022-11-12 01:20:40.694000 7.473 7.55935 Clear 0 922.101 102.282 2 21872762
2022-11-12 01:20:40.794000 7.425 7.51339 Clear 0 922.535 102.311 2 21872762
2022-11-12 01:20:40.894000 7.452 7.54244 Clear 0 922.97 102.34 2 21872762
2022-11-12 01:20:40.994000 7.547 7.63829 Clear 0 923.405 102.368 2 21872762
2022-11-12 01:20:41.094000 7.372 7.46496 Clear 0 923.841 102.397 2 21872762
2022-11-12 01:20:41.194000 7.593 7.68755 Clear 0 924.276 102.426 2 21872762
2022-11-12 01:20:41.294000 7.486 7.58151 Clear 0 924.712 102.454 2 21872762
2022-11-12 01:20:41.394000 7.451 7.54907 Clear 0 925.149 102.483 2 21872762
2022-11-12 01:20:41.494000 7.546 7.64573 Clear 0 925.585 102.512 2 21872762
2022-11-12 01:20:41.594000 7.45 7.55068 Clear 0 926.022 102.54 2 21872762
2022-11-12 01:20:41.694000 7.49 7.59305 Clear 0 926.46 102.569 2 21872762
2022-11-12 01:20:41.794000 7.518 7.62262 Clear 0 926.897 102.597 2 21872762
2022-11-12 01:20:41.894000 7.413 7.51966 Clear 0 927.335 102.626 2 21872762
2022-11-12 01:20:41.994000 7.532 7.64005 Clear 0 927.773 102.654 2 21872762
2022-11-12 01:20:42.094000 7.415 7.52456 Clear 0 928.211 102.683 2 21872762
2022-11-12 01:20:42.194000 7.593 7.70462 Clear 0 928.65 102.711 2 21872762
2022-11-12 01:20:42.294000 7.565 7.6778 Clear 0 929.089 102.74 2 21872762
2022-11-12 01:20:42.394000 7.417 7.53179 Clear 0 929.528 102.768 2 21872762
2022-11-12 01:20:42.494000 7.39 7.50732 Clear 0 929.968 102.796 2 21872762
2022-11-12 01:20:42.594000 7.402 7.51948 Clear 0 930.408 102.825 2 21872762
2022-11-12 01:20:42.694000 7.414 7.53356 Clear 0 930.848 102.853 2 21872762
2022-11-12 01:20:42.794000 7.316 7.43755 Clear 0 931.288 102.881 2 21872762
2022-11-12 01:20:42.994000 7.639 7.76403 Clear 0 932.17 102.938 2 21872762
2022-11-12 01:20:43.094000 7.492 7.61924 Clear 0 932.612 102.966 2 21872762
2022-11-12 01:20:43.194000 7.522 7.65123 Clear 0 933.053 102.994 2 21872762
2022-11-12 01:20:43.294000 7.545 7.67479 Clear 0 933.495 103.022 2 21872762
2022-11-12 01:20:43.394000 7.372 7.50428 Clear 0 933.937 103.051 2 21872762
2022-11-12 01:20:43.494000 7.342 7.47578 Clear 0 934.38 103.079 2 21872762
2022-11-12 01:20:43.594000 7.322 7.4573 Clear 0 934.823 103.107 2 21872762
2022-11-12 01:20:43.694000 7.412 7.5494 Clear 0 935.266 103.135 2 21872762
2022-11-12 01:20:43.794000 7.328 7.4665 Clear 0 935.709 103.163 2 21872762
2022-11-12 01:20:43.894000 7.405 7.54596 Clear 0 936.153 103.191 2 21872762
2022-11-12 01:20:43.994000 7.266 7.40748 Clear 0 936.597 103.219 2 21872762
2022-11-12 01:20:44.094000 7.348 7.49183 Clear 0 937.041 103.247 2 21872762
