# satellite: 55910 CAPELLA-9 (WHITNEY) / US
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 4063
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2023-04-18 01:05:09.098000 6.514 5.26176 Clear 0 756.174 35.39 6 23843976
2023-04-18 01:05:09.198000 6.441 5.18898 Clear 0 755.902 35.417 6 23843976
2023-04-18 01:05:09.298000 6.409 5.15638 Clear 0 755.631 35.445 6 23843976
2023-04-18 01:05:09.398000 6.319 5.06577 Clear 0 755.359 35.473 6 23843976
2023-04-18 01:05:09.498000 6.436 5.1815 Clear 0 755.089 35.5 6 23843976
2023-04-18 01:05:09.598000 6.272 5.01734 Clear 0 754.819 35.528 6 23843976
2023-04-18 01:05:09.698000 6.363 5.1083 Clear 0 754.549 35.556 6 23843976
2023-04-18 01:05:09.798000 6.393 5.13676 Clear 0 754.28 35.584 6 23843976
2023-04-18 01:05:09.898000 6.303 5.04568 Clear 0 754.012 35.612 6 23843976
2023-04-18 01:05:09.998000 6.294 5.03737 Clear 0 753.744 35.64 6 23843976
2023-04-18 01:05:10.098000 6.367 5.10861 Clear 0 753.476 35.668 6 23843976
2023-04-18 01:05:10.198000 6.375 5.1174 Clear 0 753.209 35.696 6 23843976
2023-04-18 01:05:10.298000 6.324 5.06452 Clear 0 752.943 35.725 6 23843976
2023-04-18 01:05:10.398000 6.317 5.05645 Clear 0 752.677 35.753 6 23843976
2023-04-18 01:05:10.498000 6.36 5.10015 Clear 0 752.412 35.781 6 23843976
2023-04-18 01:05:10.598000 6.293 5.03236 Clear 0 752.147 35.81 6 23843976
2023-04-18 01:05:10.698000 6.28 5.01915 Clear 0 751.883 35.838 6 23843976
2023-04-18 01:05:10.798000 6.337 5.07526 Clear 0 751.619 35.867 6 23843976
2023-04-18 01:05:10.898000 6.42 5.15769 Clear 0 751.356 35.896 6 23843976
2023-04-18 01:05:10.998000 6.372 5.10897 Clear 0 751.094 35.924 6 23843976
2023-04-18 01:05:11.098000 6.393 5.12845 Clear 0 750.831 35.953 6 23843976
2023-04-18 01:05:11.198000 6.229 4.96498 Clear 0 750.57 35.982 6 23843976
2023-04-18 01:05:11.298000 6.267 5.00193 Clear 0 750.309 36.011 6 23843976
2023-04-18 01:05:11.398000 6.307 5.04152 Clear 0 750.049 36.04 6 23843976
2023-04-18 01:05:11.498000 6.325 5.05896 Clear 0 749.789 36.068 6 23843976
2023-04-18 01:05:11.598000 6.347 5.08104 Clear 0 749.529 36.098 6 23843976
2023-04-18 01:05:11.698000 6.35 5.08326 Clear 0 749.271 36.127 6 23843976
2023-04-18 01:05:11.798000 6.348 5.08021 Clear 0 749.012 36.156 6 23843976
2023-04-18 01:05:11.898000 6.333 5.06465 Clear 0 748.755 36.185 6 23843976
2023-04-18 01:05:11.998000 6.404 5.13488 Clear 0 748.498 36.214 6 23843976
2023-04-18 01:05:12.098000 6.27 5.00055 Clear 0 748.241 36.244 6 23843976
2023-04-18 01:05:12.198000 6.248 4.97801 Clear 0 747.985 36.273 6 23843976
2023-04-18 01:05:12.298000 6.379 5.10923 Clear 0 747.73 36.302 6 23843976
2023-04-18 01:05:12.398000 6.278 5.00729 Clear 0 747.475 36.332 6 23843976
2023-04-18 01:05:12.498000 6.262 4.98988 Clear 0 747.22 36.362 6 23843976
2023-04-18 01:05:12.598000 6.32 5.04767 Clear 0 746.966 36.391 6 23843976
2023-04-18 01:05:12.698000 6.295 5.02146 Clear 0 746.713 36.421 6 23843976
2023-04-18 01:05:12.798000 6.312 5.03892 Clear 0 746.46 36.451 6 23843976
2023-04-18 01:05:12.898000 6.254 4.98008 Clear 0 746.208 36.481 6 23843976
2023-04-18 01:05:12.998000 6.384 5.10964 Clear 0 745.957 36.51 6 23843976
2023-04-18 01:05:13.098000 6.302 5.02654 Clear 0 745.706 36.54 6 23843976
2023-04-18 01:05:13.198000 6.272 4.99647 Clear 0 745.455 36.57 6 23843976
2023-04-18 01:05:13.298000 6.212 4.93613 Clear 0 745.205 36.6 6 23843976
2023-04-18 01:05:13.398000 6.191 4.91536 Clear 0 744.956 36.631 6 23843976
2023-04-18 01:05:13.498000 6.157 4.87958 Clear 0 744.707 36.661 6 23843976
2023-04-18 01:05:13.598000 6.215 4.93678 Clear 0 744.458 36.691 6 23843976
2023-04-18 01:05:13.698000 6.161 4.88251 Clear 0 744.211 36.721 6 23843976
2023-04-18 01:05:13.798000 6.301 5.02241 Clear 0 743.964 36.752 6 23843976
2023-04-18 01:05:13.898000 6.18 4.90106 Clear 0 743.717 36.782 6 23843976
2023-04-18 01:05:13.998000 6.352 5.07236 Clear 0 743.471 36.812 6 23843976
2023-04-18 01:05:14.098000 6.246 4.96608 Clear 0 743.225 36.843 6 23843976
2023-04-18 01:05:14.198000 6.191 4.91022 Clear 0 742.98 36.874 6 23843976
2023-04-18 01:05:14.298000 6.262 4.98123 Clear 0 742.736 36.904 6 23843976
2023-04-18 01:05:14.398000 6.267 4.98533 Clear 0 742.492 36.935 6 23843976
2023-04-18 01:05:14.498000 6.296 5.01349 Clear 0 742.249 36.966 6 23843976
2023-04-18 01:05:14.598000 6.186 4.9025 Clear 0 742.006 36.997 6 23843976
2023-04-18 01:05:14.698000 6.227 4.94355 Clear 0 741.764 37.027 6 23843976
2023-04-18 01:05:14.798000 6.268 4.98433 Clear 0 741.522 37.058 6 23843976
2023-04-18 01:05:14.898000 6.234 4.95005 Clear 0 741.281 37.089 6 23843976
2023-04-18 01:05:14.998000 6.254 4.96902 Clear 0 741.041 37.121 6 23843976
2023-04-18 01:05:15.098000 6.188 4.90302 Clear 0 740.801 37.152 6 23843976
2023-04-18 01:05:15.198000 6.218 4.93168 Clear 0 740.562 37.183 6 23843976
2023-04-18 01:05:15.298000 6.255 4.96874 Clear 0 740.323 37.214 6 23843976
2023-04-18 01:05:15.398000 6.241 4.95346 Clear 0 740.085 37.245 6 23843976
2023-04-18 01:05:15.498000 6.288 5.00128 Clear 0 739.847 37.277 6 23843976
2023-04-18 01:05:15.598000 6.32 5.03148 Clear 0 739.61 37.308 6 23843976
2023-04-18 01:05:15.698000 6.312 5.02414 Clear 0 739.374 37.34 6 23843976
2023-04-18 01:05:15.798000 6.167 4.87835 Clear 0 739.138 37.371 6 23843976
2023-04-18 01:05:15.898000 6.268 4.97869 Clear 0 738.902 37.403 6 23843976
2023-04-18 01:05:15.998000 6.303 5.01247 Clear 0 738.668 37.434 6 23843976
2023-04-18 01:05:16.098000 6.325 5.03507 Clear 0 738.433 37.466 6 23843976
2023-04-18 01:05:16.198000 6.23 4.93903 Clear 0 738.2 37.498 6 23843976
2023-04-18 01:05:16.298000 6.223 4.93175 Clear 0 737.967 37.53 6 23843976
2023-04-18 01:05:16.398000 6.314 5.02195 Clear 0 737.734 37.562 6 23843976
2023-04-18 01:05:16.498000 6.203 4.9107 Clear 0 737.502 37.594 6 23843976
2023-04-18 01:05:16.598000 6.196 4.90265 Clear 0 737.271 37.626 6 23843976
2023-04-18 01:05:16.698000 6.234 4.94079 Clear 0 737.04 37.658 6 23843976
2023-04-18 01:05:16.798000 6.259 4.96447 Clear 0 736.81 37.69 6 23843976
2023-04-18 01:05:16.898000 6.348 5.05351 Clear 0 736.58 37.722 6 23843976
2023-04-18 01:05:16.998000 6.141 4.84549 Clear 0 736.351 37.754 6 23843976
2023-04-18 01:05:17.098000 6.237 4.94167 Clear 0 736.123 37.786 6 23843976
2023-04-18 01:05:17.198000 6.309 5.0139 Clear 0 735.895 37.819 6 23843976
2023-04-18 01:05:17.298000 6.201 4.90468 Clear 0 735.667 37.851 6 23843976
2023-04-18 01:05:17.398000 6.224 4.9277 Clear 0 735.441 37.884 6 23843976
2023-04-18 01:05:17.498000 6.211 4.91379 Clear 0 735.214 37.916 6 23843976
2023-04-18 01:05:17.598000 6.258 4.96053 Clear 0 734.989 37.949 6 23843976
2023-04-18 01:05:17.698000 6.248 4.95036 Clear 0 734.764 37.981 6 23843976
2023-04-18 01:05:17.798000 6.351 5.05287 Clear 0 734.539 38.014 6 23843976
2023-04-18 01:05:17.898000 6.187 4.88782 Clear 0 734.316 38.047 6 23843976
2023-04-18 01:05:17.998000 6.12 4.82064 Clear 0 734.092 38.08 6 23843976
2023-04-18 01:05:18.098000 6.216 4.91619 Clear 0 733.87 38.112 6 23843976
2023-04-18 01:05:18.198000 6.137 4.837 Clear 0 733.647 38.145 6 23843976
2023-04-18 01:05:18.298000 6.143 4.84272 Clear 0 733.426 38.178 6 23843976
2023-04-18 01:05:18.398000 6.159 4.85822 Clear 0 733.205 38.211 6 23843976
2023-04-18 01:05:18.498000 6.224 4.92307 Clear 0 732.985 38.244 6 23843976
2023-04-18 01:05:18.598000 6.19 4.8876 Clear 0 732.765 38.278 6 23843976
2023-04-18 01:05:18.698000 6.204 4.90241 Clear 0 732.546 38.311 6 23843976
2023-04-18 01:05:18.798000 6.194 4.89068 Clear 0 732.327 38.344 6 23843976
2023-04-18 01:05:18.898000 6.31 5.00729 Clear 0 732.109 38.377 6 23843976
2023-04-18 01:05:18.998000 6.219 4.91561 Clear 0 731.891 38.411 6 23843976
2023-04-18 01:05:19.098000 6.228 4.92348 Clear 0 731.675 38.444 6 23843976
2023-04-18 01:05:19.198000 6.224 4.91952 Clear 0 731.458 38.478 6 23843976
2023-04-18 01:05:19.298000 6.149 4.84353 Clear 0 731.243 38.511 6 23843976
2023-04-18 01:05:19.398000 6.204 4.89904 Clear 0 731.027 38.545 6 23843976
2023-04-18 01:05:19.598000 6.267 4.96141 Clear 0 730.599 38.612 6 23843976
2023-04-18 01:05:19.698000 6.224 4.91751 Clear 0 730.386 38.646 6 23843976
2023-04-18 01:05:19.798000 6.082 4.77496 Clear 0 730.173 38.68 6 23843976
2023-04-18 01:05:19.898000 6.153 4.84614 Clear 0 729.961 38.714 6 23843976
2023-04-18 01:05:19.998000 6.243 4.93524 Clear 0 729.749 38.748 6 23843976
2023-04-18 01:05:20.098000 6.11 4.80185 Clear 0 729.538 38.782 6 23843976
2023-04-18 01:05:20.198000 6.252 4.94375 Clear 0 729.328 38.816 6 23843976
