# satellite: 57763 WILDFIRE 6 / US
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 4059
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2023-09-19 01:41:19.400000 7.77 7.29576 Clear 0 1001.964 56.182 3 25941475
2023-09-19 01:41:19.500000 7.777 7.30337 Clear 0 1001.954 56.174 3 25941475
2023-09-19 01:41:19.600000 7.753 7.2794 Clear 0 1001.944 56.166 3 25941475
2023-09-19 01:41:19.700000 7.699 7.22504 Clear 0 1001.934 56.157 3 25941475
2023-09-19 01:41:19.800000 7.944 7.4704 Clear 0 1001.925 56.149 3 25941475
2023-09-19 01:41:19.900000 7.837 7.36269 Clear 0 1001.916 56.141 3 25941475
2023-09-19 01:41:20 7.727 7.25314 Clear 0 1001.908 56.133 3 25941475
2023-09-19 01:41:20.100000 7.656 7.18164 Clear 0 1001.9 56.125 3 25941475
2023-09-19 01:41:20.200000 7.744 7.2701 Clear 0 1001.893 56.117 3 25941475
2023-09-19 01:41:20.300000 7.669 7.19445 Clear 0 1001.886 56.108 3 25941475
2023-09-19 01:41:20.400000 7.709 7.23355 Clear 0 1001.88 56.1 3 25941475
2023-09-19 01:41:20.500000 7.562 7.08702 Clear 0 1001.874 56.092 3 25941475
2023-09-19 01:41:20.600000 7.626 7.15045 Clear 0 1001.869 56.084 3 25941475
2023-09-19 01:41:20.700000 7.653 7.17823 Clear 0 1001.864 56.076 3 25941475
2023-09-19 01:41:20.800000 7.372 6.89724 Clear 0 1001.859 56.068 3 25941475
2023-09-19 01:41:21 7.535 7.06001 Clear 0 1001.852 56.052 3 25941475
2023-09-19 01:41:21.200000 7.572 7.09682 Clear 0 1001.846 56.036 3 25941475
2023-09-19 01:41:21.300000 7.55 7.07511 Clear 0 1001.844 56.028 3 25941475
2023-09-19 01:41:21.400000 7.489 7.01379 Clear 0 1001.842 56.021 3 25941475
2023-09-19 01:41:21.600000 7.41 6.93405 Clear 0 1001.84 56.005 3 25941475
2023-09-19 01:41:21.700000 7.462 6.98587 Clear 0 1001.84 55.997 3 25941475
2023-09-19 01:41:21.900000 7.475 6.99852 Clear 0 1001.84 55.981 3 25941475
2023-09-19 01:41:22 7.52 7.04373 Clear 0 1001.842 55.973 3 25941475
2023-09-19 01:41:22.100000 7.532 7.0558 Clear 0 1001.843 55.966 3 25941475
2023-09-19 01:41:22.200000 7.539 7.06259 Clear 0 1001.845 55.958 3 25941475
2023-09-19 01:41:22.300000 7.483 7.00697 Clear 0 1001.848 55.95 3 25941475
2023-09-19 01:41:22.400000 7.425 6.94929 Clear 0 1001.851 55.943 3 25941475
2023-09-19 01:41:22.500000 7.446 6.96979 Clear 0 1001.854 55.935 3 25941475
2023-09-19 01:41:22.600000 7.558 7.08238 Clear 0 1001.858 55.927 3 25941475
2023-09-19 01:41:22.700000 7.371 6.89452 Clear 0 1001.862 55.919 3 25941475
2023-09-19 01:41:22.800000 7.521 7.04361 Clear 0 1001.867 55.912 3 25941475
2023-09-19 01:41:22.900000 7.559 7.08238 Clear 0 1001.872 55.904 3 25941475
2023-09-19 01:41:23 7.39 6.91288 Clear 0 1001.878 55.897 3 25941475
2023-09-19 01:41:23.100000 7.295 6.81801 Clear 0 1001.884 55.889 3 25941475
2023-09-19 01:41:23.200000 7.504 7.02656 Clear 0 1001.891 55.881 3 25941475
2023-09-19 01:41:23.400000 7.357 6.87963 Clear 0 1001.906 55.866 3 25941475
2023-09-19 01:41:23.500000 7.41 6.93343 Clear 0 1001.914 55.859 3 25941475
2023-09-19 01:41:23.600000 7.477 7.00041 Clear 0 1001.923 55.851 3 25941475
2023-09-19 01:41:23.700000 7.342 6.86456 Clear 0 1001.932 55.844 3 25941475
2023-09-19 01:41:23.800000 7.35 6.87271 Clear 0 1001.941 55.836 3 25941475
2023-09-19 01:41:23.900000 7.413 6.93604 Clear 0 1001.951 55.829 3 25941475
2023-09-19 01:41:24 7.442 6.96463 Clear 0 1001.961 55.822 3 25941475
2023-09-19 01:41:24.100000 7.444 6.96645 Clear 0 1001.972 55.814 3 25941475
2023-09-19 01:41:24.200000 7.461 6.98357 Clear 0 1001.984 55.807 3 25941475
2023-09-19 01:41:24.300000 7.34 6.8626 Clear 0 1001.995 55.8 3 25941475
2023-09-19 01:41:24.400000 7.359 6.88221 Clear 0 1002.008 55.792 3 25941475
2023-09-19 01:41:24.500000 7.232 6.7551 Clear 0 1002.02 55.785 3 25941475
2023-09-19 01:41:24.600000 7.256 6.77934 Clear 0 1002.034 55.778 3 25941475
2023-09-19 01:41:24.700000 7.284 6.80562 Clear 0 1002.047 55.77 3 25941475
2023-09-19 01:41:24.800000 7.242 6.76407 Clear 0 1002.061 55.763 3 25941475
2023-09-19 01:41:24.900000 7.352 6.87389 Clear 0 1002.076 55.756 3 25941475
2023-09-19 01:41:25 7.213 6.73494 Clear 0 1002.091 55.749 3 25941475
2023-09-19 01:41:25.098000 7.56 7.08195 Clear 0 1002.106 55.742 8 25941475
2023-09-19 01:41:25.100000 7.225 6.74725 Clear 0 1002.107 55.741 3 25941475
2023-09-19 01:41:25.198000 7.554 7.07617 Clear 0 1002.122 55.734 8 25941475
2023-09-19 01:41:25.200000 7.249 6.77132 Clear 0 1002.123 55.734 3 25941475
2023-09-19 01:41:25.300000 7.238 6.75971 Clear 0 1002.139 55.727 3 25941475
2023-09-19 01:41:25.400000 7.32 6.84171 Clear 0 1002.156 55.72 3 25941475
2023-09-19 01:41:25.500000 7.303 6.8246 Clear 0 1002.173 55.713 3 25941475
2023-09-19 01:41:25.598000 7.507 7.02865 Clear 0 1002.191 55.706 8 25941475
2023-09-19 01:41:25.600000 7.219 6.74086 Clear 0 1002.191 55.706 3 25941475
2023-09-19 01:41:25.698000 7.46 6.98169 Clear 0 1002.209 55.699 8 25941475
2023-09-19 01:41:25.700000 7.334 6.85588 Clear 0 1002.21 55.699 3 25941475
2023-09-19 01:41:25.798000 7.4 6.9224 Clear 0 1002.228 55.692 8 25941475
2023-09-19 01:41:25.800000 7.214 6.73607 Clear 0 1002.228 55.691 3 25941475
2023-09-19 01:41:25.900000 7.253 6.77455 Clear 0 1002.248 55.684 3 25941475
2023-09-19 01:41:25.998000 7.505 7.02727 Clear 0 1002.267 55.678 8 25941475
2023-09-19 01:41:26 7.257 6.77853 Clear 0 1002.267 55.677 3 25941475
2023-09-19 01:41:26.098000 7.56 7.08231 Clear 0 1002.287 55.671 8 25941475
2023-09-19 01:41:26.100000 7.249 6.7706 Clear 0 1002.288 55.67 3 25941475
