# satellite: 37941 YAOGAN 13 / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 13610
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-15 22:31:30.698000 5.703 4.16832 Clear 0 536.228 79.364 3 458035
2014-06-15 22:31:30.798000 5.71 4.17435 Clear 0 536.097 79.283 3 458035
2014-06-15 22:31:30.898000 5.678 4.14032 Clear 0 535.966 79.202 3 458035
2014-06-15 22:31:30.998000 5.727 4.18728 Clear 0 535.836 79.121 3 458035
2014-06-15 22:31:31.098000 5.701 4.1589 Clear 0 535.707 79.04 3 458035
2014-06-15 22:31:31.198000 5.673 4.12868 Clear 0 535.579 78.959 3 458035
2014-06-15 22:31:31.298000 5.791 4.24625 Clear 0 535.452 78.878 3 458035
2014-06-15 22:31:31.398000 5.69 4.14319 Clear 0 535.326 78.797 3 458035
2014-06-15 22:31:31.498000 5.725 4.17612 Clear 0 535.201 78.715 3 458035
2014-06-15 22:31:31.598000 5.727 4.17575 Clear 0 535.077 78.634 3 458035
2014-06-15 22:31:31.698000 5.732 4.17989 Clear 0 534.954 78.553 3 458035
2014-06-15 22:31:31.798000 5.709 4.15466 Clear 0 534.832 78.472 3 458035
2014-06-15 22:31:31.898000 5.736 4.18017 Clear 0 534.711 78.39 3 458035
2014-06-15 22:31:31.998000 5.735 4.17665 Clear 0 534.591 78.309 3 458035
2014-06-15 22:31:32.098000 5.745 4.18618 Clear 0 534.472 78.228 3 458035
2014-06-15 22:31:32.198000 5.73 4.16926 Clear 0 534.354 78.146 3 458035
2014-06-15 22:31:32.298000 5.737 4.17417 Clear 0 534.237 78.065 3 458035
2014-06-15 22:31:32.398000 5.682 4.11701 Clear 0 534.121 77.983 3 458035
2014-06-15 22:31:32.498000 5.739 4.17253 Clear 0 534.006 77.902 3 458035
2014-06-15 22:31:32.598000 5.749 4.18053 Clear 0 533.892 77.82 3 458035
2014-06-15 22:31:32.698000 5.653 4.0834 Clear 0 533.779 77.739 3 458035
2014-06-15 22:31:32.798000 5.703 4.13158 Clear 0 533.667 77.657 3 458035
2014-06-15 22:31:32.898000 5.662 4.08907 Clear 0 533.556 77.575 3 458035
2014-06-15 22:31:32.998000 5.747 4.17192 Clear 0 533.446 77.494 3 458035
2014-06-15 22:31:33.098000 5.761 4.18504 Clear 0 533.337 77.412 3 458035
2014-06-15 22:31:33.198000 5.7 4.12159 Clear 0 533.229 77.33 3 458035
2014-06-15 22:31:33.298000 5.705 4.12459 Clear 0 533.122 77.249 3 458035
2014-06-15 22:31:33.398000 5.689 4.10669 Clear 0 533.016 77.167 3 458035
2014-06-15 22:31:33.498000 5.696 4.11277 Clear 0 532.911 77.085 3 458035
2014-06-15 22:31:33.598000 5.787 4.202 Clear 0 532.807 77.003 3 458035
2014-06-15 22:31:33.698000 5.682 4.09611 Clear 0 532.704 76.921 3 458035
2014-06-15 22:31:33.798000 5.676 4.0881 Clear 0 532.602 76.839 3 458035
2014-06-15 22:31:33.898000 5.672 4.08169 Clear 0 532.501 76.757 3 458035
2014-06-15 22:31:33.998000 5.703 4.11145 Clear 0 532.401 76.675 3 458035
2014-06-15 22:31:34.098000 5.682 4.08894 Clear 0 532.302 76.593 3 458035
2014-06-15 22:31:34.198000 5.693 4.09818 Clear 0 532.204 76.511 3 458035
2014-06-15 22:31:34.298000 5.627 4.03046 Clear 0 532.107 76.429 3 458035
2014-06-15 22:31:34.398000 5.687 4.08907 Clear 0 532.011 76.347 3 458035
2014-06-15 22:31:34.498000 5.708 4.10746 Clear 0 531.916 76.265 3 458035
2014-06-15 22:31:34.598000 5.678 4.07654 Clear 0 531.823 76.183 3 458035
2014-06-15 22:31:34.698000 5.613 4.00995 Clear 0 531.73 76.1 3 458035
2014-06-15 22:31:34.798000 5.704 4.09968 Clear 0 531.638 76.018 3 458035
2014-06-15 22:31:34.898000 5.606 3.99971 Clear 0 531.547 75.936 3 458035
2014-06-15 22:31:34.998000 5.571 3.96426 Clear 0 531.457 75.854 3 458035
2014-06-15 22:31:35.098000 5.523 3.91411 Clear 0 531.368 75.771 3 458035
2014-06-15 22:31:35.198000 5.577 3.96592 Clear 0 531.281 75.689 3 458035
2014-06-15 22:31:35.298000 5.566 3.95352 Clear 0 531.194 75.607 3 458035
2014-06-15 22:31:35.398000 5.606 3.99235 Clear 0 531.108 75.524 3 458035
2014-06-15 22:31:35.498000 5.612 3.99696 Clear 0 531.023 75.442 3 458035
2014-06-15 22:31:35.598000 5.645 4.02821 Clear 0 530.94 75.36 3 458035
2014-06-15 22:31:35.698000 5.57 3.95165 Clear 0 530.857 75.277 3 458035
2014-06-15 22:31:35.798000 5.618 3.99779 Clear 0 530.775 75.195 3 458035
2014-06-15 22:31:35.898000 5.62 3.99914 Clear 0 530.695 75.112 3 458035
2014-06-15 22:31:35.998000 5.625 4.00224 Clear 0 530.615 75.03 3 458035
2014-06-15 22:31:36.098000 5.655 4.0297 Clear 0 530.536 74.947 3 458035
2014-06-15 22:31:36.198000 5.625 3.99911 Clear 0 530.459 74.864 3 458035
2014-06-15 22:31:36.298000 5.619 3.99071 Clear 0 530.382 74.782 3 458035
2014-06-15 22:31:36.398000 5.593 3.96372 Clear 0 530.307 74.699 3 458035
2014-06-15 22:31:36.498000 5.604 3.97295 Clear 0 530.232 74.617 3 458035
2014-06-15 22:31:36.598000 5.558 3.92566 Clear 0 530.159 74.534 3 458035
2014-06-15 22:31:36.698000 5.564 3.92975 Clear 0 530.086 74.451 3 458035
2014-06-15 22:31:36.798000 5.519 3.88353 Clear 0 530.015 74.369 3 458035
2014-06-15 22:31:36.898000 5.509 3.87334 Clear 0 529.944 74.286 3 458035
2014-06-15 22:31:36.998000 5.537 3.89908 Clear 0 529.875 74.203 3 458035
2014-06-15 22:31:37.098000 5.476 3.83725 Clear 0 529.806 74.12 3 458035
2014-06-15 22:31:37.198000 5.498 3.85715 Clear 0 529.739 74.038 3 458035
2014-06-15 22:31:37.298000 5.484 3.84234 Clear 0 529.673 73.955 3 458035
2014-06-15 22:31:37.398000 5.521 3.87683 Clear 0 529.607 73.872 3 458035
2014-06-15 22:31:37.498000 5.511 3.86569 Clear 0 529.543 73.789 3 458035
2014-06-15 22:31:37.598000 5.466 3.81868 Clear 0 529.48 73.706 3 458035
2014-06-15 22:31:37.698000 5.422 3.77373 Clear 0 529.418 73.623 3 458035
2014-06-15 22:31:37.798000 5.531 3.88049 Clear 0 529.357 73.54 3 458035
2014-06-15 22:31:37.898000 5.44 3.78917 Clear 0 529.296 73.457 3 458035
2014-06-15 22:31:37.998000 5.522 3.86961 Clear 0 529.237 73.375 3 458035
2014-06-15 22:31:38.098000 5.459 3.80502 Clear 0 529.179 73.292 3 458035
2014-06-15 22:31:38.198000 5.452 3.79703 Clear 0 529.122 73.209 3 458035
2014-06-15 22:31:38.298000 5.501 3.84363 Clear 0 529.066 73.126 3 458035
2014-06-15 22:31:38.398000 5.436 3.77773 Clear 0 529.011 73.043 3 458035
2014-06-15 22:31:38.498000 5.493 3.8342 Clear 0 528.957 72.96 3 458035
2014-06-15 22:31:38.598000 5.414 3.75305 Clear 0 528.904 72.877 3 458035
2014-06-15 22:31:38.698000 5.407 3.7446 Clear 0 528.852 72.793 3 458035
2014-06-15 22:31:38.798000 5.366 3.70337 Clear 0 528.801 72.71 3 458035
