# satellite: 44233 RISAT 2B / IND
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 1006
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2020-07-16 18:40:44.295000 4.767 4.11215 Clear 0 954.954 47.825 7 17905713
2020-07-16 18:40:44.395000 4.793 4.13675 Clear 0 954.854 47.784 7 17905713
2020-07-16 18:40:44.495000 4.803 4.14735 Clear 0 954.754 47.742 7 17905713
2020-07-16 18:40:44.595000 4.818 4.16137 Clear 0 954.655 47.701 7 17905713
2020-07-16 18:40:44.695000 4.811 4.15325 Clear 0 954.556 47.66 7 17905713
2020-07-16 18:40:44.795000 4.848 4.1899 Clear 0 954.458 47.618 7 17905713
2020-07-16 18:40:44.895000 4.864 4.2049 Clear 0 954.36 47.577 7 17905713
2020-07-16 18:40:44.995000 4.765 4.10574 Clear 0 954.263 47.535 7 17905713
2020-07-16 18:40:45.095000 4.778 4.11814 Clear 0 954.166 47.494 7 17905713
2020-07-16 18:40:45.195000 4.674 4.01416 Clear 0 954.07 47.452 7 17905713
2020-07-16 18:40:45.295000 4.756 4.09519 Clear 0 953.974 47.411 7 17905713
2020-07-16 18:40:45.395000 4.801 4.13946 Clear 0 953.879 47.369 7 17905713
2020-07-16 18:40:45.495000 4.83 4.16756 Clear 0 953.784 47.328 7 17905713
2020-07-16 18:40:45.595000 4.873 4.21041 Clear 0 953.69 47.286 7 17905713
2020-07-16 18:40:45.695000 4.767 4.10429 Clear 0 953.596 47.245 7 17905713
2020-07-16 18:40:45.795000 4.881 4.21686 Clear 0 953.503 47.204 7 17905713
2020-07-16 18:40:45.895000 4.699 4.03532 Clear 0 953.41 47.162 7 17905713
2020-07-16 18:40:45.995000 4.787 4.12148 Clear 0 953.317 47.121 7 17905713
2020-07-16 18:40:46.095000 4.763 4.09809 Clear 0 953.226 47.079 7 17905713
2020-07-16 18:40:46.195000 4.731 4.06456 Clear 0 953.134 47.037 7 17905713
2020-07-16 18:40:46.295000 4.752 4.08583 Clear 0 953.043 46.996 7 17905713
2020-07-16 18:40:46.395000 4.752 4.08449 Clear 0 952.953 46.954 7 17905713
2020-07-16 18:40:46.495000 4.75 4.08213 Clear 0 952.863 46.913 7 17905713
2020-07-16 18:40:46.595000 4.757 4.0893 Clear 0 952.773 46.871 7 17905713
2020-07-16 18:40:46.695000 4.881 4.21196 Clear 0 952.685 46.83 7 17905713
2020-07-16 18:40:46.795000 4.72 4.05085 Clear 0 952.596 46.788 7 17905713
2020-07-16 18:40:46.895000 4.727 4.05706 Clear 0 952.508 46.747 7 17905713
2020-07-16 18:40:46.995000 4.758 4.08767 Clear 0 952.421 46.705 7 17905713
2020-07-16 18:40:47.095000 4.858 4.18676 Clear 0 952.334 46.664 7 17905713
2020-07-16 18:40:47.195000 4.826 4.1549 Clear 0 952.247 46.622 7 17905713
2020-07-16 18:40:47.295000 4.764 4.09177 Clear 0 952.161 46.58 7 17905713
2020-07-16 18:40:47.395000 4.821 4.14874 Clear 0 952.076 46.539 7 17905713
2020-07-16 18:40:47.495000 4.79 4.11742 Clear 0 951.991 46.497 7 17905713
2020-07-16 18:40:47.595000 4.813 4.14034 Clear 0 951.906 46.456 7 17905713
2020-07-16 18:40:47.695000 4.745 4.07119 Clear 0 951.822 46.414 7 17905713
2020-07-16 18:40:47.795000 4.818 4.14303 Clear 0 951.739 46.372 7 17905713
2020-07-16 18:40:47.895000 4.788 4.11278 Clear 0 951.656 46.331 7 17905713
2020-07-16 18:40:47.995000 4.768 4.09191 Clear 0 951.573 46.289 7 17905713
2020-07-16 18:40:48.095000 4.79 4.11399 Clear 0 951.491 46.247 7 17905713
2020-07-16 18:40:48.195000 4.899 4.22196 Clear 0 951.409 46.206 7 17905713
2020-07-16 18:40:48.295000 4.783 4.1062 Clear 0 951.328 46.164 7 17905713
2020-07-16 18:40:48.395000 4.842 4.16378 Clear 0 951.248 46.123 7 17905713
2020-07-16 18:40:48.495000 4.798 4.11969 Clear 0 951.168 46.081 7 17905713
2020-07-16 18:40:48.595000 4.805 4.12627 Clear 0 951.088 46.039 7 17905713
2020-07-16 18:40:48.695000 4.78 4.10055 Clear 0 951.009 45.998 7 17905713
2020-07-16 18:40:48.795000 4.719 4.03865 Clear 0 950.93 45.956 7 17905713
2020-07-16 18:40:48.895000 4.782 4.10182 Clear 0 950.852 45.914 7 17905713
2020-07-16 18:40:48.995000 4.726 4.04487 Clear 0 950.774 45.873 7 17905713
2020-07-16 18:40:49.095000 4.801 4.12024 Clear 0 950.697 45.831 7 17905713
2020-07-16 18:40:49.195000 4.788 4.10555 Clear 0 950.621 45.789 7 17905713
2020-07-16 18:40:49.295000 4.81 4.12825 Clear 0 950.544 45.747 7 17905713
2020-07-16 18:40:49.395000 4.726 4.04263 Clear 0 950.469 45.706 7 17905713
2020-07-16 18:40:49.495000 4.794 4.11109 Clear 0 950.394 45.664 7 17905713
2020-07-16 18:40:49.595000 4.739 4.05464 Clear 0 950.319 45.622 7 17905713
2020-07-16 18:40:49.695000 4.693 4.00905 Clear 0 950.245 45.581 7 17905713
2020-07-16 18:40:49.795000 4.653 3.96816 Clear 0 950.171 45.539 7 17905713
2020-07-16 18:40:49.895000 4.747 4.06167 Clear 0 950.098 45.497 7 17905713
2020-07-16 18:40:49.995000 4.689 4.00279 Clear 0 950.025 45.456 7 17905713
2020-07-16 18:40:50.095000 4.68 3.99375 Clear 0 949.953 45.414 7 17905713
2020-07-16 18:40:50.195000 4.668 3.98131 Clear 0 949.881 45.372 7 17905713
2020-07-16 18:40:50.295000 4.8 4.11338 Clear 0 949.81 45.33 7 17905713
2020-07-16 18:40:50.395000 4.7 4.01206 Clear 0 949.739 45.289 7 17905713
2020-07-16 18:40:50.495000 4.76 4.07167 Clear 0 949.669 45.247 7 17905713
2020-07-16 18:40:50.595000 4.717 4.02806 Clear 0 949.599 45.205 7 17905713
2020-07-16 18:40:50.695000 4.81 4.12086 Clear 0 949.53 45.163 7 17905713
2020-07-16 18:40:50.795000 4.787 4.09723 Clear 0 949.461 45.122 7 17905713
2020-07-16 18:40:50.895000 4.776 4.08594 Clear 0 949.393 45.08 7 17905713
2020-07-16 18:40:50.995000 4.794 4.10259 Clear 0 949.325 45.038 7 17905713
2020-07-16 18:40:51.095000 4.713 4.02202 Clear 0 949.258 44.996 7 17905713
2020-07-16 18:40:51.195000 4.749 4.05731 Clear 0 949.191 44.954 7 17905713
2020-07-16 18:40:51.295000 4.886 4.19437 Clear 0 949.125 44.913 7 17905713
2020-07-16 18:40:51.395000 4.749 4.05595 Clear 0 949.059 44.871 7 17905713
2020-07-16 18:40:51.495000 4.831 4.13813 Clear 0 948.994 44.829 7 17905713
2020-07-16 18:40:51.595000 4.776 4.08193 Clear 0 948.929 44.787 7 17905713
2020-07-16 18:40:51.695000 4.742 4.04804 Clear 0 948.864 44.746 7 17905713
2020-07-16 18:40:51.795000 4.721 4.02545 Clear 0 948.801 44.704 7 17905713
2020-07-16 18:40:51.895000 4.798 4.10295 Clear 0 948.737 44.662 7 17905713
