# satellite: 47533 YAOGAN-31 E / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 31163
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-02-25 01:46:01.995000 5.326 6.23955 Clear 0 1341.606 102.838 5 18944992
2021-02-25 01:46:02.095000 5.383 6.29657 Clear 0 1341.872 102.851 5 18944992
2021-02-25 01:46:02.195000 5.461 6.37572 Clear 0 1342.138 102.864 5 18944992
2021-02-25 01:46:02.295000 5.374 6.28959 Clear 0 1342.404 102.877 5 18944992
2021-02-25 01:46:02.395000 5.327 6.24261 Clear 0 1342.67 102.889 5 18944992
2021-02-25 01:46:02.495000 5.458 6.37474 Clear 0 1342.936 102.902 5 18944992
2021-02-25 01:46:02.595000 5.413 6.33086 Clear 0 1343.203 102.915 5 18944992
2021-02-25 01:46:02.695000 5.474 6.39319 Clear 0 1343.47 102.927 5 18944992
2021-02-25 01:46:02.795000 5.46 6.37934 Clear 0 1343.738 102.94 5 18944992
2021-02-25 01:46:02.895000 5.494 6.41374 Clear 0 1344.005 102.953 5 18944992
2021-02-25 01:46:02.995000 5.434 6.35469 Clear 0 1344.273 102.965 5 18944992
2021-02-25 01:46:03.095000 5.414 6.33593 Clear 0 1344.541 102.978 5 18944992
2021-02-25 01:46:03.195000 5.444 6.3659 Clear 0 1344.809 102.991 5 18944992
2021-02-25 01:46:03.295000 5.399 6.3223 Clear 0 1345.078 103.003 5 18944992
2021-02-25 01:46:03.395000 5.465 6.38914 Clear 0 1345.347 103.016 5 18944992
2021-02-25 01:46:03.495000 5.486 6.41133 Clear 0 1345.616 103.029 5 18944992
2021-02-25 01:46:03.595000 5.379 6.30388 Clear 0 1345.885 103.041 5 18944992
2021-02-25 01:46:03.695000 5.49 6.41585 Clear 0 1346.155 103.054 5 18944992
2021-02-25 01:46:03.795000 5.485 6.41187 Clear 0 1346.425 103.067 5 18944992
2021-02-25 01:46:03.895000 5.36 6.28716 Clear 0 1346.695 103.079 5 18944992
2021-02-25 01:46:03.995000 5.43 6.35772 Clear 0 1346.966 103.092 5 18944992
2021-02-25 01:46:04.095000 5.462 6.39127 Clear 0 1347.236 103.105 5 18944992
2021-02-25 01:46:04.195000 5.435 6.36485 Clear 0 1347.507 103.117 5 18944992
2021-02-25 01:46:04.295000 5.493 6.42251 Clear 0 1347.778 103.13 5 18944992
2021-02-25 01:46:04.395000 5.417 6.34762 Clear 0 1348.05 103.142 5 18944992
2021-02-25 01:46:04.495000 5.576 6.50823 Clear 0 1348.321 103.155 5 18944992
2021-02-25 01:46:04.595000 5.489 6.42243 Clear 0 1348.593 103.167 5 18944992
2021-02-25 01:46:04.695000 5.429 6.36202 Clear 0 1348.866 103.18 5 18944992
2021-02-25 01:46:04.795000 5.489 6.42314 Clear 0 1349.138 103.193 5 18944992
2021-02-25 01:46:04.895000 5.41 6.34534 Clear 0 1349.411 103.205 5 18944992
2021-02-25 01:46:04.995000 5.463 6.39863 Clear 0 1349.684 103.218 5 18944992
2021-02-25 01:46:05.095000 5.406 6.34205 Clear 0 1349.957 103.23 5 18944992
2021-02-25 01:46:05.195000 5.531 6.46755 Clear 0 1350.231 103.243 5 18944992
2021-02-25 01:46:05.295000 5.445 6.3826 Clear 0 1350.504 103.255 5 18944992
2021-02-25 01:46:05.395000 5.409 6.34813 Clear 0 1350.778 103.268 5 18944992
2021-02-25 01:46:05.495000 5.529 6.46837 Clear 0 1351.053 103.28 5 18944992
2021-02-25 01:46:05.595000 5.443 6.38328 Clear 0 1351.327 103.293 5 18944992
2021-02-25 01:46:05.695000 5.357 6.29755 Clear 0 1351.602 103.305 5 18944992
2021-02-25 01:46:05.795000 5.397 6.33928 Clear 0 1351.877 103.318 5 18944992
2021-02-25 01:46:05.895000 5.428 6.36979 Clear 0 1352.152 103.33 5 18944992
2021-02-25 01:46:05.995000 5.545 6.48757 Clear 0 1352.428 103.343 5 18944992
2021-02-25 01:46:06.095000 5.417 6.36054 Clear 0 1352.704 103.355 5 18944992
2021-02-25 01:46:06.195000 5.408 6.35291 Clear 0 1352.98 103.368 5 18944992
2021-02-25 01:46:06.295000 5.409 6.35365 Clear 0 1353.256 103.38 5 18944992
2021-02-25 01:46:06.395000 5.421 6.36709 Clear 0 1353.532 103.393 5 18944992
2021-02-25 01:46:06.495000 5.477 6.42424 Clear 0 1353.809 103.405 5 18944992
2021-02-25 01:46:06.595000 5.449 6.39633 Clear 0 1354.086 103.418 5 18944992
2021-02-25 01:46:06.695000 5.541 6.48908 Clear 0 1354.364 103.43 5 18944992
2021-02-25 01:46:06.795000 5.516 6.46526 Clear 0 1354.641 103.443 5 18944992
2021-02-25 01:46:06.895000 5.475 6.42535 Clear 0 1354.919 103.455 5 18944992
2021-02-25 01:46:06.995000 5.413 6.36329 Clear 0 1355.197 103.468 5 18944992
2021-02-25 01:46:07.095000 5.424 6.37474 Clear 0 1355.475 103.48 5 18944992
2021-02-25 01:46:07.195000 5.512 6.46412 Clear 0 1355.754 103.492 5 18944992
2021-02-25 01:46:07.295000 5.462 6.41468 Clear 0 1356.033 103.505 5 18944992
2021-02-25 01:46:07.395000 5.425 6.37821 Clear 0 1356.312 103.517 5 18944992
2021-02-25 01:46:07.495000 5.416 6.37024 Clear 0 1356.591 103.53 5 18944992
2021-02-25 01:46:07.595000 5.357 6.31195 Clear 0 1356.871 103.542 5 18944992
2021-02-25 01:46:07.695000 5.424 6.37949 Clear 0 1357.151 103.554 5 18944992
2021-02-25 01:46:07.795000 5.399 6.35491 Clear 0 1357.431 103.567 5 18944992
2021-02-25 01:46:07.895000 5.363 6.31986 Clear 0 1357.711 103.579 5 18944992
2021-02-25 01:46:07.995000 5.36 6.31757 Clear 0 1357.992 103.592 5 18944992
2021-02-25 01:46:08.095000 5.514 6.47331 Clear 0 1358.273 103.604 5 18944992
2021-02-25 01:46:08.195000 5.337 6.29545 Clear 0 1358.554 103.616 5 18944992
2021-02-25 01:46:08.295000 5.37 6.33014 Clear 0 1358.835 103.629 5 18944992
2021-02-25 01:46:08.395000 5.374 6.33543 Clear 0 1359.117 103.641 5 18944992
2021-02-25 01:46:08.495000 5.419 6.38055 Clear 0 1359.398 103.653 5 18944992
2021-02-25 01:46:08.595000 5.444 6.40643 Clear 0 1359.681 103.666 5 18944992
2021-02-25 01:46:08.695000 5.36 6.32251 Clear 0 1359.963 103.678 5 18944992
2021-02-25 01:46:08.795000 5.43 6.39395 Clear 0 1360.245 103.69 5 18944992
2021-02-25 01:46:08.895000 5.345 6.31003 Clear 0 1360.528 103.703 5 18944992
2021-02-25 01:46:08.995000 5.424 6.38906 Clear 0 1360.811 103.715 5 18944992
2021-02-25 01:46:09.095000 5.493 6.45914 Clear 0 1361.095 103.727 5 18944992
2021-02-25 01:46:09.195000 5.32 6.28723 Clear 0 1361.378 103.74 5 18944992
2021-02-25 01:46:09.295000 5.313 6.28121 Clear 0 1361.662 103.752 5 18944992
