# satellite: 47536 YAOGAN-31 F / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 27933
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-02-25 01:46:01.197000 5.404 6.42225 Clear 0 1381.365 104.527 9 18944993
2021-02-25 01:46:01.297000 5.304 6.32174 Clear 0 1381.663 104.539 9 18944993
2021-02-25 01:46:01.397000 5.384 6.40288 Clear 0 1381.961 104.551 9 18944993
2021-02-25 01:46:01.497000 5.306 6.3262 Clear 0 1382.259 104.563 9 18944993
2021-02-25 01:46:01.597000 5.352 6.37264 Clear 0 1382.558 104.575 9 18944993
2021-02-25 01:46:01.697000 5.29 6.31069 Clear 0 1382.857 104.587 9 18944993
2021-02-25 01:46:01.797000 5.354 6.37627 Clear 0 1383.156 104.599 9 18944993
2021-02-25 01:46:01.897000 5.435 6.45829 Clear 0 1383.455 104.61 9 18944993
2021-02-25 01:46:01.997000 5.337 6.361 Clear 0 1383.755 104.622 9 18944993
2021-02-25 01:46:02.097000 5.467 6.49167 Clear 0 1384.054 104.634 9 18944993
2021-02-25 01:46:02.197000 5.398 6.42313 Clear 0 1384.354 104.646 9 18944993
2021-02-25 01:46:02.297000 5.362 6.38751 Clear 0 1384.655 104.658 9 18944993
2021-02-25 01:46:02.397000 5.427 6.45438 Clear 0 1384.955 104.67 9 18944993
2021-02-25 01:46:02.497000 5.415 6.4425 Clear 0 1385.256 104.682 9 18944993
2021-02-25 01:46:02.597000 5.445 6.47309 Clear 0 1385.557 104.693 9 18944993
2021-02-25 01:46:02.697000 5.325 6.35372 Clear 0 1385.858 104.705 9 18944993
2021-02-25 01:46:02.797000 5.341 6.37125 Clear 0 1386.159 104.717 9 18944993
2021-02-25 01:46:02.897000 5.501 6.5319 Clear 0 1386.461 104.729 9 18944993
2021-02-25 01:46:02.997000 5.439 6.46981 Clear 0 1386.763 104.741 9 18944993
2021-02-25 01:46:03.097000 5.4 6.43214 Clear 0 1387.065 104.752 9 18944993
2021-02-25 01:46:03.197000 5.443 6.47577 Clear 0 1387.367 104.764 9 18944993
2021-02-25 01:46:03.297000 5.434 6.46836 Clear 0 1387.67 104.776 9 18944993
2021-02-25 01:46:03.397000 5.298 6.33223 Clear 0 1387.973 104.788 9 18944993
2021-02-25 01:46:03.497000 5.459 6.49354 Clear 0 1388.276 104.799 9 18944993
2021-02-25 01:46:03.597000 5.41 6.4457 Clear 0 1388.579 104.811 9 18944993
2021-02-25 01:46:03.697000 5.342 6.37851 Clear 0 1388.883 104.823 9 18944993
2021-02-25 01:46:03.797000 5.443 6.48014 Clear 0 1389.187 104.835 9 18944993
2021-02-25 01:46:03.997000 5.426 6.46525 Clear 0 1389.795 104.858 9 18944993
2021-02-25 01:46:04.097000 5.377 6.41701 Clear 0 1390.099 104.87 9 18944993
2021-02-25 01:46:04.197000 5.423 6.46365 Clear 0 1390.404 104.882 9 18944993
2021-02-25 01:46:04.297000 5.391 6.43178 Clear 0 1390.709 104.893 9 18944993
2021-02-25 01:46:04.397000 5.351 6.39325 Clear 0 1391.014 104.905 9 18944993
2021-02-25 01:46:04.497000 5.376 6.41854 Clear 0 1391.32 104.917 9 18944993
2021-02-25 01:46:04.597000 5.394 6.4379 Clear 0 1391.625 104.928 9 18944993
2021-02-25 01:46:04.697000 5.411 6.45535 Clear 0 1391.931 104.94 9 18944993
2021-02-25 01:46:04.797000 5.389 6.43362 Clear 0 1392.237 104.952 9 18944993
2021-02-25 01:46:04.897000 5.426 6.47149 Clear 0 1392.544 104.963 9 18944993
2021-02-25 01:46:04.997000 5.371 6.41759 Clear 0 1392.85 104.975 9 18944993
2021-02-25 01:46:05.097000 5.402 6.44853 Clear 0 1393.157 104.987 9 18944993
2021-02-25 01:46:05.197000 5.368 6.41556 Clear 0 1393.464 104.998 9 18944993
2021-02-25 01:46:05.297000 5.339 6.38751 Clear 0 1393.772 105.01 9 18944993
2021-02-25 01:46:05.397000 5.391 6.44079 Clear 0 1394.079 105.022 9 18944993
2021-02-25 01:46:05.497000 5.328 6.37886 Clear 0 1394.387 105.033 9 18944993
2021-02-25 01:46:05.597000 5.325 6.37613 Clear 0 1394.695 105.045 9 18944993
2021-02-25 01:46:05.697000 5.326 6.37809 Clear 0 1395.003 105.057 9 18944993
2021-02-25 01:46:05.797000 5.3 6.35303 Clear 0 1395.312 105.068 9 18944993
2021-02-25 01:46:05.897000 5.284 6.33802 Clear 0 1395.62 105.08 9 18944993
2021-02-25 01:46:05.997000 5.383 6.43657 Clear 0 1395.929 105.091 9 18944993
2021-02-25 01:46:06.097000 5.35 6.40446 Clear 0 1396.238 105.103 9 18944993
2021-02-25 01:46:06.197000 5.329 6.38498 Clear 0 1396.548 105.115 9 18944993
2021-02-25 01:46:06.297000 5.268 6.3248 Clear 0 1396.857 105.126 9 18944993
2021-02-25 01:46:06.397000 5.386 6.44294 Clear 0 1397.167 105.138 9 18944993
2021-02-25 01:46:06.497000 5.332 6.38999 Clear 0 1397.477 105.149 9 18944993
2021-02-25 01:46:06.597000 5.394 6.45257 Clear 0 1397.788 105.161 9 18944993
2021-02-25 01:46:06.697000 5.317 6.37683 Clear 0 1398.098 105.173 9 18944993
2021-02-25 01:46:06.797000 5.259 6.31849 Clear 0 1398.409 105.184 9 18944993
2021-02-25 01:46:06.897000 5.328 6.38935 Clear 0 1398.72 105.196 9 18944993
2021-02-25 01:46:06.997000 5.267 6.32921 Clear 0 1399.031 105.207 9 18944993
2021-02-25 01:46:07.097000 5.388 6.45137 Clear 0 1399.343 105.219 9 18944993
2021-02-25 01:46:07.197000 5.394 6.45753 Clear 0 1399.654 105.23 9 18944993
2021-02-25 01:46:07.297000 5.394 6.45829 Clear 0 1399.966 105.242 9 18944993
2021-02-25 01:46:07.397000 5.164 6.22871 Clear 0 1400.278 105.253 9 18944993
2021-02-25 01:46:07.497000 5.298 6.36418 Clear 0 1400.591 105.265 9 18944993
2021-02-25 01:46:07.597000 5.309 6.3762 Clear 0 1400.903 105.276 9 18944993
2021-02-25 01:46:07.697000 5.267 6.33357 Clear 0 1401.216 105.288 9 18944993
2021-02-25 01:46:07.797000 5.29 6.35825 Clear 0 1401.529 105.299 9 18944993
2021-02-25 01:46:07.897000 5.292 6.36114 Clear 0 1401.843 105.311 9 18944993
2021-02-25 01:46:07.997000 5.356 6.42612 Clear 0 1402.156 105.322 9 18944993
2021-02-25 01:46:08.097000 5.334 6.4046 Clear 0 1402.47 105.334 9 18944993
2021-02-25 01:46:08.197000 5.312 6.38293 Clear 0 1402.784 105.345 9 18944993
2021-02-25 01:46:08.297000 5.349 6.4213 Clear 0 1403.098 105.357 9 18944993
2021-02-25 01:46:08.397000 5.147 6.22038 Clear 0 1403.413 105.368 9 18944993
2021-02-25 01:46:08.497000 5.341 6.41498 Clear 0 1403.727 105.38 9 18944993
2021-02-25 01:46:08.597000 5.323 6.39731 Clear 0 1404.042 105.391 9 18944993
2021-02-25 01:46:08.697000 5.414 6.48918 Clear 0 1404.357 105.403 9 18944993
2021-02-25 01:46:08.797000 5.355 6.43111 Clear 0 1404.673 105.414 9 18944993
2021-02-25 01:46:08.897000 5.337 6.41433 Clear 0 1404.988 105.425 9 18944993
2021-02-25 01:46:08.997000 5.301 6.37767 Clear 0 1405.304 105.437 9 18944993
2021-02-25 01:46:09.097000 5.24 6.31769 Clear 0 1405.62 105.448 9 18944993
2021-02-25 01:46:09.197000 5.262 6.34126 Clear 0 1405.936 105.46 9 18944993
2021-02-25 01:46:09.297000 5.343 6.42284 Clear 0 1406.253 105.471 9 18944993
2021-02-25 01:46:09.397000 5.261 6.342 Clear 0 1406.57 105.482 9 18944993
2021-02-25 01:46:09.497000 5.299 6.37963 Clear 0 1406.887 105.494 9 18944993
2021-02-25 01:46:09.597000 5.187 6.26912 Clear 0 1407.204 105.505 9 18944993
2021-02-25 01:46:09.697000 5.253 6.33545 Clear 0 1407.521 105.517 9 18944993
2021-02-25 01:46:09.797000 5.155 6.23852 Clear 0 1407.839 105.528 9 18944993
2021-02-25 01:46:09.897000 5.24 6.32407 Clear 0 1408.157 105.539 9 18944993
2021-02-25 01:46:09.997000 5.267 6.3518 Clear 0 1408.475 105.551 9 18944993
2021-02-25 01:46:10.097000 5.166 6.25215 Clear 0 1408.793 105.562 9 18944993
2021-02-25 01:46:10.197000 5.189 6.27636 Clear 0 1409.112 105.573 9 18944993
2021-02-25 01:46:10.297000 5.128 6.21639 Clear 0 1409.43 105.585 9 18944993
2021-02-25 01:46:10.397000 5.133 6.22123 Clear 0 1409.749 105.596 9 18944993
2021-02-25 01:46:10.497000 5.18 6.26905 Clear 0 1410.068 105.607 9 18944993
2021-02-25 01:46:10.597000 5.199 6.289 Clear 0 1410.388 105.619 9 18944993
2021-02-25 01:46:10.697000 5.332 6.42262 Clear 0 1410.708 105.63 9 18944993
2021-02-25 01:46:10.797000 5.111 6.20227 Clear 0 1411.027 105.641 9 18944993
2021-02-25 01:46:10.897000 5.141 6.23246 Clear 0 1411.348 105.653 9 18944993
