# satellite: 47532 YAOGAN-31 D / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 26867
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-02-25 01:46:02.697000 5.418 6.45641 Clear 0 1379.958 105.454 9 18944994
2021-02-25 01:46:02.797000 5.336 6.3748 Clear 0 1380.231 105.467 9 18944994
2021-02-25 01:46:02.897000 5.238 6.27789 Clear 0 1380.504 105.479 9 18944994
2021-02-25 01:46:02.997000 5.175 6.21603 Clear 0 1380.777 105.491 9 18944994
2021-02-25 01:46:03.097000 5.379 6.42043 Clear 0 1381.05 105.503 9 18944994
2021-02-25 01:46:03.197000 5.251 6.29281 Clear 0 1381.324 105.516 9 18944994
2021-02-25 01:46:03.297000 5.183 6.2259 Clear 0 1381.598 105.528 9 18944994
2021-02-25 01:46:03.397000 5.27 6.31412 Clear 0 1381.872 105.54 9 18944994
2021-02-25 01:46:03.497000 5.272 6.31617 Clear 0 1382.146 105.552 9 18944994
2021-02-25 01:46:03.597000 5.206 6.25072 Clear 0 1382.421 105.564 9 18944994
2021-02-25 01:46:03.697000 5.241 6.28738 Clear 0 1382.696 105.576 9 18944994
2021-02-25 01:46:03.797000 5.274 6.32008 Clear 0 1382.971 105.589 9 18944994
2021-02-25 01:46:03.997000 5.2 6.24773 Clear 0 1383.522 105.613 9 18944994
2021-02-25 01:46:04.097000 5.34 6.38857 Clear 0 1383.798 105.625 9 18944994
2021-02-25 01:46:04.197000 5.273 6.32187 Clear 0 1384.074 105.637 9 18944994
2021-02-25 01:46:04.297000 5.277 6.32674 Clear 0 1384.35 105.649 9 18944994
2021-02-25 01:46:04.397000 5.239 6.2899 Clear 0 1384.627 105.662 9 18944994
2021-02-25 01:46:04.497000 5.211 6.26249 Clear 0 1384.904 105.674 9 18944994
2021-02-25 01:46:04.597000 5.298 6.34962 Clear 0 1385.181 105.686 9 18944994
2021-02-25 01:46:04.697000 5.262 6.31544 Clear 0 1385.458 105.698 9 18944994
2021-02-25 01:46:04.797000 5.047 6.10126 Clear 0 1385.736 105.71 9 18944994
2021-02-25 01:46:04.897000 5.191 6.24562 Clear 0 1386.014 105.722 9 18944994
2021-02-25 01:46:04.997000 5.149 6.20385 Clear 0 1386.292 105.734 9 18944994
2021-02-25 01:46:05.097000 5.245 6.30132 Clear 0 1386.57 105.746 9 18944994
2021-02-25 01:46:05.197000 5.173 6.23005 Clear 0 1386.849 105.758 9 18944994
2021-02-25 01:46:05.297000 5.246 6.30439 Clear 0 1387.127 105.771 9 18944994
2021-02-25 01:46:05.397000 5.213 6.27115 Clear 0 1387.406 105.783 9 18944994
2021-02-25 01:46:05.497000 5.171 6.23036 Clear 0 1387.686 105.795 9 18944994
2021-02-25 01:46:05.597000 5.257 6.31656 Clear 0 1387.965 105.807 9 18944994
2021-02-25 01:46:05.697000 5.257 6.31729 Clear 0 1388.245 105.819 9 18944994
2021-02-25 01:46:05.797000 5.203 6.26438 Clear 0 1388.525 105.831 9 18944994
2021-02-25 01:46:05.897000 5.365 6.42664 Clear 0 1388.805 105.843 9 18944994
2021-02-25 01:46:05.997000 5.206 6.26899 Clear 0 1389.086 105.855 9 18944994
2021-02-25 01:46:06.097000 5.228 6.29067 Clear 0 1389.367 105.867 9 18944994
2021-02-25 01:46:06.197000 5.167 6.23115 Clear 0 1389.648 105.879 9 18944994
2021-02-25 01:46:06.297000 5.38 6.44532 Clear 0 1389.929 105.891 9 18944994
2021-02-25 01:46:06.397000 5.254 6.31961 Clear 0 1390.211 105.903 9 18944994
2021-02-25 01:46:06.497000 5.188 6.2539 Clear 0 1390.492 105.915 9 18944994
2021-02-25 01:46:06.597000 5.335 6.40188 Clear 0 1390.774 105.927 9 18944994
2021-02-25 01:46:06.697000 5.237 6.30537 Clear 0 1391.057 105.939 9 18944994
2021-02-25 01:46:06.797000 5.184 6.25259 Clear 0 1391.339 105.951 9 18944994
2021-02-25 01:46:06.897000 5.198 6.26709 Clear 0 1391.622 105.963 9 18944994
2021-02-25 01:46:06.997000 5.333 6.40288 Clear 0 1391.905 105.975 9 18944994
2021-02-25 01:46:07.097000 5.305 6.37641 Clear 0 1392.188 105.987 9 18944994
2021-02-25 01:46:07.197000 5.257 6.32881 Clear 0 1392.472 105.999 9 18944994
2021-02-25 01:46:07.297000 5.286 6.35783 Clear 0 1392.755 106.011 9 18944994
2021-02-25 01:46:07.397000 5.257 6.32954 Clear 0 1393.039 106.023 9 18944994
2021-02-25 01:46:07.497000 5.219 6.29281 Clear 0 1393.323 106.035 9 18944994
2021-02-25 01:46:07.597000 5.199 6.274 Clear 0 1393.608 106.047 9 18944994
