# satellite: 48791 ONEWEB-0212 / UK
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 13317
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-07-01 20:37:23.598000 8.27 7.29585 Clear 0 630.168 91.35 4 19337202
2021-07-01 20:37:23.698000 8.359 7.38654 Clear 0 630.346 91.412 4 19337202
2021-07-01 20:37:23.798000 8.288 7.31718 Clear 0 630.524 91.474 4 19337202
2021-07-01 20:37:23.898000 8.153 7.1836 Clear 0 630.704 91.536 4 19337202
2021-07-01 20:37:23.998000 8.299 7.33148 Clear 0 630.884 91.597 4 19337202
2021-07-01 20:37:24.098000 8.213 7.2482 Clear 0 631.064 91.659 4 19337202
2021-07-01 20:37:24.198000 8.113 7.15024 Clear 0 631.246 91.721 4 19337202
2021-07-01 20:37:24.298000 8.467 7.50604 Clear 0 631.428 91.783 4 19337202
2021-07-01 20:37:24.398000 8.1 7.14031 Clear 0 631.611 91.844 4 19337202
2021-07-01 20:37:24.498000 8.314 7.35613 Clear 0 631.795 91.906 4 19337202
2021-07-01 20:37:24.598000 8.167 7.21054 Clear 0 631.98 91.968 4 19337202
2021-07-01 20:37:24.698000 8.47 7.51583 Clear 0 632.166 92.029 4 19337202
2021-07-01 20:37:24.798000 8.036 7.08427 Clear 0 632.352 92.091 4 19337202
2021-07-01 20:37:24.898000 8.216 7.26558 Clear 0 632.539 92.153 4 19337202
2021-07-01 20:37:24.998000 8.234 7.28452 Clear 0 632.727 92.214 4 19337202
2021-07-01 20:37:25.098000 8.08 7.13337 Clear 0 632.915 92.275 4 19337202
2021-07-01 20:37:25.198000 8.339 7.39356 Clear 0 633.105 92.337 4 19337202
2021-07-01 20:37:25.298000 8.39 7.44713 Clear 0 633.295 92.398 4 19337202
2021-07-01 20:37:25.398000 8.352 7.4105 Clear 0 633.486 92.46 4 19337202
2021-07-01 20:37:25.498000 8.358 7.41931 Clear 0 633.678 92.521 4 19337202
2021-07-01 20:37:25.598000 8.351 7.41364 Clear 0 633.87 92.582 4 19337202
2021-07-01 20:37:25.698000 8.196 7.26107 Clear 0 634.064 92.644 4 19337202
2021-07-01 20:37:25.798000 8.224 7.29039 Clear 0 634.258 92.705 4 19337202
2021-07-01 20:37:25.898000 8.287 7.35509 Clear 0 634.453 92.766 4 19337202
2021-07-01 20:37:25.998000 8.359 7.4285 Clear 0 634.648 92.827 4 19337202
2021-07-01 20:37:26.098000 8.28 7.35197 Clear 0 634.845 92.888 4 19337202
2021-07-01 20:37:26.198000 8.219 7.2932 Clear 0 635.042 92.949 4 19337202
2021-07-01 20:37:26.298000 8.22 7.2963 Clear 0 635.24 93.01 4 19337202
2021-07-01 20:37:26.398000 8.161 7.23851 Clear 0 635.438 93.071 4 19337202
2021-07-01 20:37:26.498000 8.19 7.26997 Clear 0 635.638 93.132 4 19337202
2021-07-01 20:37:26.598000 8.267 7.3493 Clear 0 635.838 93.193 4 19337202
2021-07-01 20:37:26.698000 8.09 7.17328 Clear 0 636.039 93.254 4 19337202
2021-07-01 20:37:26.798000 8.086 7.17114 Clear 0 636.241 93.315 4 19337202
2021-07-01 20:37:26.898000 8.033 7.11962 Clear 0 636.444 93.376 4 19337202
