# satellite: 47840 STARLINK-2432 / US
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 8163
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-07-14 00:15:57.801000 5.434 4.47245 Clear 0 831.408 47.281 7 19441730
2021-07-14 00:15:57.901000 5.428 4.46737 Clear 0 831.077 47.326 7 19441730
2021-07-14 00:15:58.001000 5.372 4.41007 Clear 0 830.747 47.37 7 19441730
2021-07-14 00:15:58.101000 5.386 4.42427 Clear 0 830.417 47.415 7 19441730
2021-07-14 00:15:58.201000 5.457 4.49443 Clear 0 830.088 47.46 7 19441730
2021-07-14 00:15:58.301000 5.443 4.47952 Clear 0 829.759 47.504 7 19441730
2021-07-14 00:15:58.401000 5.39 4.42562 Clear 0 829.431 47.549 7 19441730
2021-07-14 00:15:58.501000 5.429 4.46451 Clear 0 829.103 47.594 7 19441730
2021-07-14 00:15:58.601000 5.533 4.56865 Clear 0 828.776 47.639 7 19441730
2021-07-14 00:15:58.701000 5.559 4.59372 Clear 0 828.449 47.684 7 19441730
2021-07-14 00:15:58.801000 5.441 4.47583 Clear 0 828.123 47.729 7 19441730
2021-07-14 00:15:58.901000 5.482 4.5159 Clear 0 827.797 47.773 7 19441730
2021-07-14 00:15:59.001000 5.315 4.349 Clear 0 827.471 47.818 7 19441730
2021-07-14 00:15:59.101000 5.363 4.39573 Clear 0 827.146 47.863 7 19441730
2021-07-14 00:15:59.201000 5.467 4.49965 Clear 0 826.822 47.908 7 19441730
2021-07-14 00:15:59.301000 5.446 4.47787 Clear 0 826.497 47.954 7 19441730
2021-07-14 00:15:59.401000 5.416 4.44841 Clear 0 826.174 47.999 7 19441730
2021-07-14 00:15:59.501000 5.552 4.58302 Clear 0 825.851 48.044 7 19441730
2021-07-14 00:15:59.601000 5.436 4.46684 Clear 0 825.528 48.089 7 19441730
2021-07-14 00:15:59.701000 5.422 4.45233 Clear 0 825.206 48.134 7 19441730
2021-07-14 00:15:59.801000 5.393 4.42272 Clear 0 824.884 48.179 7 19441730
2021-07-14 00:15:59.901000 5.408 4.43647 Clear 0 824.563 48.225 7 19441730
2021-07-14 00:16:00.001000 5.386 4.41514 Clear 0 824.242 48.27 7 19441730
2021-07-14 00:16:00.101000 5.363 4.391 Clear 0 823.921 48.315 7 19441730
2021-07-14 00:16:00.201000 5.304 4.3319 Clear 0 823.601 48.361 7 19441730
2021-07-14 00:16:00.301000 5.342 4.37001 Clear 0 823.282 48.406 7 19441730
2021-07-14 00:16:00.401000 5.399 4.42559 Clear 0 822.963 48.452 7 19441730
2021-07-14 00:16:00.501000 5.368 4.39458 Clear 0 822.645 48.497 7 19441730
2021-07-14 00:16:00.601000 5.431 4.45739 Clear 0 822.327 48.543 7 19441730
2021-07-14 00:16:00.701000 5.383 4.40877 Clear 0 822.009 48.588 7 19441730
2021-07-14 00:16:00.801000 5.458 4.4832 Clear 0 821.692 48.634 7 19441730
2021-07-14 00:16:00.901000 5.404 4.42932 Clear 0 821.376 48.679 7 19441730
2021-07-14 00:16:01.001000 5.309 4.33266 Clear 0 821.059 48.725 7 19441730
2021-07-14 00:16:01.101000 5.39 4.41358 Clear 0 820.744 48.771 7 19441730
2021-07-14 00:16:01.201000 5.377 4.40089 Clear 0 820.429 48.816 7 19441730
2021-07-14 00:16:01.301000 5.401 4.424 Clear 0 820.114 48.862 7 19441730
2021-07-14 00:16:01.401000 5.441 4.46376 Clear 0 819.8 48.908 7 19441730
2021-07-14 00:16:01.501000 5.277 4.29887 Clear 0 819.486 48.954 7 19441730
