# satellite: 45460 YAOGAN-30 R / PRC
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 617
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2021-09-01 00:59:44.095000 8.769 8.58278 Clear 1 1206.579 42.999 2 19615682
2021-09-01 00:59:44.195000 8.534 8.34802 Clear 1 1206.401 43.032 2 19615682
2021-09-01 00:59:44.295000 8.303 8.11744 Clear 1 1206.224 43.065 2 19615682
2021-09-01 00:59:44.395000 8.56 8.37363 Clear 1 1206.046 43.098 2 19615682
2021-09-01 00:59:44.495000 8.43 8.24434 Clear 1 1205.869 43.131 2 19615682
2021-09-01 00:59:44.595000 8.177 7.99058 Clear 1 1205.693 43.163 2 19615682
2021-09-01 00:59:44.695000 8.866 8.67993 Clear 1 1205.517 43.196 2 19615682
2021-09-01 00:59:44.795000 8.74 8.55376 Clear 0 1205.341 43.229 2 19615682
2021-09-01 00:59:44.895000 8.217 8.03124 Clear 0 1205.165 43.262 2 19615682
2021-09-01 00:59:44.995000 8.189 8.00344 Clear 0 1204.99 43.295 2 19615682
2021-09-01 00:59:45.095000 8.122 7.93617 Clear 0 1204.815 43.328 2 19615682
2021-09-01 00:59:45.195000 8.302 8.11614 Clear 0 1204.641 43.361 2 19615682
2021-09-01 00:59:45.295000 8.385 8.19881 Clear 0 1204.467 43.394 2 19615682
2021-09-01 00:59:45.395000 8.122 7.93469 Clear 0 1204.293 43.427 2 19615682
2021-09-01 00:59:45.495000 7.882 7.69492 Clear 0 1204.12 43.46 2 19615682
2021-09-01 00:59:45.595000 8.179 7.99174 Clear 0 1203.947 43.493 2 19615682
2021-09-01 00:59:45.695000 7.914 7.72727 Clear 0 1203.775 43.526 2 19615682
2021-09-01 00:59:45.795000 8.441 8.25418 Clear 0 1203.602 43.56 2 19615682
2021-09-01 00:59:45.895000 7.988 7.80053 Clear 0 1203.431 43.593 2 19615682
2021-09-01 00:59:45.995000 8.298 8.11093 Clear 0 1203.259 43.626 2 19615682
2021-09-01 00:59:46.095000 8.299 8.11223 Clear 0 1203.088 43.659 2 19615682
2021-09-01 00:59:46.195000 8.244 8.05688 Clear 0 1202.917 43.692 2 19615682
2021-09-01 00:59:46.295000 8.564 8.37695 Clear 0 1202.747 43.725 2 19615682
2021-09-01 00:59:46.395000 8.281 8.09375 Clear 0 1202.577 43.758 2 19615682
2021-09-01 00:59:46.495000 8.045 7.85831 Clear 0 1202.407 43.791 2 19615682
2021-09-01 00:59:46.595000 7.616 7.429 Clear 0 1202.238 43.824 2 19615682
2021-09-01 00:59:46.695000 8.037 7.84977 Clear 0 1202.069 43.857 2 19615682
2021-09-01 00:59:46.795000 8.187 8.00031 Clear 0 1201.9 43.891 2 19615682
2021-09-01 00:59:46.895000 8.397 8.21013 Clear 0 1201.732 43.924 2 19615682
2021-09-01 00:59:46.995000 7.877 7.68962 Clear 0 1201.564 43.957 2 19615682
2021-09-01 00:59:47.095000 8.349 8.16234 Clear 0 1201.397 43.99 2 19615682
2021-09-01 00:59:47.195000 8.599 8.41051 Clear 0 1201.23 44.023 2 19615682
