# satellite: 701 ATLAS CENTAUR 2 DEB / US
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 7.62129216
# npoints: 3345
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-30 22:57:53.850000 8.657 9.71874 Clear 1 2290.811 12.1 9 593558
2014-06-30 22:57:53.950000 8.14 9.20194 Clear 1 2290.791 12.112 9 593558
2014-06-30 22:57:54.050000 7.596 8.65746 Clear 1 2290.771 12.124 9 593558
2014-06-30 22:57:54.150000 7.51 8.57244 Clear 1 2290.751 12.136 9 593558
2014-06-30 22:57:54.250000 7.094 8.15638 Clear 1 2290.731 12.149 9 593558
2014-06-30 22:57:54.350000 7.111 8.17281 Clear 1 2290.712 12.161 9 593558
2014-06-30 22:57:54.450000 6.762 7.82355 Clear 1 2290.692 12.173 9 593558
2014-06-30 22:57:54.550000 6.818 7.87962 Clear 1 2290.673 12.185 9 593558
2014-06-30 22:57:54.650000 6.768 7.8301 Clear 1 2290.654 12.197 9 593558
2014-06-30 22:57:54.750000 6.53 7.59172 Clear 1 2290.635 12.21 9 593558
2014-06-30 22:57:54.850000 6.397 7.4586 Clear 1 2290.616 12.222 9 593558
2014-06-30 22:57:54.950000 6.549 7.61071 Clear 1 2290.598 12.234 9 593558
2014-06-30 22:57:55.050000 6.239 7.30102 Clear 1 2290.579 12.247 9 593558
2014-06-30 22:57:55.150000 6.176 7.23764 Clear 1 2290.561 12.259 9 593558
2014-06-30 22:57:55.250000 6.083 7.14492 Clear 1 2290.542 12.271 9 593558
2014-06-30 22:57:55.350000 6.163 7.22471 Clear 1 2290.524 12.283 9 593558
2014-06-30 22:57:55.450000 6.145 7.20708 Clear 1 2290.506 12.296 9 593558
2014-06-30 22:57:55.550000 5.858 6.92022 Clear 1 2290.489 12.308 9 593558
2014-06-30 22:57:55.650000 6.104 7.16625 Clear 1 2290.471 12.32 9 593558
2014-06-30 22:57:55.750000 6.036 7.09802 Clear 1 2290.453 12.333 9 593558
2014-06-30 22:57:55.850000 5.927 6.98867 Clear 1 2290.436 12.345 9 593558
2014-06-30 22:57:55.950000 5.717 6.7787 Clear 1 2290.419 12.357 9 593558
2014-06-30 22:57:56.050000 6.075 7.13696 Clear 1 2290.402 12.37 9 593558
2014-06-30 22:57:56.150000 6.007 7.06876 Clear 1 2290.385 12.382 9 593558
2014-06-30 22:57:56.250000 5.932 6.99355 Clear 1 2290.368 12.395 9 593558
2014-06-30 22:57:56.350000 6.05 7.11175 Clear 1 2290.352 12.407 9 593558
2014-06-30 22:57:56.450000 6.24 7.30147 Clear 1 2290.335 12.419 9 593558
2014-06-30 22:57:56.550000 6.047 7.10942 Clear 1 2290.319 12.432 9 593558
2014-06-30 22:57:56.650000 5.98 7.04193 Clear 1 2290.303 12.444 9 593558
2014-06-30 22:57:56.750000 6.305 7.36669 Clear 1 2290.287 12.457 9 593558
2014-06-30 22:57:56.850000 6.231 7.29253 Clear 1 2290.271 12.469 9 593558
2014-06-30 22:57:56.950000 6.043 7.10542 Clear 1 2290.255 12.482 9 593558
2014-06-30 22:57:57.050000 6.188 7.24949 Clear 1 2290.239 12.494 9 593558
2014-06-30 22:57:57.150000 6.535 7.59664 Clear 1 2290.224 12.506 9 593558
2014-06-30 22:57:57.250000 6.684 7.74621 Clear 1 2290.209 12.519 9 593558
2014-06-30 22:57:57.350000 6.587 7.64916 Clear 1 2290.194 12.531 9 593558
2014-06-30 22:57:57.450000 6.79 7.85235 Clear 1 2290.179 12.544 9 593558
2014-06-30 22:57:57.550000 7.079 8.14135 Clear 1 2290.164 12.556 9 593558
2014-06-30 22:57:57.650000 7.318 8.38007 Clear 1 2290.149 12.569 9 593558
2014-06-30 22:57:57.750000 7.979 9.04086 Clear 1 2290.135 12.581 9 593558
2014-06-30 22:57:58.250000 7.999 9.06068 Clear 1 2290.064 12.644 9 593558
2014-06-30 22:57:58.550000 8.67 9.73287 Clear 1 2290.024 12.682 9 593558
2014-06-30 22:57:59.250000 8.189 9.25243 Clear 1 2289.934 12.77 9 593558
2014-06-30 22:57:59.350000 8.386 9.44851 Clear 1 2289.922 12.783 9 593558
2014-06-30 22:57:59.450000 7.818 8.88092 Clear 1 2289.91 12.796 9 593558
2014-06-30 22:57:59.550000 7.598 8.66094 Clear 1 2289.898 12.808 9 593558
2014-06-30 22:57:59.650000 7.244 8.30684 Clear 1 2289.886 12.821 9 593558
2014-06-30 22:57:59.750000 6.885 7.94825 Clear 1 2289.875 12.834 9 593558
2014-06-30 22:57:59.850000 6.746 7.80845 Clear 1 2289.863 12.846 9 593558
2014-06-30 22:57:59.950000 6.69 7.75342 Clear 1 2289.852 12.859 9 593558
2014-06-30 22:58:00.050000 6.376 7.43899 Clear 1 2289.841 12.872 9 593558
2014-06-30 22:58:00.150000 6.318 7.38073 Clear 1 2289.83 12.885 9 593558
2014-06-30 22:58:00.250000 6.107 7.16952 Clear 1 2289.819 12.897 9 593558
2014-06-30 22:58:00.350000 6.152 7.2147 Clear 1 2289.809 12.91 9 593558
2014-06-30 22:58:00.450000 6.036 7.0991 Clear 1 2289.798 12.923 9 593558
2014-06-30 22:58:00.550000 5.977 7.03996 Clear 1 2289.788 12.936 9 593558
2014-06-30 22:58:00.650000 5.859 6.92226 Clear 1 2289.777 12.948 9 593558
2014-06-30 22:58:00.750000 5.704 6.76706 Clear 1 2289.767 12.961 9 593558
2014-06-30 22:58:00.850000 5.655 6.71768 Clear 1 2289.757 12.974 9 593558
2014-06-30 22:58:00.950000 5.848 6.91075 Clear 1 2289.748 12.987 9 593558
2014-06-30 22:58:01.050000 5.566 6.62914 Clear 1 2289.738 13.0 9 593558
