# satellite: 20888 CZ-4 DEB / PRC
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 0.65026
# npoints: 5969
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2016-07-17 18:02:12 8.213 7.26161 Clear 0 715.261 76.613 5 10514810
2016-07-17 18:02:12.200000 8.185 7.23476 Clear 0 715.197 76.717 5 10514810
2016-07-17 18:02:12.300000 8.234 7.28496 Clear 0 715.167 76.77 5 10514810
2016-07-17 18:02:12.400000 8.411 7.46323 Clear 0 715.137 76.822 5 10514810
2016-07-17 18:02:12.500000 8.099 7.15109 Clear 0 715.108 76.875 5 10514810
2016-07-17 18:02:12.600000 8.688 7.74128 Clear 0 715.079 76.927 5 10514810
2016-07-17 18:02:12.700000 8.37 7.42377 Clear 0 715.051 76.979 5 10514810
2016-07-17 18:02:12.900000 8.185 7.24035 Clear 0 714.998 77.084 5 10514810
2016-07-17 18:02:13 8.195 7.25104 Clear 0 714.972 77.137 5 10514810
2016-07-17 18:02:13.100000 8.689 7.74565 Clear 0 714.948 77.189 5 10514810
2016-07-17 18:02:13.300000 8.656 7.71439 Clear 0 714.9 77.294 5 10514810
2016-07-17 18:02:13.400000 8.054 7.11278 Clear 0 714.878 77.346 5 10514810
2016-07-17 18:02:13.500000 8.629 7.68815 Clear 0 714.856 77.399 5 10514810
2016-07-17 18:02:13.600000 8.758 7.81798 Clear 0 714.835 77.451 5 10514810
2016-07-17 18:02:13.700000 8.234 7.29466 Clear 0 714.814 77.504 5 10514810
2016-07-17 18:02:13.800000 8.037 7.09944 Clear 0 714.795 77.556 5 10514810
2016-07-17 18:02:13.900000 8.856 7.9181 Clear 0 714.776 77.609 5 10514810
2016-07-17 18:02:14 8.176 7.23932 Clear 0 714.758 77.661 5 10514810
2016-07-17 18:02:14.100000 8.413 7.4768 Clear 0 714.74 77.714 5 10514810
2016-07-17 18:02:14.200000 8.531 7.59623 Clear 0 714.724 77.766 5 10514810
2016-07-17 18:02:14.300000 8.431 7.49632 Clear 0 714.708 77.819 5 10514810
