# satellite: 6797 ATLAS CENTAUR R/B / US
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 7.713051228
# npoints: 19339
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2016-11-20 16:20:05.200000 5.424 9.87544 Clear 0 8586.569 76.985 2 10814462
2016-11-20 16:20:05.300000 5.153 9.60443 Clear 0 8586.131 76.983 2 10814462
2016-11-20 16:20:05.400000 4.087 8.53748 Clear 0 8585.693 76.98 2 10814462
2016-11-20 16:20:05.500000 3.891 8.34155 Clear 0 8585.254 76.978 2 10814462
2016-11-20 16:20:05.600000 4.895 9.34607 Clear 0 8584.816 76.975 2 10814462
2016-11-20 16:20:05.700000 4.604 9.0537 Clear 0 8584.378 76.972 2 10814462
2016-11-20 16:20:05.800000 4.83 9.28 Clear 0 8583.94 76.97 2 10814462
2016-11-20 16:20:05.900000 4.984 9.43383 Clear 0 8583.502 76.967 2 10814462
2016-11-20 16:20:06.300000 6.027 10.4768 Clear 0 8581.75 76.957 2 10814462
2016-11-20 16:20:06.400000 5.192 9.64068 Clear 0 8581.312 76.954 2 10814462
2016-11-20 16:20:06.500000 5.342 9.79142 Clear 0 8580.874 76.951 2 10814462
2016-11-20 16:20:06.900000 6.211 10.6604 Clear 0 8579.122 76.941 2 10814462
2016-11-20 16:20:07.900000 5.518 9.96501 Clear 0 8574.742 76.915 2 10814462
2016-11-20 16:20:08 4.835 9.2824 Clear 0 8574.304 76.912 2 10814462
2016-11-20 16:20:08.100000 5.139 9.58622 Clear 0 8573.866 76.91 2 10814462
2016-11-20 16:20:08.200000 5.586 10.0334 Clear 0 8573.428 76.907 2 10814462
2016-11-20 16:20:08.500000 5.954 10.4 Clear 0 8572.114 76.899 2 10814462
2016-11-20 16:20:08.600000 5.456 9.90211 Clear 0 8571.676 76.897 2 10814462
2016-11-20 16:20:08.700000 5.058 9.50439 Clear 0 8571.238 76.894 2 10814462
2016-11-20 16:20:08.800000 4.519 8.96445 Clear 0 8570.8 76.891 2 10814462
2016-11-20 16:20:08.900000 4.315 8.76072 Clear 0 8570.362 76.889 2 10814462
2016-11-20 16:20:09 3.532 7.97681 Clear 0 8569.924 76.886 2 10814462
2016-11-20 16:20:09.100000 1.972 6.41674 Clear 0 8569.486 76.883 2 10814462
2016-11-20 16:20:09.200000 3.659 8.10415 Clear 0 8569.048 76.881 2 10814462
2016-11-20 16:20:09.300000 4.671 9.11595 Clear 0 8568.61 76.878 2 10814462
2016-11-20 16:20:09.400000 4.673 9.11802 Clear 0 8568.172 76.876 2 10814462
2016-11-20 16:20:09.500000 5.255 9.70037 Clear 0 8567.734 76.873 2 10814462
2016-11-20 16:20:09.600000 5.989 10.4342 Clear 0 8567.296 76.87 2 10814462
2016-11-20 16:20:49 5.402 9.78724 Clear 0 8394.843 75.818 2 10814462
2016-11-20 16:20:49.100000 5.3 9.68492 Clear 0 8394.406 75.815 2 10814462
2016-11-20 16:20:49.200000 4.165 8.5494 Clear 0 8393.969 75.812 2 10814462
2016-11-20 16:20:49.300000 4.029 8.41329 Clear 0 8393.531 75.81 2 10814462
2016-11-20 16:20:49.400000 4.69 9.07368 Clear 0 8393.094 75.807 2 10814462
2016-11-20 16:20:49.500000 4.295 8.67897 Clear 0 8392.657 75.804 2 10814462
2016-11-20 16:20:49.600000 4.866 9.25013 Clear 0 8392.219 75.801 2 10814462
2016-11-20 16:20:49.700000 5.742 10.1263 Clear 0 8391.782 75.799 2 10814462
2016-11-20 16:20:49.800000 5.905 10.2879 Clear 0 8391.345 75.796 2 10814462
2016-11-20 16:20:50 5.98 10.3634 Clear 0 8390.47 75.79 2 10814462
2016-11-20 16:20:50.200000 5.383 9.76574 Clear 0 8389.595 75.785 2 10814462
2016-11-20 16:20:51.200000 6.434 10.8145 Clear 0 8385.222 75.758 2 10814462
2016-11-20 16:20:51.700000 5.427 9.80787 Clear 0 8383.036 75.744 2 10814462
2016-11-20 16:20:51.800000 5.253 9.63272 Clear 0 8382.599 75.741 2 10814462
2016-11-20 16:20:51.900000 5.056 9.43569 Clear 0 8382.161 75.739 2 10814462
2016-11-20 16:20:52 5.983 10.3634 Clear 0 8381.724 75.736 2 10814462
2016-11-20 16:20:52.300000 5.898 10.2779 Clear 0 8380.412 75.728 2 10814462
2016-11-20 16:20:52.400000 5.177 9.55596 Clear 0 8379.975 75.725 2 10814462
2016-11-20 16:20:52.500000 5.037 9.41642 Clear 0 8379.538 75.722 2 10814462
2016-11-20 16:20:52.600000 4.486 8.86453 Clear 0 8379.1 75.72 2 10814462
2016-11-20 16:20:52.700000 3.941 8.31958 Clear 0 8378.663 75.717 2 10814462
2016-11-20 16:20:52.800000 3.43 7.80874 Clear 0 8378.226 75.714 2 10814462
2016-11-20 16:20:52.900000 1.806 6.18524 Clear 0 8377.788 75.711 2 10814462
2016-11-20 16:20:53 3.501 7.87968 Clear 0 8377.351 75.709 2 10814462
2016-11-20 16:20:53.100000 4.368 8.7455 Clear 0 8376.914 75.706 2 10814462
2016-11-20 16:20:53.200000 4.685 9.06259 Clear 0 8376.477 75.703 2 10814462
2016-11-20 16:20:53.300000 5.087 9.46477 Clear 0 8376.039 75.7 2 10814462
2016-11-20 16:20:53.400000 5.727 10.1054 Clear 0 8375.602 75.698 2 10814462
2016-11-20 16:20:53.500000 5.545 9.92273 Clear 0 8375.165 75.695 2 10814462
2016-11-20 16:20:53.600000 5.738 10.1158 Clear 0 8374.728 75.692 2 10814462
2016-11-20 16:22:05.200000 5.589 9.85514 Clear 0 8062.338 73.663 2 10814462
2016-11-20 16:22:05.300000 5.722 9.98814 Clear 0 8061.903 73.661 2 10814462
2016-11-20 16:22:05.400000 5.414 9.67848 Clear 0 8061.468 73.658 2 10814462
2016-11-20 16:22:05.500000 5.065 9.33031 Clear 0 8061.032 73.655 2 10814462
2016-11-20 16:22:05.600000 4.629 8.89345 Clear 0 8060.597 73.652 2 10814462
2016-11-20 16:22:05.700000 4.065 8.33044 Clear 0 8060.162 73.649 2 10814462
2016-11-20 16:22:05.800000 3.101 7.36581 Clear 0 8059.727 73.646 2 10814462
2016-11-20 16:22:05.900000 1.67 5.93482 Clear 0 8059.292 73.643 2 10814462
2016-11-20 16:22:06 3.444 7.70853 Clear 0 8058.857 73.64 2 10814462
2016-11-20 16:22:06.100000 4.416 8.68017 Clear 0 8058.422 73.637 2 10814462
2016-11-20 16:22:06.200000 4.887 9.15055 Clear 0 8057.987 73.634 2 10814462
2016-11-20 16:22:06.300000 5.121 9.3845 Clear 0 8057.551 73.631 2 10814462
2016-11-20 16:22:06.400000 5.912 10.1757 Clear 0 8057.116 73.628 2 10814462
2016-11-20 16:22:06.500000 6.046 10.3097 Clear 0 8056.681 73.625 2 10814462
2016-11-20 16:22:06.800000 6.122 10.3847 Clear 0 8055.376 73.616 2 10814462
2016-11-20 16:22:07.100000 6.169 10.4322 Clear 0 8054.071 73.608 2 10814462
2016-11-20 16:22:07.600000 6.134 10.3958 Clear 0 8051.895 73.593 2 10814462
2016-11-20 16:22:07.900000 7.141 11.4019 Clear 0 8050.59 73.584 2 10814462
2016-11-20 16:22:08.900000 6.427 10.6867 Clear 0 8046.24 73.555 2 10814462
2016-11-20 16:22:09.100000 5.307 9.56652 Clear 0 8045.37 73.549 2 10814462
2016-11-20 16:22:09.200000 5.472 9.73059 Clear 0 8044.935 73.546 2 10814462
2016-11-20 16:22:09.300000 5.19 9.449 Clear 0 8044.5 73.543 2 10814462
2016-11-20 16:22:09.400000 4.88 9.13923 Clear 0 8044.065 73.54 2 10814462
2016-11-20 16:22:09.500000 3.682 7.94105 Clear 0 8043.63 73.537 2 10814462
2016-11-20 16:22:09.600000 4.258 8.51736 Clear 0 8043.195 73.534 2 10814462
2016-11-20 16:22:09.700000 5.225 9.4842 Clear 0 8042.76 73.531 2 10814462
2016-11-20 16:22:09.800000 4.774 9.03147 Clear 0 8042.325 73.528 2 10814462
2016-11-20 16:22:09.900000 5.399 9.65673 Clear 0 8041.89 73.525 2 10814462
2016-11-20 16:22:10 5.25 9.50765 Clear 0 8041.455 73.522 2 10814462
2016-11-20 16:22:10.300000 6.455 10.7134 Clear 0 8040.15 73.513 2 10814462
2016-11-20 16:22:10.600000 5.648 9.90526 Clear 0 8038.846 73.505 2 10814462
2016-11-20 16:22:31.100000 6.017 10.2413 Clear 0 7949.771 72.893 2 10814462
2016-11-20 16:22:31.200000 5.504 9.72833 Clear 0 7949.337 72.89 2 10814462
2016-11-20 16:22:31.300000 4.822 9.04591 Clear 0 7948.903 72.887 2 10814462
2016-11-20 16:22:31.400000 3.399 7.62307 Clear 0 7948.469 72.884 2 10814462
2016-11-20 16:22:31.500000 4.364 8.58814 Clear 0 7948.035 72.881 2 10814462
2016-11-20 16:22:31.600000 4.522 8.74642 Clear 0 7947.601 72.878 2 10814462
2016-11-20 16:22:31.700000 4.804 9.02731 Clear 0 7947.167 72.875 2 10814462
2016-11-20 16:22:31.800000 5.074 9.29663 Clear 0 7946.733 72.872 2 10814462
2016-11-20 16:22:31.900000 5.608 9.83133 Clear 0 7946.299 72.869 2 10814462
2016-11-20 16:22:32 5.94 10.1625 Clear 0 7945.865 72.866 2 10814462
2016-11-20 16:22:32.200000 6.547 10.7697 Clear 0 7944.997 72.86 2 10814462
2016-11-20 16:22:32.300000 5.944 10.1661 Clear 0 7944.563 72.857 2 10814462
2016-11-20 16:22:32.500000 5.898 10.1199 Clear 0 7943.695 72.851 2 10814462
2016-11-20 16:22:32.600000 5.996 10.2179 Clear 0 7943.261 72.848 2 10814462
2016-11-20 16:22:32.700000 5.819 10.0408 Clear 0 7942.827 72.845 2 10814462
2016-11-20 16:22:33.800000 6.825 11.0454 Clear 0 7938.053 72.812 2 10814462
2016-11-20 16:22:33.900000 6.013 10.2333 Clear 0 7937.619 72.809 2 10814462
2016-11-20 16:22:34 5.375 9.59467 Clear 0 7937.185 72.806 2 10814462
2016-11-20 16:22:34.100000 5.345 9.56504 Clear 0 7936.751 72.803 2 10814462
2016-11-20 16:22:34.200000 6.105 10.3239 Clear 0 7936.317 72.8 2 10814462
2016-11-20 16:22:34.400000 5.99 10.2085 Clear 0 7935.45 72.794 2 10814462
2016-11-20 16:22:34.500000 4.758 8.9767 Clear 0 7935.016 72.79 2 10814462
2016-11-20 16:22:34.600000 5.337 9.55568 Clear 0 7934.582 72.787 2 10814462
2016-11-20 16:22:34.700000 5.113 9.33199 Clear 0 7934.148 72.784 2 10814462
2016-11-20 16:22:34.800000 4.353 8.57102 Clear 0 7933.714 72.781 2 10814462
2016-11-20 16:22:34.900000 4.113 8.33059 Clear 0 7933.28 72.778 2 10814462
2016-11-20 16:22:35 2.94 7.1583 Clear 0 7932.846 72.775 2 10814462
2016-11-20 16:22:35.100000 1.867 6.08541 Clear 0 7932.412 72.772 2 10814462
2016-11-20 16:22:35.200000 3.884 8.1022 Clear 0 7931.978 72.769 2 10814462
2016-11-20 16:22:35.300000 4.583 8.80104 Clear 0 7931.545 72.766 2 10814462
2016-11-20 16:22:35.400000 5.098 9.31527 Clear 0 7931.111 72.763 2 10814462
2016-11-20 16:22:35.500000 5.565 9.78152 Clear 0 7930.677 72.76 2 10814462
2016-11-20 16:22:35.600000 6.338 10.5547 Clear 0 7930.243 72.757 2 10814462
