# satellite: 24870 IRIDIUM 17 / US
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 25.5400236
# npoints: 56046
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-06-07 00:20:58.640000 3.827 3.05679 Clear 0 893.478 51.214 3 33256
2014-06-07 00:20:58.740000 3.744 2.97419 Clear 0 893.806 51.189 3 33256
2014-06-07 00:20:58.840000 3.837 3.0681 Clear 0 894.136 51.164 3 33256
2014-06-07 00:20:58.940000 4.13 3.36239 Clear 0 894.466 51.139 3 33256
2014-06-07 00:20:59.040000 4.246 3.47785 Clear 0 894.796 51.113 3 33256
2014-06-07 00:20:59.140000 4.439 3.67201 Clear 0 895.126 51.088 3 33256
2014-06-07 00:20:59.240000 4.534 3.76734 Clear 0 895.457 51.063 3 33256
2014-06-07 00:20:59.340000 4.699 3.9332 Clear 0 895.789 51.038 3 33256
2014-06-07 00:20:59.440000 4.801 4.03586 Clear 0 896.121 51.013 3 33256
2014-06-07 00:20:59.540000 4.862 4.09687 Clear 0 896.453 50.988 3 33256
2014-06-07 00:20:59.640000 4.907 4.14304 Clear 0 896.786 50.963 3 33256
2014-06-07 00:20:59.740000 4.912 4.14776 Clear 0 897.119 50.938 3 33256
2014-06-07 00:20:59.840000 4.987 4.22348 Clear 0 897.453 50.913 3 33256
2014-06-07 00:20:59.940000 4.894 4.13104 Clear 0 897.787 50.888 3 33256
2014-06-07 00:21:00.040000 4.945 4.18321 Clear 0 898.121 50.863 3 33256
2014-06-07 00:21:00.140000 5.013 4.25225 Clear 0 898.456 50.839 3 33256
2014-06-07 00:21:00.240000 5.033 4.27225 Clear 0 898.792 50.814 3 33256
2014-06-07 00:21:00.340000 4.962 4.20239 Clear 0 899.127 50.789 3 33256
2014-06-07 00:21:00.440000 4.984 4.22419 Clear 0 899.464 50.764 3 33256
2014-06-07 00:21:00.540000 5.003 4.24348 Clear 0 899.8 50.74 3 33256
2014-06-07 00:21:00.640000 4.946 4.18826 Clear 0 900.137 50.715 3 33256
2014-06-07 00:21:00.740000 4.995 4.23666 Clear 0 900.475 50.69 3 33256
2014-06-07 00:21:00.840000 4.993 4.23587 Clear 0 900.813 50.666 3 33256
2014-06-07 00:21:00.940000 4.995 4.23754 Clear 0 901.151 50.641 3 33256
