# satellite: 24954 FAISAT 2V / US
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 36.28510824
# npoints: 52641
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-07-29 00:20:18.581000 5.47 6.29706 Clear 0 1345.196 98.824 9 1105589
2014-07-29 00:20:18.681000 5.355 6.1833 Clear 0 1345.073 98.846 9 1105589
2014-07-29 00:20:18.781000 5.331 6.15919 Clear 0 1344.951 98.869 9 1105589
2014-07-29 00:20:18.881000 5.368 6.19627 Clear 0 1344.829 98.892 9 1105589
2014-07-29 00:20:18.981000 5.237 6.06591 Clear 0 1344.707 98.915 9 1105589
2014-07-29 00:20:19.081000 5.116 5.9446 Clear 0 1344.585 98.937 9 1105589
2014-07-29 00:20:19.181000 5.196 6.025 Clear 0 1344.464 98.96 9 1105589
2014-07-29 00:20:19.281000 5.239 6.06748 Clear 0 1344.343 98.983 9 1105589
2014-07-29 00:20:19.381000 5.064 5.89379 Clear 0 1344.222 99.005 9 1105589
2014-07-29 00:20:19.481000 5.112 5.94147 Clear 0 1344.102 99.028 9 1105589
2014-07-29 00:20:19.581000 5.19 6.01982 Clear 0 1343.982 99.051 9 1105589
2014-07-29 00:20:19.681000 5.09 5.92052 Clear 0 1343.862 99.074 9 1105589
2014-07-29 00:20:19.781000 5.093 5.92422 Clear 0 1343.743 99.096 9 1105589
2014-07-29 00:20:19.881000 5.162 5.9926 Clear 0 1343.624 99.119 9 1105589
2014-07-29 00:20:19.981000 5.138 5.96983 Clear 0 1343.506 99.142 9 1105589
2014-07-29 00:20:20.081000 5.23 6.06166 Clear 0 1343.387 99.165 9 1105589
2014-07-29 00:20:20.181000 5.222 6.05377 Clear 0 1343.269 99.187 9 1105589
2014-07-29 00:20:20.281000 5.11 5.94263 Clear 0 1343.152 99.21 9 1105589
2014-07-29 00:20:20.381000 5.129 5.96168 Clear 0 1343.034 99.233 9 1105589
2014-07-29 00:20:20.481000 5.153 5.98548 Clear 0 1342.918 99.256 9 1105589
2014-07-29 00:20:20.581000 5.107 5.94091 Clear 0 1342.801 99.278 9 1105589
2014-07-29 00:20:20.681000 5.142 5.97555 Clear 0 1342.685 99.301 9 1105589
2014-07-29 00:20:20.781000 5.051 5.88535 Clear 0 1342.569 99.324 9 1105589
2014-07-29 00:20:20.881000 5.078 5.91237 Clear 0 1342.453 99.347 9 1105589
2014-07-29 00:20:20.981000 5.002 5.83661 Clear 0 1342.338 99.37 9 1105589
2014-07-29 00:20:21.081000 4.861 5.69643 Clear 0 1342.223 99.392 9 1105589
2014-07-29 00:20:21.181000 4.86 5.69473 Clear 0 1342.108 99.415 9 1105589
2014-07-29 00:20:21.281000 4.713 5.54896 Clear 0 1341.994 99.438 9 1105589
2014-07-29 00:20:21.381000 4.496 5.33176 Clear 0 1341.88 99.461 9 1105589
2014-07-29 00:20:21.481000 4.366 5.202 Clear 0 1341.767 99.483 9 1105589
2014-07-29 00:20:21.581000 4.253 5.0901 Clear 0 1341.653 99.506 9 1105589
2014-07-29 00:20:21.681000 4.157 4.99362 Clear 0 1341.541 99.529 9 1105589
2014-07-29 00:20:21.781000 4.026 4.86291 Clear 0 1341.428 99.552 9 1105589
