# satellite: 37165 YAOGAN 11 / PRC
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 18.57911508
# npoints: 28668
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-09-03 16:44:15.320000 5.21 4.53555 Clear 0 894.466 60.575 8 2031931
2014-09-03 16:44:16.203000 5.235 4.55158 Clear 0 890.059 60.679 7 2031931
2014-09-03 16:44:16.220000 5.16 4.47688 Clear 0 889.974 60.681 8 2031931
2014-09-03 16:44:16.303000 5.179 4.49483 Clear 0 889.561 60.691 7 2031931
2014-09-03 16:44:16.320000 5.074 4.38946 Clear 0 889.477 60.693 8 2031931
2014-09-03 16:44:16.403000 5.242 4.55676 Clear 0 889.064 60.703 7 2031931
2014-09-03 16:44:16.420000 5.129 4.44436 Clear 0 888.98 60.705 8 2031931
2014-09-03 16:44:16.503000 5.185 4.49881 Clear 0 888.567 60.715 7 2031931
2014-09-03 16:44:16.520000 5.078 4.39086 Clear 0 888.483 60.717 8 2031931
2014-09-03 16:44:16.603000 5.196 4.5087 Clear 0 888.071 60.728 7 2031931
2014-09-03 16:44:16.620000 5.036 4.34749 Clear 0 887.986 60.73 8 2031931
2014-09-03 16:44:16.703000 5.23 4.54226 Clear 0 887.574 60.74 7 2031931
2014-09-03 16:44:16.720000 5.103 4.41428 Clear 0 887.49 60.742 8 2031931
2014-09-03 16:44:16.803000 5.236 4.54564 Clear 0 887.078 60.752 7 2031931
2014-09-03 16:44:16.820000 5.06 4.36947 Clear 0 886.994 60.754 8 2031931
2014-09-03 16:44:16.903000 5.299 4.608 Clear 0 886.583 60.764 7 2031931
2014-09-03 16:44:16.920000 5.096 4.40464 Clear 0 886.498 60.766 8 2031931
2014-09-03 16:44:17.003000 5.242 4.55017 Clear 0 886.087 60.776 7 2031931
2014-09-03 16:44:17.020000 5.138 4.44546 Clear 0 886.003 60.778 8 2031931
2014-09-03 16:44:17.103000 5.213 4.52044 Clear 0 885.592 60.788 7 2031931
2014-09-03 16:44:17.120000 5.215 4.5221 Clear 0 885.508 60.79 8 2031931
2014-09-03 16:44:17.203000 5.218 4.52379 Clear 0 885.097 60.8 7 2031931
2014-09-03 16:44:17.220000 5.125 4.43124 Clear 0 885.013 60.803 8 2031931
2014-09-03 16:44:17.303000 5.229 4.53433 Clear 0 884.603 60.813 7 2031931
2014-09-03 16:44:17.320000 5.118 4.42285 Clear 0 884.519 60.815 8 2031931
2014-09-03 16:44:17.403000 5.172 4.47549 Clear 0 884.109 60.825 7 2031931
2014-09-03 16:44:17.420000 5.091 4.39527 Clear 0 884.025 60.827 8 2031931
2014-09-03 16:44:17.503000 5.245 4.54803 Clear 0 883.615 60.837 7 2031931
2014-09-03 16:44:17.520000 5.016 4.31903 Clear 0 883.531 60.839 8 2031931
2014-09-03 16:44:17.603000 5.283 4.58477 Clear 0 883.122 60.85 7 2031931
2014-09-03 16:44:17.620000 5.175 4.47688 Clear 0 883.038 60.852 8 2031931
2014-09-03 16:44:17.703000 5.302 4.60266 Clear 0 882.629 60.862 7 2031931
2014-09-03 16:44:17.720000 5.133 4.43415 Clear 0 882.545 60.864 8 2031931
2014-09-03 16:44:17.803000 5.273 4.57329 Clear 0 882.136 60.874 7 2031931
2014-09-03 16:44:17.820000 5.072 4.37071 Clear 0 882.052 60.876 8 2031931
2014-09-03 16:44:17.903000 5.255 4.55371 Clear 0 881.643 60.887 7 2031931
2014-09-03 16:44:17.920000 5.153 4.45108 Clear 0 881.56 60.889 8 2031931
2014-09-03 16:44:18.003000 5.175 4.47251 Clear 0 881.151 60.899 7 2031931
2014-09-03 16:44:18.020000 5.073 4.37007 Clear 0 881.067 60.901 8 2031931
2014-09-03 16:44:18.103000 5.187 4.48249 Clear 0 880.659 60.912 7 2031931
2014-09-03 16:44:18.120000 5.107 4.40342 Clear 0 880.576 60.914 8 2031931
2014-09-03 16:44:18.203000 5.23 4.52498 Clear 0 880.168 60.924 7 2031931
2014-09-03 16:44:18.220000 5.099 4.39376 Clear 0 880.084 60.926 8 2031931
2014-09-03 16:44:18.303000 5.215 4.50854 Clear 0 879.676 60.937 7 2031931
2014-09-03 16:44:18.320000 5.085 4.37866 Clear 0 879.593 60.939 8 2031931
2014-09-03 16:44:18.403000 5.23 4.52304 Clear 0 879.186 60.949 7 2031931
2014-09-03 16:44:18.420000 5.076 4.36868 Clear 0 879.102 60.951 8 2031931
2014-09-03 16:44:18.503000 5.242 4.53384 Clear 0 878.695 60.962 7 2031931
2014-09-03 16:44:18.520000 5.13 4.42181 Clear 0 878.612 60.964 8 2031931
2014-09-03 16:44:18.603000 5.244 4.53509 Clear 0 878.205 60.974 7 2031931
2014-09-03 16:44:18.620000 5.122 4.41287 Clear 0 878.121 60.976 8 2031931
2014-09-03 16:44:18.703000 5.191 4.48104 Clear 0 877.715 60.987 7 2031931
2014-09-03 16:44:18.720000 5.153 4.44247 Clear 0 877.632 60.989 8 2031931
2014-09-03 16:44:18.803000 5.229 4.51753 Clear 0 877.225 60.999 7 2031931
2014-09-03 16:44:18.820000 5.055 4.34376 Clear 0 877.142 61.002 8 2031931
2014-09-03 16:44:18.903000 5.215 4.50326 Clear 0 876.736 61.012 7 2031931
2014-09-03 16:44:18.920000 5.093 4.38127 Clear 0 876.653 61.014 8 2031931
2014-09-03 16:44:19.003000 5.246 4.53248 Clear 0 876.247 61.025 7 2031931
2014-09-03 16:44:19.020000 5.051 4.33794 Clear 0 876.164 61.027 8 2031931
2014-09-03 16:44:19.103000 5.164 4.44957 Clear 0 875.758 61.037 7 2031931
2014-09-03 16:44:19.120000 5.075 4.36061 Clear 0 875.675 61.04 8 2031931
2014-09-03 16:44:19.203000 5.283 4.56829 Clear 0 875.27 61.05 7 2031931
2014-09-03 16:44:19.220000 5.177 4.46058 Clear 0 875.187 61.052 8 2031931
2014-09-03 16:44:19.303000 5.218 4.50188 Clear 0 874.782 61.063 7 2031931
2014-09-03 16:44:19.320000 5.095 4.3777 Clear 0 874.699 61.065 8 2031931
2014-09-03 16:44:19.403000 5.206 4.48881 Clear 0 874.295 61.076 7 2031931
2014-09-03 16:44:19.420000 5.096 4.37767 Clear 0 874.212 61.078 8 2031931
2014-09-03 16:44:19.503000 5.197 4.47776 Clear 0 873.807 61.089 7 2031931
2014-09-03 16:44:19.520000 5.135 4.41562 Clear 0 873.724 61.091 8 2031931
2014-09-03 16:44:19.603000 5.223 4.50302 Clear 0 873.32 61.101 7 2031931
2014-09-03 16:44:19.620000 5.125 4.40543 Clear 0 873.238 61.104 8 2031931
2014-09-03 16:44:19.703000 5.293 4.57189 Clear 0 872.834 61.114 7 2031931
2014-09-03 16:44:19.720000 5.144 4.42314 Clear 0 872.751 61.116 8 2031931
2014-09-03 16:44:19.803000 5.276 4.55374 Clear 0 872.347 61.127 7 2031931
2014-09-03 16:44:19.820000 5.042 4.32044 Clear 0 872.265 61.129 8 2031931
2014-09-03 16:44:19.903000 5.283 4.56 Clear 0 871.861 61.14 7 2031931
2014-09-03 16:44:19.920000 5.075 4.35155 Clear 0 871.779 61.142 8 2031931
2014-09-03 16:44:20.003000 5.275 4.55121 Clear 0 871.376 61.153 7 2031931
2014-09-03 16:44:20.020000 5.127 4.40286 Clear 0 871.293 61.155 8 2031931
2014-09-03 16:44:20.103000 5.279 4.55406 Clear 0 870.89 61.166 7 2031931
